,date,Total_Pedestrian_Count_per_day
113,2015-04-24,687369
114,2015-04-25,617257
115,2015-04-26,402903
116,2015-04-27,519381
117,2015-04-28,536691
118,2015-04-29,580872
119,2015-04-30,600746
120,2015-05-01,746219
121,2015-05-02,557177
122,2015-05-03,452820
123,2015-05-04,544844
124,2015-05-05,506962
125,2015-05-06,543673
126,2015-05-07,556631
127,2015-05-08,662573
128,2015-05-09,512580
129,2015-05-10,394815
130,2015-05-11,508168
131,2015-05-12,514329
132,2015-05-13,533158
133,2015-05-14,567567
134,2015-05-15,665396
135,2015-05-16,556646
136,2015-05-17,468310
137,2015-05-18,566187
138,2015-05-19,535738
139,2015-05-20,564353
140,2015-05-21,564108
141,2015-05-22,671844
142,2015-05-23,544407
143,2015-05-24,418867
144,2015-05-25,537110
145,2015-05-26,554730
146,2015-05-27,577867
147,2015-05-28,598827
148,2015-05-29,658994
149,2015-05-30,528365
150,2015-05-31,356804
151,2015-06-01,524373
152,2015-06-02,528939
153,2015-06-03,579905
154,2015-06-04,540945
155,2015-06-05,682471
156,2015-06-06,637017
157,2015-06-07,540196
158,2015-06-08,463457
159,2015-06-09,541621
160,2015-06-10,565075
161,2015-06-11,596107
162,2015-06-12,661425
163,2015-06-13,517094
164,2015-06-14,423527
165,2015-06-15,551739
166,2015-06-16,563991
167,2015-06-17,635634
168,2015-06-18,612668
169,2015-06-19,693785
170,2015-06-20,553100
171,2015-06-21,449758
172,2015-06-22,530660
173,2015-06-23,571451
174,2015-06-24,600935
175,2015-06-25,610346
176,2015-06-26,684873
177,2015-06-27,556124
178,2015-06-28,457401
179,2015-06-29,581072
180,2015-06-30,610646
181,2015-07-01,626970
182,2015-07-02,603980
183,2015-07-03,715618
184,2015-07-04,474642
185,2015-07-05,478331
186,2015-07-06,516569
187,2015-07-07,590907
188,2015-07-08,629963
189,2015-07-09,608373
190,2015-07-10,697116
191,2015-07-11,474872
192,2015-07-12,280439
193,2015-07-13,480004
194,2015-07-14,487003
195,2015-07-15,553158
196,2015-07-16,576055
197,2015-07-17,644910
198,2015-07-18,620441
199,2015-07-19,477802
200,2015-07-20,572470
201,2015-07-21,590831
202,2015-07-22,588069
203,2015-07-23,645141
204,2015-07-24,780257
205,2015-07-25,604165
206,2015-07-26,510636
207,2015-07-27,542400
208,2015-07-28,577472
209,2015-07-29,582154
210,2015-07-30,548916
211,2015-07-31,725399
212,2015-08-01,531705
213,2015-08-02,429088
214,2015-08-03,526778
215,2015-08-04,555977
216,2015-08-05,571195
217,2015-08-06,574158
218,2015-08-07,687929
219,2015-08-08,540401
220,2015-08-09,479401
221,2015-08-10,536809
222,2015-08-11,553589
223,2015-08-12,558721
224,2015-08-13,576497
225,2015-08-14,627460
226,2015-08-15,579764
227,2015-08-16,450525
228,2015-08-17,481734
229,2015-08-18,497840
230,2015-08-19,555653
231,2015-08-20,581304
232,2015-08-21,640856
233,2015-08-22,555865
234,2015-08-23,428762
235,2015-08-24,513507
236,2015-08-25,526970
237,2015-08-26,551127
238,2015-08-27,545685
239,2015-08-28,720700
240,2015-08-29,500014
241,2015-08-30,457752
242,2015-08-31,529808
243,2015-09-01,577875
244,2015-09-02,557953
245,2015-09-03,573593
246,2015-09-04,650902
247,2015-09-05,545985
248,2015-09-06,398715
249,2015-09-07,509763
250,2015-09-08,541648
251,2015-09-09,572380
252,2015-09-10,633522
253,2015-09-11,699897
254,2015-09-12,559732
255,2015-09-13,538052
256,2015-09-14,578139
257,2015-09-15,549311
258,2015-09-16,592421
259,2015-09-17,571835
260,2015-09-18,690363
261,2015-09-19,578018
262,2015-09-20,494670
263,2015-09-21,543834
264,2015-09-22,581181
265,2015-09-23,608995
266,2015-09-24,654599
267,2015-09-25,745368
268,2015-09-26,610241
269,2015-09-27,528627
270,2015-09-28,633387
271,2015-09-29,653089
272,2015-09-30,651814
273,2015-10-01,777692
274,2015-10-02,652706
275,2015-10-03,542282
276,2015-10-04,451117
277,2015-10-05,561247
278,2015-10-06,534950
279,2015-10-07,587563
280,2015-10-08,629696
281,2015-10-09,701303
282,2015-10-10,530790
283,2015-10-11,440025
284,2015-10-12,515737
285,2015-10-13,578092
286,2015-10-14,607247
287,2015-10-15,609690
288,2015-10-16,663558
289,2015-10-17,575503
290,2015-10-18,503192
291,2015-10-19,578945
292,2015-10-20,568350
293,2015-10-21,538916
294,2015-10-22,572714
295,2015-10-23,682460
296,2015-10-24,543271
297,2015-10-25,467092
298,2015-10-26,508264
299,2015-10-27,583522
300,2015-10-28,583618
301,2015-10-29,610892
302,2015-10-30,698115
303,2015-10-31,480908
304,2015-11-01,446762
305,2015-11-02,597289
306,2015-11-03,395150
307,2015-11-04,573447
308,2015-11-05,533293
309,2015-11-06,611397
310,2015-11-07,545573
311,2015-11-08,465766
312,2015-11-09,550326
313,2015-11-10,592849
314,2015-11-11,640890
315,2015-11-12,688901
316,2015-11-13,767005
317,2015-11-14,597169
318,2015-11-15,540609
319,2015-11-16,652123
320,2015-11-17,649510
321,2015-11-18,686578
322,2015-11-19,696855
323,2015-11-20,692160
324,2015-11-21,566248
325,2015-11-22,499809
326,2015-11-23,641411
327,2015-11-24,653772
328,2015-11-25,652086
329,2015-11-26,628438
330,2015-11-27,775820
331,2015-11-28,651564
332,2015-11-29,527324
333,2015-11-30,615659
334,2015-12-01,625150
335,2015-12-02,649315
336,2015-12-03,668547
337,2015-12-04,776975
338,2015-12-05,665767
339,2015-12-06,619551
340,2015-12-07,639904
341,2015-12-08,659590
342,2015-12-09,706915
343,2015-12-10,739517
344,2015-12-11,744363
345,2015-12-12,643844
346,2015-12-13,554435
347,2015-12-14,673310
348,2015-12-15,690976
349,2015-12-16,734011
350,2015-12-17,687276
351,2015-12-18,729509
352,2015-12-19,483554
353,2015-12-20,432209
354,2015-12-21,702929
355,2015-12-22,744859
356,2015-12-23,755818
357,2015-12-24,601562
358,2015-12-25,354165
359,2015-12-26,598849
360,2015-12-27,577904
361,2015-12-28,578703
362,2015-12-29,564212
363,2015-12-30,490025
364,2015-12-31,540633
365,2016-01-01,518947
366,2016-01-02,509571
367,2016-01-03,451123
368,2016-01-04,547916
369,2016-01-05,592005
370,2016-01-06,621087
371,2016-01-07,631680
372,2016-01-08,655083
373,2016-01-09,559456
374,2016-01-10,443611
375,2016-01-11,545443
376,2016-01-12,634227
377,2016-01-13,526676
378,2016-01-14,612574
379,2016-01-15,724970
380,2016-01-16,589346
381,2016-01-17,550697
382,2016-01-18,629602
383,2016-01-19,653133
384,2016-01-20,698114
385,2016-01-21,720653
386,2016-01-22,702372
387,2016-01-23,613211
388,2016-01-24,560510
389,2016-01-25,675173
390,2016-01-26,705826
391,2016-01-27,627095
392,2016-01-28,632468
393,2016-01-29,680938
394,2016-01-30,594194
395,2016-01-31,494393
396,2016-02-01,625500
397,2016-02-02,605189
398,2016-02-03,601768
399,2016-02-04,662164
400,2016-02-05,735889
401,2016-02-06,648512
402,2016-02-07,543115
403,2016-02-08,665405
404,2016-02-09,664340
405,2016-02-10,686251
406,2016-02-11,698865
407,2016-02-12,790800
408,2016-02-13,669691
409,2016-02-14,682517
410,2016-02-15,659351
411,2016-02-16,640697
412,2016-02-17,682152
413,2016-02-18,707372
414,2016-02-19,736845
415,2016-02-20,885831
416,2016-02-21,721722
417,2016-02-22,633825
418,2016-02-23,625435
419,2016-02-24,670560
420,2016-02-25,691181
421,2016-02-26,770028
422,2016-02-27,641641
423,2016-02-28,591838
424,2016-02-29,676451
425,2016-03-01,679965
426,2016-03-02,693302
427,2016-03-03,708544
428,2016-03-04,764925
429,2016-03-05,610640
430,2016-03-06,518443
431,2016-03-07,672423
432,2016-03-08,651878
433,2016-03-09,659926
434,2016-03-10,669617
435,2016-03-11,827051
436,2016-03-12,730844
437,2016-03-13,746962
438,2016-03-14,650464
439,2016-03-15,671662
440,2016-03-16,703152
441,2016-03-17,724483
442,2016-03-18,730517
443,2016-03-19,625400
444,2016-03-20,646783
445,2016-03-21,712722
446,2016-03-22,695215
447,2016-03-23,698421
448,2016-03-24,743790
449,2016-03-25,579290
450,2016-03-26,624207
451,2016-03-27,558092
452,2016-03-28,481791
453,2016-03-29,641119
454,2016-03-30,683511
455,2016-03-31,724658
456,2016-04-01,826348
457,2016-04-02,643351
458,2016-04-03,555798
459,2016-04-04,682296
460,2016-04-05,710886
461,2016-04-06,645838
462,2016-04-07,750392
463,2016-04-08,808149
464,2016-04-09,649474
465,2016-04-10,514709
466,2016-04-11,634527
467,2016-04-12,718101
468,2016-04-13,723817
469,2016-04-14,745662
470,2016-04-15,881389
471,2016-04-16,668218
472,2016-04-17,570963
473,2016-04-18,677515
474,2016-04-19,699771
475,2016-04-20,718849
476,2016-04-21,661643
477,2016-04-22,792029
478,2016-04-23,654288
479,2016-04-24,620641
480,2016-04-25,593911
481,2016-04-26,655080
482,2016-04-27,672944
483,2016-04-28,706881
484,2016-04-29,742317
485,2016-04-30,641027
486,2016-05-01,426266
487,2016-05-02,639079
488,2016-05-03,615311
489,2016-05-04,691508
490,2016-05-05,725166
491,2016-05-06,837827
492,2016-05-07,667976
493,2016-05-08,468801
494,2016-05-09,577666
495,2016-05-10,641085
496,2016-05-11,652510
497,2016-05-12,688501
498,2016-05-13,793290
499,2016-05-14,674512
500,2016-05-15,527120
501,2016-05-16,644614
502,2016-05-17,661532
503,2016-05-18,694125
504,2016-05-19,667355
505,2016-05-20,821240
506,2016-05-21,676442
507,2016-05-22,472177
508,2016-05-23,611441
509,2016-05-24,662503
510,2016-05-25,618063
511,2016-05-26,615087
512,2016-05-27,764344
513,2016-05-28,565827
514,2016-05-29,498899
515,2016-05-30,609693
516,2016-05-31,626519
517,2016-06-01,646611
518,2016-06-02,650569
519,2016-06-03,713045
520,2016-06-04,524250
521,2016-06-05,433985
522,2016-06-06,622563
523,2016-06-07,607044
524,2016-06-08,619490
525,2016-06-09,627753
526,2016-06-10,695730
527,2016-06-11,568372
528,2016-06-12,585804
529,2016-06-13,443408
530,2016-06-14,579709
531,2016-06-15,618458
532,2016-06-16,584295
533,2016-06-17,661837
534,2016-06-18,558896
535,2016-06-19,447823
536,2016-06-20,522406
537,2016-06-21,592111
538,2016-06-22,616462
539,2016-06-23,567242
540,2016-06-24,649802
541,2016-06-25,581475
542,2016-06-26,471132
543,2016-06-27,569997
544,2016-06-28,647604
545,2016-06-29,684755
546,2016-06-30,596083
547,2016-07-01,740660
548,2016-07-02,607997
549,2016-07-03,529165
550,2016-07-04,627915
551,2016-07-05,540622
552,2016-07-06,637720
553,2016-07-07,671555
554,2016-07-08,826329
555,2016-07-09,659317
556,2016-07-10,445675
557,2016-07-11,611912
558,2016-07-12,593788
559,2016-07-13,616785
560,2016-07-14,675597
561,2016-07-15,786006
562,2016-07-16,694441
563,2016-07-17,555681
564,2016-07-18,635296
565,2016-07-19,625272
566,2016-07-20,683684
567,2016-07-21,678339
568,2016-07-22,726369
569,2016-07-23,589744
570,2016-07-24,571103
571,2016-07-25,601066
572,2016-07-26,630216
573,2016-07-27,662617
574,2016-07-28,689170
575,2016-07-29,780026
576,2016-07-30,705653
577,2016-07-31,572172
578,2016-08-01,565804
579,2016-08-02,641344
580,2016-08-03,623707
581,2016-08-04,697515
582,2016-08-05,826425
583,2016-08-06,638545
584,2016-08-07,539168
585,2016-08-08,624989
586,2016-08-09,641444
587,2016-08-10,632576
588,2016-08-11,668770
589,2016-08-12,744288
590,2016-08-13,629893
591,2016-08-14,568123
592,2016-08-15,632880
593,2016-08-16,646232
594,2016-08-17,633978
595,2016-08-18,685000
596,2016-08-19,637766
597,2016-08-20,582975
598,2016-08-21,462621
599,2016-08-22,542477
600,2016-08-23,654375
601,2016-08-24,626727
602,2016-08-25,638187
603,2016-08-26,766552
604,2016-08-27,627006
605,2016-08-28,511846
606,2016-08-29,610634
607,2016-08-30,564418
608,2016-08-31,645301
609,2016-09-01,617364
610,2016-09-02,724798
611,2016-09-03,597883
612,2016-09-04,471979
613,2016-09-05,604882
614,2016-09-06,635962
615,2016-09-07,673933
616,2016-09-08,668405
617,2016-09-09,707459
618,2016-09-10,559170
619,2016-09-11,486926
620,2016-09-12,590649
621,2016-09-13,578316
622,2016-09-14,622864
623,2016-09-15,611888
624,2016-09-16,785093
625,2016-09-17,627683
626,2016-09-18,446666
627,2016-09-19,655191
628,2016-09-20,683102
629,2016-09-21,643293
630,2016-09-22,660788
631,2016-09-23,816853
632,2016-09-24,607646
633,2016-09-25,499081
634,2016-09-26,618782
635,2016-09-27,658744
636,2016-09-28,731979
637,2016-09-29,719781
638,2016-09-30,655850
639,2016-10-01,541152
640,2016-10-02,406619
641,2016-10-03,528461
642,2016-10-04,516578
643,2016-10-05,582804
644,2016-10-06,661015
645,2016-10-07,651828
646,2016-10-08,573688
647,2016-10-09,375432
648,2016-10-10,521080
649,2016-10-11,564163
650,2016-10-12,553275
651,2016-10-13,610406
652,2016-10-14,713823
653,2016-10-15,542013
654,2016-10-16,444736
655,2016-10-17,543250
656,2016-10-18,519380
657,2016-10-19,583126
658,2016-10-20,620526
659,2016-10-21,578488
660,2016-10-22,448476
661,2016-10-23,423038
662,2016-10-24,570076
663,2016-10-25,604235
664,2016-10-26,556234
665,2016-10-27,603235
666,2016-10-28,684156
667,2016-10-29,538461
668,2016-10-30,402352
669,2016-10-31,613210
670,2016-11-01,350967
671,2016-11-02,576381
672,2016-11-03,624483
673,2016-11-04,686466
674,2016-11-05,470935
675,2016-11-06,436948
676,2016-11-07,542015
677,2016-11-08,592874
678,2016-11-09,576560
679,2016-11-10,632071
680,2016-11-11,730145
681,2016-11-12,552046
682,2016-11-13,401012
683,2016-11-14,540300
684,2016-11-15,595708
685,2016-11-16,634224
686,2016-11-17,695865
687,2016-11-18,698643
688,2016-11-19,603565
689,2016-11-20,489189
690,2016-11-21,526122
691,2016-11-22,525429
692,2016-11-23,591795
693,2016-11-24,628981
694,2016-11-25,703727
695,2016-11-26,596664
696,2016-11-27,472314
697,2016-11-28,641418
698,2016-11-29,625369
699,2016-11-30,616452
700,2016-12-01,646101
701,2016-12-02,719944
702,2016-12-03,602893
703,2016-12-04,420349
704,2016-12-05,590254
705,2016-12-06,631488
706,2016-12-07,704094
707,2016-12-08,679139
708,2016-12-09,768011
709,2016-12-10,643880
710,2016-12-11,545013
711,2016-12-12,647059
712,2016-12-13,615701
713,2016-12-14,655230
714,2016-12-15,691219
715,2016-12-16,761279
716,2016-12-17,578366
717,2016-12-18,504656
718,2016-12-19,641861
719,2016-12-20,658083
720,2016-12-21,716383
721,2016-12-22,730382
722,2016-12-23,688455
723,2016-12-24,444984
724,2016-12-25,308541
725,2016-12-26,499610
726,2016-12-27,459541
727,2016-12-28,505524
728,2016-12-29,423814
729,2016-12-30,529935
730,2016-12-31,626809
731,2017-01-01,492152
732,2017-01-02,355156
733,2017-01-03,529411
734,2017-01-04,539839
735,2017-01-05,530787
736,2017-01-06,483188
737,2017-01-07,347200
738,2017-01-08,326441
739,2017-01-09,497620
740,2017-01-10,503211
741,2017-01-11,527067
742,2017-01-12,564571
743,2017-01-13,532048
744,2017-01-14,456663
745,2017-01-15,465708
746,2017-01-16,543821
747,2017-01-17,526535
748,2017-01-18,600457
749,2017-01-19,620063
750,2017-01-20,642266
751,2017-01-21,539631
752,2017-01-22,445390
753,2017-01-23,514257
754,2017-01-24,567696
755,2017-01-25,632096
756,2017-01-26,512310
757,2017-01-27,587002
758,2017-01-28,533550
759,2017-01-29,482085
760,2017-01-30,478125
761,2017-01-31,530324
762,2017-02-01,528084
763,2017-02-02,554782
764,2017-02-03,616024
765,2017-02-04,446105
766,2017-02-05,327077
767,2017-02-06,467318
768,2017-02-07,535170
769,2017-02-08,523366
770,2017-02-09,493460
771,2017-02-10,603611
772,2017-02-11,475673
773,2017-02-12,370499
774,2017-02-13,514714
775,2017-02-14,594850
776,2017-02-15,574688
777,2017-02-16,565850
778,2017-02-17,640067
779,2017-02-18,634328
780,2017-02-19,451979
781,2017-02-20,543044
782,2017-02-21,587453
783,2017-02-22,586389
784,2017-02-23,609664
785,2017-02-24,632265
786,2017-02-25,533816
787,2017-02-26,482188
788,2017-02-27,565819
789,2017-02-28,585790
790,2017-03-01,589251
791,2017-03-02,607676
792,2017-03-03,656703
793,2017-03-04,500791
794,2017-03-05,389513
795,2017-03-06,577509
796,2017-03-07,602277
797,2017-03-08,610525
798,2017-03-09,609418
799,2017-03-10,724976
800,2017-03-11,620789
801,2017-03-12,629251
802,2017-03-13,566090
803,2017-03-14,558199
804,2017-03-15,536590
805,2017-03-16,552435
806,2017-03-17,665697
807,2017-03-18,534489
808,2017-03-19,425861
809,2017-03-20,511016
810,2017-03-21,506996
811,2017-03-22,528266
812,2017-03-23,606242
813,2017-03-24,678432
814,2017-03-25,538991
815,2017-03-26,422543
816,2017-03-27,491361
817,2017-03-28,555793
818,2017-03-29,546584
819,2017-03-30,568509
820,2017-03-31,676940
821,2017-04-01,542796
822,2017-04-02,486547
823,2017-04-03,601181
824,2017-04-04,662872
825,2017-04-05,670232
826,2017-04-06,695848
827,2017-04-07,760918
828,2017-04-08,505220
829,2017-04-09,424488
830,2017-04-10,511858
831,2017-04-11,623054
832,2017-04-12,656443
833,2017-04-13,699563
834,2017-04-14,471177
835,2017-04-15,539783
836,2017-04-16,472596
837,2017-04-17,401430
838,2017-04-18,563015
839,2017-04-19,580933
840,2017-04-20,622035
841,2017-04-21,611644
842,2017-04-22,556652
843,2017-04-23,490646
844,2017-04-24,584798
845,2017-04-25,416005
846,2017-04-26,518284
847,2017-04-27,534711
848,2017-04-28,636174
849,2017-04-29,507620
850,2017-04-30,427828
851,2017-05-01,500172
852,2017-05-02,521670
853,2017-05-03,559569
854,2017-05-04,600993
855,2017-05-05,668528
856,2017-05-06,491693
857,2017-05-07,402430
858,2017-05-08,492725
859,2017-05-09,538218
860,2017-05-10,568189
861,2017-05-11,567444
862,2017-05-12,642942
863,2017-05-13,532369
864,2017-05-14,454015
865,2017-05-15,510207
866,2017-05-16,540831
867,2017-05-17,572565
868,2017-05-18,577407
869,2017-05-19,616429
870,2017-05-20,550704
871,2017-05-21,425269
872,2017-05-22,530489
873,2017-05-23,532285
874,2017-05-24,553415
875,2017-05-25,558028
876,2017-05-26,639163
877,2017-05-27,511893
878,2017-05-28,361337
879,2017-05-29,494117
880,2017-05-30,490358
881,2017-05-31,474685
882,2017-06-01,509074
883,2017-06-02,625069
884,2017-06-03,515674
885,2017-06-04,409450
886,2017-06-05,510095
887,2017-06-06,518925
888,2017-06-07,570696
889,2017-06-08,553586
890,2017-06-09,720789
891,2017-06-10,575576
892,2017-06-11,518019
893,2017-06-12,387743
894,2017-06-13,530279
895,2017-06-14,548934
896,2017-06-15,558423
897,2017-06-16,658843
898,2017-06-17,519084
899,2017-06-18,396715
900,2017-06-19,508138
901,2017-06-20,542160
902,2017-06-21,531468
903,2017-06-22,559088
904,2017-06-23,623355
905,2017-06-24,502193
906,2017-06-25,385792
907,2017-06-26,496982
908,2017-06-27,507611
909,2017-06-28,519149
910,2017-06-29,464468
911,2017-06-30,590486
912,2017-07-01,616019
913,2017-07-02,537761
914,2017-07-03,579373
915,2017-07-04,626490
916,2017-07-05,658694
917,2017-07-06,686601
918,2017-07-07,784079
919,2017-07-08,586585
920,2017-07-09,507736
921,2017-07-10,604159
922,2017-07-11,644573
923,2017-07-12,659620
924,2017-07-13,629153
925,2017-07-14,679518
926,2017-07-15,574596
927,2017-07-16,406334
928,2017-07-17,523005
929,2017-07-18,540192
930,2017-07-19,555027
931,2017-07-20,547041
932,2017-07-21,681935
933,2017-07-22,495025
934,2017-07-23,405805
935,2017-07-24,577529
936,2017-07-25,575038
937,2017-07-26,596492
938,2017-07-27,608917
939,2017-07-28,757744
940,2017-07-29,558579
941,2017-07-30,539554
942,2017-07-31,538126
943,2017-08-01,567873
944,2017-08-02,581568
945,2017-08-03,541575
946,2017-08-04,678298
947,2017-08-05,566359
948,2017-08-06,407353
949,2017-08-07,536863
950,2017-08-08,596215
951,2017-08-09,611458
952,2017-08-10,613531
953,2017-08-11,693400
954,2017-08-12,539856
955,2017-08-13,505625
956,2017-08-14,586612
957,2017-08-15,565622
958,2017-08-16,600683
959,2017-08-17,575320
960,2017-08-18,617533
961,2017-08-19,559997
962,2017-08-20,515892
963,2017-08-21,524362
964,2017-08-22,588137
965,2017-08-23,559107
966,2017-08-24,599851
967,2017-08-25,723943
968,2017-08-26,633871
969,2017-08-27,437941
970,2017-08-28,588781
971,2017-08-29,584852
972,2017-08-30,604017
973,2017-08-31,639756
974,2017-09-01,705140
975,2017-09-02,536908
976,2017-09-03,413123
977,2017-09-04,504647
978,2017-09-05,516970
979,2017-09-06,529974
980,2017-09-07,545018
981,2017-09-08,665810
982,2017-09-09,540443
983,2017-09-10,455550
984,2017-09-11,548230
985,2017-09-12,569329
986,2017-09-13,585817
987,2017-09-14,610491
988,2017-09-15,667928
989,2017-09-16,542549
990,2017-09-17,520078
991,2017-09-18,603385
992,2017-09-19,645505
993,2017-09-20,682738
994,2017-09-21,693047
995,2017-09-22,811585
996,2017-09-23,674681
997,2017-09-24,510931
998,2017-09-25,633979
999,2017-09-26,722429
1000,2017-09-27,749021
1001,2017-09-28,741544
1002,2017-09-29,629526
1003,2017-09-30,591288
1004,2017-10-01,491805
1005,2017-10-02,650927
1006,2017-10-03,700162
1007,2017-10-04,743727
1008,2017-10-05,673736
1009,2017-10-06,763346
1010,2017-10-07,637972
1011,2017-10-08,499737
1012,2017-10-09,586012
1013,2017-10-10,660856
1014,2017-10-11,614791
1015,2017-10-12,677026
1016,2017-10-13,746482
1017,2017-10-14,684670
1018,2017-10-15,609065
1019,2017-10-16,645915
1020,2017-10-17,684129
1021,2017-10-18,677324
1022,2017-10-19,631220
1023,2017-10-20,781822
1024,2017-10-21,562875
1025,2017-10-22,505697
1026,2017-10-23,661345
1027,2017-10-24,667831
1028,2017-10-25,672694
1029,2017-10-26,700640
1030,2017-10-27,874039
1031,2017-10-28,672376
1032,2017-10-29,549042
1033,2017-10-30,592647
1034,2017-10-31,654102
1035,2017-11-01,693424
1036,2017-11-02,720055
1037,2017-11-03,801824
1038,2017-11-04,728442
1039,2017-11-05,588898
1040,2017-11-06,793972
1041,2017-11-07,476315
1042,2017-11-08,765526
1043,2017-11-09,770028
1044,2017-11-10,883232
1045,2017-11-11,715955
1046,2017-11-12,608434
1047,2017-11-13,722374
1048,2017-11-14,728995
1049,2017-11-15,753974
1050,2017-11-16,735935
1051,2017-11-17,945058
1052,2017-11-18,656106
1053,2017-11-19,650402
1054,2017-11-20,714372
1055,2017-11-21,745748
1056,2017-11-22,762627
1057,2017-11-23,773689
1058,2017-11-24,912074
1059,2017-11-25,690502
1060,2017-11-26,607425
1061,2017-11-27,743658
1062,2017-11-28,763721
1063,2017-11-29,716277
1064,2017-11-30,729566
1065,2017-12-01,633222
1066,2017-12-02,413507
1067,2017-12-03,481926
1068,2017-12-04,668895
1069,2017-12-05,757394
1070,2017-12-06,826142
1071,2017-12-07,742048
1072,2017-12-08,913806
1073,2017-12-09,759334
1074,2017-12-10,668967
1075,2017-12-11,793143
1076,2017-12-12,822951
1077,2017-12-13,783137
1078,2017-12-14,829057
1079,2017-12-15,943607
1080,2017-12-16,767175
1081,2017-12-17,655180
1082,2017-12-18,764671
1083,2017-12-19,707022
1084,2017-12-20,823697
1085,2017-12-21,886626
1086,2017-12-22,861717
1087,2017-12-23,661876
1088,2017-12-24,637262
1089,2017-12-25,481360
1090,2017-12-26,751337
1091,2017-12-27,642740
1092,2017-12-28,647191
1093,2017-12-29,631413
1094,2017-12-30,627593
1095,2017-12-31,799773
1096,2018-01-01,613780
1097,2018-01-02,651270
1098,2018-01-03,689742
1099,2018-01-04,682054
1100,2018-01-05,701721
1101,2018-01-06,457430
1102,2018-01-07,532960
1103,2018-01-08,657417
1104,2018-01-09,717619
1105,2018-01-10,753870
1106,2018-01-11,678177
1107,2018-01-12,674893
1108,2018-01-13,535466
1109,2018-01-14,634133
1110,2018-01-15,718848
1111,2018-01-16,805776
1112,2018-01-17,797930
1113,2018-01-18,697489
1114,2018-01-19,723380
1115,2018-01-20,748664
1116,2018-01-21,607319
1117,2018-01-22,749950
1118,2018-01-23,798371
1119,2018-01-24,830641
1120,2018-01-25,844248
1121,2018-01-26,670479
1122,2018-01-27,624019
1123,2018-01-28,448126
1124,2018-01-29,534994
1125,2018-01-30,658312
1126,2018-01-31,691922
1127,2018-02-01,737386
1128,2018-02-02,807035
1129,2018-02-03,678830
1130,2018-02-04,566570
1131,2018-02-05,706206
1132,2018-02-06,730637
1133,2018-02-07,709302
1134,2018-02-08,740784
1135,2018-02-09,852929
1136,2018-02-10,711660
1137,2018-02-11,604470
1138,2018-02-12,742737
1139,2018-02-13,776160
1140,2018-02-14,835388
1141,2018-02-15,817489
1142,2018-02-16,922653
1143,2018-02-17,989404
1144,2018-02-18,872102
1145,2018-02-19,759345
1146,2018-02-20,796056
1147,2018-02-21,801724
1148,2018-02-22,819283
1149,2018-02-23,868880
