date,Rainfall amount (millimetres),Minimum temperature (Degree C),Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m),Total_Pedestrian_Count_per_day
2015-05-27 00:00:00,0.2,7.9,18.7,7.4,577867
2015-05-28 00:00:00,0.0,13.1,19.7,8.4,598827
2015-05-29 00:00:00,0.0,9.5,15.8,6.6,658994
2015-05-30 00:00:00,0.0,11.0,17.3,8.0,528365
2015-05-31 00:00:00,0.0,12.3,16.8,4.9,356804
2015-06-01 00:00:00,7.4,5.2,12.2,8.1,524373
2015-06-02 00:00:00,4.2,7.1,11.4,4.6,528939
2015-06-03 00:00:00,0.8,8.1,13.6,8.2,579905
2015-06-04 00:00:00,0.0,4.4,11.3,5.5,540945
2015-06-05 00:00:00,4.2,7.0,15.0,7.0,682471
2015-06-06 00:00:00,0.4,9.2,16.6,6.4,637017
2015-06-07 00:00:00,0.0,11.2,14.5,6.9,540196
2015-06-08 00:00:00,0.0,11.1,18.5,8.2,463457
2015-06-09 00:00:00,nan,10.3,13.5,8.6,541621
2015-06-10 00:00:00,0.0,7.5,13.4,7.1,565075
2015-06-11 00:00:00,0.0,5.7,14.0,8.3,596107
2015-06-12 00:00:00,0.2,5.2,13.1,6.9,661425
2015-06-13 00:00:00,0.0,6.0,18.2,8.0,517094
2015-06-14 00:00:00,0.0,5.8,17.4,8.0,423527
2015-06-15 00:00:00,0.0,7.1,16.9,6.6,551739
2015-06-16 00:00:00,4.8,9.5,16.1,3.3,563991
2015-06-17 00:00:00,0.0,11.7,13.8,4.7,635634
2015-06-18 00:00:00,1.2,10.7,12.7,4.2,612668
2015-06-19 00:00:00,0.0,7.0,12.4,7.9,693785
2015-06-20 00:00:00,0.0,4.1,11.6,7.1,553100
2015-06-21 00:00:00,0.0,2.2,12.9,8.6,449758
2015-06-22 00:00:00,0.2,3.6,14.1,6.2,530660
2015-06-23 00:00:00,0.0,9.6,17.6,5.8,571451
2015-06-24 00:00:00,0.0,12.2,16.0,7.7,600935
2015-06-25 00:00:00,0.0,9.6,14.0,6.3,610346
2015-06-26 00:00:00,0.0,10.5,16.9,7.1,684873
2015-06-27 00:00:00,0.0,8.0,14.1,5.0,556124
2015-06-28 00:00:00,0.0,9.6,14.5,4.1,457401
2015-06-29 00:00:00,0.0,6.9,12.3,5.6,581072
2015-06-30 00:00:00,0.0,5.0,14.2,7.9,610646
2015-07-01 00:00:00,0.0,7.4,15.0,6.9,626970
2015-07-02 00:00:00,0.8,10.3,11.9,7.0,603980
2015-07-03 00:00:00,4.2,5.9,12.0,5.0,715618
2015-07-04 00:00:00,1.6,7.3,10.6,2.8,474642
2015-07-05 00:00:00,0.0,8.2,14.9,8.2,478331
