stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id
"10086","Fraser St/Patterson St","-37.85536147","144.96696958","","","0","Level 0"
"10087","Jacoby Reserve/Park St","-37.85719652","144.97043128","","","0","Level 0"
"10088","Mary St/Park St","-37.85905675","144.97274446","","","0","Level 0"
"1009","Maple St/Dalton Rd","-37.67501559","145.03061185","","","0","Level 0"
"10093","Warland Rd/Carrington St","-37.93606921","145.03372288","","","0","Level 0"
"10094","Dane Rd/Spring Rd","-37.93994574","145.03381301","","","0","Level 0"
"10095","Besant St/Spring Rd","-37.94259331","145.03316209","","","0","Level 0"
"10099","Bluff Rd/Wickham Rd","-37.94288719","145.02327695","","","0","Level 0"
"101","Aquarena/Williamsons Rd","-37.77437570","145.12637945","","","0","Level 0"
"1010","Deakin Ave/Dalton Rd","-37.67174442","145.03116318","","","0","Level 0"
"10100","June St/Bluff Rd","-37.94550441","145.02243298","","","0","Level 0"
"10101","Abberfield Nursing Home/Bluff Rd","-37.94805549","145.02194351","","","0","Level 0"
"10102","Sandringham College/Bluff Rd","-37.95077656","145.02138116","","","0","Level 0"
"10103","Bay Rd/Bluff Rd","-37.95432383","145.02064863","","","0","Level 0"
"10104","Holloway Rd/Bluff Rd","-37.95769938","145.01988649","","","0","Level 0"
"10105","College Gr/Balcombe Rd","-37.97567846","145.01886832","","","0","Level 0"
"10106","Cullinane St/Balcombe Rd","-37.97603147","145.02110158","","","0","Level 0"
"10107","Hunter Ave/Balcombe Rd","-37.97638519","145.02391544","","","0","Level 0"
"10108","Summerhill Rd/Balcombe Rd","-37.97668155","145.02653734","","","0","Level 0"
"10109","Haydens Rd/Balcombe Rd","-37.97710062","145.03003259","","","0","Level 0"
"1011","Ruth St/Dalton Rd","-37.66987509","145.03147335","","","0","Level 0"
"10110","McNaught St/Balcombe Rd","-37.97805351","145.03527829","","","0","Level 0"
"10111","Morey St/Balcombe Rd","-37.97814010","145.03938591","","","0","Level 0"
"10112","Thistle St/Mt Alexander Rd","-37.75084981","144.91426534","","","0","Level 0"
"10113","Ryland Ave/Maroondah Hwy","-37.79008775","145.26611760","","","0","Level 0"
"10114","Stirling Rd/Maroondah Hwy","-37.78849600","145.27064043","","","0","Level 0"
"10118","Bonnie View Rd/Maroondah Hwy","-37.78108142","145.28808405","","","0","Level 0"
"10119","Golf Links Rd/Maroondah Hwy","-37.77829267","145.29215652","","","0","Level 0"
"1012","Queen St/Dalton Rd","-37.66805061","145.03177098","","","0","Level 0"
"10120","Primrose Rd/Maroondah Hwy","-37.77464495","145.29293305","","","0","Level 0"
"10121","Dorset Rd/Maroondah Hwy","-37.77136388","145.29475694","","","0","Level 0"
"10122","Exeter Rd/Maroondah Hwy","-37.77047510","145.29561750","","","0","Level 0"
"10123","Maroondah Golf Park/Maroondah Hwy","-37.76702281","145.30119150","","","0","Level 0"
"10124","Old Melbourne Rd/Maroondah Hwy","-37.76596539","145.30348622","","","0","Level 0"
"10125","Chirnside Homemaker Centre/Maroondah Hwy","-37.76421039","145.30678445","","","0","Level 0"
"10126","Fletcher Rd/Maroondah Hwy","-37.76190865","145.31029930","","","0","Level 0"
"1013","Curtin Ave/Dalton Rd","-37.66550757","145.03221227","","","0","Level 0"
"10131","Powell St/Spring St","-37.72663676","145.00119751","","","0","Level 0"
"10132","Frankston St/Spring St","-37.72494772","145.00150387","","","0","Level 0"
"10133","Broughton Ave/Spring St","-37.72369871","145.00171898","","","0","Level 0"
"10134","Reservoir St/Spring St","-37.72161757","145.00281868","","","0","Level 0"
"10135","Croft Cres/Spring St","-37.72031608","145.00419237","","","0","Level 0"
"10137","Viola St/Spring St","-37.71859025","145.00552066","","","0","Level 0"
"10138","Compton St/Edwardes St","-37.71587320","145.00206539","","","0","Level 0"
"10139","Kelsby St/Edwardes St","-37.71540604","144.99790320","","","0","Level 0"
"1014","Childs Rd/Dalton Rd","-37.66193757","145.03105956","","","0","Level 0"
"10140","Gilbert Rd/Edwardes St","-37.71605004","144.99284891","","","0","Level 0"
"10141","Pitt St/Edwardes St","-37.71433320","144.98782437","","","0","Level 0"
"10142","Newlands Rd/Edwardes St","-37.71400911","144.98467946","","","0","Level 0"
"10144","Newlands Rd/Henty St","-37.71751675","144.98268985","","","0","Level 0"
"10145","Kurnai Ave/Henty St","-37.71771013","144.98451110","","","0","Level 0"
"10146","Wattlebrae St/Henty St","-37.71791593","144.98970143","","","0","Level 0"
"10147","Boniview St/Henty St","-37.71819909","144.99150894","","","0","Level 0"
"10148","Henty St/Gilbert Rd","-37.71860851","144.99332441","","","0","Level 0"
"10149","Kia Ora Rd/Gilbert Rd","-37.72002827","144.99308189","","","0","Level 0"
"1015","Holroyd Dr/Dalton Rd","-37.65940225","145.03034436","","","0","Level 0"
"10150","Dwyer Ave/Gilbert Rd","-37.72378444","144.99244725","","","0","Level 0"
"10151","Knox St/Gilbert Rd","-37.72541980","144.99216483","","","0","Level 0"
"10152","Beatty St/Gilbert Rd","-37.72640756","144.99195662","","","0","Level 0"
"10153","Gilbert Rd/Regent St","-37.72944890","144.99168157","","","0","Level 0"
"10154","Edwardes St/Kelsby St","-37.71514120","144.99822797","","","0","Level 0"
"10155","Leamington St/Kelsby St","-37.71250846","144.99868452","","","0","Level 0"
"10157","Seaver Gr/Leamington St","-37.71127601","144.99086780","","","0","Level 0"
"10158","Gill St/Banbury Rd","-37.71260107","144.98930057","","","0","Level 0"
"10159","Edwardes St/Banbury Rd","-37.71404765","144.98904593","","","0","Level 0"
"1016","Grand Pde/Dalton Rd","-37.65686651","145.03068343","","","0","Level 0"
"10160","Luther College/Plymouth Rd","-37.78317077","145.27132096","","","0","Level 0"
"10161","Luther College/Plymouth Rd","-37.78345349","145.27339239","","","0","Level 0"
"10162","Plymouth Rd/Yarra Rd","-37.78365799","145.27443231","","","0","Level 0"
"10164","Clement Cres/Croydon Rd","-37.78452504","145.28381444","","","0","Level 0"
"10165","Grandview Ave/Croydon Rd","-37.78661070","145.28345959","","","0","Level 0"
"10166","Samuel St/Croydon Rd","-37.78999558","145.28258633","","","0","Level 0"
"10167","Croydon PS/Croydon Rd","-37.79255508","145.28197059","","","0","Level 0"
"10168","Larissa Ave/Maroondah Hwy","-37.81209504","145.23574985","","","0","Level 0"
"10169","Oliver St/Maroondah Hwy","-37.80945219","145.23920915","","","0","Level 0"
"1017","Melbourne Polytechnic/Dalton Rd","-37.65453985","145.03113030","","","0","Level 0"
"10170","Rupert St/Maroondah Hwy","-37.80850283","145.24020858","","","0","Level 0"
"10171","Leonard St/Maroondah Hwy","-37.80707171","145.24213948","","","0","Level 0"
"10172","Mines Rd/Maroondah Hwy","-37.80504761","145.24479993","","","0","Level 0"
"10173","Dublin Rd/Maroondah Hwy","-37.80268077","145.24744562","","","0","Level 0"
"10174","Everard Rd/Maroondah Hwy","-37.80176258","145.24872807","","","0","Level 0"
"10175","463 Maroondah Hwy","-37.80032061","145.25054530","","","0","Level 0"
"10176","Oban Rd/Maroondah Hwy","-37.79804860","145.25351777","","","0","Level 0"
"10177","Maggs St/Maroondah Hwy","-37.79398932","145.25934856","","","0","Level 0"
"10178","Hinkley Ave/Maroondah Hwy","-37.79196732","145.26217837","","","0","Level 0"
"10179","Cherry Tree Gr/Maroondah Hwy","-37.78960612","145.26707142","","","0","Level 0"
"1018","Coulstock St/Davisson St","-37.64972294","145.02978404","","","0","Level 0"
"10180","Highland Ave/Maroondah Hwy","-37.78824725","145.27088471","","","0","Level 0"
"10184","Warrien Rd/Maroondah Hwy","-37.78236673","145.28475006","","","0","Level 0"
"10185","Bonnie View Rd/Maroondah Hwy","-37.78092008","145.28814455","","","0","Level 0"
"10186","Primrose Rd/Maroondah Hwy","-37.77462562","145.29284266","","","0","Level 0"
"10187","Exeter Rd/Maroondah Hwy","-37.77044578","145.29545922","","","0","Level 0"
"10188","Maroondah Golf Park/Maroondah Hwy","-37.76634628","145.30177461","","","0","Level 0"
"10189","Old Melbourne Rd/Maroondah Hwy","-37.76527574","145.30441018","","","0","Level 0"
"1019","Davisson St/Rufus St","-37.64897429","145.03082392","","","0","Level 0"
"10190","Chirnside Homemaker Centre/Maroondah Hwy","-37.76406395","145.30662885","","","0","Level 0"
"10195","High St/Miller St","-37.75211598","145.00028503","","","0","Level 0"
"10196","William St/Regent St","-37.73069693","145.00360731","","","0","Level 0"
"10197","Regent St/Spring St","-37.72971721","145.00057004","","","0","Level 0"
"10198","Rona St/Spring St","-37.72843236","145.00079749","","","0","Level 0"
"10199","Powell St/Spring St","-37.72668889","145.00108265","","","0","Level 0"
"102","Lalor Shopping Centre/David St","-37.67173759","145.01677571","","","0","Level 0"
"1020","Keith Ave/Greenbrook Dr","-37.64768064","145.03539174","","","0","Level 0"
"10200","Frankston St/Spring St","-37.72449713","145.00150464","","","0","Level 0"
"10201","Taylor Ave/Spring St","-37.72337404","145.00170501","","","0","Level 0"
"10202","Moore Cres/Spring St","-37.72137589","145.00291594","","","0","Level 0"
"10203","Cleeland St/Spring St","-37.71796297","145.00573035","","","0","Level 0"
"10204","Reservoir Station/Edwardes St","-37.71643950","145.00623633","","","0","Level 0"
"10205","Olive St/Edwardes St","-37.71621177","145.00449537","","","0","Level 0"
"10206","Kelsby St/Edwardes St","-37.71554675","144.99822840","","","0","Level 0"
"10207","Willoughby St/Edwardes St","-37.71538658","144.99675794","","","0","Level 0"
"10208","Gilbert Rd/Edwardes St","-37.71631622","144.99260349","","","0","Level 0"
"10209","Pitt St/Edwardes St","-37.71445321","144.98799129","","","0","Level 0"
"1021","McDonalds Rd/Greenbrook Dr","-37.64645002","145.03671624","","","0","Level 0"
"10210","Newlands Rd/Edwardes St","-37.71407768","144.98447341","","","0","Level 0"
"10211","Newlands Rd/Henty St","-37.71743704","144.98277142","","","0","Level 0"
"10212","Meadowbank Dr/Furlong Rd","-37.76142262","144.82225064","","","0","Level 0"
"10213","Sunshine Hospital/Furlong Rd","-37.76073025","144.81600520","","","0","Level 0"
"10214","Ironbark St/Furlong Rd","-37.76043529","144.81322154","","","0","Level 0"
"10215","Ginifer Station/Mulhall Dr","-37.75814585","144.81076913","","","0","Level 0"
"1022","Greenbrook SC/McDonalds Rd","-37.64583938","145.04009848","","","0","Level 0"
"10224","St Albans Sec Col/Main Rd East","-37.74497370","144.80656120","","","0","Level 0"
"10225","Lester Ave/Main Rd East","-37.74542182","144.81030437","","","0","Level 0"
"10227","Lyons St/Hyde St","-37.80816434","144.89955730","","","0","Level 0"
"10228","Princess St/Hyde St","-37.81124708","144.89808415","","","0","Level 0"
"10229","Somerville Rd/Hyde St","-37.81468058","144.89707801","","","0","Level 0"
"1023","Greenview Ct/McDonalds Rd","-37.64622011","145.04348865","","","0","Level 0"
"10230","Lennox St/Hyde St","-37.81633282","144.89674713","","","0","Level 0"
"10231","204 Hyde St","-37.81787818","144.89648743","","","0","Level 0"
"10232","Kent St/Hyde St","-37.82016030","144.89610455","","","0","Level 0"
"10233","Hyde St/Francis St","-37.82174027","144.89576431","","","0","Level 0"
"10234","Ballarat St/Francis St","-37.82111687","144.89013589","","","0","Level 0"
"10235","Bunninyong St/Francis St","-37.82081560","144.88740663","","","0","Level 0"
"10237","271 Narre Warren North Rd","-37.99940239","145.31201518","","","0","Level 0"
"10238","Hansen Reserve/Roberts St","-37.80522521","144.87088226","","","0","Level 0"
"10239","Indwe St/Roberts St","-37.80318720","144.87130424","","","0","Level 0"
"1024","Merrill Dr/McDonalds Rd","-37.64648814","145.04606576","","","0","Level 0"
"10240","Sunshine Rd/Roberts St","-37.80113668","144.87153348","","","0","Level 0"
"10241","Stradbroke St/Sunshine Rd","-37.80152754","144.87921119","","","0","Level 0"
"10242","West Footscray Station/Sunshine Rd","-37.80235130","144.88342397","","","0","Level 0"
"10243","Ross St/Bridge St","-37.83424107","144.94018859","","","0","Level 0"
"10244","Station St/Bridge St","-37.83543288","144.94134852","","","0","Level 0"
"10245","Bay Street Shops/Bridge St","-37.83674885","144.94342543","","","0","Level 0"
"10246","Cruikshank St/Liardet St","-37.84030808","144.94495154","","","0","Level 0"
"10247","Bridport St/Richardson St","-37.84223719","144.94860257","","","0","Level 0"
"10248","Albert Park Shops/Richardson St","-37.84410384","144.95177823","","","0","Level 0"
"10249","Kerferd Rd/Richardson St","-37.84628376","144.95535451","","","0","Level 0"
"1025","Meadow Glen Dr/McDonalds Rd","-37.64712291","145.05175017","","","0","Level 0"
"10250","Middle Park PS/Richardson St","-37.84754314","144.95781993","","","0","Level 0"
"10251","Wright St/Richardson St","-37.84814049","144.95900810","","","0","Level 0"
"10252","Nimmo St/Richardson St","-37.84986453","144.96229048","","","0","Level 0"
"10253","Armstrong St/Richardson St","-37.85065551","144.96373480","","","0","Level 0"
"10254","Armstrong St/Danks St","-37.85312230","144.96255311","","","0","Level 0"
"10255","Langridge St/Patterson St","-37.85483448","144.96567700","","","0","Level 0"
"10256","Fraser St/Park St","-37.85549678","144.96697723","","","0","Level 0"
"10257","Jacoby Reserve/Park St","-37.85754683","144.97088768","","","0","Level 0"
"10258","Sarnia Ct/Kurrajong Rd","-38.00222626","145.31286155","","","0","Level 0"
"10259","High St/Memorial Ave","-37.64487313","145.02808747","","","0","Level 0"
"1026","Bridle Ct/Meadow Glen Dr","-37.64604139","145.05120040","","","0","Level 0"
"10260","Watermoor Ave/Eycot St","-37.83735378","145.30367027","","","0","Level 0"
"10261","Watermoor Ave/Rendcomb St","-37.83639126","145.30441957","","","0","Level 0"
"10262","Bibury Ct/Rendcomb St","-37.83536005","145.30665902","","","0","Level 0"
"10263","Collier Rd/Rendcomb St","-37.83401866","145.30675787","","","0","Level 0"
"10264","Watermoor Ave/Collier Rd","-37.83334646","145.30513697","","","0","Level 0"
"10265","Colchester Rd/Collier Rd","-37.83279760","145.30269515","","","0","Level 0"
"10266","Colchester Rd/Allambanan Dr","-37.83316796","145.30150492","","","0","Level 0"
"10267","Toolimerin Ave/Allambanan Dr","-37.83236104","145.29992127","","","0","Level 0"
"10268","Bagora Ct/Allambanan Dr","-37.83155361","145.29830358","","","0","Level 0"
"10269","Canterbury Gardens/Allambanan Dr","-37.83150580","145.29499814","","","0","Level 0"
"1027","Derby Dr/Meadow Glen Dr","-37.64383117","145.05160951","","","0","Level 0"
"10270","Aylesbury Ave/Blandford Cres","-37.83103698","145.29249780","","","0","Level 0"
"10271","Sherbourne Ave/Blandford Cres","-37.83015837","145.29281348","","","0","Level 0"
"10272","Stuart St/Blandford Cres","-37.82816332","145.29382524","","","0","Level 0"
"10273","Bayswater North PS/Stuart St","-37.82752963","145.29487378","","","0","Level 0"
"10274","Burdekin Ave/Colbury Rd","-37.82878756","145.29648099","","","0","Level 0"
"10275","Grant Dr/Burdekin Ave","-37.82773499","145.29723237","","","0","Level 0"
"10276","Leighton Rd/Burdekin Ave","-37.82563227","145.29765563","","","0","Level 0"
"10277","Anderson Cl/Burdekin Ave","-37.82466524","145.30058643","","","0","Level 0"
"10278","Colchester Rd/Burdekin Ave","-37.82631327","145.30300279","","","0","Level 0"
"10279","Canterbury Rd/Colchester Rd","-37.82379264","145.30382174","","","0","Level 0"
"1028","Glendale Ave/Derby Dr","-37.64310067","145.04830789","","","0","Level 0"
"10283","Garden St/Liverpool Rd","-37.81696549","145.31666763","","","0","Level 0"
"10284","Lade Ave/Liverpool Rd","-37.81579185","145.31652389","","","0","Level 0"
"10285","Kilsyth Sports Centre/Liverpool Rd","-37.81243309","145.31608899","","","0","Level 0"
"10286","Orchard St/Liverpool Rd","-37.81125011","145.31592275","","","0","Level 0"
"10287","Luscombe Ct/Liverpool Rd","-37.80985042","145.31572736","","","0","Level 0"
"10288","Pleasant St/Liverpool Rd","-37.80640108","145.31526050","","","0","Level 0"
"1029","Winchester Ave/Derby Dr","-37.64265420","145.04420555","","","0","Level 0"
"10291","Belvedere Dr/Swansea Rd","-37.80650079","145.35095919","","","0","Level 0"
"10292","Greenhills Ave/Cambridge Rd","-37.80354635","145.34657239","","","0","Level 0"
"10293","Emery Lane/Cambridge Rd","-37.80282742","145.34479380","","","0","Level 0"
"10294","Montrose Brickworks Flora Reserve/Cambridge Rd","-37.80155059","145.34051757","","","0","Level 0"
"10295","Acacia Ave/Cambridge Rd","-37.80122309","145.33710612","","","0","Level 0"
"10296","Alpine Way/Cambridge Rd","-37.80091029","145.33410326","","","0","Level 0"
"10297","Chittenup Bend/Overton Lea Bvd","-37.70612279","144.76569425","","","0","Level 0"
"10298","Hume Dr/Overton Lea Bvd","-37.70909565","144.76802102","","","0","Level 0"
"10299","Hume Dr/Copperfield Dr","-37.71039305","144.77086326","","","0","Level 0"
"103","Nicholson St/Johnston St","-37.80026472","144.99806721","","","0","Level 0"
"1030","Northumberland Dr/Derby Dr","-37.64260985","145.04207603","","","0","Level 0"
"10300","Yellow Gum Rd/Copperfield Dr","-37.71387234","144.77185932","","","0","Level 0"
"10301","Copperfield College/Copperfield Dr","-37.71860226","144.77084407","","","0","Level 0"
"10307","Rex St/Taylors Rd","-37.72686198","144.77636004","","","0","Level 0"
"10308","Longfellow Dr/Taylors Rd","-37.72661222","144.77410971","","","0","Level 0"
"1031","Scarborough Rd/McDonalds Rd","-37.64543964","145.03503144","","","0","Level 0"
"10315","Rialto St/Main Rd West","-37.74164593","144.77614459","","","0","Level 0"
"10316","Kings Rd/Main Rd West","-37.74212071","144.78029512","","","0","Level 0"
"10317","Buchanan St/Main Rd West","-37.74249035","144.78365448","","","0","Level 0"
"10318","Cleveland St/Main Rd West","-37.74284422","144.78713917","","","0","Level 0"
"1032","Church St/High St","-37.64552951","145.02638138","","","0","Level 0"
"10320","Carberry Dr/Gisborne-Melton Rd","-37.67319695","144.59810714","","","0","Level 0"
"10321","Riddle Dr/Centenary Ave","-37.67587984","144.59444926","","","0","Level 0"
"10322","Raleighs Rd/Centenary Ave","-37.67522817","144.58901698","","","0","Level 0"
"10323","Kurunjang Dr/Centenary Ave","-37.67454085","144.58493511","","","0","Level 0"
"10324","Melton Cemetery/O'Neills Rd","-37.67486942","144.57811067","","","0","Level 0"
"10325","Cassia Rd/O'Neills Rd","-37.67830775","144.57747729","","","0","Level 0"
"10326","Church St/O'Neills Rd","-37.68150099","144.57763417","","","0","Level 0"
"10327","Alexandra St/Unitt St","-37.68197986","144.58032849","","","0","Level 0"
"10328","Joyce St/High St","-37.68392060","144.57260040","","","0","Level 0"
"1033","High St/Manningham Rd","-37.77457524","145.11572468","","","0","Level 0"
"10336","Prior Ct/Black Dog Dr","-37.69296045","144.55827782","","","0","Level 0"
"10339","Emms St/Settlement Rd","-37.69699384","145.05163628","","","0","Level 0"
"1034","Wedge St/High St","-37.65046773","145.02474315","","","0","Level 0"
"10340","Green St/Settlement Rd","-37.69427296","145.03809800","","","0","Level 0"
"10341","Norris Bank Primary School/Settlement Rd ","-37.69480568","145.04249573","","","0","Level 0"
"10343","Brand Dr/Settlement Rd","-37.69391942","145.03472764","","","0","Level 0"
"10344","Wood St/Settlement Rd","-37.69362854","145.03187735","","","0","Level 0"
"10345","Finton Gr/Keon Pde","-37.69528114","145.01648877","","","0","Level 0"
"10346","Keon Park Station/Keon Pde","-37.69488962","145.01304011","","","0","Level 0"
"10347","High St/Mahoneys Rd","-37.69455242","145.00961271","","","0","Level 0"
"10348","Edgars Rd/Mahoneys Rd","-37.69383767","145.00252094","","","0","Level 0"
"10349","Lipton Dr/Mahoneys Rd","-37.69331701","144.99732938","","","0","Level 0"
"1035","Thompsons Heights Shops/Thompsons Rd","-37.77521266","145.09150235","","","0","Level 0"
"10350","Callander St/Mahoneys Rd","-37.69313478","144.99562179","","","0","Level 0"
"10351","Clay Ct/Mahoneys Rd","-37.69278595","144.99207013","","","0","Level 0"
"10352","Lawson Cres/Mahoneys Rd","-37.69217805","144.98601918","","","0","Level 0"
