Geo Point,Geo Shape,seg_id,str_type,dtupdate,status_id,seg_descr,poly_area,gisid,street_id,seg_part
"-37.79124914471833, 144.92724996813476","{""coordinates"": [[[[144.927273167539, -37.791081223035], [144.927266408676, -37.791411530279], [144.927196237274, -37.791384017023], [144.927231441507, -37.791358790963], [144.927235810855, -37.791080792657], [144.927273167539, -37.791081223035]]]], ""type"": ""MultiPolygon""}",23182,Council Minor,20210923,3,CL0195 from Gordon Crescent,122,4088,119734,2
"-37.806296913303704, 144.9497976068567","{""coordinates"": [[[[144.94980548188, -37.80610213186], [144.950042940687, -37.806309060946], [144.949793353557, -37.80648680624], [144.949550226194, -37.806294694201], [144.94980548188, -37.80610213186]]]], ""type"": ""MultiPolygon""}",21374,Arterial,20210923,1,Intersection of King Street and Roden Street,927,1085,0,1
"-37.80350052569664, 144.9486257887322","{""coordinates"": [[[[144.948790248578, -37.80346902172], [144.948784718524, -37.803519428155], [144.948759859399, -37.803674069368], [144.948190468515, -37.803610642444], [144.948197411008, -37.803569870784], [144.948725918615, -37.803628718575], [144.948814459009, -37.803100386924], [144.948856131556, -37.803104660719], [144.948790248578, -37.80346902172]]]], ""type"": ""MultiPolygon""}",21001,Council Minor,20210923,3,Atkin Street between Queensberry Street and Curzon Street,438,2797,403,1
"-37.79469475598406, 144.9434069622678","{""coordinates"": [[[[144.942765997701, -37.794486228399], [144.943083054068, -37.794521019571], [144.943103918976, -37.794522952039], [144.94342217223, -37.794559682709], [144.943441578997, -37.794561778902], [144.943460985766, -37.794563875091], [144.944316884708, -37.79465987276], [144.944356600402, -37.794664503246], [144.944528517991, -37.794683374571], [144.944559108722, -37.79468673818], [144.944799960711, -37.79471316552], [144.944750994733, -37.794981781485], [144.943158218709, -37.794803582073], [144.943058706176, -37.794792012185], [144.942848268538, -37.794768852139], [144.942813496696, -37.794765928719], [144.942602318106, -37.794743693416], [144.942498909964, -37.794730873559], [144.942291413775, -37.794706494154], [144.942257610509, -37.794702226719], [144.942014157226, -37.794675901927], [144.942062843878, -37.794410292247], [144.942274118331, -37.794431160395], [144.942293856178, -37.794433109361], [144.94273303618, -37.794482732793], [144.942765997701, -37.794486228399]]]], ""type"": ""MultiPolygon""}",21227,Council Major,20210923,2,Erskine Street between Dryburgh Street and Melrose Street,7322,2933,611,1
"-37.79871629576027, 144.93087172432223","{""coordinates"": [[[[144.930940665316, -37.79865784603], [144.930994158572, -37.79881444105], [144.930802684334, -37.798774033188], [144.930748759654, -37.798618994941], [144.930940665316, -37.79865784603]]]], ""type"": ""MultiPolygon""}",21707,Council Major,20210923,2,Intersection of Arden Street and Southey Street,271,2282,0,1
"-37.81507863621774, 144.96582691083066","{""coordinates"": [[[[144.96613597301, -37.815019930737], [144.966125858392, -37.815022911944], [144.966119110035, -37.815008080974], [144.966054272105, -37.815027188792], [144.966061020451, -37.815042019765], [144.96603057123, -37.815050993987], [144.965979778162, -37.815053468048], [144.966002528971, -37.815103469898], [144.96602169201, -37.815097822522], [144.96603383457, -37.815124507025], [144.966052938725, -37.815118728858], [144.96606296532, -37.81514076639], [144.965891542134, -37.815192612866], [144.965889401775, -37.815188026754], [144.965889960581, -37.815187947191], [144.965881902744, -37.815170458548], [144.965953170539, -37.815148903463], [144.965942372606, -37.815125171002], [144.965957231632, -37.815120677589], [144.96593794665, -37.815078291062], [144.965930493534, -37.815080487345], [144.965924323726, -37.815066928005], [144.965876414398, -37.815081047271], [144.96586793166, -37.815062402287], [144.965778499891, -37.815088758594], [144.965802975372, -37.815142552686], [144.965807262271, -37.815141360594], [144.965813432063, -37.81515491994], [144.965774849763, -37.81516565597], [144.965768681113, -37.815152096642], [144.965772968038, -37.815150903651], [144.965739034892, -37.815076324545], [144.965505398178, -37.815141338694], [144.965510026306, -37.815151509129], [144.965484304758, -37.815158666117], [144.965478135026, -37.815145106756], [144.965422404967, -37.815160614591], [144.96542857469, -37.815174173955], [144.96540076974, -37.815181911329], [144.965404088514, -37.815189294335], [144.965391763447, -37.815192723918], [144.965374710412, -37.815154783523], [144.965745933135, -37.815051181053], [144.965733535833, -37.815023600857], [144.965664434206, -37.815042886224], [144.965646125299, -37.815002151249], [144.965731668633, -37.81497827729], [144.965733165058, -37.814978512216], [144.96575731614, -37.815032244841], [144.965765886717, -37.815029853395], [144.965769510622, -37.815037915743], [144.965765225901, -37.815039111476], [144.965768277022, -37.815045900479], [144.965763991165, -37.815047096193], [144.965764754507, -37.815048793678], [144.965805465668, -37.815037432064], [144.965810042368, -37.815047615117], [144.96585611086, -37.815034758166], [144.965859544217, -37.81504239637], [144.965901326844, -37.815030735117], [144.965905140187, -37.815039221583], [144.965917996641, -37.815035633506], [144.965914182161, -37.815027147021], [144.965973105936, -37.815010701925], [144.965978064886, -37.815021734175], [144.965986635456, -37.815019342713], [144.966017485544, -37.815002136875], [144.966015959985, -37.814998741926], [144.966113896015, -37.814971409468], [144.96613597301, -37.815019930737]]]], ""type"": ""MultiPolygon""}",30143,Private,20210923,4,Capitol Arcade,403,97,3186,1
"-37.80550259400819, 144.9556184660655","{""coordinates"": [[[[144.955815152875, -37.805533120967], [144.955809808769, -37.805563645649], [144.95544038632, -37.805522195276], [144.955445789033, -37.805489262786], [144.95556998758, -37.805501747501], [144.955579981341, -37.805493972635], [144.955601801092, -37.805375991005], [144.955616714305, -37.805377843195], [144.955626924324, -37.805379111775], [144.955637297325, -37.805380401208], [144.955616884403, -37.805498524422], [144.95562614999, -37.805513446544], [144.955815152875, -37.805533120967]]]], ""type"": ""MultiPolygon""}",20946,Council Minor,20210923,3,Victoria Hotel Lane from Peel Street,163,2640,1292,1
"-37.82042756846585, 144.9440102335806","{""coordinates"": [[[[144.944025387865, -37.820197537991], [144.944185142975, -37.820545085406], [144.944208486976, -37.82059587124], [144.943995078389, -37.820657598795], [144.943986674636, -37.820639315954], [144.943811980305, -37.820259265247], [144.944025387865, -37.820197537991]]]], ""type"": ""MultiPolygon""}",23151,Council Minor,20210923,3,Merchant Street between Bourke Street and Collins Street,941,427,117952,2
"-37.784620276451356, 144.95809489764252","{""coordinates"": [[[[144.957149766846, -37.784412646195], [144.958090339704, -37.784484309635], [144.958157808937, -37.784488038668], [144.959068849864, -37.784564237944], [144.959035480296, -37.784827923287], [144.95812344107, -37.784757762335], [144.958053724517, -37.784751184441], [144.957131942778, -37.784682003127], [144.957149766846, -37.784412646195]]]], ""type"": ""MultiPolygon""}",22382,Council Major,20210923,2,Walker Street between Royal Parade and The Avenue,5043,2093,1157,1
"-37.787620713203054, 144.95793604545594","{""coordinates"": [[[[144.957171765715, -37.787424571696], [144.957723934429, -37.787468120457], [144.957794340307, -37.787473632716], [144.9587030372, -37.78754401711], [144.958670075136, -37.787815062883], [144.957760306828, -37.787745488706], [144.957688470252, -37.787740665348], [144.957202911247, -37.78770215223], [144.957171765715, -37.787424571696]]]], ""type"": ""MultiPolygon""}",22378,Council Major,20210923,2,Leonard Street between Royal Parade and The Avenue,4023,2089,789,1
