stop_id,stop_name,stop_lat,stop_lon
"19961","Gowrie Railway Station (Glenroy)","-37.7006779971311","144.958874324034"
"19962","Fawkner Railway Station (Fawkner)","-37.7146212867351","144.960545025448"
"19963","Merlynston Railway Station (Coburg North)","-37.7209338911874","144.961313546073"
"19964","Batman Railway Station (Coburg North)","-37.7335228508898","144.962840551626"
"19965","Coburg Railway Station (Coburg)","-37.7423450211443","144.963336336826"
"19966","Moreland Railway Station (Coburg)","-37.7544848430139","144.961823032047"
"19967","Anstey Railway Station (Brunswick)","-37.7612420288555","144.960684043548"
"19968","Brunswick Railway Station (Brunswick)","-37.7677205467251","144.959586536251"
"19969","Jewell Railway Station (Brunswick)","-37.774987022345","144.958716910939"
"19970","Royal Park Railway Station (Parkville)","-37.7811929299135","144.952301268806"
"19971","Flemington Bridge Railway Station (North Melbourne)","-37.7881399497914","144.939323282774"
"19972","Macaulay Railway Station (North Melbourne)","-37.7942667317391","144.936166325307"
"19973","North Melbourne Railway Station (West Melbourne)","-37.8074187741802","144.94256978252"
"19974","Clifton Hill Railway Station (Clifton Hill)","-37.788657453155","144.995416701876"
"19975","Victoria Park Railway Station (Abbotsford)","-37.7991578245291","144.994451425812"
"19976","Collingwood Railway Station (Abbotsford)","-37.804525926463","144.993749666428"
"19977","North Richmond Railway Station (Richmond)","-37.8103983564789","144.992500261754"
"19978","West Richmond Railway Station (Richmond)","-37.8149489647782","144.991422784199"
"19979","Jolimont-MCG Railway Station (East Melbourne)","-37.8165270224448","144.984098336822"
"19983","Macleod Railway Station (Macleod)","-37.7260123045399","145.069143320059"
"19984","Watsonia Railway Station (Watsonia)","-37.7109579769621","145.083793381187"
"19985","Greensborough Railway Station (Greensborough)","-37.7039540802781","145.108247408528"
"19986","Montmorency Railway Station (Montmorency)","-37.715296243561","145.121515737915"
"19987","Eltham Railway Station (Eltham)","-37.7135496724667","145.147822019567"
"19988","Diamond Creek Railway Station (Diamond Creek)","-37.6732974392963","145.15850619152"
"19989","Wattle Glen Railway Station (Wattle Glen)","-37.663967922998","145.181614533441"
"19990","Hurstbridge Railway Station (Hurstbridge)","-37.6393981687798","145.192016891245"
"19991","Williamstown Railway Station (Williamstown)","-37.8677529166629","144.905323308917"
"19992","Williamstown Beach Railway Station (Williamstown)","-37.8639818878565","144.894483676562"
"19993","North Williamstown Railway Station (Williamstown)","-37.8573334766552","144.889069465486"
"19994","Newport Railway Station (Newport)","-37.8427175700807","144.8835999118"
"19995","Spotswood Railway Station (Spotswood)","-37.8306388752228","144.885933453192"
"19996","Yarraville Railway Station (Yarraville)","-37.8158504436364","144.889933707058"
"19997","Seddon Railway Station (Seddon)","-37.8090051386803","144.895671569116"
"20000","Watergardens Railway Station (Sydenham)","-37.7011287184617","144.77418045437"
"20001","Keilor Plains Railway Station (St Albans)","-37.7292793433584","144.793738065376"
"20002","St Albans Railway Station (St Albans)","-37.7448613127481","144.800050450996"
"20003","Ginifer Railway Station (St Albans)","-37.7600670702332","144.811348134992"
"20004","Albion Railway Station (Sunshine North)","-37.7776528079453","144.824703607774"
"20005","Epping Railway Station (Epping)","-37.6521866570244","145.031067771128"
"20006","Lalor Railway Station (Lalor)","-37.665850746663","145.017193167352"
"20007","Thomastown Railway Station (Thomastown)","-37.6803380889006","145.01427887056"
"20008","Keon Park Railway Station (Thomastown)","-37.6948701213735","145.011883817693"
"20009","Ruthven Railway Station (Reservoir)","-37.7078975350681","145.0095166168"
"20010","Reservoir Railway Station (Reservoir)","-37.7168849163538","145.006995821329"
"20011","Regent Railway Station (Reservoir)","-37.7284027712987","145.002772560524"
"20012","Preston Railway Station (Preston)","-37.7386742406058","145.000521982623"
"20013","Bell Railway Station (Preston)","-37.7455621218147","145.000155033589"
"20014","Thornbury Railway Station (Thornbury)","-37.7550517929341","144.998571518715"
"20015","Croxton Railway Station (Northcote)","-37.7641010022257","144.997056186716"
"20016","Northcote Railway Station (Northcote)","-37.7698653716459","144.995277209925"
"20017","Merri Railway Station (Northcote)","-37.7778466758784","144.992972480499"
"20019","Rushall Railway Station (Fitzroy North)","-37.7832171114755","144.992407080112"
"20021","Sunshine Railway Station (Sunshine)","-37.7885363319327","144.832878204954"
"20022","Tottenham Railway Station (West Footscray)","-37.7992508990898","144.862944937737"
"20023","West Footscray Railway Station (West Footscray)","-37.8018026560861","144.883984791224"
"20024","Middle Footscray Railway Station (Footscray)","-37.8025046951313","144.891472083864"
"20025","Footscray Railway Station (Footscray)","-37.8010829790948","144.90319921519"
"20026","South Kensington Railway Station (Kensington)","-37.7995308742656","144.925469007521"
"20027","Flemington Racecourse Railway Station (Flemington)","-37.787201923272","144.907588697812"
