Asset Type,Name,Xorg,Xsource,Address Point,Artist,Alternate Name,Art Date,Mel way Ref,Respective Author,Structure,Co-ordinates,Easting,Northing
Monument,Burke and Wills Monument,City of Melbourne,MCC - Ortho Image March 2005 - Final,"84 Swanston Street, MELBOURNE",Charles Summers,,1865,2F_F4,City Of Melbourne,Bronze statue with granite pedestal,"-37.8156337321238, 144.966703993713",321026.629,5812692.936
Art,Peter Pan,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Melbourne Zoological Gardens, Elliott Avenue, PARKVILLE",Paul Montford,,1925,29_E12,City Of Melbourne,Bronze statue,"-37.784773009033, 144.95236482558",319689.3,5816089.856
Fountain,Exhibition Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"9 Nicholson Street, CARLTON",Josef Hochgurtel,Hochgurtel Fountain,1880,2B_H11,City Of Melbourne,Portland cement fountain,"-37.805456726498, 144.971368298725",321412.707,5813831.165
Fountain,River God Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"304 Albert Street, EAST MELBOURNE",Charles Summers,Old Man Fountain; Neptune,1862,2G_C1,City Of Melbourne,Stone and cement fountain,"-37.8104167138709, 144.980882423414",322262.25,5813298.921
Art,Reynold's Reserve Drinking Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Princes Park, Royal Parade, CARLTON NORTH",unknown,,c. 1935,29_G11,City Of Melbourne,Red-granite and brick drinking fountain,"-37.7836612081103, 144.960004054347",320359.374,5816227.938
Monument,Captain Matthew Flinders Statue,City of Melbourne,MCC - Ortho Image March 2005 - Final,"30 Swanston Street, MELBOURNE",Sculptor Charles Web Gilbert; founder F. Barbedienne,,1923,2F_G5,City Of Melbourne,Bronze statue with granite plinth,"-37.8169633123315, 144.967487606224",321098.821,5812546.899
Monument,James C. Roberts,City of Melbourne,MCC - Ortho Image March 2005 - Final,"4 The Avenue, PARKVILLE",unknown,,unknown,2B_B2,City Of Melbourne,Granite obelisk,"-37.7891381500076, 144.957053809565",320112.833,5815614.511
Art,Art Wall,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"160 Harbour Esplanade, DOCKLANDS",Peter D. Cole,,2000,2E_G4,VicUrban,3D Installation,"-37.8155779391708, 144.946321235909",319232.184,5812659.874
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.8202412036118, 144.959153249799",320373.10348,5812167.16675
Monument,Passage,City of Melbourne,MCC - Ortho Image March 2005 - Final,"92 Therry Street, MELBOURNE",Mark Stoner,,1994,2B_C12,City Of Melbourne,Bluestone sculpture,"-37.8074524440917, 144.958306664206",320267.565,5813584.658
Fountain,Grollo Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"169 Rathdowne Street, CARLTON",unknown,,2001,2B_H9,City Of Melbourne,Bluestone and granite fountain,"-37.8031427973572, 144.969874326021",321275.595,5814085.075
Art,Silence,VicUrban (Docklands),AAM Hatch Photogrammetry - March 2005,"50 Newquay Promenade, DOCKLANDS",Adrian Mauriks,,2003,2E_E4,VicUrban,Sculpture,"-37.8150519675867, 144.941598936717",318815.19,5812709.089
Art,Silence,VicUrban (Docklands),AAM Hatch Photogrammetry - March 2005,"55B Newquay Promenade, DOCKLANDS",Adrian Mauriks,,2003,2E_E4,VicUrban,Sculpture,"-37.8150889597275, 144.941472613193",318804.16,5812704.739
Art,Fault Line,City of Melbourne,MCC - Ortho Image March 2005 - Final,"8 Riverside Quay, SOUTHBANK",Hossein Valamesh,,1996,1A_J12,City Of Melbourne,"Sandstone, wood and bronze sculpture","-37.8211525582271, 144.964238031747",320822.896,5812075.805
Art,The Genie,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Sculptor Tom Bass; founder F.J. & I. Lemon,,1973,2F_J7,City Of Melbourne,Bronze sculpture,"-37.8214877401729, 144.971194700662",321436.058,5812051.936
Art,Birrarung Wilam,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE","Vicki Couzens, Lee Darroch and Treahna Hamm",,2006,2F_ H6,City of Melbourne,"Stone, wood, stainless steel, bronze, nickel and audio installation","-37.8185907034456, 144.971834942502",321485.43376,5812374.63251
Art,Birrarung Wilam,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE","Vicki Couzens, Lee Darroch and Treahna Hamm",,2006,2F_ H6,City of Melbourne,"Stone, wood, stainless steel, bronze, nickel and audio installation","-37.8185954753426, 144.971808963839",321483.15843,5812374.05334
Art,Threaded Field,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"750 Bourke Street, DOCKLANDS",Simon Perry,,1999,2E_G4,VicUrban,Sculpture,"-37.8179724438437, 144.947887016093",319375.859,5812397.194
Art,Constellation,City of Melbourne,MCC - Ortho Image March 2005 - Final,"399 Flinders Street, MELBOURNE",Bruce Armstrong and Geoffrey Bartlett,,1996,2F_D7,City Of Melbourne,"Stainless steel, copper and Cyrpus-pine sculpture","-37.8201898206677, 144.960789659507",320517.024,5812176.015
Art,Speakers Corner,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE",Evangelos Sakaris,,c. 2000,2F_ K7,,Earthwork and pink-granite memorial,"-37.8200825876335, 144.975716740604",321830.7245,5812216.49672
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.8201325090472, 144.959336879083",320389.00396,5812179.58136
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.8200555636082, 144.959698879153",320420.68261,5812188.81587
Art,Painted Poles,City of Melbourne,MCC - Ortho Image March 2005 - Final,"50 Swanston Street, MELBOURNE",Maree Clarke and Sonja Hodge,,1992,2F_F5,City Of Melbourne,Metal poles,"-37.8162685331984, 144.967006461765",321054.789,5812623.074
Art,Personal Islands,City of Melbourne,MCC - Ortho Image March 2005 - Final,"201 Swanston Street, MELBOURNE",Robert Jacks,,1992,2F_F3,City Of Melbourne,Brass and bluestone,"-37.8129540664935, 144.965264917067",320893.469,5812987.53
Art,Temple of the Winds,City of Melbourne,MCC - Ortho Image March 2005 - Final,"116 Clarendon Street, EAST MELBOURNE",Thomas Jones & Co,,1873,2G_C3,City Of Melbourne,Masonry and bluestone rotunda,"-37.8128096374869, 144.981735857931",322343.12,5813035.012
Art,Birrarung Wilam,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE","Vicki Couzens, Lee Darroch and Treahna Hamm",,2006,2F_ H6,City of Melbourne,"Stone, wood, stainless steel, bronze, nickel and audio installation","-37.8185914278651, 144.971866175309",321488.18484,5812374.61183
Monument,Lady Janet Clarke Memorial,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Herbert Black,,1913,2F_J8,City Of Melbourne,Concrete and stamped copper rotunda,"-37.8223354912272, 144.971835332477",321494.492,5811959.089
Art,Ned and Dan,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"20 Doepel Way, DOCKLANDS",Alexander Knox,,2006,2E_E4,VicUrban,Three-dimensional frieze,"-37.8149351757693, 144.940308036389",318701.264,5812719.544
Fountain,French Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"9 Nicholson Street, CARLTON",unknown,,c. 1880,2B_J10,City Of Melbourne,Bronze fountain with granite plinth,"-37.8049009757854, 144.972849834667",321541.808,5813895.665
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.8201019944052, 144.959452353426",320399.09465,5812183.18954
Art,Hotham Hill Seat,City of Melbourne,MCC - Ortho Image March 2005 - Final,76 Canning Street,"Bernice McPherson, Di Christensen and Craig Perry",,,2A_E5,City Of Melbourne,Steel seat,"-37.7949351874639, 144.940340735749",318655.218,5814938.934
Art,IOU,Beveridge Williams Surveyors,Field Survey,"7 Waterview Walk, DOCKLANDS",Mikala Dwyer,,2005,2E_H7,VicUrban,Stainless steel and toughened glass,"-37.8201338075104, 144.947948917363",319386.577,5812157.474
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.8201043033663, 144.959426584028",320396.83189,5812182.88377
Monument,Nurse Edith Cavell,City of Melbourne,MCC - Ortho Image March 2005 - Final,"294 St Kilda Road, SOUTHBANK",Margaret Baskerville,,1926,2F_K11,City Of Melbourne,Marble bust with cast-bronze panels on granite pedestal,"-37.8279878719975, 144.973699196119",321672.163,5811335.427
Fountain,Walker Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"210 St Kilda Road, SOUTHBANK","Mobelt, Digregorio & Associates",,1981,2F_H9,City Of Melbourne,Concrete fountain,"-37.8235489328706, 144.970827540478",321408.709,5811822.511
Art,Webb Bridge,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"50 River Esplanade, DOCKLANDS",Robert Owen and Denton Corker Marshall,,2003,2E_H9,VicUrban,Pedestrian and cyclist bridge,"-37.8239756487966, 144.947233077573",319332.935,5811729.774
Art,The Travellers,City of Melbourne,MCC - Ground Ortho Image March 2008,"Sandridge Bridge, SOUTHBANK",Artist Nadim Karam; manufacturer Arup Engineering,,2005,2F_E7,City Of Melbourne,Stainless-steel tubing and glass panel installation,"-37.8206998343058, 144.962209921997",320643.27793,5812122.14905
Art,Poise,Qasco,MCC - Ground Ortho Image March 2007,"110 Harbour Esplanade, DOCKLANDS",Warren Langley,,2005,2E_G6,VicUrban,Glass,"-37.8180105674976, 144.946830696021",319282.966,5812390.92
Fountain,Macpherson Robertson Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"2 Domain Road, MELBOURNE",Designer Philip Hudson; sculptor Paul Montford,,1934,"2K,_J1",City Of Melbourne,"Granite, bronze and concrete fountain","-37.8323774569183, 144.972934293353",321615.413,5810846.87
Art,Island Wave,City of Melbourne,MCC - Ortho Image March 2005 - Final,"404 Queen Street, MELBOURNE",Lisa Young,,2003,2F_B1,City Of Melbourne,Steel sculpture on concrete footing,"-37.809326383142, 144.958057203226",320250.148,5813376.235
Art,Walk of Stars,Beveridge Williams Surveyors,Field Survey,"435 Docklands Drive, DOCKLANDS",Peter Cortlett and Jamie Cooper,,2006,2E_D4,VicUrban,Bronze statue and plaques,"-37.8152982442351, 144.938823236515",318571.443,5812676.372
Monument,John F. Kennedy Memorial,City of Melbourne,MCC - Ortho Image March 2005 - Final,"3 Treasury Place, EAST MELBOURNE",Raymond B. Ewers,,1965,2G_A3,City Of Melbourne,Bronze bas-relief head set in granite boulder on landscaped site,"-37.8136597830075, 144.976354519479",321871.424,5812930.426
Art,Painted Poles,City of Melbourne,MCC - Ortho Image March 2005 - Final,"316 Swanston Street, MELBOURNE",Jennifer McCarthy,,1992,2F_E1,City Of Melbourne,Metal poles,"-37.8100968762417, 144.964165129049",320789.741,5813302.472
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.8200608408543, 144.959653574985",320416.70749,5812188.14315
Art,Car Nuggets,Qasco,MCC - Ground Ortho Image March 2007,"15 Batmans Hill Drive, DOCKLANDS",Patricia Piccinini,,2006,2E_H8,VicUrban,Sculptural forms,"-37.8217384627114, 144.949169769731",319497.953,5811981.772
Art,Car Nuggets,Qasco,MCC - Ground Ortho Image March 2007,"15 Batmans Hill Drive, DOCKLANDS",Patricia Piccinini,,2006,2E_H8,VicUrban,Sculptural forms,"-37.8217244747982, 144.949168740276",319497.829,5811983.322
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.8201547396011, 144.959252201884",320381.60412,5812176.95166
Monument,Sir John Monash,City of Melbourne,MCC - Ortho Image March 2005 - Final,"270 St Kilda Road, SOUTHBANK",William Leslie Bowles,,1950,2F_J10,City Of Melbourne,Bronze statue on granite plinth,"-37.8267733497848, 144.97275207638",321585.875,5811468.389
Art,Scar - A Stolen Vision,City of Melbourne,MCC - Ground Ortho Image March 2008,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",,2001,2E_C7,City of Melbourne,Wooden pier post and metal sculptures,"-37.8201046430242, 144.959477986287",320401.35741,5812182.94492
Fountain,Coles Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"517 Albert Street, EAST MELBOURNE",Robert Woodward,,1981,2F_J1,City Of Melbourne,Stainless-steel fountain on bluestone paving,"-37.8097706189194, 144.973483976518",321609.36,5813356.512
Monument,Black Swan Memorial Drinking Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Alexandra Gardens, St Kilda Road, MELBOURNE",Raymond B. Ewers,,1974,2F_J6,City Of Melbourne,Bluestone drinking fountain with bronze plaque,"-37.8195705617737, 144.971824407255",321486.867,5812265.881
Art,Federation Bells,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,,2002,2F_ K6,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,"-37.8186973319473, 144.974158800684",321690.25256,5812367.23968
Art,Federation Bells,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,,2002,2F_ K6,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,"-37.8186882333343, 144.974128540287",321687.56694,5812368.19155
Art,Coat of Arms,City of Melbourne,MCC - Ortho Image March 2005 - Final,"104 Swanston Street, MELBOURNE",City of Melbourne,,1992,2F_F4,City Of Melbourne,Brass pavement inlay,"-37.8150481212229, 144.966444170774",321002.342,5812757.421
Art,Federation Bells,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,,2002,2F_ K6,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,"-37.8187157253887, 144.974141691478",321688.79077,5812365.16598
Art,The Wave,VicUrban (Docklands),MCC - Ortho Image March 2005 - Final,"12 Georgiana Street, DOCKLANDS",Vashti Gonda,,2006,2E_H7,VicUrban,Media installation,"-37.821493403054, 144.950437271721",319608.927,5812011.414
Monument,Captain Cook,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Cook's Cottage, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",Marc Clark,,1973,2G_B4,City Of Melbourne,Bronze statue,"-37.8145792919449, 144.979494361804",322150.04,5812834.375
Art,Federation Bells,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,,2002,2F_ K6,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,"-37.8187628091159, 144.974136155999",321688.41682,5812359.93072
Art,The Phoenix,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Yrsa Von Leister,,1973,2F_H8,City Of Melbourne,Bronze and sheet copper statue,"-37.8221532701427, 144.97095067818",321416.183,5811977.618
Art,Statue of Meditation,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Conservatory, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",Robert Delandere,,1933,2G_B3,City Of Melbourne,Marble statue,"-37.813953837555, 144.978577485077",322067.824,5812902.033
Art,Bust of Sir Samuel Gillott,City of Melbourne,MCC - Ortho Image March 2005 - Final,"37 Collins Street, MELBOURNE",Charles Douglas Richardson,,1905,2F_J3,City Of Melbourne,Marble statue,"-37.8137257454688, 144.972615474",321542.425,5812915.969
Art,Federation Bells,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,,2002,2F_ K6,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,"-37.8187404835153, 144.974102781582",321685.42524,5812362.34438
Monument,Councillor William Cook Memorial Drinking Fountain,City of Melbourne,MCC - Ortho Image March 2005 - Final,266 Macpherson Street,Charles Douglas Richardson,,1910,29_J12,City Of Melbourne,"Granite, marble and bluestone drinking fountain","-37.7852874613137, 144.966190055728",320908.093,5816059.351
Monument,King George V,City of Melbourne,MCC - Ortho Image March 2005 - Final,"Kings Domain, Alexandra Avenue, MELBOURNE",Sculptor William Leslie Bowles; founder John Galizia; stonemason G.B. Edwards & Sons,,1952,2F_J9,City Of Melbourne,"Bronze, sandstone and granite sculpture with bluestone base","-37.8242726516388, 144.973213430025",321620.46,5811746.763
Art,Threaded Field,VicUrban (Docklands),AAM Hatch Photogrammetry - March 2005,"685 La Trobe Street, DOCKLANDS",Simon Perry,,1999,2E_G4,VicUrban,Sculpture,"-37.815324414746, 144.9470729338",319297.739,5812689.461
Art,Threaded Field,VicUrban (Docklands),AAM Hatch Photogrammetry - March 2005,"683 La Trobe Street, DOCKLANDS",Simon Perry,,1999,2E_G4,VicUrban,Sculpture,"-37.8152785788316, 144.947248109473",319313.048,5812694.886
Art,Fairies Tree,City of Melbourne,MCC - Ortho Image March 2005 - Final,"88 Clarendon Street, EAST MELBOURNE",Ola Cohn,,1934,2G_C3,City Of Melbourne,Red Gum carving,"-37.8134099807547, 144.98110228888",322288.784,5812967.189
Monument,Pioneer Monument,City of Melbourne,MCC - Ortho Image March 2005 - Final,"395 King Street, WEST MELBOURNE",Samuel Craven,,1871,2F_A2,City Of Melbourne,Sandstone obelisk,"-37.810801327848, 144.953954497374",319892.537,5813204.663
Art,The Court Favourite,City of Melbourne,MCC - Ortho Image March 2005 - Final,"394 William Street, MELBOURNE",Paul Montford,,unknown,2F_A1,City Of Melbourne,Bronze statue with granite pedestal,"-37.81026401562, 144.955039032582",319986.711,5813266.377
Monument,Eight Hour Day Memorial,City of Melbourne,MCC - Ortho Image March 2005 - Final,"399 Russell Street, MELBOURNE",Percival Ball (?),,1900-1903,2B_F12,City Of Melbourne,"Granite, bronze and gold-leaf monument with stone pedestal","-37.8071550195592, 144.965588387005",320907.932,5813631.647
Art,Birrarung Wilam,City of Melbourne,MCC - Ground Ortho Image March 2008,"Birrarung Marr, MELBOURNE","Vicki Couzens, Lee Darroch and Treahna Hamm",,2006,2F_ H6,City of Melbourne,"Stone, wood, stainless steel, bronze, nickel and audio installation","-37.8185922758306, 144.971796362269",321482.04145,5812374.38429
