date,road_name,location,suburb,speed_limit,direction,time,vehicle_class_1,vehicle_class_2,vehicle_class_3,vehicle_class_4,vehicle_class_5,vehicle_class_6,vehicle_class_7,vehicle_class_8,vehicle_class_9,vehicle_class_10,vehicle_class_11,vehicle_class_12,vehicle_class_13,motorcycle,bike,average_speed,85th_percentile_speed,maximum_speed,road_segment
2016-05-11,Queensberry Street,Between Howard Street and Peel Street,North Melbourne,40,W,1900-01-01 02:00:00,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,43.0,47.0,59.0,20943
2015-12-12,King Street,Northbound - Between Flinders Street and Flinders Lane,Melbourne CBD,50,N,1900-01-01 21:00:00,991.0,2.0,9.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,3.0,30.0,37.0,57.0,20188
2016-05-11,Queensberry Street,Between Howard Street and Peel Street,North Melbourne,40,W,1900-01-01 08:00:00,122.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,42.0,53.0,20943
2015-12-12,King Street,Northbound - Between Flinders Street and Flinders Lane,Melbourne CBD,50,N,1900-01-01 23:00:00,1044.0,2.0,9.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,24.0,32.0,50.0,20188
2016-05-11,Queensberry Street,Between Howard Street and Peel Street,North Melbourne,40,W,1900-01-01 09:00:00,193.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,38.0,43.0,63.0,20943
2015-12-13,King Street,Northbound - Between Flinders Street and Flinders Lane,Melbourne CBD,50,N,1900-01-01 00:00:00,940.0,3.0,10.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,28.0,35.0,54.0,20188
2016-05-11,Queensberry Street,Between Howard Street and Peel Street,North Melbourne,40,W,1900-01-01 10:00:00,270.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,35.0,41.0,56.0,20943
2015-12-13,King Street,Northbound - Between Flinders Street and Flinders Lane,Melbourne CBD,50,N,1900-01-01 02:00:00,545.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,25.0,34.0,53.0,20188
2016-05-11,Queensberry Street,Between Howard Street and Peel Street,North Melbourne,40,W,1900-01-01 14:00:00,295.0,2.0,23.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,35.0,42.0,51.0,20943
2015-12-13,King Street,Northbound - Between Flinders Street and Flinders Lane,Melbourne CBD,50,N,1900-01-01 07:00:00,586.0,6.0,20.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,34.0,42.0,58.0,20188
2016-05-11,Queensberry Street,Between Howard Street and Peel Street,North Melbourne,40,W,1900-01-01 20:00:00,149.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,37.0,43.0,54.0,20943
2015-12-13,King Street,Northbound - Between Flinders Street and Flinders Lane,Melbourne CBD,50,N,1900-01-01 09:00:00,967.0,1.0,9.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,33.0,40.0,62.0,20188
2016-05-11,Queensberry Street,Between Howard Street and Peel Street,North Melbourne,40,W,1900-01-01 23:00:00,100.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,44.0,58.0,20943
2015-12-13,King Street,Northbound - Between Flinders Street and Flinders Lane,Melbourne CBD,50,N,1900-01-01 11:00:00,1160.0,7.0,14.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,33.0,40.0,53.0,20188
2016-06-11,Queensberry Street,Between Howard Street and Peel Street,North Melbourne,40,W,1900-01-01 00:00:00,69.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,45.0,57.0,20943
2015-12-13,King Street,Northbound - Between Flinders Street and Flinders Lane,Melbourne CBD,50,N,1900-01-01 14:00:00,1074.0,8.0,8.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,35.0,40.0,53.0,20188
2016-06-11,Queensberry Street,Between Howard Street and Peel Street,North Melbourne,40,W,1900-01-01 02:00:00,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,49.0,55.0,20943
2015-12-13,King Street,Northbound - Between Flinders Street and Flinders Lane,Melbourne CBD,50,N,1900-01-01 15:00:00,1073.0,8.0,10.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,35.0,41.0,54.0,20188
2016-06-11,Queensberry Street,Between Howard Street and Peel Street,North Melbourne,40,W,1900-01-01 10:00:00,180.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,43.0,54.0,20943
2015-12-13,King Street,Northbound - Between Flinders Street and Flinders Lane,Melbourne CBD,50,N,1900-01-01 20:00:00,837.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,32.0,40.0,61.0,20188
2016-06-11,Queensberry Street,Between Howard Street and Peel Street,North Melbourne,40,W,1900-01-01 13:00:00,199.0,2.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,35.0,41.0,54.0,20943
2015-12-13,King Street,Northbound - Between Flinders Street and Flinders Lane,Melbourne CBD,50,N,1900-01-01 21:00:00,840.0,7.0,6.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,34.0,40.0,53.0,20188
2016-06-11,Queensberry Street,Between Howard Street and Peel Street,North Melbourne,40,W,1900-01-01 14:00:00,201.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,36.0,43.0,56.0,20943
2015-12-13,King Street,Northbound - Between Flinders Street and Flinders Lane,Melbourne CBD,50,N,1900-01-01 22:00:00,796.0,4.0,6.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,3.0,33.0,40.0,57.0,20188
2016-06-11,Queensberry Street,Between Howard Street and Peel Street,North Melbourne,40,W,1900-01-01 17:00:00,157.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,39.0,45.0,66.0,20943
