,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,location,longitude,latitude
QV Market-Elizabeth St (West),47.0,32.0,28.0,21.0,34.0,57.0,91.0,156.0,226.0,276.0,336.0,424.0,609.0,638.0,548.0,315.0,278.0,272.0,252.0,154.0,141.0,120.0,70.0,68.0,"(-37.80869542, 144.96049404)",144.96049404,-37.80869542
QV Market-Peel St,3.0,3.0,2.0,2.0,2.0,5.0,13.0,45.0,86.0,99.0,123.0,125.0,156.0,171.0,110.0,75.0,80.0,70.0,72.0,56.0,29.0,10.0,16.0,8.0,"(-37.80606888, 144.95644693)",144.95644693,-37.80606888
QVM-Queen St (East),9.0,6.0,0.0,0.0,5.0,12.0,29.0,67.0,104.0,150.0,148.0,187.0,216.0,302.0,217.0,158.0,109.0,109.0,95.0,100.0,35.0,27.0,21.0,23.0,"(-37.80631581, 144.95866698)",144.95866698,-37.80631581
QVM-Therry St (South),57.0,37.0,36.0,33.0,40.0,31.0,44.0,69.0,64.0,126.0,159.0,141.0,239.0,208.0,180.0,139.0,80.0,104.0,103.0,92.0,121.0,74.0,40.0,72.0,"(-37.80730067, 144.95956055)",144.95956055,-37.80730067
Queen St (West),2.0,1.0,7.0,7.0,0.0,18.0,26.0,63.0,87.0,119.0,112.0,150.0,173.0,165.0,141.0,149.0,110.0,97.0,62.0,39.0,31.0,39.0,12.0,9.0,"(-37.81652527, 144.96121063)",144.96121063,-37.81652527
RMIT Building 14,18.0,6.0,6.0,8.0,6.0,11.0,33.0,60.0,76.0,101.0,128.0,99.0,169.0,161.0,166.0,221.0,184.0,209.0,148.0,82.0,52.0,62.0,33.0,21.0,"(-37.80767455, 144.96309115)",144.96309115,-37.80767455
Royal Pde - Grattan St,5.0,1.0,0.0,0.0,2.0,9.0,40.0,91.0,102.0,101.0,128.0,97.0,106.0,145.0,135.0,124.0,126.0,133.0,87.0,38.0,22.0,28.0,11.0,6.0,"(-37.79949544, 144.95792282)",144.95792282,-37.79949544
Sandridge Bridge,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,7.0,4.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0,3.0,0.0,"(-37.82011242, 144.96291898)",144.96291898,-37.82011242
Southbank,12.0,3.0,14.0,6.0,2.0,18.0,107.0,263.0,296.0,241.0,283.0,521.0,482.0,570.0,538.0,479.0,486.0,491.0,290.0,172.0,108.0,69.0,42.0,16.0,"(-37.82017828, 144.96508877)",144.96508877,-37.82017828
Southern Cross Station,6.0,4.0,0.0,1.0,4.0,33.0,116.0,111.0,174.0,76.0,88.0,71.0,87.0,114.0,93.0,131.0,142.0,162.0,67.0,56.0,42.0,22.0,39.0,8.0,"(-37.81982992, 144.95102556)",144.95102556,-37.81982992
Spencer St-Collins St (North),20.0,14.0,16.0,20.0,2.0,92.0,219.0,286.0,370.0,295.0,271.0,251.0,372.0,415.0,433.0,439.0,447.0,470.0,276.0,184.0,163.0,153.0,134.0,68.0,"(-37.81887962, 144.95449198)",144.95449198,-37.81887962
Spencer St-Collins St (South),23.0,5.0,9.0,6.0,0.0,24.0,47.0,88.0,110.0,68.0,71.0,85.0,133.0,148.0,126.0,135.0,133.0,133.0,96.0,66.0,50.0,35.0,35.0,17.0,"(-37.81909256, 144.95452749)",144.95452749,-37.81909256
St Kilda Rd-Alexandra Gardens,2.0,2.0,1.0,0.0,3.0,5.0,19.0,56.0,63.0,56.0,55.0,74.0,122.0,100.0,128.0,112.0,126.0,132.0,57.0,31.0,32.0,16.0,12.0,6.0,"(-37.81965808, 144.96863453)",144.96863453,-37.81965808
State Library,23.0,9.0,8.0,3.0,5.0,9.0,29.0,47.0,82.0,128.0,204.0,242.0,327.0,389.0,433.0,487.0,540.0,516.0,362.0,179.0,156.0,110.0,83.0,25.0,"(-37.81064378, 144.96447132)",144.96447132,-37.81064378
State Library - New,23.0,9.0,8.0,3.0,5.0,9.0,29.0,47.0,82.0,128.0,204.0,242.0,327.0,389.0,433.0,487.0,540.0,516.0,362.0,179.0,156.0,110.0,83.0,25.0,"(-37.81057845, 144.96444294)",144.96444294,-37.81057845
Swanston St - City Square,7.0,3.0,0.0,1.0,5.0,13.0,35.0,73.0,80.0,83.0,82.0,112.0,71.0,147.0,164.0,183.0,170.0,145.0,104.0,59.0,35.0,38.0,21.0,7.0,"(-37.81569416, 144.96680641)",144.96680641,-37.81569416
The Arts Centre,24.0,8.0,5.0,35.0,50.0,74.0,94.0,138.0,169.0,137.0,172.0,233.0,232.0,236.0,265.0,251.0,245.0,262.0,197.0,152.0,119.0,69.0,26.0,23.0,"(-37.82129924, 144.96879309)",144.96879309,-37.82129924
Tin Alley-Swanston St (West),3.0,4.0,0.0,1.0,0.0,0.0,13.0,11.0,13.0,33.0,15.0,37.0,29.0,47.0,35.0,46.0,45.0,45.0,27.0,8.0,3.0,6.0,3.0,1.0,"(-37.79690473, 144.96440378)",144.96440378,-37.79690473
Town Hall (West),10.0,6.0,9.0,10.0,10.0,40.0,64.0,119.0,195.0,260.0,353.0,406.0,596.0,583.0,599.0,643.0,547.0,500.0,353.0,167.0,143.0,87.0,70.0,51.0,"(-37.81487988, 144.9660878)",144.9660878,-37.81487988
Victoria Point,4.0,5.0,2.0,0.0,4.0,18.0,20.0,37.0,50.0,72.0,47.0,47.0,60.0,50.0,31.0,48.0,31.0,53.0,57.0,30.0,21.0,27.0,15.0,8.0,"(-37.81876473, 144.94710545)",144.94710545,-37.81876473
Waterfront City,4.0,2.0,2.0,0.0,0.0,1.0,17.0,30.0,37.0,32.0,55.0,40.0,57.0,61.0,72.0,73.0,81.0,100.0,79.0,46.0,37.0,31.0,17.0,11.0,"(-37.81564989, 144.93970695)",144.93970695,-37.81564989
Webb Bridge,6.0,6.0,4.0,2.0,2.0,17.0,41.0,124.0,127.0,106.0,106.0,186.0,229.0,199.0,206.0,233.0,243.0,240.0,196.0,103.0,64.0,47.0,45.0,13.0,"(-37.82293543, 144.94717511)",144.94717511,-37.82293543
