,Date,day,monthly_index,Public_Holiday,Rainfall amount (millimetres),Minimum temperature (Degree C),Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m),Total_Pedestrian_Count_per_day
157,2015-06-07,7,6,Not a public holiday,0.0,11.2,14.5,6.9,540196
158,2015-06-08,1,6,Not a public holiday,0.0,11.1,18.5,8.2,463457
159,2015-06-09,2,6,Not a public holiday,,10.3,13.5,8.6,541621
160,2015-06-10,3,6,Not a public holiday,0.0,7.5,13.4,7.1,565075
161,2015-06-11,4,6,Not a public holiday,0.0,5.7,14.0,8.3,596107
162,2015-06-12,5,6,Not a public holiday,0.2,5.2,13.1,6.9,661425
163,2015-06-13,6,6,Public Holiday,0.0,6.0,18.2,8.0,517094
164,2015-06-14,7,6,Not a public holiday,0.0,5.8,17.4,8.0,423527
165,2015-06-15,1,6,Not a public holiday,0.0,7.1,16.9,6.6,551739
166,2015-06-16,2,6,Not a public holiday,4.8,9.5,16.1,3.3,563991
167,2015-06-17,3,6,Not a public holiday,0.0,11.7,13.8,4.7,635634
168,2015-06-18,4,6,Not a public holiday,1.2,10.7,12.7,4.2,612668
169,2015-06-19,5,6,Not a public holiday,0.0,7.0,12.4,7.9,693785
170,2015-06-20,6,6,Not a public holiday,0.0,4.1,11.6,7.1,553100
171,2015-06-21,7,6,Not a public holiday,0.0,2.2,12.9,8.6,449758
172,2015-06-22,1,6,Not a public holiday,0.2,3.6,14.1,6.2,530660
173,2015-06-23,2,6,Not a public holiday,0.0,9.6,17.6,5.8,571451
174,2015-06-24,3,6,Not a public holiday,0.0,12.2,16.0,7.7,600935
175,2015-06-25,4,6,Not a public holiday,0.0,9.6,14.0,6.3,610346
176,2015-06-26,5,6,Not a public holiday,0.0,10.5,16.9,7.1,684873
177,2015-06-27,6,6,Not a public holiday,0.0,8.0,14.1,5.0,556124
178,2015-06-28,7,6,Not a public holiday,0.0,9.6,14.5,4.1,457401
179,2015-06-29,1,6,Not a public holiday,0.0,6.9,12.3,5.6,581072
