name,emergency,addr:suburb,addr:postcode,longitude,latitude
Reservoir Private Hospital,no,,,144.99733361464644,-37.7174238
Mitcham Private Hospital,,Mitcham,3132,145.1947482180571,-37.81030805
Alfred Hospital,yes,,,144.98272861320072,-37.846119400000006
Epworth Rehabilitation,,Richmond,3121,144.99236430591256,-37.816175900000005
Western Private Hospital,no,Footscray,3011,144.88587310235687,-37.7931983
Melton Health Hub,no,Melton West,3337,144.55822909261468,-37.6872179
St Vincent's Private Hospital Kew,no,Kew,3101,145.0237009382982,-37.8065204
St John Of God Frankston Rehabilitation Hospital,,,,145.15600936067807,-38.15316825
South Eastern Private Hospital,,,,145.1920310177775,-37.9663045
St Vincents on the Park,,East Melbourne,3002,144.9777172532775,-37.811188099999995
Craigieburn Community Hospital,no,Craigieburn,3064,144.9190422389425,-37.595607900000005
Bundoora Extended Care Centre,no,,,145.055501997801,-37.70165795
BlueCross Broughtonlea,,,,145.10469044976895,-37.8280678
Como Private Hospital,no,,,145.0725035564311,-37.99084715
Eastern Health,,Box Hill,3128,145.11846585,-37.81455835
Epworth Hawthorn,,,,145.02259248235492,-37.821853149999995
Cabrini Rehabilitation - Glen Huntly,,Elsternwick,3185,145.00921208433667,-37.8861129
Cabrini Rehabilitation - Hopetoun Road,,Elsternwick,3185,145.01040150432993,-37.8847658
John Fawkner Private Hospital,,Coburg,3058,144.959263378115,-37.754163500000004
Sir John Monash Private Hospital,no,Clayton,3168,145.1214717563663,-37.9186257
The Queen Elizabeth Centre,,,,145.17812152858843,-37.97185585
La Trobe Private Hospital,,,,145.04449685694874,-37.715890200000004
Holmesglen Private Hospital,yes,Moorabbin,3189,145.0508903568937,-37.935879549999996
St Vincent's Private Hospital Werribee,,Werribee,3030,144.70213575888977,-37.88793735
Wyndham Private Medical Centre,,Werribee,3030,144.70140016735792,-37.88667985
Williamstown Hospital,yes,,,144.89215101755576,-37.86338215
Monash Children's Hospital,,,,145.12353028961599,-37.919495350000005
St John of God Berwick Hospital,,Berwick,,145.3447648520156,-38.045416700000004
Beleura Private Hospital,,,,145.04932120470488,-38.22458175
Linacre Private Hospital,no,Hampton,3188,145.00334374238523,-37.9426807
Epworth Eastern,,,,145.11837165,-37.8150468
Victorian Heart Hospital,,Clayton,,145.1398825457477,-37.912676950000005
Adeney Private Hospital,,Kew,3101,145.0481389630785,-37.8085716
Footscray Hospital,yes,Footscray,3011,144.8979361271368,-37.79515745
Mooroolbark Residential Aged Care Facility,no,Mooroolbark,3138,145.31866052190458,-37.7925441
Mooroolbark Residential Aged Care Facility,no,Mooroolbark,3138,145.31866052190458,-37.7925441
Vermont Private Hospital,no,Vermont South,3133,145.19963789435917,-37.858193150000005
Frankston Private Hospital,,,,145.13299795394522,-38.15473595
Epping Private Hospital,,,,145.00952787271848,-37.649307949999994
Donvale Rehabilitation Hospital,no,,,145.17153243183543,-37.7897195
Epworth Camberwell,no,,,145.05448557676903,-37.84623085
Sunshine Private Hospital,,,,144.81521750274266,-37.76181915
The Bays Hospital,,,,145.04181235577283,-38.22337915
Waverley Private Hospital,,,,145.1454326473155,-37.8845003
Cabrini Prahran,,,,145.0088540057439,-37.854250750000006
Northern Private Hospital,,,,145.01287040768943,-37.6539128
North West Day Hospital,,,,144.90937065142782,-37.7712977
The Royal Victorian Eye & Ear Hospital,,,,144.97630244167783,-37.8090208
Epworth Freemasons,,,,144.98226613778894,-37.80939175
Epworth Freemasons Albert Street,,,,144.984226190127,-37.8108852
Eye and Ear on the Park,,,,144.97738767678646,-37.81158895
St John of God Langmore Centre,,,,145.3447267092278,-38.034418849999994
Box Hill Hospital,,,,145.11622698048075,-37.8137576
Ambulance Victoria,,,,145.11608469731226,-37.81280785
Frances Perry House,,,,144.9553024,-37.79887625
Monash House Private Hospital,,,,145.12021070172347,-37.9209034
North Melbourne Renal Care Centre,,,,144.93956824636717,-37.788628450000004
Adult Prevention and Recovery Care (APARC),,,,145.1338803,-38.143027950000004
Yarra Ranges Health,,,,145.3512895494449,-37.7565052
The Victoria Clinic,,,,144.99719731728905,-37.8480704
Women's Health Hub,,,,144.70154927684933,-37.88914054999999
St Germain Health and Wellness Precinct,,,,145.36096375725046,-38.09495715
Mernda Community Hospital,,,,145.09824401106553,-37.6054446
