Description,Category,Subcategory,Year,Percentage
neighbourhoodNight,Gender,Male,2021,68.8
neighbourhoodNight,Suburb,City of Melbourne,2021,58.9
neighbourhoodNight,Suburb,Kensington / Flemington 3031,2021,58.1
neighbourhoodNight,Suburb,North Melbourne 3051 / West Melbourne 3003,2021,56.0
neighbourhoodNight,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2021,64.4
transportNight,AgeRange,18-24 years,2021,81.8
transportNight,Gender,Female,2021,80.9
transportNight,Suburb,Carlton 3053,2021,83.3
transportNight,Suburb,Melbourne 3000,2021,84.1
transportNight,Suburb,Parkville 3052,2021,84.2
transportNight,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2021,84.5
transportDay,AgeRange,18-24 years,2021,42.9
transportDay,AgeRange,45-54 years,2021,53.1
transportDay,AgeRange,55-64 years,2021,30.5
transportDay,AgeRange,65+ years,2021,82.0
transportDay,Gender,Female,2021,41.1
transportDay,Suburb,Carlton 3053,2021,55.5
transportDay,Suburb,North Melbourne 3051 / West Melbourne 3003,2021,47.4
transportDay,Suburb,South Wharf / Southbank 3006,2021,54.0
transportDay,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2021,60.2
neighbourhoodDay,AgeRange,35-44 years,2021,89.3
neighbourhoodDay,AgeRange,65+ years,2021,88.1
neighbourhoodDay,Gender,Male,2021,83.6
neighbourhoodDay,Suburb,City of Melbourne,2021,83.6
neighbourhoodDay,Suburb,Docklands 3008,2021,72.4
neighbourhoodDay,Suburb,Melbourne 3000,2021,80.1
neighbourhoodNight,AgeRange,55-64 years,2021,48.9
neighbourhoodNight,Suburb,Carlton 3053,2021,58.6
neighbourhoodNight,Suburb,Melbourne 3000,2021,55.9
neighbourhoodNight,Suburb,Parkville 3052,2021,51.3
transportNight,AgeRange,35-44 years,2021,87.9
transportNight,Gender,Male,2021,86.1
transportNight,Suburb,Docklands 3008,2021,84.7
transportNight,Suburb,East Melbourne 3002,2021,83.1
transportNight,Suburb,Kensington / Flemington 3031,2021,81.0
transportDay,AgeRange,35-44 years,2021,59.1
transportDay,Gender,Male,2021,63.3
transportDay,Suburb,Docklands 3008,2021,52.5
transportDay,Suburb,East Melbourne 3002,2021,60.0
transportDay,Suburb,Melbourne 3000,2021,51.5
neighbourhoodDay,AgeRange,18-24 years,2021,83.7
neighbourhoodDay,AgeRange,25-34 years,2021,86.9
neighbourhoodDay,AgeRange,45-54 years,2021,88.3
neighbourhoodDay,AgeRange,55-64 years,2021,56.2
neighbourhoodDay,Suburb,East Melbourne 3002,2021,91.4
neighbourhoodDay,Suburb,Parkville 3052,2021,83.2
neighbourhoodNight,AgeRange,18-24 years,2021,59.4
neighbourhoodNight,AgeRange,25-34 years,2021,62.2
neighbourhoodNight,AgeRange,65+ years,2021,83.1
neighbourhoodNight,Suburb,Docklands 3008,2021,67.3
neighbourhoodNight,Suburb,East Melbourne 3002,2021,58.1
neighbourhoodNight,Suburb,South Wharf / Southbank 3006,2021,65.5
transportNight,AgeRange,25-34 years,2021,83.7
transportNight,AgeRange,45-54 years,2021,85.5
transportNight,AgeRange,55-64 years,2021,77.1
transportNight,AgeRange,65+ years,2021,98.0
