Date,day,monthly_index,Covid Restrictions,Public_Holiday,Rainfall amount (millimetres),Minimum temperature (Degree C),Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m),Total_Pedestrian_Count_per_day
15-05-2015,5,5,No restriction,Not a public holiday,2,11.5,14.5,6.2,665396
16-05-2015,6,5,No restriction,Not a public holiday,0,11.3,16.2,10.4,556646
17-05-2015,7,5,No restriction,Not a public holiday,0,7.4,20.5,10.3,468310
18-05-2015,1,5,No restriction,Not a public holiday,0,7.2,20.4,10.2,566187
19-05-2015,2,5,No restriction,Not a public holiday,0,9.9,16.2,3.2,535738
20-05-2015,3,5,No restriction,Not a public holiday,3.4,13.6,18.1,6,564353
21-05-2015,4,5,No restriction,Not a public holiday,7,10.3,13.6,3.5,564108
22-05-2015,5,5,No restriction,Not a public holiday,0.4,9.1,14.1,6.7,671844
23-05-2015,6,5,No restriction,Not a public holiday,0,10.4,13.3,7.7,544407
24-05-2015,7,5,No restriction,Not a public holiday,0,6,15.6,8.6,418867
25-05-2015,1,5,No restriction,Not a public holiday,0,7.4,17.1,8.1,537110
26-05-2015,2,5,No restriction,Not a public holiday,0,5.4,15.6,6.8,554730
27-05-2015,3,5,No restriction,Not a public holiday,0.2,7.9,18.7,7.4,577867
28-05-2015,4,5,No restriction,Not a public holiday,0,13.1,19.7,8.4,598827
29-05-2015,5,5,No restriction,Not a public holiday,0,9.5,15.8,6.6,658994
30-05-2015,6,5,No restriction,Not a public holiday,0,11,17.3,8,528365
31-05-2015,7,5,No restriction,Not a public holiday,0,12.3,16.8,4.9,356804
01-06-2015,1,6,No restriction,Not a public holiday,7.4,5.2,12.2,8.1,524373
02-06-2015,2,6,No restriction,Not a public holiday,4.2,7.1,11.4,4.6,528939
03-06-2015,3,6,No restriction,Not a public holiday,0.8,8.1,13.6,8.2,579905
04-06-2015,4,6,No restriction,Not a public holiday,0,4.4,11.3,5.5,540945
05-06-2015,5,6,No restriction,Not a public holiday,4.2,7,15,7,682471
06-06-2015,6,6,No restriction,Not a public holiday,0.4,9.2,16.6,6.4,637017
07-06-2015,7,6,No restriction,Not a public holiday,0,11.2,14.5,6.9,540196
08-06-2015,1,6,No restriction,Not a public holiday,0,11.1,18.5,8.2,463457
09-06-2015,2,6,No restriction,Not a public holiday,,10.3,13.5,8.6,541621
10-06-2015,3,6,No restriction,Not a public holiday,0,7.5,13.4,7.1,565075
11-06-2015,4,6,No restriction,Not a public holiday,0,5.7,14,8.3,596107
12-06-2015,5,6,No restriction,Not a public holiday,0.2,5.2,13.1,6.9,661425
13-06-2015,6,6,No restriction,Public Holiday,0,6,18.2,8,517094
14-06-2015,7,6,No restriction,Not a public holiday,0,5.8,17.4,8,423527
15-06-2015,1,6,No restriction,Not a public holiday,0,7.1,16.9,6.6,551739
16-06-2015,2,6,No restriction,Not a public holiday,4.8,9.5,16.1,3.3,563991
17-06-2015,3,6,No restriction,Not a public holiday,0,11.7,13.8,4.7,635634
18-06-2015,4,6,No restriction,Not a public holiday,1.2,10.7,12.7,4.2,612668
19-06-2015,5,6,No restriction,Not a public holiday,0,7,12.4,7.9,693785
20-06-2015,6,6,No restriction,Not a public holiday,0,4.1,11.6,7.1,553100
21-06-2015,7,6,No restriction,Not a public holiday,0,2.2,12.9,8.6,449758
22-06-2015,1,6,No restriction,Not a public holiday,0.2,3.6,14.1,6.2,530660
23-06-2015,2,6,No restriction,Not a public holiday,0,9.6,17.6,5.8,571451
24-06-2015,3,6,No restriction,Not a public holiday,0,12.2,16,7.7,600935
25-06-2015,4,6,No restriction,Not a public holiday,0,9.6,14,6.3,610346
26-06-2015,5,6,No restriction,Not a public holiday,0,10.5,16.9,7.1,684873
27-06-2015,6,6,No restriction,Not a public holiday,0,8,14.1,5,556124
28-06-2015,7,6,No restriction,Not a public holiday,0,9.6,14.5,4.1,457401
29-06-2015,1,6,No restriction,Not a public holiday,0,6.9,12.3,5.6,581072
30-06-2015,2,6,No restriction,Not a public holiday,0,5,14.2,7.9,610646
01-07-2015,3,7,No restriction,Not a public holiday,0,7.4,15,6.9,626970
02-07-2015,4,7,No restriction,Not a public holiday,0.8,10.3,11.9,7,603980
03-07-2015,5,7,No restriction,Not a public holiday,4.2,5.9,12,5,715618
04-07-2015,6,7,No restriction,Not a public holiday,1.6,7.3,10.6,2.8,474642
05-07-2015,7,7,No restriction,Not a public holiday,0,8.2,14.9,8.2,478331
06-07-2015,1,7,No restriction,Not a public holiday,2.6,7.5,11.5,4.4,516569
07-07-2015,2,7,No restriction,Not a public holiday,0,7.4,14.2,7,590907
08-07-2015,3,7,No restriction,Not a public holiday,0,4.9,14.8,8.5,629963
09-07-2015,4,7,No restriction,Not a public holiday,0,6.5,13.4,3.5,608373
10-07-2015,5,7,No restriction,Not a public holiday,0,7.6,14.3,5.8,697116
11-07-2015,6,7,No restriction,Not a public holiday,0.6,10.9,13.1,3.7,474872
12-07-2015,7,7,No restriction,Not a public holiday,4.2,3.4,12.3,2.9,280439
13-07-2015,1,7,No restriction,Not a public holiday,29.6,6.1,12.7,4.2,480004
14-07-2015,2,7,No restriction,Not a public holiday,4.4,8.1,9.8,4.8,487003
15-07-2015,3,7,No restriction,Not a public holiday,4.4,5.8,10.5,7.4,553158
16-07-2015,4,7,No restriction,Not a public holiday,0.2,6.6,12.3,8.1,576055
17-07-2015,5,7,No restriction,Not a public holiday,2.6,7.3,12.3,6.5,644910
18-07-2015,6,7,No restriction,Not a public holiday,0.8,6.1,11.5,9.5,620441
19-07-2015,7,7,No restriction,Not a public holiday,0,0.6,12.1,9.7,477802
20-07-2015,1,7,No restriction,Not a public holiday,0,1.8,14.7,9.7,572470
21-07-2015,2,7,No restriction,Not a public holiday,0,4.2,17,8.6,590831
22-07-2015,3,7,No restriction,Not a public holiday,1.8,11.4,16.6,6,588069
23-07-2015,4,7,No restriction,Not a public holiday,2.6,5.1,16.1,9.5,645141
24-07-2015,5,7,No restriction,Not a public holiday,2.6,7.6,15,4.4,780257
25-07-2015,6,7,No restriction,Not a public holiday,2.6,9.4,13.3,7.7,604165
26-07-2015,7,7,No restriction,Not a public holiday,3.6,8.1,11.6,8.5,510636
27-07-2015,1,7,No restriction,Not a public holiday,1,6.2,13.9,9.6,542400
28-07-2015,2,7,No restriction,Not a public holiday,0,7.9,14.4,10.2,577472
29-07-2015,3,7,No restriction,Not a public holiday,0,8.4,14,9,582154
30-07-2015,4,7,No restriction,Not a public holiday,0,8.6,12.3,4.5,548916
