Date	Total_Pedestrian_Count_per_day
2017-10-23	661345
2017-10-24	667831
2017-10-25	672694
2017-10-26	700640
2017-10-27	874039
2017-10-28	672376
2017-10-29	549042
2017-10-30	592647
2017-10-31	654102
2017-11-01	693424
2017-11-02	720055
2017-11-03	801824
2017-11-04	728442
2017-11-05	588898
2017-11-06	793972
2017-11-07	476315
2017-11-08	765526
2017-11-09	770028
2017-11-10	883232
2017-11-11	715955
2017-11-12	608434
2017-11-13	722374
2017-11-14	728995
2017-11-15	753974
2017-11-16	735935
2017-11-17	945058
2017-11-18	656106
2017-11-19	650402
2017-11-20	714372
2017-11-21	745748
2017-11-22	762627
2017-11-23	773689
2017-11-24	912074
2017-11-25	690502
2017-11-26	607425
2017-11-27	743658
2017-11-28	763721
2017-11-29	716277
2017-11-30	729566
2017-12-01	633222
2017-12-02	413507
2017-12-03	481926
2017-12-04	668895
2017-12-05	757394
2017-12-06	826142
2017-12-07	742048
2017-12-08	913806
2017-12-09	759334
2017-12-10	668967
2017-12-11	793143
2017-12-12	822951
2017-12-13	783137
2017-12-14	829057
2017-12-15	943607
2017-12-16	767175
2017-12-17	655180
2017-12-18	764671
2017-12-19	707022
2017-12-20	823697
2017-12-21	886626
2017-12-22	861717
2017-12-23	661876
2017-12-24	637262
2017-12-25	481360
2017-12-26	751337
2017-12-27	642740
2017-12-28	647191
2017-12-29	631413
2017-12-30	627593
2017-12-31	799773
2018-01-01	613780
2018-01-02	651270
2018-01-03	689742
2018-01-04	682054
2018-01-05	701721
2018-01-06	457430
2018-01-07	532960
2018-01-08	657417
2018-01-09	717619
2018-01-10	753870
2018-01-11	678177
2018-01-12	674893
2018-01-13	535466
2018-01-14	634133
2018-01-15	718848
2018-01-16	805776
2018-01-17	797930
2018-01-18	697489
2018-01-19	723380
2018-01-20	748664
2018-01-21	607319
2018-01-22	749950
2018-01-23	798371
2018-01-24	830641
2018-01-25	844248
2018-01-26	670479
2018-01-27	624019
2018-01-28	448126
2018-01-29	534994
2018-01-30	658312
2018-01-31	691922
2018-02-01	737386
2018-02-02	807035
2018-02-03	678830
2018-02-04	566570
2018-02-05	706206
2018-02-06	730637
2018-02-07	709302
2018-02-08	740784
2018-02-09	852929
2018-02-10	711660
2018-02-11	604470
2018-02-12	742737
2018-02-13	776160
2018-02-14	835388
2018-02-15	817489
2018-02-16	922653
2018-02-17	989404
2018-02-18	872102
2018-02-19	759345
2018-02-20	796056
2018-02-21	801724
2018-02-22	819283
2018-02-23	868880
2018-02-24	680753
2018-02-25	628743
2018-02-26	789690
2018-02-27	795378
2018-02-28	793956
2018-03-01	817907
2018-03-02	912454
2018-03-03	702654
2018-03-04	582625
2018-03-05	741940
2018-03-06	800046
2018-03-07	819183
2018-03-08	852492
2018-03-09	959752
2018-03-10	839781
2018-03-11	887982
2018-03-12	743673
2018-03-13	754838
2018-03-14	794840
2018-03-15	795874
2018-03-16	900585
2018-03-17	741713
2018-03-18	664634
2018-03-19	754464
2018-03-20	767316
2018-03-21	821836
2018-03-22	880262
2018-03-23	930496
2018-03-24	667281
2018-03-25	639986
2018-03-26	733254
2018-03-27	757793
2018-03-28	775671
2018-03-29	832049
2018-03-30	638478
2018-03-31	770147
2018-04-01	650146
2018-04-02	583467
2018-04-03	764797
2018-04-04	819474
2018-04-05	824721
2018-04-06	943085
2018-04-07	774723
2018-04-08	636140
2018-04-09	783227
2018-04-10	823252
2018-04-11	843341
2018-04-12	838379
2018-04-13	945614
2018-04-14	597581
2018-04-15	531138
2018-04-16	702178
2018-04-17	783506
2018-04-18	797086
2018-04-19	814806
2018-04-20	917216
2018-04-21	760740
2018-04-22	625226
2018-04-23	727523
2018-04-24	798050
2018-04-25	684714
2018-04-26	749539
2018-04-27	827569
2018-04-28	688453
2018-04-29	560039
2018-04-30	686782
2018-05-01	725455
2018-05-02	736988
2018-05-03	737186
2018-05-04	803752
2018-05-05	701778
2018-05-06	581577
2018-05-07	674019
2018-05-08	714870
2018-05-09	803022
2018-05-10	724133
2018-05-11	618683
2018-05-12	639883
2018-05-13	566785
2018-05-14	662189
2018-05-15	664186
2018-05-16	692178
2018-05-17	698288
2018-05-18	785155
2018-05-19	668033
2018-05-20	482905
2018-05-21	642220
2018-05-22	660529
2018-05-23	686909
2018-05-24	721149
2018-05-25	832419
2018-05-26	666887
2018-05-27	526309
2018-05-28	651129
2018-05-29	677600
2018-05-30	656122
2018-05-31	687877
2018-06-01	785575
2018-06-02	682116
2018-06-03	518514
2018-06-04	638408
2018-06-05	666350
2018-06-06	778577
2018-06-07	697551
2018-06-08	717758
2018-06-09	712181
2018-06-10	674223
2018-06-11	529526
2018-06-12	631543
2018-06-13	647042
2018-06-14	675922
2018-06-15	724422
2018-06-16	643543
2018-06-17	378360
2018-06-18	628283
2018-06-19	682511
2018-06-20	706399
2018-06-21	720637
2018-06-22	782598
2018-06-23	596411
2018-06-24	515456
2018-06-25	642469
2018-06-26	660715
2018-06-27	686707
2018-06-28	687444
2018-06-29	791748
2018-06-30	623360
2018-07-01	586864
2018-07-02	691138
2018-07-03	697061
2018-07-04	740832
2018-07-05	751197
2018-07-06	893364
2018-07-07	622386
2018-07-08	572870
2018-07-09	715776
2018-07-10	737990
2018-07-11	772777
2018-07-12	776000
2018-07-13	897761
2018-07-14	725447
2018-07-15	566742
2018-07-16	685796
2018-07-17	699900
2018-07-18	763353
2018-07-19	725351
2018-07-20	844692
2018-07-21	691067
2018-07-22	574913
2018-07-23	659710
2018-07-24	688894
2018-07-25	782802
2018-07-26	771363
2018-07-27	925677
2018-07-28	780501
2018-07-29	604285
2018-07-30	681830
2018-07-31	710043
2018-08-01	805066
2018-08-02	816154
2018-08-03	868148
2018-08-04	743431
2018-08-05	615406
2018-08-06	691731
2018-08-07	742958
2018-08-08	734419
2018-08-09	747746
2018-08-10	868735
2018-08-11	645381
2018-08-12	605608
2018-08-13	695855
2018-08-14	749846
2018-08-15	758640
2018-08-16	777417
2018-08-17	913125
2018-08-18	625057
2018-08-19	496016
2018-08-20	662631
2018-08-21	687686
2018-08-22	714907
2018-08-23	741266
2018-08-24	874751
2018-08-25	716483
2018-08-26	548711
2018-08-27	689947
2018-08-28	720891
2018-08-29	762701
2018-08-30	688962
2018-08-31	826812
2018-09-01	631159
2018-09-02	534939
2018-09-03	709261
2018-09-04	769778
2018-09-05	792164
2018-09-06	774095
2018-09-07	938298
2018-09-08	703303
2018-09-09	528814
2018-09-10	737695
2018-09-11	803432
2018-09-12	800446
2018-09-13	824492
2018-09-14	941484
2018-09-15	563598
2018-09-16	524743
2018-09-17	751041
2018-09-18	745728
2018-09-19	768576
2018-09-20	822055
2018-09-21	954671
2018-09-22	720962
2018-09-23	567997
2018-09-24	791376
2018-09-25	797216
2018-09-26	873124
2018-09-27	919875
2018-09-28	649481
2018-09-29	656503
2018-09-30	564330
2018-10-01	812088
2018-10-02	819692
2018-10-03	795998
2018-10-04	828515
2018-10-05	934599
2018-10-06	719750
2018-10-07	547674
2018-10-08	709823
2018-10-09	633483
2018-10-10	742177
2018-10-11	797252
2018-10-12	898086
2018-10-13	693407
2018-10-14	593667
2018-10-15	691739
2018-10-16	658056
2018-10-17	723569
2018-10-18	733057
2018-10-19	853431
2018-10-20	581094
2018-10-21	557171
2018-10-22	695561
2018-10-23	684749
2018-10-24	707097
