stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
"12205","Flinders Street Station","-37.81855617","144.96688930","","Parentvic:rail:FSS","8"
"12206","East Camberwell Station","-37.82584107","145.06824844","","Parentvic:rail:ECM","1"
"12207","East Camberwell Station","-37.82578721","145.06826121","","Parentvic:rail:ECM","2"
"12208","East Camberwell Station","-37.82568794","145.06825243","","Parentvic:rail:ECM","3"
"12209","Canterbury Station","-37.82471032","145.08066171","","Parentvic:rail:CBY","3"
"12210","Canterbury Station","-37.82474950","145.08085384","","Parentvic:rail:CBY","1"
"12211","Canterbury Station","-37.82472247","145.08085454","","Parentvic:rail:CBY","2"
"12212","Chatham Station","-37.82426367","145.08866022","","Parentvic:rail:CHM","1"
"12213","Chatham Station","-37.82421918","145.08869545","","Parentvic:rail:CHM","2"
"12214","Chatham Station","-37.82425874","145.08946699","","Parentvic:rail:CHM","3"
"12221","Box Hill Station","-37.81934528","145.12183478","","Parentvic:rail:BOX","2"
"12222","Box Hill Station","-37.81930042","145.12184728","","Parentvic:rail:BOX","3"
"12223","Box Hill Station","-37.81918313","145.12183889","","Parentvic:rail:BOX","4"
"12224","Laburnum Station","-37.82062888","145.14082011","","Parentvic:rail:LAB","2"
"12225","Laburnum Station","-37.82074743","145.14090803","","Parentvic:rail:LAB","1"
"12226","Blackburn Station","-37.82019776","145.15006717","","Parentvic:rail:BBN","1"
"12227","Blackburn Station","-37.82014371","145.15006852","","Parentvic:rail:BBN","2"
"12228","Blackburn Station","-37.82004390","145.15002557","","Parentvic:rail:BBN","3"
"12229","Nunawading Station","-37.82052723","145.17464366","","Parentvic:rail:NWG","2"
"12230","Nunawading Station","-37.82067140","145.17406070","","Parentvic:rail:NWG","1"
"12231","Mitcham Station","-37.81805724","145.19271077","","Parentvic:rail:MCH","2"
"12232","Mitcham Station","-37.81815686","145.19274242","","Parentvic:rail:MCH","1"
"12233","Heatherdale Station","-37.81873341","145.21458608","","Parentvic:rail:HTD","2"
"12234","Heatherdale Station","-37.81883250","145.21458369","","Parentvic:rail:HTD","1"
"12235","Ringwood Station","-37.81568389","145.22928003","","Parentvic:rail:RWD","3"
"12236","Ringwood Station","-37.81594310","145.22913751","","Parentvic:rail:RWD","1"
"12237","Ringwood Station","-37.81592405","145.22906980","","Parentvic:rail:RWD","2"
"12238","Auburn Station","-37.82255502","145.04605538","","Parentvic:rail:AUB","1"
"12239","Auburn Station","-37.82249272","145.04610247","","Parentvic:rail:AUB","2"
