grid_id,mean_thermal,canopy_cover_pct,priority_cell,hotspot_score,hotspot_score_v2,cluster,cluster_improved,cluster_label
160,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
161,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
162,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
163,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
164,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
165,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
166,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
167,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
168,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
169,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
170,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
171,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
172,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
173,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
174,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
175,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
176,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
177,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
178,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
179,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
180,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
181,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
182,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
183,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
184,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
185,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
186,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
187,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
188,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
189,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
190,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
191,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
192,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
193,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
194,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
195,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
196,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
197,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
198,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
199,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
