Transfer_Year,Small_Area,Type,Median_Price,Transaction_Count
2002,Carlton,House/Townhouse,453000,101
2002,Carlton,Residential Apartment,267500,184
2002,Docklands,Residential Apartment,450500,507
2002,East Melbourne,House/Townhouse,1000000,39
2002,Melbourne (CBD),House/Townhouse,,5
2002,Parkville,Residential Apartment,255000,89
2002,South Yarra,House/Townhouse,793500,40
2002,West Melbourne (Residential),Residential Apartment,300000,104
2002,NA,House/Townhouse,,1
2003,Kensington,House/Townhouse,345000,209
2003,Kensington,Residential Apartment,275000,288
2003,Melbourne (CBD),Residential Apartment,286000,1151
2003,Parkville,Residential Apartment,282500,67
2003,South Yarra,House/Townhouse,935000,35
2003,South Yarra,Residential Apartment,27,149
2003,West Melbourne (Residential),Residential Apartment,347500,106
2004,East Melbourne,Residential Apartment,396250,107
2004,Parkville,Residential Apartment,285500,48
2004,Southbank,Residential Apartment,431000,1019
2005,Docklands,Residential Apartment,495000,623
2005,Parkville,House/Townhouse,540500,20
2005,South Yarra,Residential Apartment,276000,117
2005,Southbank,Residential Apartment,460000,1077
2005,West Melbourne (Residential),House/Townhouse,400000,33
2006,Carlton,House/Townhouse,460000,88
2006,East Melbourne,House/Townhouse,1163750,67
2006,North Melbourne,House/Townhouse,472500,140
2006,Parkville,Residential Apartment,290000,54
2007,Kensington,House/Townhouse,470000,159
2007,Melbourne (CBD),House/Townhouse,,3
2007,South Yarra,Residential Apartment,492500,158
2007,Southbank,Residential Apartment,405000,790
2008,Carlton,Residential Apartment,369940,222
2008,East Melbourne,Residential Apartment,382500,203
2008,North Melbourne,House/Townhouse,617500,112
2008,North Melbourne,Residential Apartment,343050,196
2008,Parkville,Residential Apartment,390500,74
2008,South Yarra,House/Townhouse,2155000,26
2008,West Melbourne (Residential),Residential Apartment,427000,93
2009,Melbourne (CBD),House/Townhouse,,2
2009,North Melbourne,House/Townhouse,347900,176
2009,Parkville,House/Townhouse,742500,46
2009,South Yarra,House/Townhouse,1825000,33
2010,Carlton,House/Townhouse,840000,70
2010,East Melbourne,House/Townhouse,1500000,49
2010,Kensington,Residential Apartment,399152,187
2010,North Melbourne,Residential Apartment,38,346
2010,Parkville,House/Townhouse,1062500,34
2010,South Yarra,Residential Apartment,510000,132
2010,Southbank,House/Townhouse,14300000,54
2010,Southbank,Residential Apartment,540000,1148
2011,Melbourne (Remainder),Residential Apartment,745000,73
2011,North Melbourne,House/Townhouse,770000,102
2011,Parkville,House/Townhouse,1010000,32
2011,Parkville,Residential Apartment,533750,52
2011,West Melbourne (Residential),House/Townhouse,898000,24
2011,West Melbourne (Residential),Residential Apartment,490000,139
2012,Docklands,House/Townhouse,1764100,38
2012,Docklands,Residential Apartment,550000,857
2012,Kensington,House/Townhouse,614000,182
2012,Kensington,Residential Apartment,462500,182
2012,Melbourne (CBD),Residential Apartment,443000,1606
2012,Parkville,House/Townhouse,1147500,24
2012,South Yarra,House/Townhouse,1350000,27
2013,Carlton,Residential Apartment,470000,325
2013,Kensington,House/Townhouse,650000,191
2013,Melbourne (CBD),Residential Apartment,455940,2684
2013,West Melbourne (Residential),Residential Apartment,425000,342
2014,Carlton,House/Townhouse,921000,64
2014,Melbourne (CBD),House/Townhouse,,2
2014,North Melbourne,House/Townhouse,822500,94
2014,Parkville,House/Townhouse,1217500,44
2014,South Yarra,Residential Apartment,584250,114
