Category,Start_date,End_date,Latitude,Longitude,Location
Filming - Photo shoot,2014-12-11,2014-12-11,-37.818185650000004,144.9664771839778,"Flinders St Station, Melbourne, Australia"
Filming - Photo shoot,2017-09-12,2017-09-12,-37.8143075,144.9701809,"Alfred Place, Melbourne, Australia"
Filming - Photo shoot,2017-06-06,2017-06-06,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Photo shoot,2017-06-06,2017-06-06,-37.8171696,144.964596,"Flinders Lane, Melbourne, Australia"
Filming - Photo shoot,2017-06-06,2017-06-06,-37.8532803,145.0033029,"Russell Street, Melbourne, Australia"
Filming - Photo shoot,2017-06-06,2017-06-06,-37.8506272,145.0049903,"Spring Street, Melbourne, Australia"
Filming - Photo shoot,2017-06-06,2017-06-06,-37.8117601,144.9712728,"Crossley Street, Melbourne, Australia"
Filming - Photo shoot,2017-08-10,2017-08-11,-37.816049,144.9570548,"Bourke Street, Melbourne, Australia"
Filming - Photo shoot,2017-08-10,2017-08-11,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Photo shoot,2017-08-10,2017-08-11,-37.8081167,144.9688226,"Exhibition Street, Melbourne, Australia"
Filming - Photo shoot,2017-08-10,2017-08-11,-37.8171696,144.964596,"Flinders Lane, Melbourne, Australia"
Filming - Photo shoot,2017-08-10,2017-08-11,-37.8137438,144.9686999,"Little Collins Street, Melbourne, Australia"
Filming - Photo shoot,2017-08-10,2017-08-11,-37.8506272,145.0049903,"Spring Street, Melbourne, Australia"
Filming - Photo shoot,2017-05-15,2017-05-15,-37.8108792,144.9546074728014,"Flagstaff Gardens, Melbourne, Australia"
Filming - Photo shoot,2017-11-26,2017-11-26,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Photo shoot,2017-12-15,2017-12-15,-37.78126845,144.951681481633,"Royal Park, Melbourne, Australia"
Filming - Photo shoot,2014-05-08,2014-05-08,-37.8196329,144.9651295751562,"Evan Walker Bridge, Melbourne, Australia"
Filming - Photo shoot,2014-05-14,2014-05-14,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Photo shoot,2014-05-21,2014-05-23,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - Photo shoot,2014-06-12,2014-06-15,-37.818185650000004,144.9664771839778,"Flinders Street, Melbourne, Australia"
Filming - Photo shoot,2014-09-16,2014-09-16,-37.8164149,144.9654376,"Centre Place, Melbourne, Australia"
Filming - Photo shoot,2015-02-25,2015-02-26,-37.8142946,144.9760055472433,"Treasury Gardens, Melbourne, Australia"
Filming - Photo shoot,2015-04-15,2015-04-15,-37.812684000000004,144.98050537922455,"Fitzroy Gardens, Melbourne, Australia"
Filming - Photo shoot,2015-08-11,2015-08-11,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Photo shoot,2015-09-18,2015-09-18,-37.816049,144.9570548,"Bourke Street, Melbourne, Australia"
Filming - Photo shoot,2015-09-18,2015-09-18,-37.8187549,144.9681111,"Swanston Street, Melbourne, Australia"
Filming - Photo shoot,2016-09-03,2016-09-03,-37.812684000000004,144.98050537922455,"Fitzroy Gardens, Melbourne, Australia"
Filming - Photo shoot,2016-09-30,2016-10-02,-37.821972450000004,144.97172138901482,"Queen Victoria Gardens, Melbourne, Australia"
Filming - Photo shoot,2016-11-28,2016-11-29,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - Photo shoot,2017-02-01,2017-02-05,-37.798004076503936,144.96662295572335,"Inner Suburb Locations, Melbourne, Australia"
Filming - Photo shoot,2017-03-02,2017-03-02,-37.8137438,144.9686999,"Little Collins Street, Melbourne, Australia"
Filming - Photo shoot,2017-03-02,2017-03-02,-37.8532803,145.0033029,"Russell Street, Melbourne, Australia"
Filming - Photo shoot,2017-03-20,2017-03-20,-37.79280741138573,144.93997444199712,"NMCC Soccer, Melbourne, Australia"
Filming - Photo shoot,2016-10-24,2016-10-26,-37.82124215,144.97366341791786,"Alexandra Gardens, Melbourne, Australia"
Filming - Photo shoot,2016-10-24,2016-10-26,-37.825915800000004,144.97438634674612,"Kings Domain, Melbourne, Australia"
Filming - Photo shoot,2017-12-11,2017-12-11,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Photo shoot,2017-11-07,2017-11-07,-37.809521131914906,144.97168456715806,"Meyers Place (Green Laneway), Melbourne, Australia"
Filming - Photo shoot,2017-09-21,2017-09-21,-37.78126845,144.951681481633,"Royal Park, Melbourne, Australia"
Filming - Photo shoot,2017-11-07,2017-11-07,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
