Category,Latitude,Longitude,Location
Filming - Photo shoot,-37.8164149,144.9654376,"Centre Place, Melbourne, Australia"
Filming - Photo shoot,-37.816914,144.9655977,"Degraves Street, Melbourne, Australia"
Filming - Photo shoot,-37.5230028,144.9013145,"Hosier Lane, Melbourne, Australia"
Filming - Photo shoot,-37.819057900000004,144.9743266242395,"Birrarung Marr, Melbourne, Australia"
Filming - Photo shoot,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - Photo shoot,-38.1221566,145.30516897080304,"Parks, Melbourne, Australia"
Filming - Photo shoot,-37.8142454,144.9631732,"EP, Melbourne, Australia"
Filming - Photo shoot,-38.1386738,145.1417536,"Lawn 2, Melbourne, Australia"
Filming - Photo shoot,-37.8142946,144.9760055472433,"Treasury Gardens, Melbourne, Australia"
Filming - Photo shoot,-37.8506272,145.0049903,"Spring Street, Melbourne, Australia"
Filming - Photo shoot,-37.816049,144.9570548,"Bourke Street, Melbourne, Australia"
Filming - Photo shoot,-37.8161402,144.9705031,"Higson Lane, Melbourne, Australia"
Filming - Photo shoot,-37.8164954,144.9702995,"Oliver Lane, Melbourne, Australia"
Filming - Photo shoot,-37.825915800000004,144.97438634674612,"Kings Domain, Melbourne, Australia"
Filming - Student,-37.8758188,145.0939278,"Collins Street, Melbourne, Australia"
Filming - Student,-37.8080701,144.9688059,"La Trobe Street, Melbourne, Australia"
Filming - Student,-37.8109379,144.9681757,"Corrs Lane, Melbourne, Australia"
Filming - Student,-37.8177839,144.9660202,"Campbell Arcade, Melbourne, Australia"
Filming - Student,-37.8108792,144.9546074728014,"Flagstaff Gardens, Melbourne, Australia"
Filming - Student,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - Student,-37.825915800000004,144.97438634674612,"Kings Domain, Melbourne, Australia"
Filming - Student,-37.78126845,144.951681481633,"Royal Park, Melbourne, Australia"
Filming - Student,-37.8249254,144.97160681435184,"Tom's Block, Melbourne, Australia"
Filming - Student,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - Student,-37.825915800000004,144.97438634674612,"Kings Domain, Melbourne, Australia"
Filming - Student,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - Student,-37.8116587,144.9689601,"Croft Alley, Melbourne, Australia"
Filming - Student,-37.8115571,144.9686979,"Paynes Place, Melbourne, Australia"
Filming - Student,-37.80624775,144.97123179005268,"Carlton Gardens, Melbourne, Australia"
Filming - Student,-37.8109379,144.9681757,"Corrs Lane, Melbourne, Australia"
Filming - Student,-37.852686,145.68001159293397,"Bridges, Melbourne, Australia"
Filming - Student,-37.82124215,144.97366341791786,"Alexandra Gardens, Melbourne, Australia"
Filming - Student,-37.8137438,144.9686999,"Little Collins Street, Melbourne, Australia"
Filming - Student,-37.8129136,144.9723712,"Ridgway Place, Melbourne, Australia"
Filming - Student,-37.812684000000004,144.98050537922455,"Fitzroy Gardens, Melbourne, Australia"
Filming - Student,-37.84146095,144.98186833591586,"Fawkner Park, Melbourne, Australia"
Filming - Student,-37.816049,144.9570548,"Bourke Street, Melbourne, Australia"
Filming - Student,-37.8171696,144.964596,"Flinders Lane, Melbourne, Australia"
Filming - Student,-37.810299,144.9728121,"Little Bourke Street, Melbourne, Australia"
