Education_Sector,Entity_Type,SCHOOL_NO,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,LGA_ID,LGA_Name,X,Y
Government,1,4879,Ainslie Parklands Primary School,Primary,O,24 - 36 Hinkley Ave,,Croydon,VIC,3136,P O Box 8153,,BURNT BRIDGE,VIC,3136,03 9870 1566,441,Maroondah (C),145.264244,-37.793786
Government,1,4881,Parkmore Primary School,Primary,O,38-54 Jolimont Road,,Forest Hill,VIC,3131,38-54 Jolimont Road,,FOREST HILL,VIC,3131,03 9878 5556,698,Whitehorse (C),145.177183,-37.843844
Government,1,4885,Lara Primary School,Primary,O,120 Flinders Avenue,,Lara,VIC,3212,P O Box 42,,LARA,VIC,3212,03 5282 1427,275,Greater Geelong (C),144.410543,-38.015915
Government,1,4886,Mullum Primary School,Primary,O,18 Panfield Avenue,,Ringwood,VIC,3134,P O Box 376,,RINGWOOD,VIC,3134,03 9870 2120,441,Maroondah (C),145.239443,-37.797737
Government,1,4887,Cranbourne Park Primary School,Primary,O,1 Tucker Street,,Cranbourne,VIC,3977,P O Box 659,,CRANBOURNE,VIC,3977,03 5996 1142,161,Casey (C),145.277745,-38.104064
Government,1,4892,Viewbank Primary School,Primary,O,2-10 Nevin Parade,,Viewbank,VIC,3084,"2-10 Nevin Parade,",,VIEWBANK,VIC,3084,03 9459 1512,66,Banyule (C),145.08999,-37.73473
Government,1,4893,Greenhills Primary School,Primary,O,Mine Street,,Greensborough,VIC,3088,Mine St,,GREENSBOROUGH,VIC,3088,03 9435 4181,66,Banyule (C),145.118648,-37.692278
Government,1,4894,Upwey South Primary School,Primary,O,91 Morris Road,,Upwey,VIC,3158,P O Box 1158,,UPWEY,VIC,3158,03 9757 0200,745,Yarra Ranges (S),145.3268393,-37.91313917
Government,1,4895,Simpson Primary School,Primary,O,1 Cockayne Street,,Simpson,VIC,3266,PO SIMPSON,,SIMPSON,VIC,3266,03 5594 3298,183,Corangamite (S),143.20788,-38.498615
Government,1,4897,Eltham East Primary School,Primary,O,16 Grove Street,,Eltham,VIC,3095,P O Box 396,,ELTHAM,VIC,3095,03 9439 9793,571,Nillumbik (S),145.154861,-37.711432
Government,1,4902,Belvedere Park Primary School,Primary,O,30 Belvedere Road,,Seaford,VIC,3198,30 Belvedere Road,,SEAFORD,VIC,3198,03 9786 3205,217,Frankston (C),145.146925,-38.109838
Government,1,4903,Essex Heights Primary School,Primary,O,22 - 30 Essex Road,,Mount Waverley,VIC,3149,22 - 30 Essex Road,,MOUNT WAVERLEY,VIC,3149,03 9807 4944,497,Monash (C),145.115635,-37.862991
