School_Name,School_Type,LGA_Name,nearest_stop_name,nearest_stop_distance_m
Bayswater Primary School,Primary,Knox (C),Bayswater Uniting Church/Mountain Hwy,192.0137240280296
Mulgrave Primary School,Primary,Monash (C),Gladeswood Dr/Jacksons Rd,356.62467827448654
Kinglake Primary School,Primary,Murrindindi (S),Kinglake Police Station/Whittlesea-Kinglake Rd,1812.7373815097064
Montrose Primary School,Primary,Yarra Ranges (S),Montrose Rd/Leith Rd,133.7770587739086
Moorooduc Primary School,Primary,Mornington Peninsula (S),Serenity Way/Racecourse Rd,3629.819098135666
The Basin Primary School,Primary,Knox (C),The Basin PS/Mountain Hwy,146.07415026673465
Kensington Primary School,Primary,Melbourne (C),Kensington Station/Macaulay Rd,256.62693557572857
Ivanhoe Primary School,Primary,Banyule (C),Upper Heidelberg Rd/Ivanhoe Pde,115.29991894366394
Portarlington Primary School,Primary,Greater Geelong (C),Portarlington Town Centre/Newcombe St,169.04539286633428
Menzies Creek Primary School,Primary,Yarra Ranges (S),Grantulla Rd/Belgrave-Gembrook Rd,671.3675294446747
St Kilda Park Primary School,Primary,Port Phillip (C),St Kilda Station/Fitzroy St,112.10321231993262
Diggers Rest Primary School,Primary,Melton (C),Plumpton Rd/Houdini Dr,306.626327847959
Beaconsfield Upper Primary School,Primary,Cardinia (S),Edebohls Rd/Wellington Rd,5474.300386090326
Malvern Primary School,Primary,Stonnington (C),Findon St/Tooronga Rd,32.47310217201684
Carlton Gardens Primary School,Primary,Melbourne (C),Melbourne Museum/Rathdowne St,28.254612467700127
Ascot Vale Primary School,Primary,Moonee Valley (C),30-Maribyrnong Rd/Mt Alexander Rd,163.10059080601474
Rosebud Primary School,Primary,Mornington Peninsula (S),Jetty Rd/Point Nepean Rd,193.81915395575996
Koo Wee Rup Primary School,Primary,Cardinia (S),Koo Wee Rup Bus Interchange/Rossiter Rd,614.9210324564168
Armadale Primary School,Primary,Stonnington (C),Densham Rd/Rose St,117.34741383985317
Osborne Primary School,Primary,Mornington Peninsula (S),Osborne PS/Craigie Rd,23.92031406137265
Somerville Primary School,Primary,Mornington Peninsula (S),Somerville Station/Frankston-Flinders Rd,229.51115959480205
Fairfield Primary School,Primary,Darebin (C),Duncan St/Station St,204.72857238967802
Officer Primary School,Primary,Cardinia (S),Tivendale Rd/Princes Hwy,196.96355573568957
Brunswick South Primary School,Primary,Moreland (C),Lygon St/Brunswick Rd,132.32568099277063
Surrey Hills Primary School,Primary,Whitehorse (C),Union Railway Station ,268.5580275120904
Montague Continuing Education Centre,Special,Port Phillip (C),Montague St/Light Rail #126,96.96330382769388
Middle Park Primary School,Primary,Port Phillip (C),Middle Park PS/Richardson St,39.578067383146355
Seville Primary School,Primary,Yarra Ranges (S),Seville PS/Warburton Hwy,76.37070914454944
Yarraville West Primary School,Primary,Maribyrnong (C),Hamilton St/Somerville Rd,201.93994147436595
Moreland Primary School,Primary,Moreland (C),De Carle St/Moreland Rd #131,69.30736708352262
Elsternwick Primary School,Primary,Bayside (C),Head St/New St,152.28323376295435
Carnegie Primary School,Primary,Glen Eira (C),Truganini Rd/Glenhuntly Rd #66,38.8547778615906
Croydon Primary School,Primary,Maroondah (C),Croydon PS/Croydon Rd,30.617751430235923
Moonee Ponds West Primary School,Primary,Moonee Valley (C),Bowen St/Maribyrnong Rd #39,214.51564528307853
Mitcham Primary School,Primary,Whitehorse (C),Doncaster East Rd/Mitcham Rd,56.94058106954409
Blackburn Primary School,Primary,Whitehorse (C),Whitehorse Rd/Surrey Rd,51.544003501901685
Port Melbourne Primary School,Primary,Port Phillip (C),Walter St/Graham St,53.633386859469574
Auburn Primary School,Primary,Boroondara (C),Liddiard Rd/Auburn Rd,426.72655709531017
Mentone Primary School,Primary,Kingston (C),Mentone Station,151.99641362348538
Princes Hill Primary School,Primary,Yarra (C),Pigdon St/Lygon St #118,226.30805348792802
Gruyere Primary School,Primary,Yarra Ranges (S),Seville PS/Warburton Hwy,4642.687642638216
Research Primary School,Primary,Nillumbik (S),Research PS/Main Rd,115.28560966437043
Pearcedale Primary School,Primary,Casey (C),Pearcedale Village SC/Baxter-Tooradin Rd,91.3424888035178
St Albans Primary School,Primary,Brimbank (C),James St/Emily St,351.25197839548764
Toorak Primary School,Primary,Stonnington (C),Springfield Ave/Orrong Rd,276.79013010411234
Baxter Primary School,Primary,Mornington Peninsula (S),Baxter PS/Baxter-Tooradin Rd,88.50265148657088
Beaconsfield Primary School,Primary,Cardinia (S),St Francis Xavier College - Beaconsfield/Beaconsfield Ave ,367.90237039606
Ormond Primary School,Primary,Glen Eira (C),Wheatley Rd/McKinnon Rd,383.1480422908499
Crib Point Primary School,Primary,Mornington Peninsula (S),Park Rd/Stony Point Rd,408.146124960511
Pascoe Vale Primary School,Primary,Moreland (C),Pascoe Vale PS/Gaffney St,64.6064228029696
Ocean Grove Primary School,Primary,Greater Geelong (C),Ocean Grove Park/Draper St,150.93580168188527
Merri Creek Primary School,Primary,Yarra (C),Ida St/Miller St,23.266993714844958
Sunshine Primary School,Primary,Brimbank (C),Corio St/100 Hampshire Rd,104.48922735905727
Tyabb Primary School,Primary,Mornington Peninsula (S),Flinders College/Mornington-Tyabb Rd,221.752974075905
Wales Street Primary School,Primary,Darebin (C),Wales Street PS/Wales St,69.01357685041981
Spensley Street Primary School,Primary,Yarra (C),The Esplanade/Heidelberg Rd,263.98538736878885
Kew East Primary School,Primary,Boroondara (C),High St/Valerie St,300.0061887014544
Brunswick East Primary School,Primary,Moreland (C),Stewart St/Nicholson St,53.80936109631437
