,Sensor Name,Date,Total Pedestrian Count (Day Sum)
131558,Alfred Place,2014-01-26,
131559,Australia on Collins,2014-01-26,12209.0
131560,Birrarung Marr,2014-01-26,10897.0
131561,Bourke St - Spencer St (North),2014-01-26,
131562,Bourke St - Spencer St (South),2014-01-26,
131563,Bourke St Bridge,2014-01-26,
131564,Bourke St-Russell St (West),2014-01-26,15252.0
131565,Bourke Street Mall (North),2014-01-26,24161.0
131566,Bourke Street Mall (South),2014-01-26,23391.0
131567,Chinatown-Lt Bourke St (South),2014-01-26,8979.0
131568,Chinatown-Swanston St (North),2014-01-26,12428.0
131569,City Square,2014-01-26,35389.0
131570,Collins Place (North),2014-01-26,2691.0
131571,Collins Place (South),2014-01-26,5038.0
131572,Collins St (North),2014-01-26,
131573,Elizabeth St-La Trobe St (East),2014-01-26,
131574,Elizabeth St-Lonsdale St (South),2014-01-26,
131575,Errol Street (East),2014-01-26,
131576,Faraday St-Lygon St (West),2014-01-26,
131577,Flagstaff Station,2014-01-26,1472.0
131578,Flinders La - Swanston St (West) Temp,2014-01-26,
131579,Flinders La-Swanston St (West),2014-01-26,
131580,Flinders Ln -Degraves St (Crossing),2014-01-26,
131581,Flinders Ln -Degraves St (North),2014-01-26,
131582,Flinders Ln -Degraves St (South),2014-01-26,
131583,Flinders St-Elizabeth St (East),2014-01-26,33303.0
131584,Flinders St-Spark La,2014-01-26,
131585,Flinders St-Spring St (West),2014-01-26,
131586,Flinders St-Swanston St (West),2014-01-26,
131587,Flinders Street Station Underpass,2014-01-26,19829.0
131588,Flinders la - Swanston St (West) Temp,2014-01-26,
131589,Grattan St-Swanston St (West),2014-01-26,
131590,La Trobe St (North),2014-01-26,
131591,Lincoln-Swanston (West),2014-01-26,
131592,Lincoln-Swanston(West),2014-01-26,
131593,Little Collins St-Swanston St (East),2014-01-26,
131594,Lonsdale St (South),2014-01-26,11825.0
131595,Lonsdale St - Elizabeth St (North),2014-01-26,
131596,Lonsdale St-Spring St (West),2014-01-26,
131597,Lygon St (East),2014-01-26,
131598,Lygon St (West),2014-01-26,13288.0
131599,Melbourne Central,2014-01-26,31459.0
131600,Melbourne Central-Elizabeth St (East),2014-01-26,
131601,Melbourne Convention Exhibition Centre,2014-01-26,15083.0
131602,Monash Rd-Swanston St (West),2014-01-26,
131603,New Quay,2014-01-26,27359.0
131604,Pelham St (S),2014-01-26,
131605,Pelham St (South),2014-01-26,
131606,Princes Bridge,2014-01-26,42042.0
131607,QV Market-Elizabeth St (West),2014-01-26,11657.0
131608,QV Market-Peel St,2014-01-26,2699.0
131609,QVM-Franklin St (North),2014-01-26,
131610,QVM-Queen St (East),2014-01-26,
131611,QVM-Therry St (South),2014-01-26,
131612,Queen St (West),2014-01-26,
131613,Royal Pde-Grattan St,2014-01-26,
131614,Sandridge Bridge,2014-01-26,8844.0
131615,Southbank,2014-01-26,
131616,Southern Cross Station,2014-01-26,3695.0
131617,Spencer St-Collins St (North),2014-01-26,11226.0
131618,Spencer St-Collins St (South),2014-01-26,3239.0
131619,St Kilda Rd-Alexandra Gardens,2014-01-26,35089.0
131620,State Library,2014-01-26,18179.0
131621,State Library-New,2014-01-26,
131622,Swanston St - City Square,2014-01-26,
131623,Swanston St - RMIT Building 14,2014-01-26,
131624,Swanston St - RMIT Building 80,2014-01-26,
131625,The Arts Centre,2014-01-26,33057.0
131626,Tin Alley-Swanston St (West),2014-01-26,
131627,Town Hall (West),2014-01-26,43976.0
131628,Victoria Point,2014-01-26,3460.0
131629,Waterfront City,2014-01-26,37024.0
131630,Webb Bridge,2014-01-26,4406.0
131631,Westwood Place,2014-01-26,
131632,sensor_name,2014-01-27,
131633,231 Bourke St,2014-01-27,
131634,Alfred Place,2014-01-27,
131635,Australia on Collins,2014-01-27,7873.0
131636,Birrarung Marr,2014-01-27,3810.0
131637,Bourke St - Spencer St (North),2014-01-27,
131638,Bourke St - Spencer St (South),2014-01-27,
131639,Bourke St Bridge,2014-01-27,
131640,Bourke St-Russell St (West),2014-01-27,10050.0
131641,Bourke Street Mall (North),2014-01-27,18780.0
131642,Bourke Street Mall (South),2014-01-27,15710.0
131643,Chinatown-Lt Bourke St (South),2014-01-27,5782.0
131644,Chinatown-Swanston St (North),2014-01-27,9388.0
131645,City Square,2014-01-27,12588.0
131646,Collins Place (North),2014-01-27,1420.0
131647,Collins Place (South),2014-01-27,2891.0
131648,Collins St (North),2014-01-27,
131649,Elizabeth St-La Trobe St (East),2014-01-27,
131650,Elizabeth St-Lonsdale St (South),2014-01-27,
131651,Errol Street (East),2014-01-27,
131652,Faraday St-Lygon St (West),2014-01-27,
131653,Flagstaff Station,2014-01-27,1128.0
131654,Flinders La - Swanston St (West) Temp,2014-01-27,
131655,Flinders La-Swanston St (West),2014-01-27,
131656,Flinders Ln -Degraves St (Crossing),2014-01-27,
131657,Flinders Ln -Degraves St (North),2014-01-27,
131658,Flinders Ln -Degraves St (South),2014-01-27,
131659,Flinders St-Elizabeth St (East),2014-01-27,22793.0
131660,Flinders St-Spark La,2014-01-27,
131661,Flinders St-Spring St (West),2014-01-27,
131662,Flinders St-Swanston St (West),2014-01-27,
131663,Flinders Street Station Underpass,2014-01-27,12233.0
131664,Flinders la - Swanston St (West) Temp,2014-01-27,
131665,Grattan St-Swanston St (West),2014-01-27,
131666,La Trobe St (North),2014-01-27,
131667,Lincoln-Swanston (West),2014-01-27,
131668,Lincoln-Swanston(West),2014-01-27,
131669,Little Collins St-Swanston St (East),2014-01-27,
131670,Lonsdale St (South),2014-01-27,8924.0
131671,Lonsdale St - Elizabeth St (North),2014-01-27,
131672,Lonsdale St-Spring St (West),2014-01-27,
131673,Lygon St (East),2014-01-27,
131674,Lygon St (West),2014-01-27,11077.0
131675,Melbourne Central,2014-01-27,22270.0
131676,Melbourne Central-Elizabeth St (East),2014-01-27,
131677,Melbourne Convention Exhibition Centre,2014-01-27,6897.0
131678,Monash Rd-Swanston St (West),2014-01-27,
131679,New Quay,2014-01-27,3956.0
131680,Pelham St (S),2014-01-27,
131681,Pelham St (South),2014-01-27,
131682,Princes Bridge,2014-01-27,16778.0
131683,QV Market-Elizabeth St (West),2014-01-27,5017.0
131684,QV Market-Peel St,2014-01-27,1190.0
131685,QVM-Franklin St (North),2014-01-27,
131686,QVM-Queen St (East),2014-01-27,
131687,QVM-Therry St (South),2014-01-27,
131688,Queen St (West),2014-01-27,
131689,Royal Pde-Grattan St,2014-01-27,
131690,Sandridge Bridge,2014-01-27,4880.0
131691,Southbank,2014-01-27,
131692,Southern Cross Station,2014-01-27,1545.0
131693,Spencer St-Collins St (North),2014-01-27,8144.0
131694,Spencer St-Collins St (South),2014-01-27,1791.0
131695,St Kilda Rd-Alexandra Gardens,2014-01-27,7226.0
131696,State Library,2014-01-27,11981.0
131697,State Library-New,2014-01-27,
131698,Swanston St - City Square,2014-01-27,
131699,Swanston St - RMIT Building 14,2014-01-27,
131700,Swanston St - RMIT Building 80,2014-01-27,
131701,The Arts Centre,2014-01-27,11909.0
131702,Tin Alley-Swanston St (West),2014-01-27,
131703,Town Hall (West),2014-01-27,24477.0
131704,Victoria Point,2014-01-27,985.0
131705,Waterfront City,2014-01-27,2087.0
131706,Webb Bridge,2014-01-27,1943.0
131707,Westwood Place,2014-01-27,
131708,sensor_name,2014-01-28,
131709,231 Bourke St,2014-01-28,
131710,Alfred Place,2014-01-28,
131711,Australia on Collins,2014-01-28,14456.0
131712,Birrarung Marr,2014-01-28,2583.0
131713,Bourke St - Spencer St (North),2014-01-28,
131714,Bourke St - Spencer St (South),2014-01-28,
131715,Bourke St Bridge,2014-01-28,
131716,Bourke St-Russell St (West),2014-01-28,10249.0
131717,Bourke Street Mall (North),2014-01-28,21018.0
131718,Bourke Street Mall (South),2014-01-28,18806.0
131719,Chinatown-Lt Bourke St (South),2014-01-28,4330.0
131720,Chinatown-Swanston St (North),2014-01-28,8053.0
131721,City Square,2014-01-28,15349.0
131722,Collins Place (North),2014-01-28,9440.0
131723,Collins Place (South),2014-01-28,11514.0
131724,Collins St (North),2014-01-28,
131725,Elizabeth St-La Trobe St (East),2014-01-28,
131726,Elizabeth St-Lonsdale St (South),2014-01-28,
131727,Errol Street (East),2014-01-28,
131728,Faraday St-Lygon St (West),2014-01-28,
131729,Flagstaff Station,2014-01-28,23425.0
131730,Flinders La - Swanston St (West) Temp,2014-01-28,
131731,Flinders La-Swanston St (West),2014-01-28,
131732,Flinders Ln -Degraves St (Crossing),2014-01-28,
131733,Flinders Ln -Degraves St (North),2014-01-28,
131734,Flinders Ln -Degraves St (South),2014-01-28,
131735,Flinders St-Elizabeth St (East),2014-01-28,32612.0
131736,Flinders St-Spark La,2014-01-28,
131737,Flinders St-Spring St (West),2014-01-28,
131738,Flinders St-Swanston St (West),2014-01-28,
131739,Flinders Street Station Underpass,2014-01-28,17688.0
131740,Flinders la - Swanston St (West) Temp,2014-01-28,
131741,Grattan St-Swanston St (West),2014-01-28,
131742,La Trobe St (North),2014-01-28,
131743,Lincoln-Swanston (West),2014-01-28,
131744,Lincoln-Swanston(West),2014-01-28,
131745,Little Collins St-Swanston St (East),2014-01-28,
131746,Lonsdale St (South),2014-01-28,7193.0
131747,Lonsdale St - Elizabeth St (North),2014-01-28,
131748,Lonsdale St-Spring St (West),2014-01-28,
131749,Lygon St (East),2014-01-28,
131750,Lygon St (West),2014-01-28,7148.0
131751,Melbourne Central,2014-01-28,22974.0
131752,Melbourne Central-Elizabeth St (East),2014-01-28,
131753,Melbourne Convention Exhibition Centre,2014-01-28,5831.0
131754,Monash Rd-Swanston St (West),2014-01-28,
131755,New Quay,2014-01-28,2657.0
131756,Pelham St (S),2014-01-28,
131757,Pelham St (South),2014-01-28,
131758,Princes Bridge,2014-01-28,16184.0
131759,QV Market-Elizabeth St (West),2014-01-28,9050.0
131760,QV Market-Peel St,2014-01-28,2034.0
131761,QVM-Franklin St (North),2014-01-28,
131762,QVM-Queen St (East),2014-01-28,
131763,QVM-Therry St (South),2014-01-28,
131764,Queen St (West),2014-01-28,
131765,Royal Pde-Grattan St,2014-01-28,
131766,Sandridge Bridge,2014-01-28,6853.0
131767,Southbank,2014-01-28,
131768,Southern Cross Station,2014-01-28,15358.0
131769,Spencer St-Collins St (North),2014-01-28,25851.0
131770,Spencer St-Collins St (South),2014-01-28,5592.0
131771,St Kilda Rd-Alexandra Gardens,2014-01-28,6188.0
131772,State Library,2014-01-28,15850.0
131773,State Library-New,2014-01-28,
131774,Swanston St - City Square,2014-01-28,
131775,Swanston St - RMIT Building 14,2014-01-28,
131776,Swanston St - RMIT Building 80,2014-01-28,
131777,The Arts Centre,2014-01-28,13257.0
131778,Tin Alley-Swanston St (West),2014-01-28,
131779,Town Hall (West),2014-01-28,27924.0
131780,Victoria Point,2014-01-28,2815.0
131781,Waterfront City,2014-01-28,1111.0
131782,Webb Bridge,2014-01-28,3990.0
131783,Westwood Place,2014-01-28,
131784,sensor_name,2014-01-29,
131785,231 Bourke St,2014-01-29,
131786,Alfred Place,2014-01-29,
131787,Australia on Collins,2014-01-29,18331.0
131788,Birrarung Marr,2014-01-29,4270.0
131789,Bourke St - Spencer St (North),2014-01-29,
131790,Bourke St - Spencer St (South),2014-01-29,
131791,Bourke St Bridge,2014-01-29,
131792,Bourke St-Russell St (West),2014-01-29,11755.0
131793,Bourke Street Mall (North),2014-01-29,25772.0
131794,Bourke Street Mall (South),2014-01-29,25083.0
131795,Chinatown-Lt Bourke St (South),2014-01-29,6949.0
131796,Chinatown-Swanston St (North),2014-01-29,10189.0
131797,City Square,2014-01-29,22355.0
131798,Collins Place (North),2014-01-29,10501.0
131799,Collins Place (South),2014-01-29,12947.0
131800,Collins St (North),2014-01-29,
131801,Elizabeth St-La Trobe St (East),2014-01-29,
131802,Elizabeth St-Lonsdale St (South),2014-01-29,
131803,Errol Street (East),2014-01-29,
131804,Faraday St-Lygon St (West),2014-01-29,
131805,Flagstaff Station,2014-01-29,25032.0
131806,Flinders La - Swanston St (West) Temp,2014-01-29,
131807,Flinders La-Swanston St (West),2014-01-29,
131808,Flinders Ln -Degraves St (Crossing),2014-01-29,
131809,Flinders Ln -Degraves St (North),2014-01-29,
131810,Flinders Ln -Degraves St (South),2014-01-29,
131811,Flinders St-Elizabeth St (East),2014-01-29,36781.0
131812,Flinders St-Spark La,2014-01-29,
131813,Flinders St-Spring St (West),2014-01-29,
131814,Flinders St-Swanston St (West),2014-01-29,
131815,Flinders Street Station Underpass,2014-01-29,21649.0
131816,Flinders la - Swanston St (West) Temp,2014-01-29,
131817,Grattan St-Swanston St (West),2014-01-29,
131818,La Trobe St (North),2014-01-29,
131819,Lincoln-Swanston (West),2014-01-29,
131820,Lincoln-Swanston(West),2014-01-29,
131821,Little Collins St-Swanston St (East),2014-01-29,
131822,Lonsdale St (South),2014-01-29,9229.0
131823,Lonsdale St - Elizabeth St (North),2014-01-29,
131824,Lonsdale St-Spring St (West),2014-01-29,
131825,Lygon St (East),2014-01-29,
131826,Lygon St (West),2014-01-29,6931.0
131827,Melbourne Central,2014-01-29,26279.0
131828,Melbourne Central-Elizabeth St (East),2014-01-29,
131829,Melbourne Convention Exhibition Centre,2014-01-29,8800.0
131830,Monash Rd-Swanston St (West),2014-01-29,
131831,New Quay,2014-01-29,4010.0
131832,Pelham St (S),2014-01-29,
131833,Pelham St (South),2014-01-29,
131834,Princes Bridge,2014-01-29,20892.0
131835,QV Market-Elizabeth St (West),2014-01-29,13671.0
131836,QV Market-Peel St,2014-01-29,3865.0
131837,QVM-Franklin St (North),2014-01-29,
131838,QVM-Queen St (East),2014-01-29,
131839,QVM-Therry St (South),2014-01-29,
131840,Queen St (West),2014-01-29,
131841,Royal Pde-Grattan St,2014-01-29,
131842,Sandridge Bridge,2014-01-29,9089.0
131843,Southbank,2014-01-29,
131844,Southern Cross Station,2014-01-29,15647.0
131845,Spencer St-Collins St (North),2014-01-29,27018.0
131846,Spencer St-Collins St (South),2014-01-29,6918.0
131847,St Kilda Rd-Alexandra Gardens,2014-01-29,10227.0
131848,State Library,2014-01-29,19308.0
131849,State Library-New,2014-01-29,
131850,Swanston St - City Square,2014-01-29,
131851,Swanston St - RMIT Building 14,2014-01-29,
131852,Swanston St - RMIT Building 80,2014-01-29,
131853,The Arts Centre,2014-01-29,16893.0
131854,Tin Alley-Swanston St (West),2014-01-29,
131855,Town Hall (West),2014-01-29,34534.0
131856,Victoria Point,2014-01-29,2691.0
131857,Waterfront City,2014-01-29,2360.0
131858,Webb Bridge,2014-01-29,5430.0
131859,Westwood Place,2014-01-29,
131860,sensor_name,2014-01-30,
131861,231 Bourke St,2014-01-30,
131862,Alfred Place,2014-01-30,
131863,Australia on Collins,2014-01-30,17960.0
131864,Birrarung Marr,2014-01-30,3768.0
131865,Bourke St - Spencer St (North),2014-01-30,
131866,Bourke St - Spencer St (South),2014-01-30,
131867,Bourke St Bridge,2014-01-30,
131868,Bourke St-Russell St (West),2014-01-30,13017.0
131869,Bourke Street Mall (North),2014-01-30,26164.0
131870,Bourke Street Mall (South),2014-01-30,23956.0
131871,Chinatown-Lt Bourke St (South),2014-01-30,8888.0
131872,Chinatown-Swanston St (North),2014-01-30,12228.0
131873,City Square,2014-01-30,21284.0
131874,Collins Place (North),2014-01-30,10595.0
131875,Collins Place (South),2014-01-30,13122.0
131876,Collins St (North),2014-01-30,
131877,Elizabeth St-La Trobe St (East),2014-01-30,
131878,Elizabeth St-Lonsdale St (South),2014-01-30,
131879,Errol Street (East),2014-01-30,
131880,Faraday St-Lygon St (West),2014-01-30,
131881,Flagstaff Station,2014-01-30,25033.0
131882,Flinders La - Swanston St (West) Temp,2014-01-30,
131883,Flinders La-Swanston St (West),2014-01-30,
131884,Flinders Ln -Degraves St (Crossing),2014-01-30,
131885,Flinders Ln -Degraves St (North),2014-01-30,
131886,Flinders Ln -Degraves St (South),2014-01-30,
131887,Flinders St-Elizabeth St (East),2014-01-30,34976.0
131888,Flinders St-Spark La,2014-01-30,
131889,Flinders St-Spring St (West),2014-01-30,
131890,Flinders St-Swanston St (West),2014-01-30,
131891,Flinders Street Station Underpass,2014-01-30,21553.0
131892,Flinders la - Swanston St (West) Temp,2014-01-30,
131893,Grattan St-Swanston St (West),2014-01-30,
131894,La Trobe St (North),2014-01-30,
131895,Lincoln-Swanston (West),2014-01-30,
131896,Lincoln-Swanston(West),2014-01-30,
131897,Little Collins St-Swanston St (East),2014-01-30,
131898,Lonsdale St (South),2014-01-30,9631.0
131899,Lonsdale St - Elizabeth St (North),2014-01-30,
131900,Lonsdale St-Spring St (West),2014-01-30,
131901,Lygon St (East),2014-01-30,
131902,Lygon St (West),2014-01-30,7528.0
131903,Melbourne Central,2014-01-30,27179.0
131904,Melbourne Central-Elizabeth St (East),2014-01-30,
131905,Melbourne Convention Exhibition Centre,2014-01-30,8753.0
131906,Monash Rd-Swanston St (West),2014-01-30,
131907,New Quay,2014-01-30,4027.0
131908,Pelham St (S),2014-01-30,
131909,Pelham St (South),2014-01-30,
131910,Princes Bridge,2014-01-30,21823.0
131911,QV Market-Elizabeth St (West),2014-01-30,11116.0
131912,QV Market-Peel St,2014-01-30,2759.0
131913,QVM-Franklin St (North),2014-01-30,
131914,QVM-Queen St (East),2014-01-30,
131915,QVM-Therry St (South),2014-01-30,
131916,Queen St (West),2014-01-30,
131917,Royal Pde-Grattan St,2014-01-30,
131918,Sandridge Bridge,2014-01-30,9086.0
131919,Southbank,2014-01-30,
131920,Southern Cross Station,2014-01-30,16714.0
131921,Spencer St-Collins St (North),2014-01-30,26635.0
131922,Spencer St-Collins St (South),2014-01-30,6836.0
131923,St Kilda Rd-Alexandra Gardens,2014-01-30,9391.0
131924,State Library,2014-01-30,19063.0
131925,State Library-New,2014-01-30,
131926,Swanston St - City Square,2014-01-30,
131927,Swanston St - RMIT Building 14,2014-01-30,
131928,Swanston St - RMIT Building 80,2014-01-30,
131929,The Arts Centre,2014-01-30,17100.0
131930,Tin Alley-Swanston St (West),2014-01-30,
131931,Town Hall (West),2014-01-30,35841.0
131932,Victoria Point,2014-01-30,3070.0
131933,Waterfront City,2014-01-30,2996.0
131934,Webb Bridge,2014-01-30,5074.0
131935,Westwood Place,2014-01-30,
131936,sensor_name,2014-01-31,
131937,231 Bourke St,2014-01-31,
131938,Alfred Place,2014-01-31,
131939,Australia on Collins,2014-01-31,20396.0
131940,Birrarung Marr,2014-01-31,13605.0
131941,Bourke St - Spencer St (North),2014-01-31,
131942,Bourke St - Spencer St (South),2014-01-31,
131943,Bourke St Bridge,2014-01-31,
131944,Bourke St-Russell St (West),2014-01-31,16891.0
131945,Bourke Street Mall (North),2014-01-31,31715.0
131946,Bourke Street Mall (South),2014-01-31,28921.0
131947,Chinatown-Lt Bourke St (South),2014-01-31,11753.0
131948,Chinatown-Swanston St (North),2014-01-31,14520.0
131949,City Square,2014-01-31,27580.0
131950,Collins Place (North),2014-01-31,10126.0
131951,Collins Place (South),2014-01-31,13487.0
131952,Collins St (North),2014-01-31,
131953,Elizabeth St-La Trobe St (East),2014-01-31,
131954,Elizabeth St-Lonsdale St (South),2014-01-31,
131955,Errol Street (East),2014-01-31,
131956,Faraday St-Lygon St (West),2014-01-31,
131957,Flagstaff Station,2014-01-31,23906.0
131958,Flinders La - Swanston St (West) Temp,2014-01-31,
131959,Flinders La-Swanston St (West),2014-01-31,
131960,Flinders Ln -Degraves St (Crossing),2014-01-31,
131961,Flinders Ln -Degraves St (North),2014-01-31,
131962,Flinders Ln -Degraves St (South),2014-01-31,
131963,Flinders St-Elizabeth St (East),2014-01-31,39469.0
131964,Flinders St-Spark La,2014-01-31,
131965,Flinders St-Spring St (West),2014-01-31,
131966,Flinders St-Swanston St (West),2014-01-31,
131967,Flinders Street Station Underpass,2014-01-31,25924.0
131968,Flinders la - Swanston St (West) Temp,2014-01-31,
131969,Grattan St-Swanston St (West),2014-01-31,
131970,La Trobe St (North),2014-01-31,
131971,Lincoln-Swanston (West),2014-01-31,
131972,Lincoln-Swanston(West),2014-01-31,
131973,Little Collins St-Swanston St (East),2014-01-31,
131974,Lonsdale St (South),2014-01-31,12381.0
131975,Lonsdale St - Elizabeth St (North),2014-01-31,
131976,Lonsdale St-Spring St (West),2014-01-31,
131977,Lygon St (East),2014-01-31,
131978,Lygon St (West),2014-01-31,9582.0
131979,Melbourne Central,2014-01-31,31735.0
131980,Melbourne Central-Elizabeth St (East),2014-01-31,
131981,Melbourne Convention Exhibition Centre,2014-01-31,13916.0
131982,Monash Rd-Swanston St (West),2014-01-31,
131983,New Quay,2014-01-31,6675.0
131984,Pelham St (S),2014-01-31,
131985,Pelham St (South),2014-01-31,
131986,Princes Bridge,2014-01-31,27115.0
131987,QV Market-Elizabeth St (West),2014-01-31,12077.0
131988,QV Market-Peel St,2014-01-31,2828.0
131989,QVM-Franklin St (North),2014-01-31,
131990,QVM-Queen St (East),2014-01-31,
131991,QVM-Therry St (South),2014-01-31,
131992,Queen St (West),2014-01-31,
131993,Royal Pde-Grattan St,2014-01-31,
131994,Sandridge Bridge,2014-01-31,12288.0
131995,Southbank,2014-01-31,
131996,Southern Cross Station,2014-01-31,16272.0
131997,Spencer St-Collins St (North),2014-01-31,27230.0
131998,Spencer St-Collins St (South),2014-01-31,7411.0
131999,St Kilda Rd-Alexandra Gardens,2014-01-31,11070.0
132000,State Library,2014-01-31,21424.0
132001,State Library-New,2014-01-31,
132002,Swanston St - City Square,2014-01-31,
132003,Swanston St - RMIT Building 14,2014-01-31,
132004,Swanston St - RMIT Building 80,2014-01-31,
132005,The Arts Centre,2014-01-31,19103.0
132006,Tin Alley-Swanston St (West),2014-01-31,
132007,Town Hall (West),2014-01-31,41993.0
132008,Victoria Point,2014-01-31,3339.0
132009,Waterfront City,2014-01-31,6641.0
132010,Webb Bridge,2014-01-31,5584.0
132011,Westwood Place,2014-01-31,
132012,sensor_name,2014-02-01,
132013,231 Bourke St,2014-02-01,
132014,Alfred Place,2014-02-01,
132015,Australia on Collins,2014-02-01,13736.0
132016,Birrarung Marr,2014-02-01,27879.0
132017,Bourke St - Spencer St (North),2014-02-01,
132018,Bourke St - Spencer St (South),2014-02-01,
132019,Bourke St Bridge,2014-02-01,
132020,Bourke St-Russell St (West),2014-02-01,15389.0
132021,Bourke Street Mall (North),2014-02-01,32323.0
132022,Bourke Street Mall (South),2014-02-01,22955.0
132023,Chinatown-Lt Bourke St (South),2014-02-01,10113.0
132024,Chinatown-Swanston St (North),2014-02-01,13767.0
132025,City Square,2014-02-01,25360.0
132026,Collins Place (North),2014-02-01,2568.0
132027,Collins Place (South),2014-02-01,5293.0
132028,Collins St (North),2014-02-01,
132029,Elizabeth St-La Trobe St (East),2014-02-01,
132030,Elizabeth St-Lonsdale St (South),2014-02-01,
132031,Errol Street (East),2014-02-01,
132032,Faraday St-Lygon St (West),2014-02-01,
132033,Flagstaff Station,2014-02-01,1499.0
132034,Flinders La - Swanston St (West) Temp,2014-02-01,
132035,Flinders La-Swanston St (West),2014-02-01,
132036,Flinders Ln -Degraves St (Crossing),2014-02-01,
132037,Flinders Ln -Degraves St (North),2014-02-01,
132038,Flinders Ln -Degraves St (South),2014-02-01,
132039,Flinders St-Elizabeth St (East),2014-02-01,30120.0
132040,Flinders St-Spark La,2014-02-01,
132041,Flinders St-Spring St (West),2014-02-01,
132042,Flinders St-Swanston St (West),2014-02-01,
132043,Flinders Street Station Underpass,2014-02-01,19721.0
132044,Flinders la - Swanston St (West) Temp,2014-02-01,
132045,Grattan St-Swanston St (West),2014-02-01,
132046,La Trobe St (North),2014-02-01,
132047,Lincoln-Swanston (West),2014-02-01,
132048,Lincoln-Swanston(West),2014-02-01,
132049,Little Collins St-Swanston St (East),2014-02-01,
132050,Lonsdale St (South),2014-02-01,11065.0
132051,Lonsdale St - Elizabeth St (North),2014-02-01,
132052,Lonsdale St-Spring St (West),2014-02-01,
132053,Lygon St (East),2014-02-01,
132054,Lygon St (West),2014-02-01,12809.0
132055,Melbourne Central,2014-02-01,29751.0
132056,Melbourne Central-Elizabeth St (East),2014-02-01,
132057,Melbourne Convention Exhibition Centre,2014-02-01,14614.0
132058,Monash Rd-Swanston St (West),2014-02-01,
132059,New Quay,2014-02-01,9255.0
132060,Pelham St (S),2014-02-01,
132061,Pelham St (South),2014-02-01,
132062,Princes Bridge,2014-02-01,26363.0
132063,QV Market-Elizabeth St (West),2014-02-01,12877.0
132064,QV Market-Peel St,2014-02-01,3341.0
132065,QVM-Franklin St (North),2014-02-01,
132066,QVM-Queen St (East),2014-02-01,
132067,QVM-Therry St (South),2014-02-01,
132068,Queen St (West),2014-02-01,
132069,Royal Pde-Grattan St,2014-02-01,
132070,Sandridge Bridge,2014-02-01,9641.0
132071,Southbank,2014-02-01,
132072,Southern Cross Station,2014-02-01,2086.0
132073,Spencer St-Collins St (North),2014-02-01,11395.0
132074,Spencer St-Collins St (South),2014-02-01,2695.0
132075,St Kilda Rd-Alexandra Gardens,2014-02-01,10616.0
132076,State Library,2014-02-01,17996.0
132077,State Library-New,2014-02-01,
132078,Swanston St - City Square,2014-02-01,
132079,Swanston St - RMIT Building 14,2014-02-01,
132080,Swanston St - RMIT Building 80,2014-02-01,
132081,The Arts Centre,2014-02-01,16597.0
132082,Tin Alley-Swanston St (West),2014-02-01,
132083,Town Hall (West),2014-02-01,34782.0
132084,Victoria Point,2014-02-01,1759.0
132085,Waterfront City,2014-02-01,11057.0
132086,Webb Bridge,2014-02-01,2483.0
132087,Westwood Place,2014-02-01,
132088,sensor_name,2014-02-02,
132089,231 Bourke St,2014-02-02,
132090,Alfred Place,2014-02-02,
132091,Australia on Collins,2014-02-02,9389.0
132092,Birrarung Marr,2014-02-02,16710.0
132093,Bourke St - Spencer St (North),2014-02-02,
132094,Bourke St - Spencer St (South),2014-02-02,
132095,Bourke St Bridge,2014-02-02,
132096,Bourke St-Russell St (West),2014-02-02,23547.0
132097,Bourke Street Mall (North),2014-02-02,28970.0
132098,Bourke Street Mall (South),2014-02-02,17290.0
132099,Chinatown-Lt Bourke St (South),2014-02-02,13361.0
132100,Chinatown-Swanston St (North),2014-02-02,14423.0
132101,City Square,2014-02-02,20560.0
132102,Collins Place (North),2014-02-02,1824.0
132103,Collins Place (South),2014-02-02,3704.0
132104,Collins St (North),2014-02-02,
132105,Elizabeth St-La Trobe St (East),2014-02-02,
132106,Elizabeth St-Lonsdale St (South),2014-02-02,
132107,Errol Street (East),2014-02-02,
132108,Faraday St-Lygon St (West),2014-02-02,
132109,Flagstaff Station,2014-02-02,1085.0
132110,Flinders La - Swanston St (West) Temp,2014-02-02,
132111,Flinders La-Swanston St (West),2014-02-02,
132112,Flinders Ln -Degraves St (Crossing),2014-02-02,
132113,Flinders Ln -Degraves St (North),2014-02-02,
132114,Flinders Ln -Degraves St (South),2014-02-02,
132115,Flinders St-Elizabeth St (East),2014-02-02,24089.0
132116,Flinders St-Spark La,2014-02-02,
132117,Flinders St-Spring St (West),2014-02-02,
132118,Flinders St-Swanston St (West),2014-02-02,
132119,Flinders Street Station Underpass,2014-02-02,14700.0
132120,Flinders la - Swanston St (West) Temp,2014-02-02,
132121,Grattan St-Swanston St (West),2014-02-02,
132122,La Trobe St (North),2014-02-02,
132123,Lincoln-Swanston (West),2014-02-02,
132124,Lincoln-Swanston(West),2014-02-02,
132125,Little Collins St-Swanston St (East),2014-02-02,
132126,Lonsdale St (South),2014-02-02,17608.0
132127,Lonsdale St - Elizabeth St (North),2014-02-02,
132128,Lonsdale St-Spring St (West),2014-02-02,
132129,Lygon St (East),2014-02-02,
132130,Lygon St (West),2014-02-02,10662.0
132131,Melbourne Central,2014-02-02,27717.0
132132,Melbourne Central-Elizabeth St (East),2014-02-02,
132133,Melbourne Convention Exhibition Centre,2014-02-02,8463.0
