,Sensor Name,Date,Total Pedestrian Count (Day Sum)
498,Lygon St (West),2009-05-07,
499,Melbourne Central,2009-05-07,
500,Melbourne Central-Elizabeth St (East),2009-05-07,
501,Melbourne Convention Exhibition Centre,2009-05-07,
502,Monash Rd-Swanston St (West),2009-05-07,
503,New Quay,2009-05-07,2976.0
504,Pelham St (S),2009-05-07,
505,Pelham St (South),2009-05-07,
506,Princes Bridge,2009-05-07,25036.0
507,QV Market-Elizabeth St (West),2009-05-07,
508,QV Market-Peel St,2009-05-07,
509,QVM-Franklin St (North),2009-05-07,
510,QVM-Queen St (East),2009-05-07,
511,QVM-Therry St (South),2009-05-07,
512,Queen St (West),2009-05-07,
513,Royal Pde-Grattan St,2009-05-07,
514,Sandridge Bridge,2009-05-07,7963.0
515,Southbank,2009-05-07,
516,Southern Cross Station,2009-05-07,9185.0
517,Spencer St-Collins St (North),2009-05-07,
518,Spencer St-Collins St (South),2009-05-07,
519,St Kilda Rd-Alexandra Gardens,2009-05-07,
520,State Library,2009-05-07,19256.0
521,State Library-New,2009-05-07,
522,Swanston St - City Square,2009-05-07,
523,Swanston St - RMIT Building 14,2009-05-07,
524,Swanston St - RMIT Building 80,2009-05-07,
525,The Arts Centre,2009-05-07,
526,Tin Alley-Swanston St (West),2009-05-07,
527,Town Hall (West),2009-05-07,37622.0
528,Victoria Point,2009-05-07,6862.0
529,Waterfront City,2009-05-07,1370.0
530,Webb Bridge,2009-05-07,
531,Westwood Place,2009-05-07,
532,sensor_name,2009-05-08,
533,231 Bourke St,2009-05-08,
534,Alfred Place,2009-05-08,
535,Australia on Collins,2009-05-08,22209.0
536,Birrarung Marr,2009-05-08,
537,Bourke St - Spencer St (North),2009-05-08,
538,Bourke St - Spencer St (South),2009-05-08,
539,Bourke St Bridge,2009-05-08,
540,Bourke St-Russell St (West),2009-05-08,
541,Bourke Street Mall (North),2009-05-08,37474.0
542,Bourke Street Mall (South),2009-05-08,28386.0
543,Chinatown-Lt Bourke St (South),2009-05-08,
544,Chinatown-Swanston St (North),2009-05-08,
545,City Square,2009-05-08,
546,Collins Place (North),2009-05-08,11688.0
547,Collins Place (South),2009-05-08,14223.0
548,Collins St (North),2009-05-08,
549,Elizabeth St-La Trobe St (East),2009-05-08,
550,Elizabeth St-Lonsdale St (South),2009-05-08,
551,Errol Street (East),2009-05-08,
552,Faraday St-Lygon St (West),2009-05-08,
553,Flagstaff Station,2009-05-08,23962.0
554,Flinders La - Swanston St (West) Temp,2009-05-08,
555,Flinders La-Swanston St (West),2009-05-08,
556,Flinders Ln -Degraves St (Crossing),2009-05-08,
557,Flinders Ln -Degraves St (North),2009-05-08,
558,Flinders Ln -Degraves St (South),2009-05-08,
559,Flinders St-Elizabeth St (East),2009-05-08,
560,Flinders St-Spark La,2009-05-08,
561,Flinders St-Spring St (West),2009-05-08,
562,Flinders St-Swanston St (West),2009-05-08,
563,Flinders Street Station Underpass,2009-05-08,28733.0
564,Flinders la - Swanston St (West) Temp,2009-05-08,
565,Grattan St-Swanston St (West),2009-05-08,
566,La Trobe St (North),2009-05-08,
567,Lincoln-Swanston (West),2009-05-08,
568,Lincoln-Swanston(West),2009-05-08,
569,Little Collins St-Swanston St (East),2009-05-08,
570,Lonsdale St (South),2009-05-08,
571,Lonsdale St - Elizabeth St (North),2009-05-08,
572,Lonsdale St-Spring St (West),2009-05-08,
573,Lygon St (East),2009-05-08,
574,Lygon St (West),2009-05-08,
575,Melbourne Central,2009-05-08,
576,Melbourne Central-Elizabeth St (East),2009-05-08,
577,Melbourne Convention Exhibition Centre,2009-05-08,
578,Monash Rd-Swanston St (West),2009-05-08,
579,New Quay,2009-05-08,6068.0
580,Pelham St (S),2009-05-08,
581,Pelham St (South),2009-05-08,
582,Princes Bridge,2009-05-08,24397.0
583,QV Market-Elizabeth St (West),2009-05-08,
584,QV Market-Peel St,2009-05-08,
585,QVM-Franklin St (North),2009-05-08,
586,QVM-Queen St (East),2009-05-08,
587,QVM-Therry St (South),2009-05-08,
588,Queen St (West),2009-05-08,
589,Royal Pde-Grattan St,2009-05-08,
590,Sandridge Bridge,2009-05-08,9177.0
591,Southbank,2009-05-08,
592,Southern Cross Station,2009-05-08,9582.0
593,Spencer St-Collins St (North),2009-05-08,
594,Spencer St-Collins St (South),2009-05-08,
595,St Kilda Rd-Alexandra Gardens,2009-05-08,
596,State Library,2009-05-08,22045.0
597,State Library-New,2009-05-08,
598,Swanston St - City Square,2009-05-08,
599,Swanston St - RMIT Building 14,2009-05-08,
600,Swanston St - RMIT Building 80,2009-05-08,
601,The Arts Centre,2009-05-08,
602,Tin Alley-Swanston St (West),2009-05-08,
603,Town Hall (West),2009-05-08,44638.0
604,Victoria Point,2009-05-08,7988.0
605,Waterfront City,2009-05-08,2318.0
606,Webb Bridge,2009-05-08,
607,Westwood Place,2009-05-08,
608,sensor_name,2009-05-09,
609,231 Bourke St,2009-05-09,
610,Alfred Place,2009-05-09,
611,Australia on Collins,2009-05-09,13694.0
612,Birrarung Marr,2009-05-09,
613,Bourke St - Spencer St (North),2009-05-09,
614,Bourke St - Spencer St (South),2009-05-09,
615,Bourke St Bridge,2009-05-09,
616,Bourke St-Russell St (West),2009-05-09,
617,Bourke Street Mall (North),2009-05-09,28397.0
618,Bourke Street Mall (South),2009-05-09,20884.0
619,Chinatown-Lt Bourke St (South),2009-05-09,
620,Chinatown-Swanston St (North),2009-05-09,
621,City Square,2009-05-09,
622,Collins Place (North),2009-05-09,2677.0
623,Collins Place (South),2009-05-09,3121.0
624,Collins St (North),2009-05-09,
