Date,day,hourly_counts,id,mdate,month,sensor_id,sensor_name,year
2019-11-01,Friday,2533,2887714,1,November,1,Bourke Street Mall (North),2019
2019-11-01,Friday,2512,2887715,1,November,3,Melbourne Central,2019
2019-11-01,Friday,1562,2887716,1,November,15,State Library,2019
2019-11-01,Friday,522,2887717,1,November,9,Southern Cross Station,2019
2019-11-01,Friday,126,2887718,1,November,10,Victoria Point,2019
2019-11-01,Friday,385,2887719,1,November,12,New Quay,2019
2019-11-01,Friday,123,2887720,1,November,11,Waterfront City,2019
2019-11-01,Friday,221,2887721,1,November,8,Webb Bridge,2019
2019-11-01,Friday,436,2887722,1,November,7,Birrarung Marr,2019
2019-11-01,Friday,2530,2887723,1,November,5,Princes Bridge,2019
2019-11-01,Friday,2467,2887724,1,November,6,Flinders Street Station Underpass,2019
2019-11-01,Friday,38,2887725,1,November,14,Sandridge Bridge,2019
2019-11-01,Friday,698,2887726,1,November,26,QV Market-Elizabeth St (West),2019
2019-11-01,Friday,1566,2887727,1,November,24,Spencer St-Collins St (North),2019
2019-11-01,Friday,235,2887728,1,November,23,Spencer St-Collins St (South),2019
2019-11-01,Friday,1741,2887729,1,November,25,Melbourne Convention Exhibition Centre,2019
2019-11-01,Friday,1117,2887730,1,November,21,Bourke St-Russell St (West),2019
2019-11-01,Friday,1013,2887731,1,November,20,Chinatown-Lt Bourke St (South),2019
2019-11-01,Friday,1404,2887732,1,November,19,Chinatown-Swanston St (North),2019
2019-11-01,Friday,2647,2887733,1,November,22,Flinders St-Elizabeth St (East),2019
2019-11-01,Friday,187,2887734,1,November,27,QV Market-Peel St,2019
2019-11-01,Friday,1342,2887735,1,November,28,The Arts Centre,2019
2019-11-01,Friday,512,2887736,1,November,31,Lygon St (West),2019
2019-11-01,Friday,1184,2887737,1,November,30,Lonsdale St (South),2019
2019-11-01,Friday,158,2887738,1,November,34,Flinders St-Spark La,2019
2019-11-01,Friday,289,2887739,1,November,39,Alfred Place,2019
2019-11-01,Friday,293,2887740,1,November,37,Lygon St (East),2019
2019-11-01,Friday,384,2887741,1,November,40,Lonsdale St-Spring St (West),2019
2019-11-01,Friday,420,2887742,1,November,36,Queen St (West),2019
2019-11-01,Friday,502,2887743,1,November,29,St Kilda Rd-Alexandra Gardens,2019
2019-11-01,Friday,303,2887744,1,November,42,Grattan St-Swanston St (West),2019
2019-11-01,Friday,42,2887745,1,November,43,Monash Rd-Swanston St (West),2019
2019-11-01,Friday,41,2887746,1,November,44,Tin Alley-Swanston St (West),2019
2019-11-01,Friday,2058,2887747,1,November,35,Southbank,2019
2019-11-01,Friday,1647,2887748,1,November,45,Little Collins St-Swanston St (East),2019
2019-11-01,Friday,134,2887749,1,November,46,Pelham St (S),2019
2019-11-01,Friday,1600,2887750,1,November,47,Melbourne Central-Elizabeth St (East),2019
2019-11-01,Friday,256,2887751,1,November,48,QVM-Queen St (East),2019
2019-11-01,Friday,190,2887752,1,November,49,QVM-Therry St (South),2019
2019-11-01,Friday,572,2887753,1,November,50,Faraday St-Lygon St (West),2019
2019-11-01,Friday,184,2887754,1,November,51,QVM-Franklin St (North),2019
