ActivityType,Response,Year,RespondentGroup,SampleSize,Percentage,AgeRange,Gender,Suburb
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2023,South Wharf / Southbank 3006,147,60.9,,,South Wharf / Southbank 3006
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2022,18-24 years,371,48.5,18-24 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2022,25-34 years,448,43.1,25-34 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2022,35-44 years,229,46.0,35-44 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2022,City of Melbourne,1417,47.7,,,City of Melbourne
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2022,Melbourne 3000,332,40.0,,,Melbourne 3000
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2022,Parkville 3052,92,54.0,,,Parkville 3052
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2022,South Wharf / Southbank 3006,159,54.7,,,South Wharf / Southbank 3006
participate in sports and exercise activities,"yes, in the last 3 months",2022,Female,897,61.7,,Female,
participate in sports and exercise activities,"yes, in the last 3 months",2022,Kensington / Flemington 3031,121,63.3,,,Kensington / Flemington 3031
participate in sports and exercise activities,"yes, in the last 3 months",2022,Parkville 3052,96,75.3,,,Parkville 3052
participate in sports and exercise activities,"yes, in the last 3 months",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,125,63.7,,,South Yarra 3141 / Melbourne/St Kilda Road 3004
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2022,45-54 years,122,52.8,45-54 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2022,55-64 years,118,45.4,55-64 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2022,Kensington / Flemington 3031,121,51.6,,,Kensington / Flemington 3031
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2022,North Melbourne 3051 / West Melbourne 3003,242,51.7,,,North Melbourne 3051 / West Melbourne 3003
participate in organised physical activity,"yes, in the last 3 months",2022,35-44 years,238,18.6,35-44 years,,
participate in organised physical activity,"yes, in the last 3 months",2022,Female,897,16.4,,Female,
participate in organised physical activity,"yes, in the last 3 months",2022,City of Melbourne,1508,20.8,,,City of Melbourne
participate in organised physical activity,"yes, in the last 3 months",2022,Kensington / Flemington 3031,121,22.4,,,Kensington / Flemington 3031
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2022,45-54 years,122,8.2,45-54 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2022,55-64 years,118,6.2,55-64 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,125,4.7,,,South Yarra 3141 / Melbourne/St Kilda Road 3004
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2022,35-44 years,238,9.9,35-44 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2022,55-64 years,118,10.1,55-64 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2022,Male,588,14.6,,Male,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2022,North Melbourne 3051 / West Melbourne 3003,242,12.7,,,North Melbourne 3051 / West Melbourne 3003
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2022,Parkville 3052,96,15.6,,,Parkville 3052
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2022,South Wharf / Southbank 3006,169,5.7,,,South Wharf / Southbank 3006
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,125,10.0,,,South Yarra 3141 / Melbourne/St Kilda Road 3004
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2022,55-64 years,114,52.2,55-64 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2022,Female,842,44.7,,Female,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2022,East Melbourne 3002,87,62.8,,,East Melbourne 3002
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2022,North Melbourne 3051 / West Melbourne 3003,228,43.3,,,North Melbourne 3051 / West Melbourne 3003
participate in sports and exercise activities,"yes, in the last 3 months",2022,25-34 years,473,68.2,25-34 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2022,45-54 years,122,63.5,45-54 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2022,55-64 years,118,54.1,55-64 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2022,Carlton 3053,176,64.2,,,Carlton 3053
participate in sports and exercise activities,"yes, in the last 3 months",2022,City of Melbourne,1508,65.7,,,City of Melbourne
participate in sports and exercise activities,"yes, in the last 3 months",2022,Docklands 3008,125,67.8,,,Docklands 3008
participate in sports and exercise activities,"yes, in the last 3 months",2022,Melbourne 3000,363,62.8,,,Melbourne 3000
participate in sports and exercise activities,"yes, in the last 3 months",2022,South Wharf / Southbank 3006,169,68.9,,,South Wharf / Southbank 3006
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2022,18-24 years,417,62.1,18-24 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2022,25-34 years,473,58.2,25-34 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2022,Male,588,62.9,,Male,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2022,Carlton 3053,176,54.8,,,Carlton 3053
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2022,Melbourne 3000,363,57.7,,,Melbourne 3000
participate in organised physical activity,"yes, in the last 3 months",2022,45-54 years,122,15.3,45-54 years,,
participate in organised physical activity,"yes, in the last 3 months",2022,55-64 years,118,15.2,55-64 years,,
participate in organised physical activity,"yes, in the last 3 months",2022,65+ years,133,15.9,65+ years,,
participate in organised physical activity,"yes, in the last 3 months",2022,Male,588,26.0,,Male,
participate in organised physical activity,"yes, in the last 3 months",2022,Carlton 3053,176,21.2,,,Carlton 3053
participate in organised physical activity,"yes, in the last 3 months",2022,Docklands 3008,125,24.1,,,Docklands 3008
participate in organised physical activity,"yes, in the last 3 months",2022,North Melbourne 3051 / West Melbourne 3003,242,20.1,,,North Melbourne 3051 / West Melbourne 3003
participate in organised physical activity,"yes, in the last 3 months",2022,South Wharf / Southbank 3006,169,18.0,,,South Wharf / Southbank 3006
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2022,18-24 years,417,10.7,18-24 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2022,25-34 years,473,9.1,25-34 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2022,35-44 years,238,8.9,35-44 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2022,Female,897,8.0,,Female,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2022,Male,588,10.3,,Male,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2022,Carlton 3053,176,5.8,,,Carlton 3053
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2022,City of Melbourne,1508,9.0,,,City of Melbourne
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2022,Kensington / Flemington 3031,121,10.0,,,Kensington / Flemington 3031
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2022,45-54 years,122,7.3,45-54 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2022,65+ years,133,9.3,65+ years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2022,Female,897,6.6,,Female,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2022,Carlton 3053,176,12.4,,,Carlton 3053
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2022,Docklands 3008,125,14.6,,,Docklands 3008
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2022,Melbourne 3000,363,8.3,,,Melbourne 3000
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2022,45-54 years,120,55.0,45-54 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2022,65+ years,130,57.2,65+ years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2022,Male,558,50.7,,Male,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2022,Carlton 3053,165,44.3,,,Carlton 3053
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2022,Docklands 3008,117,54.3,,,Docklands 3008
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2022,Kensington / Flemington 3031,116,57.1,,,Kensington / Flemington 3031
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,121,52.7,,,South Yarra 3141 / Melbourne/St Kilda Road 3004
participate in sports and exercise activities,"yes, in the last 3 months",2022,18-24 years,417,69.2,18-24 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2022,35-44 years,238,66.7,35-44 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2022,65+ years,133,49.7,65+ years,,
participate in sports and exercise activities,"yes, in the last 3 months",2022,Male,588,69.9,,Male,
participate in sports and exercise activities,"yes, in the last 3 months",2022,East Melbourne 3002,91,74.5,,,East Melbourne 3002
participate in sports and exercise activities,"yes, in the last 3 months",2022,North Melbourne 3051 / West Melbourne 3003,242,64.3,,,North Melbourne 3051 / West Melbourne 3003
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2022,35-44 years,238,56.1,35-44 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2022,65+ years,133,38.4,65+ years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2022,Female,897,50.5,,Female,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2022,City of Melbourne,1508,56.5,,,City of Melbourne
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2022,Docklands 3008,125,61.9,,,Docklands 3008
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2022,East Melbourne 3002,91,58.3,,,East Melbourne 3002
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2022,Parkville 3052,96,61.4,,,Parkville 3052
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2022,South Wharf / Southbank 3006,169,60.0,,,South Wharf / Southbank 3006
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,125,48.7,,,South Yarra 3141 / Melbourne/St Kilda Road 3004
participate in organised physical activity,"yes, in the last 3 months",2022,18-24 years,417,26.1,18-24 years,,
participate in organised physical activity,"yes, in the last 3 months",2022,25-34 years,473,20.2,25-34 years,,
participate in organised physical activity,"yes, in the last 3 months",2022,East Melbourne 3002,91,23.2,,,East Melbourne 3002
participate in organised physical activity,"yes, in the last 3 months",2022,Melbourne 3000,363,19.9,,,Melbourne 3000
participate in organised physical activity,"yes, in the last 3 months",2022,Parkville 3052,96,29.4,,,Parkville 3052
participate in organised physical activity,"yes, in the last 3 months",2022,South Yarra 3141 / Melbourne/St Kilda Road 3004,125,15.6,,,South Yarra 3141 / Melbourne/St Kilda Road 3004
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2022,65+ years,133,4.8,65+ years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2022,Docklands 3008,125,9.6,,,Docklands 3008
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2022,East Melbourne 3002,91,17.8,,,East Melbourne 3002
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2022,Melbourne 3000,363,9.8,,,Melbourne 3000
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2022,North Melbourne 3051 / West Melbourne 3003,242,7.7,,,North Melbourne 3051 / West Melbourne 3003
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2022,Parkville 3052,96,10.9,,,Parkville 3052
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2022,South Wharf / Southbank 3006,169,9.4,,,South Wharf / Southbank 3006
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2022,18-24 years,417,15.4,18-24 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2022,25-34 years,473,7.2,25-34 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2022,City of Melbourne,1508,10.4,,,City of Melbourne
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2022,East Melbourne 3002,91,6.5,,,East Melbourne 3002
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2022,Kensington / Flemington 3031,121,12.7,,,Kensington / Flemington 3031
