ActivityType,Response,Year,RespondentGroup,SampleSize,Percentage,AgeRange,Gender,Suburb
participate in organised physical activity,"yes, in the last 3 months",2019,18-24 years,298,35.2,18-24 years,,
participate in organised physical activity,"yes, in the last 3 months",2019,25-34 years,323,20.6,25-34 years,,
participate in organised physical activity,"yes, in the last 3 months",2019,55-64 years,109,14.8,55-64 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2019,Parkville 3052,94,8.4,,,Parkville 3052
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2019,South Wharf / Southbank 3006,138,11.0,,,South Wharf / Southbank 3006
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2019,Female,648,10.6,,Female,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2019,25-34 years,323,7.2,25-34 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2019,35-44 years,161,10.4,35-44 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2019,45-54 years,94,7.3,45-54 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2019,55-64 years,109,2.1,55-64 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2019,East Melbourne 3002,95,9.9,,,East Melbourne 3002
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2019,Melbourne 3000,265,10.9,,,Melbourne 3000
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2019,South Yarra 3141 / Melbourne/St Kilda Road 3004,101,7.3,,,South Yarra 3141 / Melbourne/St Kilda Road 3004
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2019,Male,605,11.3,,Male,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2019,Female,648,10.2,,Female,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2019,25-34 years,323,9.3,25-34 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2019,35-44 years,161,11.8,35-44 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2019,Melbourne 3000,249,52.7,,,Melbourne 3000
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2019,South Wharf / Southbank 3006,133,43.7,,,South Wharf / Southbank 3006
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2019,18-24 years,275,43.0,18-24 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2019,25-34 years,309,48.2,25-34 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2019,55-64 years,109,57.7,55-64 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2019,City of Melbourne,1259,70.4,,,City of Melbourne
participate in sports and exercise activities,"yes, in the last 3 months",2019,Carlton 3053,132,70.3,,,Carlton 3053
participate in sports and exercise activities,"yes, in the last 3 months",2019,East Melbourne 3002,95,62.0,,,East Melbourne 3002
participate in sports and exercise activities,"yes, in the last 3 months",2019,Kensington / Flemington 3031,113,54.7,,,Kensington / Flemington 3031
participate in sports and exercise activities,"yes, in the last 3 months",2019,35-44 years,161,65.5,35-44 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2019,Kensington / Flemington 3031,113,44.0,,,Kensington / Flemington 3031
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2019,South Yarra 3141 / Melbourne/St Kilda Road 3004,101,53.6,,,South Yarra 3141 / Melbourne/St Kilda Road 3004
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2019,25-34 years,323,68.5,25-34 years,,
participate in organised physical activity,"yes, in the last 3 months",2019,City of Melbourne,1259,23.1,,,City of Melbourne
participate in organised physical activity,"yes, in the last 3 months",2019,East Melbourne 3002,95,14.9,,,East Melbourne 3002
participate in organised physical activity,"yes, in the last 3 months",2019,Kensington / Flemington 3031,113,22.1,,,Kensington / Flemington 3031
participate in organised physical activity,"yes, in the last 3 months",2019,Parkville 3052,94,31.0,,,Parkville 3052
participate in organised physical activity,"yes, in the last 3 months",2019,South Wharf / Southbank 3006,138,17.5,,,South Wharf / Southbank 3006
participate in organised physical activity,"yes, in the last 3 months",2019,Male,605,23.2,,Male,
participate in organised physical activity,"yes, in the last 3 months",2019,Female,648,23.3,,Female,
participate in organised physical activity,"yes, in the last 3 months",2019,35-44 years,161,20.4,35-44 years,,
participate in organised physical activity,"yes, in the last 3 months",2019,45-54 years,94,12.7,45-54 years,,
participate in organised physical activity,"yes, in the last 3 months",2019,65+ years,274,6.4,65+ years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2019,City of Melbourne,1259,10.5,,,City of Melbourne
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2019,Carlton 3053,132,11.2,,,Carlton 3053
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2019,East Melbourne 3002,95,4.0,,,East Melbourne 3002
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2019,Kensington / Flemington 3031,113,9.7,,,Kensington / Flemington 3031
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2019,Melbourne 3000,265,11.1,,,Melbourne 3000
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2019,North Melbourne 3051 / West Melbourne 3003,216,7.6,,,North Melbourne 3051 / West Melbourne 3003
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2019,Male,605,10.4,,Male,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2019,65+ years,274,2.0,65+ years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2019,Carlton 3053,132,11.0,,,Carlton 3053
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2019,Docklands 3008,105,15.2,,,Docklands 3008
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2019,South Wharf / Southbank 3006,138,5.0,,,South Wharf / Southbank 3006
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2019,18-24 years,298,15.2,18-24 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2018,East Melbourne 3002,79,57.7,,,East Melbourne 3002
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2018,Melbourne 3000,264,55.0,,,Melbourne 3000
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2018,18-24 years,259,52.5,18-24 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2018,55-64 years,142,58.7,55-64 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2018,65+ years,270,58.9,65+ years,,
participate in sports and exercise activities,"yes, in the last 3 months",2018,Carlton 3053,126,78.2,,,Carlton 3053
participate in sports and exercise activities,"yes, in the last 3 months",2018,East Melbourne 3002,82,68.9,,,East Melbourne 3002
participate in sports and exercise activities,"yes, in the last 3 months",2018,25-34 years,262,77.1,25-34 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2018,35-44 years,138,69.0,35-44 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2018,45-54 years,131,64.6,45-54 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2018,55-64 years,146,56.0,55-64 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2018,City of Melbourne,1247,67.1,,,City of Melbourne
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2018,Docklands 3008,103,67.6,,,Docklands 3008
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2018,East Melbourne 3002,82,61.6,,,East Melbourne 3002
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2018,Kensington/ Flemingon 3031,142,70.6,,,Kensington/ Flemingon 3031
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2018,Melbourne 3000,285,73.0,,,Melbourne 3000
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2018,North Melbourne 3051 / West Melbourne 3003,184,61.8,,,North Melbourne 3051 / West Melbourne 3003
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2018,55-64 years,146,52.8,55-64 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2018,65+ years,280,42.9,65+ years,,
participate in organised physical activity,"yes, in the last 3 months",2018,City of Melbourne,1247,28.8,,,City of Melbourne
participate in organised physical activity,"yes, in the last 3 months",2018,Docklands 3008,103,23.7,,,Docklands 3008
participate in organised physical activity,"yes, in the last 3 months",2018,Melbourne 3000,285,28.1,,,Melbourne 3000
participate in organised physical activity,"yes, in the last 3 months",2018,North Melbourne 3051 / West Melbourne 3003,184,27.4,,,North Melbourne 3051 / West Melbourne 3003
participate in organised physical activity,"yes, in the last 3 months",2018,Parkville 3052,72,37.5,,,Parkville 3052
participate in organised physical activity,"yes, in the last 3 months",2018,Southbank/ South Wharf 3006,123,22.4,,,Southbank/ South Wharf 3006
participate in organised physical activity,"yes, in the last 3 months",2018,South Yarra 3141 / Melbourne (St Kilda Road) 3004,130,26.9,,,South Yarra 3141 / Melbourne (St Kilda Road) 3004
participate in organised physical activity,"yes, in the last 3 months",2018,55-64 years,146,21.4,55-64 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2018,North Melbourne 3051 / West Melbourne 3003,184,11.8,,,North Melbourne 3051 / West Melbourne 3003
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2018,Parkville 3052,72,19.6,,,Parkville 3052
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2018,South Yarra 3141 / Melbourne (St Kilda Road) 3004,130,10.7,,,South Yarra 3141 / Melbourne (St Kilda Road) 3004
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2018,Male,549,12.2,,Male,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2018,Female,687,14.4,,Female,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2018,65+ years,280,5.3,65+ years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2018,City of Melbourne,1247,11.9,,,City of Melbourne
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2018,Docklands 3008,103,11.6,,,Docklands 3008
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2018,Kensington/ Flemingon 3031,142,20.6,,,Kensington/ Flemingon 3031
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2018,Female,687,9.0,,Female,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2018,45-54 years,131,13.9,45-54 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2018,Docklands 3008,95,57.6,,,Docklands 3008
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2018,Kensington/ Flemingon 3031,140,49.7,,,Kensington/ Flemingon 3031
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2018,Southbank/ South Wharf 3006,118,48.0,,,Southbank/ South Wharf 3006
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2018,South Yarra 3141 / Melbourne (St Kilda Road) 3004,124,60.1,,,South Yarra 3141 / Melbourne (St Kilda Road) 3004
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2018,Male,525,54.1,,Male,
participate in sports and exercise activities,"yes, in the last 3 months",2018,City of Melbourne,1247,73.3,,,City of Melbourne
participate in sports and exercise activities,"yes, in the last 3 months",2018,Melbourne 3000,285,77.8,,,Melbourne 3000
participate in sports and exercise activities,"yes, in the last 3 months",2018,North Melbourne 3051 / West Melbourne 3003,184,70.3,,,North Melbourne 3051 / West Melbourne 3003
participate in sports and exercise activities,"yes, in the last 3 months",2018,Southbank/ South Wharf 3006,123,58.4,,,Southbank/ South Wharf 3006
participate in sports and exercise activities,"yes, in the last 3 months",2018,South Yarra 3141 / Melbourne (St Kilda Road) 3004,130,77.1,,,South Yarra 3141 / Melbourne (St Kilda Road) 3004
participate in sports and exercise activities,"yes, in the last 3 months",2018,18-24 years,290,82.2,18-24 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2018,Southbank/ South Wharf 3006,123,54.3,,,Southbank/ South Wharf 3006
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2018,Male,549,67.0,,Male,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2018,35-44 years,138,58.1,35-44 years,,
participate in organised physical activity,"yes, in the last 3 months",2018,Carlton 3053,126,38.2,,,Carlton 3053
participate in organised physical activity,"yes, in the last 3 months",2018,East Melbourne 3002,82,23.9,,,East Melbourne 3002
participate in organised physical activity,"yes, in the last 3 months",2018,Kensington/ Flemingon 3031,142,32.1,,,Kensington/ Flemingon 3031
participate in organised physical activity,"yes, in the last 3 months",2018,Male,549,28.2,,Male,
participate in organised physical activity,"yes, in the last 3 months",2018,18-24 years,290,36.8,18-24 years,,
participate in organised physical activity,"yes, in the last 3 months",2018,35-44 years,138,25.8,35-44 years,,
participate in organised physical activity,"yes, in the last 3 months",2018,45-54 years,131,20.4,45-54 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2018,City of Melbourne,1247,13.2,,,City of Melbourne
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2018,East Melbourne 3002,82,8.4,,,East Melbourne 3002
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2018,Kensington/ Flemingon 3031,142,17.8,,,Kensington/ Flemingon 3031
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2018,Melbourne 3000,285,14.6,,,Melbourne 3000
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2018,Southbank/ South Wharf 3006,123,5.7,,,Southbank/ South Wharf 3006
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2018,35-44 years,138,7.3,35-44 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2018,55-64 years,146,10.9,55-64 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2018,Carlton 3053,126,18.0,,,Carlton 3053
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2018,East Melbourne 3002,82,12.2,,,East Melbourne 3002
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2018,North Melbourne 3051 / West Melbourne 3003,184,12.7,,,North Melbourne 3051 / West Melbourne 3003
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2018,Parkville 3052,72,15.0,,,Parkville 3052
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2018,Southbank/ South Wharf 3006,123,4.5,,,Southbank/ South Wharf 3006
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2018,South Yarra 3141 / Melbourne (St Kilda Road) 3004,130,14.1,,,South Yarra 3141 / Melbourne (St Kilda Road) 3004
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2018,25-34 years,262,12.2,25-34 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2018,35-44 years,138,11.0,35-44 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2018,City of Melbourne,1180,52.3,,,City of Melbourne
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2018,Carlton 3053,117,53.8,,,Carlton 3053
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2018,North Melbourne 3051 / West Melbourne 3003,175,46.7,,,North Melbourne 3051 / West Melbourne 3003
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2018,Parkville 3052,68,46.5,,,Parkville 3052
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2018,Female,646,50.8,,Female,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2018,25-34 years,249,47.1,25-34 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2018,35-44 years,130,51.5,35-44 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2018,45-54 years,130,64.9,45-54 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2018,Docklands 3008,103,69.1,,,Docklands 3008
participate in sports and exercise activities,"yes, in the last 3 months",2018,Kensington/ Flemingon 3031,142,77.4,,,Kensington/ Flemingon 3031
participate in sports and exercise activities,"yes, in the last 3 months",2018,Parkville 3052,72,84.6,,,Parkville 3052
participate in sports and exercise activities,"yes, in the last 3 months",2018,Male,549,73.3,,Male,
participate in sports and exercise activities,"yes, in the last 3 months",2018,Female,687,73.5,,Female,
participate in sports and exercise activities,"yes, in the last 3 months",2018,65+ years,280,48.7,65+ years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2018,Carlton 3053,126,74.6,,,Carlton 3053
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2018,Parkville 3052,72,69.2,,,Parkville 3052
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2018,South Yarra 3141 / Melbourne (St Kilda Road) 3004,130,58.4,,,South Yarra 3141 / Melbourne (St Kilda Road) 3004
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2018,Female,687,67.4,,Female,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2018,18-24 years,290,74.7,18-24 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2018,25-34 years,262,72.6,25-34 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2018,45-54 years,131,60.4,45-54 years,,
participate in organised physical activity,"yes, in the last 3 months",2018,Female,687,29.8,,Female,
participate in organised physical activity,"yes, in the last 3 months",2018,25-34 years,262,29.0,25-34 years,,
participate in organised physical activity,"yes, in the last 3 months",2018,65+ years,280,15.3,65+ years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2018,Carlton 3053,126,19.7,,,Carlton 3053
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2018,Docklands 3008,103,7.9,,,Docklands 3008
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2018,18-24 years,290,16.1,18-24 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2018,25-34 years,262,16.4,25-34 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2018,45-54 years,131,6.1,45-54 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2018,Melbourne 3000,285,9.0,,,Melbourne 3000
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2018,Male,549,15.1,,Male,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2018,18-24 years,290,13.2,18-24 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2018,55-64 years,146,6.0,55-64 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2018,65+ years,280,8.3,65+ years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2020,City of Melbourne,1280,47.3,,,City of Melbourne
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2020,Kensington / Flemington 3031,113,42.6,,,Kensington / Flemington 3031
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2020,North Melbourne 3051 / West Melbourne 3003,212,54.6,,,North Melbourne 3051 / West Melbourne 3003
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2020,Female,664,45.1,,Female,
participate in sports and exercise activities,"yes, in the last 3 months",2020,Docklands 3008,118,56.3,,,Docklands 3008
participate in sports and exercise activities,"yes, in the last 3 months",2020,North Melbourne 3051 / West Melbourne 3003,222,57.2,,,North Melbourne 3051 / West Melbourne 3003
participate in sports and exercise activities,"yes, in the last 3 months",2020,Parkville 3052,100,63.0,,,Parkville 3052
participate in sports and exercise activities,"yes, in the last 3 months",2020,35-44 years,208,54.4,35-44 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2020,City of Melbourne,1345,50.7,,,City of Melbourne
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2020,East Melbourne 3002,94,46.7,,,East Melbourne 3002
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2020,South Wharf / Southbank 3006,142,54.9,,,South Wharf / Southbank 3006
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2020,18-24 years,353,53.8,18-24 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2020,25-34 years,427,50.4,25-34 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2020,35-44 years,208,48.1,35-44 years,,
participate in organised physical activity,"yes, in the last 3 months",2020,Carlton 3053,143,27.5,,,Carlton 3053
participate in organised physical activity,"yes, in the last 3 months",2020,East Melbourne 3002,94,15.1,,,East Melbourne 3002
participate in organised physical activity,"yes, in the last 3 months",2020,Melbourne 3000,296,19.9,,,Melbourne 3000
participate in organised physical activity,"yes, in the last 3 months",2020,South Wharf / Southbank 3006,142,18.1,,,South Wharf / Southbank 3006
participate in organised physical activity,"yes, in the last 3 months",2020,South Yarra 3141 / Melbourne/St Kilda Road 3004,111,16.3,,,South Yarra 3141 / Melbourne/St Kilda Road 3004
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2020,Carlton 3053,143,16.3,,,Carlton 3053
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2020,Docklands 3008,118,14.6,,,Docklands 3008
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2020,East Melbourne 3002,94,8.8,,,East Melbourne 3002
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2020,Male,629,8.5,,Male,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2020,25-34 years,427,12.3,25-34 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2020,55-64 years,90,17.7,55-64 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2020,Carlton 3053,143,7.0,,,Carlton 3053
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2020,Melbourne 3000,296,6.3,,,Melbourne 3000
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2020,North Melbourne 3051 / West Melbourne 3003,222,8.7,,,North Melbourne 3051 / West Melbourne 3003
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2020,Male,629,8.4,,Male,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2020,Female,701,5.1,,Female,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2020,55-64 years,90,3.9,55-64 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2020,Docklands 3008,114,46.6,,,Docklands 3008
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2020,East Melbourne 3002,91,55.2,,,East Melbourne 3002
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2020,Parkville 3052,90,48.7,,,Parkville 3052
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2020,South Wharf / Southbank 3006,137,48.6,,,South Wharf / Southbank 3006
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2020,South Yarra 3141 / Melbourne/St Kilda Road 3004,105,65.5,,,South Yarra 3141 / Melbourne/St Kilda Road 3004
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2020,Male,602,50.5,,Male,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2020,18-24 years,329,38.8,18-24 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2020,25-34 years,399,46.2,25-34 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2020,35-44 years,199,49.1,35-44 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2020,45-54 years,137,54.2,45-54 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2020,55-64 years,89,64.3,55-64 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2020,65+ years,122,63.4,65+ years,,
participate in sports and exercise activities,"yes, in the last 3 months",2020,City of Melbourne,1345,57.5,,,City of Melbourne
participate in sports and exercise activities,"yes, in the last 3 months",2020,East Melbourne 3002,94,66.7,,,East Melbourne 3002
participate in sports and exercise activities,"yes, in the last 3 months",2020,Kensington / Flemington 3031,119,59.6,,,Kensington / Flemington 3031
participate in sports and exercise activities,"yes, in the last 3 months",2020,South Wharf / Southbank 3006,142,57.4,,,South Wharf / Southbank 3006
participate in sports and exercise activities,"yes, in the last 3 months",2020,Male,629,59.0,,Male,
participate in sports and exercise activities,"yes, in the last 3 months",2020,18-24 years,353,57.1,18-24 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2020,25-34 years,427,57.6,25-34 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2020,45-54 years,138,55.5,45-54 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2020,65+ years,124,49.4,65+ years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2020,Docklands 3008,118,43.6,,,Docklands 3008
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2020,Kensington / Flemington 3031,119,53.9,,,Kensington / Flemington 3031
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2020,Parkville 3052,100,55.3,,,Parkville 3052
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2020,South Yarra 3141 / Melbourne/St Kilda Road 3004,111,51.6,,,South Yarra 3141 / Melbourne/St Kilda Road 3004
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2020,Male,629,51.0,,Male,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2020,Female,701,50.8,,Female,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2020,45-54 years,138,48.2,45-54 years,,
participate in organised physical activity,"yes, in the last 3 months",2020,City of Melbourne,1345,20.2,,,City of Melbourne
participate in organised physical activity,"yes, in the last 3 months",2020,Docklands 3008,118,20.4,,,Docklands 3008
participate in organised physical activity,"yes, in the last 3 months",2020,Male,629,19.3,,Male,
participate in organised physical activity,"yes, in the last 3 months",2020,25-34 years,427,20.7,25-34 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2020,City of Melbourne,1345,11.8,,,City of Melbourne
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2020,Kensington / Flemington 3031,119,14.2,,,Kensington / Flemington 3031
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2020,Melbourne 3000,296,11.7,,,Melbourne 3000
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2020,Female,701,15.0,,Female,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2020,35-44 years,208,10.3,35-44 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2020,City of Melbourne,1345,6.8,,,City of Melbourne
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2020,18-24 years,353,8.1,18-24 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2020,35-44 years,208,4.4,35-44 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2020,45-54 years,138,3.4,45-54 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2020,65+ years,124,0.9,65+ years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2020,Carlton 3053,138,50.1,,,Carlton 3053
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2020,Melbourne 3000,280,39.1,,,Melbourne 3000
participate in sports and exercise activities,"yes, in the last 3 months",2020,Carlton 3053,143,61.2,,,Carlton 3053
