,trip_id,start_time,start_date,lat,lon,bearing,timestamp,vehicle_id,occupancy_stat,,
48,5123.UJ.2-GLW-B-mjp-1.2.H,15:59:00,15/05/2022,-37.82250977,145.0453644,-82.58670044,2022-05-15 15:43:10+10:00,1406T-1683T-211M-212M-965M-966M,1,,
49,5131.UJ.2-GLW-B-mjp-1.2.H,16:19:00,15/05/2022,-37.82120895,145.1712036,257.9701233,2022-05-15 15:43:15+10:00,1666T-1671T-931M-932M-941M-942M,1,,
50,5136.UJ.2-GLW-B-mjp-1.2.H,16:39:00,15/05/2022,-37.77778244,145.3258057,219.1800385,2022-05-15 15:43:09+10:00,1377T-1389T-153M-154M-177M-178M,1,,
51,522.UJ.2-WBE-B-mjp-1.10.R,16:05:00,15/05/2022,-37.89980698,144.6601105,0,2022-05-15 15:39:33+10:00,1100T-1104T-499M-507M-508M-534M,1,,
52,527.UJ.2-WBE-B-mjp-1.2.H,16:06:00,15/05/2022,-37.88989258,145.0420074,7.404676437,2022-05-15 15:41:59+10:00,2513T-2516T-725M-726M-731M-732M,2,,
53,531.UJ.2-WBE-B-mjp-1.10.R,16:25:00,15/05/2022,-37.86476135,144.8094635,-81.7390976,2022-05-15 15:43:00+10:00,1059T-1098T-417M-418M-495M-496M,1,,
54,535.UJ.2-WBE-B-mjp-1.2.H,16:26:00,15/05/2022,-37.98099899,145.0645294,-30.04361153,2022-05-15 15:43:18+10:00,2527T-2551T-753M-754M-801M-802M,2,,
55,5385.UJ.2-LIL-C-mjp-1.44.R,15:08:00,15/05/2022,-37.82753754,145.0070953,-83.40084839,2022-05-15 15:43:16+10:00,1335T-1690T-69M-70M-979M-980M,1,,
56,5387.UJ.2-LIL-C-mjp-1.44.R,15:28:00,15/05/2022,-37.81899261,145.1194763,-79.28577423,2022-05-15 15:43:11+10:00,1369T-137M-138M-1418T-235M-236M,1,,
57,5389.UJ.2-LIL-C-mjp-1.44.R,15:48:00,15/05/2022,-37.81563568,145.2296448,60.07484818,2022-05-15 15:42:56+10:00,1304T-1432T-263M-264M-7M-8M,1,,
58,5390.UJ.2-LIL-C-mjp-1.42.R,16:08:00,15/05/2022,-37.82446289,145.0976715,66.03751373,2022-05-15 15:43:20+10:00,1345T-1687T-89M-90M-973M-974M,1,,
