kerbsideid,location,Latitude,Longitude
67331,"-37.81224916076433, 144.9544364035221",-37.81224916076433,144.9544364035221
54416,"-37.81354274368513, 144.96015603675647",-37.81354274368513,144.96015603675647
60733,"-37.820641488195506, 144.9569432240824",-37.820641488195506,144.9569432240824
51925,"-37.81355383064921, 144.96844271755066",-37.81355383064921,144.96844271755066
51929,"-37.81343206116386, 144.96838644867847",-37.81343206116386,144.96838644867847
65212,"-37.81090906486972, 144.96662346197735",-37.81090906486972,144.96662346197735
65245,"-37.81116977716893, 144.9663764898553",-37.81116977716893,144.9663764898553
65057,"-37.8097917677008, 144.97076399805246",-37.8097917677008,144.97076399805246
52226,"-37.810326116566685, 144.96696633465655",-37.810326116566685,144.96696633465655
61922,"-37.81504586009345, 144.96779000312512",-37.81504586009345,144.96779000312512
61951,"-37.815147629452596, 144.96799743934574",-37.815147629452596,144.96799743934574
63539,"-37.8122473661557, 144.9702796616983",-37.8122473661557,144.9702796616983
63962,"-37.81558328300279, 144.95883870189178",-37.81558328300279,144.95883870189178
50013,"-37.81479710903639, 144.97475350253134",-37.81479710903639,144.97475350253134
56929,"-37.81674568274913, 144.95576852792365",-37.81674568274913,144.95576852792365
66025,"-37.81022571352348, 144.9653774046867",-37.81022571352348,144.9653774046867
8890,"-37.80483438857518, 144.95988325071232",-37.80483438857518,144.95988325071232
8996,"-37.80065319614304, 144.95875651874468",-37.80065319614304,144.95875651874468
9576,"-37.80452046129158, 144.94946032867392",-37.80452046129158,144.94946032867392
9605,"-37.80355520593249, 144.94943939339282",-37.80355520593249,144.94943939339282
9623,"-37.80497194170077, 144.94861316805952",-37.80497194170077,144.94861316805952
9952,"-37.799350034602966, 144.96565939613467",-37.799350034602966,144.96565939613467
9963,"-37.799642269988475, 144.96560893254448",-37.799642269988475,144.96560893254448
57649,"-37.80969112401428, 144.95248077053498",-37.80969112401428,144.95248077053498
10442,"-37.80293716828275, 144.96505092502454",-37.80293716828275,144.96505092502454
10469,"-37.801483585469384, 144.9652974876772",-37.801483585469384,144.9652974876772
11139,"-37.80833177468179, 144.95472159085543",-37.80833177468179,144.95472159085543
62646,"-37.81256160584434, 144.97277211752333",-37.81256160584434,144.97277211752333
11879,"-37.80087853594753, 144.956232324911",-37.80087853594753,144.956232324911
62713,"-37.81319239221083, 144.9704750954116",-37.81319239221083,144.9704750954116
63126,"-37.81629938177788, 144.9598329358845",-37.81629938177788,144.9598329358845
14326,"-37.80353879134344, 144.9598771743953",-37.80353879134344,144.9598771743953
