kerbsideid,location,Latitude,Longitude
52214,"-37.810322721075494, 144.96709005970536",-37.810322721075494,144.96709005970536
54625,"-37.811842933414, 144.95926050498542",-37.811842933414,144.95926050498542
62315,"-37.81780450336542, 144.95828438269166",-37.81780450336542,144.95828438269166
62336,"-37.81781680975926, 144.95881050825827",-37.81781680975926,144.95881050825827
62239,"-37.81719937385757, 144.96094976997966",-37.81719937385757,144.96094976997966
62218,"-37.81716677181272, 144.96050051138852",-37.81716677181272,144.96050051138852
61718,"-37.813747716292895, 144.97221188360052",-37.813747716292895,144.97221188360052
61910,"-37.814820906790246, 144.96855784841813",-37.814820906790246,144.96855784841813
52024,"-37.812438425773976, 144.9678062923956",-37.812438425773976,144.9678062923956
52012,"-37.81240305617494, 144.96803830679937",-37.81240305617494,144.96803830679937
52018,"-37.811950188615235, 144.96783344299544",-37.811950188615235,144.96783344299544
52320,"-37.80912386972836, 144.9665371487446",-37.80912386972836,144.9665371487446
56722,"-37.8192216250759, 144.95690531385517",-37.8192216250759,144.95690531385517
56910,"-37.81707745376239, 144.956168806464",-37.81707745376239,144.956168806464
56610,"-37.81999824238842, 144.9575130747661",-37.81999824238842,144.9575130747661
57229,"-37.81377979278942, 144.9544014382596",-37.81377979278942,144.9544014382596
57227,"-37.81390300308518, 144.9544584045147",-37.81390300308518,144.9544584045147
57224,"-37.81406297897234, 144.95453295225116",-37.81406297897234,144.95453295225116
51442,"-37.80857093499759, 144.96895845596356",-37.80857093499759,144.96895845596356
60138,"-37.81637588160544, 144.9714669426229",-37.81637588160544,144.9714669426229
66012,"-37.80997748265579, 144.96622767038411",-37.80997748265579,144.96622767038411
66015,"-37.81003389356151, 144.96603423975398",-37.81003389356151,144.96603423975398
66332,"-37.81256887060002, 144.95737195796855",-37.81256887060002,144.95737195796855
66328,"-37.81248812891107, 144.95765108109012",-37.81248812891107,144.95765108109012
63315,"-37.81757659693908, 144.9553194889391",-37.81757659693908,144.9553194889391
57927,"-37.81946336069489, 144.95446401969423",-37.81946336069489,144.95446401969423
53830,"-37.818361502543596, 144.96282088708273",-37.818361502543596,144.96282088708273
54245,"-37.81580552679101, 144.9609445799225",-37.81580552679101,144.9609445799225
8157,"-37.802134011092036, 144.96617105587706",-37.802134011092036,144.96617105587706
8170,"-37.80202559501592, 144.96600431446328",-37.80202559501592,144.96600431446328
8166,"-37.80204351861583, 144.96616912342483",-37.80204351861583,144.96616912342483
8587,"-37.80333701058319, 144.96544833733736",-37.80333701058319,144.96544833733736
8600,"-37.80345474809766, 144.96561291569498",-37.80345474809766,144.96561291569498
8745,"-37.80228396713595, 144.96167287954006",-37.80228396713595,144.96167287954006
8993,"-37.80082447469202, 144.95872596896504",-37.80082447469202,144.95872596896504
9007,"-37.80139590997216, 144.95848303895573",-37.80139590997216,144.95848303895573
9609,"-37.803775427031525, 144.94940056402066",-37.803775427031525,144.94940056402066
9624,"-37.80496880297507, 144.9485850569049",-37.80496880297507,144.9485850569049
57651,"-37.8095913366171, 144.95242787718308",-37.8095913366171,144.95242787718308
57650,"-37.80964123882298, 144.95245433189928",-37.80964123882298,144.95245433189928
57646,"-37.80984075270797, 144.95256009473428",-37.80984075270797,144.95256009473428
10828,"-37.80714143037842, 144.95492406838113",-37.80714143037842,144.95492406838113
10830,"-37.80709106905422, 144.95493314703407",-37.80709106905422,144.95493314703407
10903,"-37.80546999750474, 144.95011222818545",-37.80546999750474,144.95011222818545
11244,"-37.806747245410634, 144.95399485501753",-37.806747245410634,144.95399485501753
11487,"-37.803167079390164, 144.95066099969833",-37.803167079390164,144.95066099969833
63217,"-37.81681455360035, 144.95786746467473",-37.81681455360035,144.95786746467473
11877,"-37.800805588909014, 144.95613978235696",-37.800805588909014,144.95613978235696
11929,"-37.80149840416573, 144.9546578797619",-37.80149840416573,144.9546578797619
11935,"-37.80104684509336, 144.9552288087205",-37.80104684509336,144.9552288087205
11944,"-37.80153839590258, 144.95493989008185",-37.80153839590258,144.95493989008185
12031,"-37.79842653247071, 144.95315447010427",-37.79842653247071,144.95315447010427
12117,"-37.79868869830504, 144.9520004390641",-37.79868869830504,144.9520004390641
56524,"-37.81671279599158, 144.95734494601334",-37.81671279599158,144.95734494601334
63133,"-37.81616879805182, 144.96046718573854",-37.81616879805182,144.96046718573854
63125,"-37.816279675665896, 144.9599015153093",-37.816279675665896,144.9599015153093
14175,"-37.80316694582036, 144.95995456800702",-37.80316694582036,144.95995456800702
14325,"-37.803591419357254, 144.95990130771875",-37.803591419357254,144.95990130771875
14327,"-37.803482109038455, 144.95985100469983",-37.803482109038455,144.95985100469983
14635,"-37.80824127329788, 144.95982322511662",-37.80824127329788,144.95982322511662
56719,"-37.81865149561024, 144.9568911084284",-37.81865149561024,144.9568911084284
61652,"-37.820014035321634, 144.95509897190527",-37.820014035321634,144.95509897190527
61928,"-37.815164498515514, 144.96738537228407",-37.815164498515514,144.96738537228407
51841,"-37.81416846039663, 144.96872667889681",-37.81416846039663,144.96872667889681
51839,"-37.814215967467725, 144.9687480308728",-37.814215967467725,144.9687480308728
65545,"-37.81327695104594, 144.95885266405645",-37.81327695104594,144.95885266405645
22419,"-37.844997217774335, 144.98051625798664",-37.844997217774335,144.98051625798664
22432,"-37.84511523467367, 144.98141723226894",-37.84511523467367,144.98141723226894
52026,"-37.81233250018402, 144.96775809792723",-37.81233250018402,144.96775809792723
21744,"-37.84799803206987, 144.98245070765785",-37.84799803206987,144.98245070765785
21757,"-37.84820175794165, 144.98411636720144",-37.84820175794165,144.98411636720144
21686,"-37.84822192242257, 144.98337424569297",-37.84822192242257,144.98337424569297
21689,"-37.84819727492619, 144.98317210362953",-37.84819727492619,144.98317210362953
21680,"-37.8481726275857, 144.9829699645832",-37.8481726275857,144.9829699645832
21681,"-37.848164411859926, 144.98290258153128",-37.848164411859926,144.98290258153128
65573,"-37.81354328723129, 144.95794009834714",-37.81354328723129,144.95794009834714
54332,"-37.814328715458686, 144.96038922625524",-37.814328715458686,144.96038922625524
54042,"-37.817153217943556, 144.96168967607747",-37.817153217943556,144.96168967607747
54037,"-37.81730758721328, 144.96176027268046",-37.81730758721328,144.96176027268046
53930,"-37.81835552311773, 144.96224079538567",-37.81835552311773,144.96224079538567
53933,"-37.818290669208764, 144.9622111183468",-37.818290669208764,144.9622111183468
21511,"-37.83476561110477, 144.9754161003376",-37.83476561110477,144.9754161003376
21537,"-37.83513199392105, 144.9782221754694",-37.83513199392105,144.9782221754694
61241,"-37.81759364574171, 144.96319459325719",-37.81759364574171,144.96319459325719
64047,"-37.81621334924654, 144.95663015150205",-37.81621334924654,144.95663015150205
12297,"-37.79940007686551, 144.95338675414695",-37.79940007686551,144.95338675414695
22023,"-37.79947870372327, 144.95328673637817",-37.79947870372327,144.95328673637817
12292,"-37.79907847371052, 144.95346300950945",-37.79907847371052,144.95346300950945
21963,"-37.80129159001788, 144.95525258800507",-37.80129159001788,144.95525258800507
21967,"-37.801140626195725, 144.95544370299453",-37.801140626195725,144.95544370299453
54539,"-37.81220269747047, 144.95942279143043",-37.81220269747047,144.95942279143043
54436,"-37.81352282580056, 144.96002025329398",-37.81352282580056,144.96002025329398
18576,"-37.819380266187366, 144.94863278873714",-37.819380266187366,144.94863278873714
18217,"-37.819002040761376, 144.94861828604726",-37.819002040761376,144.94861828604726
18215,"-37.819110106616506, 144.94862249379813",-37.819110106616506,144.94862249379813
20894,"-37.82118791470868, 144.9471344930125",-37.82118791470868,144.9471344930125
18636,"-37.82120416557623, 144.944048606006",-37.82120416557623,144.944048606006
18633,"-37.821157561490935, 144.94385407747703",-37.821157561490935,144.94385407747703
18621,"-37.82110352835018, 144.94288605521916",-37.82110352835018,144.94288605521916
62338,"-37.817853582833706, 144.9586818933499",-37.817853582833706,144.9586818933499
