kerbsideid,location,Latitude,Longitude
62339,"-37.81787193605159, 144.958617793055",-37.81787193605159,144.958617793055
21484,"-37.82020659171873, 144.9471070440767",-37.82020659171873,144.9471070440767
18540,"-37.81884401706035, 144.9499249253489",-37.81884401706035,144.9499249253489
56923,"-37.81704932029764, 144.9559074224712",-37.81704932029764,144.9559074224712
56925,"-37.81694986976067, 144.9558616915677",-37.81694986976067,144.9558616915677
56926,"-37.8168982032439, 144.9558380730318",-37.8168982032439,144.9558380730318
61515,"-37.81890081950156, 144.95864046417074",-37.81890081950156,144.95864046417074
20626,"-37.82055869070746, 144.9429319583788",-37.82055869070746,144.9429319583788
65126,"-37.8105943489629, 144.96769086724686",-37.8105943489629,144.96769086724686
20608,"-37.821109160196784, 144.9453518461956",-37.821109160196784,144.9453518461956
20925,"-37.82044961672015, 144.94607732811323",-37.82044961672015,144.94607732811323
13402,"-37.81994431226503, 144.94342014841737",-37.81994431226503,144.94342014841737
50912,"-37.813613911074796, 144.9713575687406",-37.813613911074796,144.9713575687406
53948,"-37.81836934729492, 144.96212279568851",-37.81836934729492,144.96212279568851
50213,"-37.81260578240534, 144.97374055073328",-37.81260578240534,144.97374055073328
50212,"-37.81265866353571, 144.97376409324755",-37.81265866353571,144.97376409324755
23419,"-37.80021442013965, 144.96539911990237",-37.80021442013965,144.96539911990237
16412,"-37.80973855278721, 144.98109482168059",-37.80973855278721,144.98109482168059
17842,"-37.818325659030904, 144.98185479447943",-37.818325659030904,144.98185479447943
17844,"-37.81843814954633, 144.98183506987596",-37.81843814954633,144.98183506987596
21351,"-37.80327414165083, 144.96317257472458",-37.80327414165083,144.96317257472458
51635,"-37.81624312678647, 144.96955996202877",-37.81624312678647,144.96955996202877
51638,"-37.8160785137767, 144.9694841522899",-37.8160785137767,144.9694841522899
18154,"-37.81181927663579, 144.9862708332184",-37.81181927663579,144.9862708332184
17515,"-37.81094996879011, 144.97674474286174",-37.81094996879011,144.97674474286174
50818,"-37.814448830032916, 144.97174636306153",-37.814448830032916,144.97174636306153
20640,"-37.80934708421358, 144.97832227791164",-37.80934708421358,144.97832227791164
65025,"-37.8097630579857, 144.97052903618362",-37.8097630579857,144.97052903618362
65024,"-37.80973872185618, 144.97061187394345",-37.80973872185618,144.97061187394345
65017,"-37.80959410059695, 144.9711033282569",-37.80959410059695,144.9711033282569
56711,"-37.819058968305484, 144.95707939795471",-37.819058968305484,144.95707939795471
9622,"-37.8049750808603, 144.94864127922932",-37.8049750808603,144.94864127922932
57644,"-37.8099405203108, 144.95261297928766",-37.8099405203108,144.95261297928766
57643,"-37.80999043132775, 144.95263935688112",-37.80999043132775,144.95263935688112
14857,"-37.8009934710212, 144.95637587995068",-37.8009934710212,144.95637587995068
61635,"-37.81961194709902, 144.95652096544404",-37.81961194709902,144.95652096544404
50911,"-37.81366170756083, 144.97137962133522",-37.81366170756083,144.97137962133522
53944,"-37.8186009645687, 144.9622289233225",-37.8186009645687,144.9622289233225
62330,"-37.81813668321815, 144.9571243250818",-37.81813668321815,144.9571243250818
9436,"-37.80474052112139, 144.95739183635203",-37.80474052112139,144.95739183635203
56916,"-37.81676388017977, 144.95602613698526",-37.81676388017977,144.95602613698526
18065,"-37.81346065333692, 144.93937027942778",-37.81346065333692,144.93937027942778
