kerbsideid,location,Latitude,Longitude
53937,"-37.818170968410556, 144.962156073673",-37.818170968410556,144.962156073673
53931,"-37.81833392755065, 144.9622309130329",-37.81833392755065,144.9622309130329
54127,"-37.81646902222484, 144.96137412435405",-37.81646902222484,144.96137412435405
54519,"-37.812183699725175, 144.95953624823449",-37.812183699725175,144.95953624823449
54419,"-37.813369731195095, 144.96007705373032",-37.813369731195095,144.96007705373032
18543,"-37.82033820154115, 144.94946605994318",-37.82033820154115,144.94946605994318
20615,"-37.81950158229296, 144.9436659431201",-37.81950158229296,144.9436659431201
20901,"-37.81911258809131, 144.94429409405717",-37.81911258809131,144.94429409405717
51824,"-37.8145733924308, 144.9689087192393",-37.8145733924308,144.9689087192393
17498,"-37.82016441419583, 144.9423597136809",-37.82016441419583,144.9423597136809
13462,"-37.81936026692852, 144.9454449776039",-37.81936026692852,144.9454449776039
13459,"-37.819466221474826, 144.94507795509554",-37.819466221474826,144.94507795509554
13395,"-37.82001191603977, 144.94318768716136",-37.82001191603977,144.94318768716136
50816,"-37.81457508332559, 144.9718048322021",-37.81457508332559,144.9718048322021
20873,"-37.81966487313244, 144.94522347505338",-37.81966487313244,144.94522347505338
9969,"-37.79988378132984, 144.96556739097613",-37.79988378132984,144.96556739097613
60220,"-37.8170502739336, 144.96851255564815",-37.8170502739336,144.96851255564815
23813,"-37.80176581946087, 144.9565309645787",-37.80176581946087,144.9565309645787
23950,"-37.81396863389123, 144.9424133997139",-37.81396863389123,144.9424133997139
14991,"-37.813104291670655, 144.93674327010285",-37.813104291670655,144.93674327010285
9471,"-37.80578555699063, 144.95720698083218",-37.80578555699063,144.95720698083218
9467,"-37.80563500845564, 144.9572336095532",-37.80563500845564,144.9572336095532
69945,"-37.822523929297894, 144.9521005255906",-37.822523929297894,144.9521005255906
66418,"-37.813010689921775, 144.95582707006406",-37.813010689921775,144.95582707006406
66433,"-37.812841201958975, 144.9566041325585",-37.812841201958975,144.9566041325585
51314,"-37.80927499159071, 144.96936466798843",-37.80927499159071,144.96936466798843
62756,"-37.813641144701464, 144.9691289769056",-37.813641144701464,144.9691289769056
51636,"-37.81618810680853, 144.9695346167088",-37.81618810680853,144.9695346167088
5948,"-37.81191028278058, 144.9764222694892",-37.81191028278058,144.9764222694892
5942,"-37.81203633215699, 144.976530326033",-37.81203633215699,144.976530326033
5946,"-37.81207934675067, 144.97691974542658",-37.81207934675067,144.97691974542658
24591,"-37.81098023369967, 144.98622663255236",-37.81098023369967,144.98622663255236
17511,"-37.81092060298549, 144.97647600627818",-37.81092060298549,144.97647600627818
20638,"-37.80951140679669, 144.9782947399139",-37.80951140679669,144.9782947399139
23023,"-37.810840069426604, 144.97827273967437",-37.810840069426604,144.97827273967437
23032,"-37.81028160871656, 144.9783637210504",-37.81028160871656,144.9783637210504
18143,"-37.81130231619332, 144.98860190773735",-37.81130231619332,144.98860190773735
7525,"-37.8086024649121, 144.95857092089386",-37.8086024649121,144.95857092089386
61921,"-37.815027134564744, 144.96785393251673",-37.815027134564744,144.96785393251673
61829,"-37.81454632943891, 144.96949901409175",-37.81454632943891,144.96949901409175
9577,"-37.80446544036628, 144.94947086617978",-37.80446544036628,144.94947086617978
10678,"-37.80560674472771, 144.9543577623706",-37.80560674472771,144.9543577623706
11180,"-37.803361893890624, 144.9481784758012",-37.803361893890624,144.9481784758012
64234,"-37.81088357307434, 144.97075309929193",-37.81088357307434,144.97075309929193
64046,"-37.81619484477939, 144.95669416522756",-37.81619484477939,144.95669416522756
22022,"-37.79921728447782, 144.95361915083737",-37.79921728447782,144.95361915083737
21488,"-37.81989904504822, 144.94697696185258",-37.81989904504822,144.94697696185258
61514,"-37.818882455227026, 144.9587045572627",-37.818882455227026,144.9587045572627
65818,"-37.808607878231, 144.970924044992",-37.808607878231,144.970924044992
56918,"-37.816652485915284, 144.9559753633596",-37.816652485915284,144.9559753633596
18066,"-37.813509381874255, 144.93939985108887",-37.813509381874255,144.93939985108887
22939,"-37.81021819600076, 144.97813687073062",-37.81021819600076,144.97813687073062
63340,"-37.81760931195645, 144.95549253042145",-37.81760931195645,144.95549253042145
63510,"-37.81213414640016, 144.97011258637718",-37.81213414640016,144.97011258637718
63545,"-37.81236012778967, 144.9698963264026",-37.81236012778967,144.9698963264026
24988,"-37.811138752277614, 144.9755564875249",-37.811138752277614,144.9755564875249
7488,"-37.80984059050527, 144.9777482286793",-37.80984059050527,144.9777482286793
20634,"-37.81083563445006, 144.9835957644117",-37.81083563445006,144.9835957644117
25115,"-37.811948524327406, 144.98316853256844",-37.811948524327406,144.98316853256844
25100,"-37.81282437251139, 144.98302293872766",-37.81282437251139,144.98302293872766
62053,"-37.8159107017494, 144.96538744147296",-37.8159107017494,144.96538744147296
64569,"-37.813046773321524, 144.96352767863075",-37.813046773321524,144.96352767863075
64562,"-37.81283520704599, 144.96425294976993",-37.81283520704599,144.96425294976993
63151,"-37.8165324921413, 144.9591925424974",-37.8165324921413,144.9591925424974
62661,"-37.81286923126099, 144.97172047337548",-37.81286923126099,144.97172047337548
62663,"-37.81290627129786, 144.97159428137397",-37.81290627129786,144.97159428137397
10528,"-37.80250367256616, 144.9652451730745",-37.80250367256616,144.9652451730745
63424,"-37.81182606177407, 144.97116208822183",-37.81182606177407,144.97116208822183
63423,"-37.811808283287085, 144.9712227762285",-37.811808283287085,144.9712227762285
69940,"-37.82247677293327, 144.9522590082511",-37.82247677293327,144.9522590082511
51821,"-37.81390925934811, 144.96873118901527",-37.81390925934811,144.96873118901527
63532,"-37.8126245996564, 144.96844726345032",-37.8126245996564,144.96844726345032
61953,"-37.81518520397381, 144.9678692404943",-37.81518520397381,144.9678692404943
61933,"-37.81527606682237, 144.96700621790194",-37.81527606682237,144.96700621790194
52121,"-37.811082778084455, 144.9674352005439",-37.811082778084455,144.9674352005439
52150,"-37.81122603637375, 144.96725057400243",-37.81122603637375,144.96725057400243
63235,"-37.816862046092844, 144.9580346617822",-37.816862046092844,144.9580346617822
66427,"-37.81322200356425, 144.95508534746256",-37.81322200356425,144.95508534746256
62213,"-37.81706866623178, 144.96084067956667",-37.81706866623178,144.96084067956667
61648,"-37.819941167057515, 144.9553565516419",-37.819941167057515,144.9553565516419
61647,"-37.81992324264816, 144.9554198964517",-37.81992324264816,144.9554198964517
65110,"-37.8101844921807, 144.96909060989694",-37.8101844921807,144.96909060989694
54064,"-37.817344679211566, 144.96165560414704",-37.817344679211566,144.96165560414704
54415,"-37.81360543140286, 144.96018465655163",-37.81360543140286,144.96018465655163
56531,"-37.81635471704237, 144.957182692618",-37.81635471704237,144.957182692618
56532,"-37.81630177020598, 144.95715868822862",-37.81630177020598,144.95715868822862
54319,"-37.81425695347065, 144.96048296946535",-37.81425695347065,144.96048296946535
65344,"-37.8117512388985, 144.96442650276526",-37.8117512388985,144.96442650276526
65139,"-37.8103516363898, 144.96885285230542",-37.8103516363898,144.96885285230542
65552,"-37.813339019172425, 144.95864016115172",-37.813339019172425,144.95864016115172
51925,"-37.81355383064921, 144.96844271755066",-37.81355383064921,144.96844271755066
51926,"-37.81353111706288, 144.96843244981244",-37.81353111706288,144.96843244981244
65212,"-37.81090906486972, 144.96662346197735",-37.81090906486972,144.96662346197735
65213,"-37.81092948294076, 144.96655417860907",-37.81092948294076,144.96655417860907
65036,"-37.80953617826503, 144.97163714653533",-37.80953617826503,144.97163714653533
52226,"-37.810326116566685, 144.96696633465655",-37.810326116566685,144.96696633465655
52223,"-37.8103941257034, 144.96699783693825",-37.8103941257034,144.96699783693825
62246,"-37.817334516747486, 144.96048215380262",-37.817334516747486,144.96048215380262
61915,"-37.81491466165707, 144.96823782973135",-37.81491466165707,144.96823782973135
