,date,sensor_description,latitude,longitude,Total_Pedestrian_Count,day
1559,2019-05-27,Bourke Street Mall (North),-37.813494399999996,144.96515324,26633,Monday
1560,2019-05-28,Bourke Street Mall (North),-37.813494399999996,144.96515324,28548,Tuesday
1561,2019-05-29,Bourke Street Mall (North),-37.813494399999996,144.96515324,26896,Wednesday
1562,2019-05-30,Bourke Street Mall (North),-37.813494399999996,144.96515324,32351,Thursday
1563,2019-05-31,Bourke Street Mall (North),-37.813494399999996,144.96515324,35643,Friday
1564,2019-06-01,Bourke Street Mall (North),-37.813494399999996,144.96515324,34622,Saturday
1565,2019-06-02,Bourke Street Mall (North),-37.813494399999996,144.96515324,26094,Sunday
1566,2019-06-03,Bourke Street Mall (North),-37.813494399999996,144.96515324,24807,Monday
1567,2019-06-04,Bourke Street Mall (North),-37.813494399999996,144.96515324,30414,Tuesday
1568,2019-06-05,Bourke Street Mall (North),-37.813494399999996,144.96515324,30645,Wednesday
1569,2019-06-06,Bourke Street Mall (North),-37.813494399999996,144.96515324,32648,Thursday
1570,2019-06-07,Bourke Street Mall (North),-37.813494399999996,144.96515324,39753,Friday
1571,2019-06-08,Bourke Street Mall (North),-37.813494399999996,144.96515324,36631,Saturday
1572,2019-06-09,Bourke Street Mall (North),-37.813494399999996,144.96515324,32161,Sunday
1573,2019-06-10,Bourke Street Mall (North),-37.813494399999996,144.96515324,27949,Monday
1574,2019-06-11,Bourke Street Mall (North),-37.813494399999996,144.96515324,29308,Tuesday
1575,2019-06-12,Bourke Street Mall (North),-37.813494399999996,144.96515324,24990,Wednesday
1576,2019-06-13,Bourke Street Mall (North),-37.813494399999996,144.96515324,32687,Thursday
1577,2019-06-14,Bourke Street Mall (North),-37.813494399999996,144.96515324,37000,Friday
1578,2019-06-15,Bourke Street Mall (North),-37.813494399999996,144.96515324,33858,Saturday
1579,2019-06-16,Bourke Street Mall (North),-37.813494399999996,144.96515324,27345,Sunday
1580,2019-06-17,Bourke Street Mall (North),-37.813494399999996,144.96515324,29374,Monday
1581,2019-06-18,Bourke Street Mall (North),-37.813494399999996,144.96515324,26097,Tuesday
1582,2019-06-19,Bourke Street Mall (North),-37.813494399999996,144.96515324,27882,Wednesday
1583,2019-06-20,Bourke Street Mall (North),-37.813494399999996,144.96515324,31743,Thursday
1584,2019-06-21,Bourke Street Mall (North),-37.813494399999996,144.96515324,40150,Friday
1585,2019-06-22,Bourke Street Mall (North),-37.813494399999996,144.96515324,35019,Saturday
1586,2019-06-23,Bourke Street Mall (North),-37.813494399999996,144.96515324,28348,Sunday
1587,2019-06-24,Bourke Street Mall (North),-37.813494399999996,144.96515324,30680,Monday
1588,2019-06-25,Bourke Street Mall (North),-37.813494399999996,144.96515324,31570,Tuesday
1589,2019-06-26,Bourke Street Mall (North),-37.813494399999996,144.96515324,33142,Wednesday
1590,2019-06-27,Bourke Street Mall (North),-37.813494399999996,144.96515324,36396,Thursday
1591,2019-06-28,Bourke Street Mall (North),-37.813494399999996,144.96515324,41053,Friday
1592,2019-06-29,Bourke Street Mall (North),-37.813494399999996,144.96515324,29277,Saturday
1593,2019-06-30,Bourke Street Mall (North),-37.813494399999996,144.96515324,32452,Sunday
1594,2019-07-01,Bourke Street Mall (North),-37.813494399999996,144.96515324,31105,Monday
1595,2019-07-02,Bourke Street Mall (North),-37.813494399999996,144.96515324,31438,Tuesday
1596,2019-07-03,Bourke Street Mall (North),-37.813494399999996,144.96515324,29506,Wednesday
1597,2019-07-04,Bourke Street Mall (North),-37.813494399999996,144.96515324,31571,Thursday
1598,2019-07-05,Bourke Street Mall (North),-37.813494399999996,144.96515324,36639,Friday
1599,2019-07-06,Bourke Street Mall (North),-37.813494399999996,144.96515324,31882,Saturday
1600,2019-07-07,Bourke Street Mall (North),-37.813494399999996,144.96515324,24712,Sunday
1601,2019-07-08,Bourke Street Mall (North),-37.813494399999996,144.96515324,27967,Monday
1602,2019-07-09,Bourke Street Mall (North),-37.813494399999996,144.96515324,27670,Tuesday
