date, demand , RRP 
12/09/2015," 125,965.02 ", 49.74 
12/10/2015," 125,807.50 ", 50.81 
12/11/2015," 116,597.81 ", 32.02 
12/12/2015," 106,139.41 ", 34.14 
12/13/2015," 105,218.52 ", 40.31 
12/14/2015," 125,784.96 ", 51.75 
12/15/2015," 129,077.41 ", 51.66 
12/16/2015," 135,930.08 ", 78.65 
12/17/2015," 152,366.30 ", 188.09 
12/18/2015," 158,052.89 ", 81.19 
12/19/2015," 154,924.89 ", 69.33 
12/20/2015," 133,421.03 ", 54.65 
12/21/2015," 113,802.21 ", 49.62 
12/22/2015," 119,477.52 ", 37.53 
12/23/2015," 126,553.12 ", 39.14 
12/24/2015," 134,583.25 ", 50.82 
12/25/2015," 119,950.37 ", 22.12 
12/26/2015," 95,093.30 ", 14.97 
12/27/2015," 96,394.94 ", 19.82 
12/28/2015," 100,048.44 ", 20.10 
12/29/2015," 111,647.54 ", 27.33 
12/30/2015," 128,552.14 ", 43.83 
12/31/2015," 146,473.84 ", 101.99 
1/01/2016," 116,040.93 ", 32.53 
1/02/2016," 99,622.64 ", 21.89 
1/03/2016," 97,656.45 ", 19.90 
1/04/2016," 110,932.51 ", 25.44 
1/05/2016," 117,873.58 ", 29.92 
1/06/2016," 115,064.27 ", 31.79 
1/07/2016," 112,392.70 ", 34.45 
1/08/2016," 111,879.54 ", 36.89 
1/09/2016," 105,482.70 ", 41.99 
1/10/2016," 113,049.15 ", 44.48 
1/11/2016," 141,133.09 ", 88.12 
1/12/2016," 135,006.11 ", 62.54 
1/13/2016," 160,011.08 ", 545.74 
1/14/2016," 120,396.34 ", 36.37 
1/15/2016," 113,244.79 ", 30.20 
1/16/2016," 103,046.17 ", 23.67 
1/17/2016," 114,097.07 ", 29.15 
1/18/2016," 147,817.59 ", 43.41 
1/19/2016," 148,612.37 ", 49.26 
1/20/2016," 142,471.51 ", 53.30 
1/21/2016," 139,450.62 ", 55.47 
1/22/2016," 129,135.19 ", 42.34 
1/23/2016," 108,097.85 ", 26.98 
1/24/2016," 103,396.30 ", 26.41 
1/25/2016," 112,649.60 ", 27.60 
1/26/2016," 110,152.82 ", 25.28 
1/27/2016," 133,718.04 ", 32.76 
1/28/2016," 134,169.83 ", 33.32 
1/29/2016," 123,615.21 ", 32.69 
1/30/2016," 107,579.35 ", 23.85 
1/31/2016," 101,279.65 ", 23.48 
2/01/2016," 121,942.90 ", 31.59 
2/02/2016," 133,989.16 ", 35.64 
2/03/2016," 122,594.48 ", 27.88 
2/04/2016," 119,919.61 ", 22.39 
2/05/2016," 126,330.55 ", 26.85 
2/06/2016," 123,737.01 ", 28.72 
2/07/2016," 124,436.81 ", 33.49 
2/08/2016," 129,327.23 ", 33.91 
2/09/2016," 131,271.27 ", 38.71 
2/10/2016," 132,265.01 ", 41.38 
2/11/2016," 131,003.79 ", 34.39 
2/12/2016," 133,845.52 ", 40.63 
2/13/2016," 120,840.00 ", 32.23 
2/14/2016," 104,364.74 ", 26.27 
2/15/2016," 120,863.33 ", 32.56 
2/16/2016," 117,062.04 ", 29.59 
2/17/2016," 119,481.79 ", 32.50 
2/18/2016," 125,964.19 ", 47.40 
2/19/2016," 122,991.66 ", 43.69 
2/20/2016," 105,911.71 ", 26.30 
2/21/2016," 107,884.36 ", 24.61 
2/22/2016," 130,527.33 ", 55.28 
2/23/2016," 156,924.83 ", 66.96 
2/24/2016," 152,419.42 ", 72.24 
2/25/2016," 138,064.86 ", 43.39 
2/26/2016," 122,575.94 ", 35.55 
2/27/2016," 110,545.84 ", 32.11 
2/28/2016," 105,781.99 ", 30.40 
2/29/2016," 125,400.08 ", 41.26 
3/01/2016," 142,242.60 ", 96.29 
3/02/2016," 145,182.98 ", 53.91 
3/03/2016," 136,226.12 ", 49.55 
3/04/2016," 149,376.57 ", 43.23 
3/05/2016," 124,692.32 ", 37.43 
3/06/2016," 117,707.95 ", 41.32 
3/07/2016," 131,465.83 ", 41.15 
3/08/2016," 160,285.02 ", 253.03 
3/09/2016," 152,599.13 ", 66.41 
3/10/2016," 135,635.71 ", 46.52 
3/11/2016," 141,414.35 ", 49.79 
3/12/2016," 119,690.76 ", 37.32 
3/13/2016," 111,329.62 ", 30.09 
3/14/2016," 105,388.57 ", 24.79 
3/15/2016," 123,073.98 ", 28.46 
3/16/2016," 135,047.63 ", 54.35 
3/17/2016," 143,184.81 ", 49.49 
3/18/2016," 118,189.72 ", 33.97 
3/19/2016," 105,484.10 ", 48.72 
3/20/2016," 100,394.06 ", 47.18 
3/21/2016," 117,796.72 ", 49.68 
3/22/2016," 124,081.46 ", 56.87 
3/23/2016," 126,074.90 ", 44.26 
3/24/2016," 125,072.73 ", 42.35 
3/25/2016," 101,740.89 ", 30.22 
3/26/2016," 102,726.75 ", 30.54 
3/27/2016," 98,324.65 ", 25.86 
3/28/2016," 102,746.60 ", 27.59 
3/29/2016," 118,281.13 ", 31.07 
3/30/2016," 122,625.21 ", 29.06 
3/31/2016," 122,964.72 ", 21.90 
4/01/2016," 116,321.60 ", 14.49 
4/02/2016," 102,832.72 ", 13.57 
4/03/2016," 102,084.00 ", 15.80 
4/04/2016," 120,445.74 ", 38.47 
4/05/2016," 120,371.24 ", 21.42 
4/06/2016," 125,657.13 ", 45.52 
4/07/2016," 125,663.33 ", 52.13 
4/08/2016," 124,266.89 ", 75.36 
4/09/2016," 109,044.90 ", 73.14 
4/10/2016," 99,845.35 ", 35.12 
4/11/2016," 118,614.01 ", 62.31 
4/12/2016," 123,808.76 ", 62.96 
4/13/2016," 124,686.63 ", 77.21 
4/14/2016," 126,519.07 ", 92.93 
4/15/2016," 124,721.49 ", 81.72 
4/16/2016," 108,525.97 ", 51.53 
4/17/2016," 100,526.31 ", 39.13 
4/18/2016," 123,441.82 ", 61.63 
4/19/2016," 126,846.45 ", 54.57 
4/20/2016," 125,204.79 ", 40.05 
4/21/2016," 125,514.14 ", 55.74 
4/22/2016," 120,124.31 ", 52.30 
4/23/2016," 108,773.75 ", 36.73 
4/24/2016," 105,642.28 ", 30.68 
4/25/2016," 104,072.44 ", 39.09 
4/26/2016," 117,437.67 ", 56.44 
4/27/2016," 118,531.50 ", 19.41 
4/28/2016," 126,847.02 ", 60.58 
4/29/2016," 122,054.13 ", 51.75 
4/30/2016," 103,505.20 ", 27.11 
5/01/2016," 98,873.54 ", 31.87 
5/02/2016," 116,969.63 ", 37.35 
5/03/2016," 119,014.45 ", 22.24 
5/04/2016," 124,525.19 ", 47.75 
5/05/2016," 118,192.06 ", 27.23 
5/06/2016," 120,421.32 ", 64.32 
5/07/2016," 106,052.64 ", 46.63 
5/08/2016," 103,487.28 ", 59.14 
5/09/2016," 119,781.14 ", 100.81 
5/10/2016," 119,611.88 ", 36.98 
5/11/2016," 123,616.28 ", 59.85 
5/12/2016," 120,693.53 ", 53.80 
5/13/2016," 118,800.07 ", 52.37 
5/14/2016," 101,946.00 ", 28.28 
5/15/2016," 99,697.62 ", 37.08 
5/16/2016," 121,182.70 ", 41.92 
5/17/2016," 124,209.41 ", 68.33 
5/18/2016," 124,352.22 ", 70.59 
5/19/2016," 124,392.29 ", 44.40 
5/20/2016," 127,705.84 ", 79.80 
5/21/2016," 112,336.78 ", 45.75 
5/22/2016," 101,618.98 ", 24.19 
5/23/2016," 121,424.42 ", 10.80 
5/24/2016," 131,916.41 ", 45.21 
5/25/2016," 132,170.05 ", 66.26 
5/26/2016," 137,080.88 ", 99.42 
5/27/2016," 134,317.62 ", 68.19 
5/28/2016," 119,938.80 ", 81.99 
5/29/2016," 118,751.97 ", 68.72 
5/30/2016," 134,983.96 ", 115.78 
5/31/2016," 140,402.15 ", 156.46 
6/01/2016," 141,195.03 ", 168.85 
6/02/2016," 141,292.56 ", 180.91 
6/03/2016," 137,717.26 ", 175.85 
6/04/2016," 122,764.33 ", 126.75 
6/05/2016," 116,052.81 ", 122.79 
6/06/2016," 134,829.76 ", 107.45 
6/07/2016," 135,306.01 ", 88.33 
6/08/2016," 137,305.36 ", 91.32 
6/09/2016," 132,859.31 ", 50.24 
6/10/2016," 132,209.52 ", 47.43 
6/11/2016," 120,753.43 ", 55.59 
6/12/2016," 122,771.53 ", 77.22 
6/13/2016," 122,106.95 ", 95.06 
6/14/2016," 138,466.56 ", 90.85 
6/15/2016," 140,904.59 ", 92.42 
6/16/2016," 140,741.17 ", 89.93 
6/17/2016," 138,023.11 ", 99.57 
6/18/2016," 123,162.19 ", 62.93 
6/19/2016," 119,662.17 ", 79.38 
6/20/2016," 134,435.12 ", 114.88 
6/21/2016," 137,511.32 ", 62.15 
6/22/2016," 133,813.29 ", 58.76 
6/23/2016," 136,740.01 ", 78.32 
6/24/2016," 144,658.38 ", 67.94 
6/25/2016," 131,730.84 ", 99.76 
6/26/2016," 126,455.94 ", 120.44 
6/27/2016," 148,640.00 ", 127.35 
6/28/2016," 142,146.31 ", 110.28 
6/29/2016," 136,071.97 ", 80.13 
6/30/2016," 141,078.46 ", 115.12 
7/01/2016," 136,676.72 ", 117.71 
7/02/2016," 118,683.57 ", 90.46 
7/03/2016," 112,556.41 ", 68.60 
7/04/2016," 135,712.25 ", 124.14 
7/05/2016," 142,401.80 ", 147.19 
7/06/2016," 134,056.10 ", 116.68 
7/07/2016," 138,768.05 ", 176.91 
