,date_new,Min,Max,Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres),SouthernCrossCount,VictoriaPointCount
227,2015-08-16,4.7,17.0,9.5,0.2,1414.0,1757.0
228,2015-08-17,6.8,12.2,9.9,2.4,5182.0,15991.0
229,2015-08-18,6.1,11.1,9.8,0.6,5595.0,16511.0
230,2015-08-19,5.5,12.7,10.2,0.0,5505.0,16384.0
231,2015-08-20,6.1,17.1,12.7,0.0,5949.0,16601.0
232,2015-08-21,10.9,18.7,4.1,0.0,6393.0,16121.0
233,2015-08-22,11.8,18.8,11.8,0.0,2084.0,2423.0
234,2015-08-23,7.9,16.3,13.1,0.0,1285.0,1505.0
235,2015-08-24,8.5,14.5,9.6,0.0,5267.0,16231.0
236,2015-08-25,9.5,14.3,8.1,0.0,5650.0,16895.0
237,2015-08-26,9.2,14.6,7.8,0.2,5717.0,16160.0
238,2015-08-27,9.8,11.7,2.7,0.8,4854.0,16413.0
239,2015-08-28,8.1,13.2,12.2,17.4,6133.0,16574.0
240,2015-08-29,6.3,11.7,9.1,1.8,1681.0,1857.0
241,2015-08-30,7.9,12.5,14.3,2.2,2120.0,1772.0
242,2015-08-31,8.1,13.0,11.5,0.0,5270.0,16189.0
243,2015-09-01,5.1,16.2,15.7,0.0,5345.0,16109.0
244,2015-09-02,8.0,18.8,10.5,0.0,5273.0,16057.0
245,2015-09-03,10.6,14.0,8.0,4.4,5467.0,16646.0
246,2015-09-04,8.7,13.7,13.0,0.0,5929.0,14271.0
247,2015-09-05,10.2,14.0,14.8,0.0,1402.0,1727.0
248,2015-09-06,5.8,16.6,11.8,0.0,1150.0,1216.0
249,2015-09-07,8.9,13.6,9.2,3.6,3586.0,16399.0
250,2015-09-08,8.8,12.8,11.1,2.0,3805.0,16438.0
251,2015-09-09,10.0,15.3,11.4,0.0,4405.0,16519.0
252,2015-09-10,10.0,15.7,17.3,0.0,5456.0,17485.0
253,2015-09-11,5.1,20.1,17.7,0.0,5673.0,15834.0
254,2015-09-12,12.2,21.7,10.2,0.0,1135.0,1862.0
255,2015-09-13,13.2,25.5,17.1,0.0,1137.0,1614.0
256,2015-09-14,15.4,26.7,17.8,0.0,3787.0,15843.0
257,2015-09-15,10.8,15.9,15.0,15.8,5150.0,16287.0
258,2015-09-16,8.9,14.8,17.6,0.0,4369.0,16311.0
259,2015-09-17,9.0,14.3,12.4,0.4,4082.0,16519.0
260,2015-09-18,10.5,14.7,8.1,0.0,5745.0,15731.0
261,2015-09-19,6.5,21.3,17.0,0.0,1732.0,1787.0
262,2015-09-20,8.5,22.9,17.3,0.0,1144.0,1493.0
263,2015-09-21,14.0,18.1,6.7,0.0,4692.0,15530.0
264,2015-09-22,7.6,12.7,17.4,4.4,5324.0,16302.0
265,2015-09-23,8.5,12.6,20.3,0.0,5231.0,16151.0
266,2015-09-24,5.1,14.3,18.2,0.0,5352.0,16132.0
267,2015-09-25,5.8,19.1,20.2,0.0,5160.0,15594.0
268,2015-09-26,6.6,17.9,20.1,0.0,1644.0,2145.0
269,2015-09-27,9.8,20.2,19.6,0.0,1609.0,1662.0
270,2015-09-28,8.3,21.4,13.6,0.0,5134.0,15842.0
271,2015-09-29,9.0,16.9,13.5,0.0,5271.0,16436.0
272,2015-09-30,11.5,15.9,16.8,0.0,5385.0,18157.0
273,2015-10-01,6.0,21.6,21.7,0.0,5762.0,16742.0
274,2015-10-02,9.9,28.6,21.7,0.0,2152.0,3043.0
275,2015-10-03,16.3,31.3,22.2,0.0,1553.0,1727.0
276,2015-10-04,13.9,24.9,22.2,0.0,1148.0,1489.0
277,2015-10-05,12.7,34.4,22.0,0.0,4416.0,15865.0
278,2015-10-06,15.5,35.8,18.9,0.0,5399.0,15535.0
279,2015-10-07,11.8,16.2,23.6,0.0,3804.0,16541.0
280,2015-10-08,7.6,18.6,23.3,0.0,5396.0,16436.0
281,2015-10-09,10.9,29.9,22.0,0.0,5487.0,16682.0
282,2015-10-10,17.5,29.2,11.9,0.0,1489.0,2295.0
283,2015-10-11,16.9,19.2,19.6,0.4,1079.0,1573.0
284,2015-10-12,11.3,16.1,13.4,0.6,4723.0,17197.0
285,2015-10-13,7.9,17.6,24.3,0.4,5487.0,17571.0
286,2015-10-14,11.2,28.6,24.4,0.0,5532.0,17649.0
287,2015-10-15,14.4,34.0,22.2,0.0,5446.0,18090.0
288,2015-10-16,17.0,23.8,8.4,0.0,4847.0,16690.0
289,2015-10-17,11.5,20.5,20.4,0.0,1977.0,2813.0
290,2015-10-18,12.6,17.7,24.2,0.0,1031.0,1668.0
291,2015-10-19,8.3,26.7,25.8,0.0,5047.0,16259.0
292,2015-10-20,12.9,31.8,14.4,0.0,5306.0,17050.0
293,2015-10-21,17.6,18.3,7.3,2.4,4783.0,16242.0
