census_year,clue_small_area,Total_cafe,accommodation_and_food_services,administrative_and_support_services,agriculture_forestry_and_fishing,arts_and_recreation_services,construction,education_and_training,electricity_gas_water_and_waste_services,financial_and_insurance_services,health_care_and_social_assistance,information_media_and_telecommunications,manufacturing,mining,other_services,professional_scientific_and_technical_services,public_administration_and_safety,rental_hiring_and_real_estate_services,retail_trade,transport_postal_and_warehousing,wholesale_trade,total_establishments_in_block,Total_Dwel,New_Cafe
2007,Docklands,139,58.5,15.200000000000001,0.0,14.399999999999999,3.6,5.4,2.4,14.4,9.0,9.600000000000001,8.1,0.1,7.0,39.2,8.8,19.8,157.0,24.599999999999998,5.0,288.5,73.0,0
2007,East Melbourne,70,31.0,9.600000000000001,0.0,25.2,0.8,15.3,2.4,14.4,208.0,7.2,5.4,0.0,10.600000000000001,67.2,16.8,4.2,19.0,2.4,3.0,290.0,0.0,0
2007,Kensington,12,5.0,1.6,0.0,35.4,0.6000000000000001,0.9,1.5,1.6,10.0,1.6,18.900000000000002,0.0,2.8000000000000003,7.2,1.6,1.2,11.0,3.0,7.5,86.5,10.0,25
2007,Melbourne (CBD),1403,647.5,426.40000000000003,1.4000000000000001,78.6,15.200000000000001,216.9,17.099999999999998,548.8000000000001,360.0,180.8,257.40000000000003,4.2,130.0,1344.8000000000002,141.6,104.39999999999999,1622.0,70.2,66.5,4247.0,1054.0,77
2007,Melbourne (Remainder),48,13.5,18.400000000000002,0.2,25.2,1.4000000000000001,5.4,0.8999999999999999,30.400000000000002,63.0,8.0,8.1,0.1,6.6000000000000005,71.2,8.0,2.4,22.0,4.8,5.0,203.0,0.0,15
2007,North Melbourne,121,51.5,34.4,0.0,27.599999999999998,6.800000000000001,22.5,8.4,18.400000000000002,70.0,35.2,70.2,0.1,29.400000000000002,116.0,9.600000000000001,18.0,115.0,27.599999999999998,41.5,536.5,103.0,0
2007,Parkville,36,25.5,1.6,0.2,16.8,0.2,13.5,2.1,8.0,70.0,3.2,2.7,0.0,5.0,12.0,2.4000000000000004,0.6,23.0,3.5999999999999996,0.0,132.5,76.0,0
2007,Port Melbourne,15,4.0,8.0,0.2,4.8,3.8000000000000003,1.8,1.7999999999999998,6.4,2.0,15.200000000000001,54.0,0.2,1.4000000000000001,42.400000000000006,4.0,2.4,22.0,22.8,27.0,164.0,1.0,0
2007,South Yarra,15,8.5,0.8,0.0,3.0,0.0,11.700000000000001,1.5,0.0,3.0,0.8,0.0,0.0,2.0,0.0,0.8,0.0,10.0,0.0,0.0,33.0,0.0,1
2007,Southbank,131,61.0,22.400000000000002,0.8,25.2,2.4000000000000004,8.1,7.5,20.8,17.0,26.400000000000002,18.0,0.5,12.200000000000001,79.2,8.8,17.4,100.0,7.199999999999999,8.5,336.0,0.0,10
2007,West Melbourne (Industrial),9,3.5,1.6,0.2,6.0,0.6000000000000001,0.0,3.5999999999999996,0.8,0.0,2.4000000000000004,10.8,0.0,1.0,4.0,3.2,7.199999999999999,7.0,39.6,122.0,197.0,0.0,0
2007,West Melbourne (Residential),64,26.0,10.4,0.0,12.0,2.6,12.6,3.3,12.0,15.0,14.4,25.2,0.0,13.4,74.4,9.600000000000001,3.5999999999999996,49.0,14.399999999999999,23.5,248.5,38.0,0
2008,Carlton,316,119.5,21.6,0.2,22.8,2.4000000000000004,76.5,4.5,29.6,93.0,18.400000000000002,27.900000000000002,0.0,30.400000000000002,121.60000000000001,16.8,9.6,168.0,4.2,13.5,572.0,217.0,22
2008,Docklands,139,58.5,15.200000000000001,0.0,14.399999999999999,3.6,5.4,2.4,14.4,9.0,9.600000000000001,8.1,0.1,7.0,39.2,8.8,19.8,157.0,24.599999999999998,5.0,288.5,89.0,72
2008,East Melbourne,69,31.0,9.600000000000001,0.0,25.2,0.8,15.3,2.4,14.4,208.0,7.2,5.4,0.0,10.600000000000001,67.2,16.8,4.2,19.0,2.4,3.0,290.0,27.0,5
2008,Kensington,37,14.5,5.6000000000000005,0.2,49.199999999999996,2.8000000000000003,5.4,3.3,3.2,16.0,4.800000000000001,32.4,0.0,8.0,16.0,4.0,4.2,29.0,7.8,16.5,179.5,86.0,0
2008,Melbourne (CBD),1480,676.0,446.40000000000003,1.6,82.2,16.400000000000002,276.3,18.3,601.6,384.0,176.8,258.3,4.800000000000001,135.8,1462.4,153.60000000000002,113.39999999999999,1609.0,65.39999999999999,60.5,4462.0,33.0,82
2008,Melbourne (Remainder),63,18.5,18.400000000000002,0.2,25.8,1.8,6.3,0.8999999999999999,37.6,63.0,9.600000000000001,8.1,0.1,6.0,72.0,5.6000000000000005,4.8,18.0,3.5999999999999996,4.0,211.0,0.0,0
2008,North Melbourne,121,51.5,34.4,0.0,27.599999999999998,6.800000000000001,22.5,8.4,18.400000000000002,70.0,35.2,70.2,0.1,29.400000000000002,116.0,9.600000000000001,18.0,115.0,27.599999999999998,41.5,536.5,59.0,16
2008,Parkville,36,25.5,1.6,0.2,16.8,0.2,13.5,2.1,8.0,70.0,3.2,2.7,0.0,5.0,12.0,2.4000000000000004,0.6,23.0,3.5999999999999996,0.0,132.5,31.0,0
2008,Port Melbourne,15,4.0,9.600000000000001,0.2,5.3999999999999995,6.2,3.6,2.1,7.2,1.0,14.4,54.0,0.2,1.4000000000000001,43.2,3.2,2.4,20.0,21.599999999999998,29.0,172.5,0.0,0
