date_new,Public Holiday?,Min,Max,Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres),CollinsPlaceNorth
2015-07-05,0,8.2,14.9,8.2,2.0,1977.0
2015-07-06,0,7.5,11.5,4.4,1.6,10148.0
2015-07-07,0,7.4,14.2,7.0,2.2,10756.0
2015-07-08,0,4.9,14.8,8.5,0.2,10030.0
2015-07-09,0,6.5,13.4,3.5,0.0,10573.0
2015-07-10,0,7.6,14.3,5.8,0.0,10278.0
2015-07-11,0,10.9,13.1,3.7,0.2,2215.0
2015-07-12,0,3.4,12.3,2.9,1.6,1127.0
2015-07-13,0,6.1,12.7,4.2,28.4,10451.0
2015-07-14,0,8.1,9.8,4.8,3.8,10678.0
2015-07-15,0,5.8,10.5,7.4,3.6,10623.0
2015-07-16,0,6.6,12.3,8.1,0.2,11006.0
2015-07-17,0,7.3,12.3,6.5,2.4,10660.0
2015-07-18,0,6.1,11.5,9.5,0.4,3773.0
2015-07-19,0,0.6,12.1,9.7,0.0,1923.0
2015-07-20,0,1.8,14.7,9.7,0.0,10299.0
2015-07-21,0,4.2,17.0,8.6,0.0,11326.0
2015-07-22,0,11.4,16.6,6.0,1.6,10654.0
2015-07-23,0,5.1,16.1,9.5,0.0,11554.0
2015-07-24,0,7.6,15.0,4.4,1.2,11691.0
2015-07-25,0,9.4,13.3,7.7,0.8,3002.0
2015-07-26,0,8.1,11.6,8.5,3.2,3388.0
2015-07-27,0,6.2,13.9,9.6,0.8,11322.0
2015-07-28,0,7.9,14.4,10.2,0.0,11725.0
2015-07-29,0,8.4,14.0,9.0,0.0,10739.0
2015-07-30,0,8.6,12.3,4.5,0.0,10756.0
2015-07-31,0,4.1,14.0,10.8,0.6,10991.0
2015-08-01,0,6.5,11.4,4.2,0.2,2345.0
2015-08-02,0,7.8,14.9,8.3,0.0,1435.0
2015-08-03,0,7.3,10.8,9.4,6.4,10182.0
2015-08-04,0,3.5,11.3,7.1,0.0,10886.0
2015-08-05,0,6.6,10.8,8.0,1.0,10713.0
2015-08-06,0,7.1,12.8,7.0,1.6,11509.0
2015-08-07,0,9.0,13.1,9.0,1.4,10655.0
2015-08-08,0,8.8,12.6,6.6,0.4,2378.0
2015-08-09,0,7.7,13.3,6.9,0.0,1676.0
2015-08-10,0,8.3,16.0,10.7,0.2,10699.0
2015-08-11,0,7.8,14.8,11.7,0.8,10862.0
2015-08-12,0,9.3,14.8,9.2,0.0,10954.0
2015-08-13,0,8.4,13.0,7.0,0.2,11087.0
2015-08-14,0,10.4,15.3,7.3,0.0,10861.0
2015-08-15,0,10.0,14.9,10.9,0.4,3459.0
2015-08-16,0,4.7,17.0,9.5,0.2,1748.0
2015-08-17,0,6.8,12.2,9.9,2.4,10410.0
2015-08-18,0,6.1,11.1,9.8,0.6,10569.0
2015-08-19,0,5.5,12.7,10.2,0.0,10664.0
2015-08-20,0,6.1,17.1,12.7,0.0,10767.0
2015-08-21,0,10.9,18.7,4.1,0.0,10789.0
2015-08-22,0,11.8,18.8,11.8,0.0,2447.0
2015-08-23,0,7.9,16.3,13.1,0.0,1466.0
2015-08-24,0,8.5,14.5,9.6,0.0,10530.0
2015-08-25,0,9.5,14.3,8.1,0.0,10844.0
2015-08-26,0,9.2,14.6,7.8,0.2,10709.0
2015-08-27,0,9.8,11.7,2.7,0.8,11737.0
2015-08-28,0,8.1,13.2,12.2,17.4,10812.0
2015-08-29,0,6.3,11.7,9.1,1.8,2020.0
2015-08-30,0,7.9,12.5,14.3,2.2,1426.0
2015-08-31,0,8.1,13.0,11.5,0.0,10373.0
