Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,DE_Admin_Region,LGA_Name,DE_Admin_AREA,"Prep Total""""","Year 1 Total""""","Year 2 Total""""","Year 3 Total""""","Year 4 Total""""","Year 5 Total""""","Year 6 Total""""","Primary Ungraded Total""""","Primary Total""""","Year 7 Total""""","Year 8 Total""""","Year 9 Total""""","Year 10 Total""""","Year 11 Total""""","Year 12 Total""""","Secondary Ungraded Total""""","Secondary Total""""","Grand Total""""",Year,CENSUS_TYPE
Catholic,2,1393,Sacred Heart School,Primary,O,NORTH-EASTERN VICTORIA,Monash (C),Inner Eastern Melbourne,21,18,36,25,31,29,41,0,201,0,0,0,0,0,0,0,0,201,2024,F
Catholic,2,1398,St Mark's School,Primary,O,NORTH-WESTERN VICTORIA,Merri-bek (C),Hume Merri-bek,32,23,27,18,20,20,14,0,154,0,0,0,0,0,0,0,0,154,2024,F
Catholic,2,1406,St John the Baptist School,Primary,O,NORTH-EASTERN VICTORIA,Knox (C),Outer Eastern Melbourne,32,37,32,43,28,21,19,0,212,0,0,0,0,0,0,0,0,212,2024,F
Catholic,2,1407,St John's School,Primary,O,NORTH-EASTERN VICTORIA,Whitehorse (C),Inner Eastern Melbourne,16,13,24,19,27,20.4,31.4,0,150.8,0,0,0,0,0,0,0,0,150.8,2024,F
Catholic,2,1408,St Mary's School,Primary,O,NORTH-EASTERN VICTORIA,Greater Shepparton (C),Goulburn,43,41,25,45,38,47,43.2,0,282.2,0,0,0,0,0,0,0,0,282.2,2024,F
Catholic,2,1412,St Raphael's School,Primary,O,NORTH-WESTERN VICTORIA,Darebin (C),North Eastern Melbourne,32,54,46,42,38,44,32,0,288,0,0,0,0,0,0,0,0,288,2024,F
Catholic,2,1415,St Kevin's College,Pri/Sec,O,SOUTH-EASTERN VICTORIA,Stonnington (C),Bayside Peninsula,28,38,44,44,51,134,141,0,480,253,276,272,282,281,275,0,1639,2119,2024,F
Catholic,2,1416,St John the Baptist's School,Primary,O,SOUTH-EASTERN VICTORIA,Cardinia (S),Southern Melbourne,31,19,38,29,32,31,29,0,209,0,0,0,0,0,0,0,0,209,2024,F
Catholic,2,1422,St Vincent de Paul's School,Primary,O,SOUTH-WESTERN VICTORIA,Moonee Valley (C),Western Melbourne,55,53,78,66,68,54,56,0,430,0,0,0,0,0,0,0,0,430,2024,F
Catholic,2,1425,St Joseph's College Geelong,Secondary,O,SOUTH-WESTERN VICTORIA,Greater Geelong (C),Barwon,0,0,0,0,0,0,0,0,0,295.4,283,303,295,291,283,0,1750.4,1750.4,2024,F
Catholic,2,1429,St Joseph's School,Primary,O,SOUTH-EASTERN VICTORIA,Greater Dandenong (C),Southern Melbourne,72,79,81,71,79,89,73,0,544,0,0,0,0,0,0,0,0,544,2024,F
Catholic,2,1431,St Bede's College,Secondary,O,SOUTH-EASTERN VICTORIA,Kingston (C),Bayside Peninsula,0,0,0,0,0,0,0,0,0,325,324,335,302,312,292,0,1890,1890,2024,F
Catholic,2,1438,Holy Name School,Primary,O,NORTH-WESTERN VICTORIA,Darebin (C),North Eastern Melbourne,28,33,31,23,37,28,38,0,218,0,0,0,0,0,0,0,0,218,2024,F
Catholic,2,1445,Siena College Ltd,Secondary,O,NORTH-EASTERN VICTORIA,Boroondara (C),Inner Eastern Melbourne,0,0,0,0,0,0,0,0,0,139,119,102,141,117,128,0,746,746,2024,F
Catholic,2,1459,St Bernard's School,Primary,O,NORTH-WESTERN VICTORIA,Merri-bek (C),Hume Merri-bek,14,26,24,29,22,22,24,0,161,0,0,0,0,0,0,0,0,161,2024,F
Catholic,2,1465,St Oliver Plunkett's School,Primary,O,NORTH-WESTERN VICTORIA,Merri-bek (C),Hume Merri-bek,51,64,49,48,49,50,38,0,349,0,0,0,0,0,0,0,0,349,2024,F
Catholic,2,1466,Corpus Christi School,Primary,O,SOUTH-WESTERN VICTORIA,Maribyrnong (C),Western Melbourne,39,28,27,26,29,21,33,0,203,0,0,0,0,0,0,0,0,203,2024,F
Catholic,2,1470,St Robert's School,Primary,O,SOUTH-WESTERN VICTORIA,Greater Geelong (C),Barwon,43,26,41,41,47,43,55,0,296,0,0,0,0,0,0,0,0,296,2024,F
Catholic,2,1471,St Bernard's College,Secondary,O,SOUTH-WESTERN VICTORIA,Moonee Valley (C),Western Melbourne,0,0,0,0,0,0,0,0,0,275,253,267,264,255,254,0,1568,1568,2024,F
Catholic,2,1473,Whitefriars College,Secondary,O,NORTH-EASTERN VICTORIA,Manningham (C),Inner Eastern Melbourne,0,0,0,0,0,0,0,0,0,172,169,176,203,158,169,0,1047,1047,2024,F
Catholic,2,1477,St Michael's School,Primary,O,NORTH-EASTERN VICTORIA,Boroondara (C),Inner Eastern Melbourne,32,26,43,36,28,30,20.4,0,215.4,0,0,0,0,0,0,0,0,215.4,2024,F
Catholic,2,1480,St Mary's School,Primary,O,SOUTH-WESTERN VICTORIA,Moorabool (S),Central Highlands,2,1,1,4,3,2,4,0,17,0,0,0,0,0,0,0,0,17,2024,F
Catholic,2,1481,Our Lady of the Sacred Heart College,Secondary,O,SOUTH-EASTERN VICTORIA,Glen Eira (C),Bayside Peninsula,0,0,0,0,0,0,0,0,0,98,117,130,113,123,117,0,698,698,2024,F
Catholic,2,1482,St Bede's School,Primary,O,NORTH-EASTERN VICTORIA,Boroondara (C),Inner Eastern Melbourne,26,39,34,54,27,46,31,0,257,0,0,0,0,0,0,0,0,257,2024,F
Catholic,2,1485,Salesian College Chadstone,Secondary,O,NORTH-EASTERN VICTORIA,Monash (C),Inner Eastern Melbourne,0,0,0,0,0,0,0,0,0,143,143,177,173,168,180.5,0,984.5,984.5,2024,F
Catholic,2,1488,St Patrick's School,Primary,O,SOUTH-WESTERN VICTORIA,Hindmarsh (S),Wimmera South West,11,10,12,7,7,8,11,0,66,0,0,0,0,0,0,0,0,66,2024,F
Catholic,2,1489,St Margaret's School,Primary,O,SOUTH-WESTERN VICTORIA,Greater Geelong (C),Barwon,24,26,39,41,29,38,28,0,225,0,0,0,0,0,0,0,0,225,2024,F
