name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,business_associate_present,web_description,breach_year,breach_month,severity_level,type_of_breach_encoded,location_of_breached_information_encoded,covered_entity_type_encoded
Authority of the City of Bainbridge and Decatur County (“Memorial Hospital & Manor”),GA,Healthcare Provider,120085.0,2025-02-08,Hacking/IT Incident,Network Server,No,No description provided,2025,2,Critical,0,83,3
"Blue & Co., LLC",IN,Business Associate,501.0,2025-02-07,Hacking/IT Incident,Network Server,Yes,No description provided,2025,2,Low,0,83,0
St. Andrew’s Resources for Seniors System,MO,Healthcare Provider,4434.0,2025-02-07,Hacking/IT Incident,Email,No,No description provided,2025,2,Moderate,0,66,3
The League Treatment Center,NY,Healthcare Provider,825.0,2025-02-06,Hacking/IT Incident,Network Server,No,No description provided,2025,2,Low,0,83,3
Insurance ACE/Humana Inc.,KY,Health Plan,8553.0,2025-02-06,Unauthorized Access/Disclosure,Paper/Films,Yes,No description provided,2025,2,Moderate,28,94,1
"U.S. HEALTHWORKS-SMMPP, L.C.",AZ,Business Associate,10673.0,2025-02-06,Hacking/IT Incident,Network Server,Yes,No description provided,2025,2,High,0,83,0
"Primary Health-SMMPP, L.C.",AZ,Business Associate,67567.0,2025-02-06,Hacking/IT Incident,Network Server,Yes,No description provided,2025,2,High,0,83,0
Catholic Charities West Michigan,MI,Healthcare Provider,2000.0,2025-02-06,Hacking/IT Incident,Network Server,No,No description provided,2025,2,Moderate,0,83,3
"VectraRx Mail Pharmacy Services, LLC",AZ,Healthcare Provider,109383.0,2025-02-06,Hacking/IT Incident,Network Server,No,No description provided,2025,2,Critical,0,83,3
City of McKinney,TX,Health Plan,17751.0,2025-02-03,Unauthorized Access/Disclosure,Network Server,No,No description provided,2025,2,High,28,83,1
"ARC Community Services, Inc.",WI,Healthcare Provider,501.0,2025-02-02,Hacking/IT Incident,Network Server,No,No description provided,2025,2,Low,0,83,3
Jewish Child Care Association of New York,NY,Business Associate,501.0,2025-01-31,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Low,0,83,0
"Infosys Public Services, Inc. (“Infosys”)",MD,Business Associate,2985.0,2025-01-31,Unauthorized Access/Disclosure,Network Server,Yes,No description provided,2025,1,Moderate,28,83,0
Regence BlueShield,OR,Business Associate,783.0,2025-01-31,Unauthorized Access/Disclosure,Network Server,Yes,No description provided,2025,1,Low,28,83,0
"Lucent Health Solutions, LLC",TN,Business Associate,37000.0,2025-01-30,Hacking/IT Incident,Email,Yes,No description provided,2025,1,High,0,66,0
Methodist Homes of Alabama and Northwest Florida,AL,Healthcare Provider,908.0,2025-01-30,Hacking/IT Incident,Network Server,No,No description provided,2025,1,Low,0,83,3
ZI NEUROSCIENCES,NJ,Healthcare Provider,1000.0,2025-01-30,Unauthorized Access/Disclosure,"Other, Paper/Films",No,No description provided,2025,1,Moderate,28,93,3
St Clair Orthopaedics & Sports Medicine,MI,Healthcare Provider,340000.0,2025-01-30,Hacking/IT Incident,Network Server,No,No description provided,2025,1,Critical,0,83,3
"Community Health Center, Inc.",CT,Healthcare Provider,1060936.0,2025-01-30,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,No description provided,2025,1,Critical,0,60,3
"Cardiology of Virginia, Inc. ",VA,Healthcare Provider,21085.0,2025-01-28,Hacking/IT Incident,Network Server,No,No description provided,2025,1,High,0,83,3
"Endo Group, LLC",NY,Healthcare Provider,4498.0,2025-01-27,Hacking/IT Incident,Email,No,No description provided,2025,1,Moderate,0,66,3
Spring River Mental Health & Wellness,KS,Healthcare Provider,3250.0,2025-01-24,Hacking/IT Incident,Network Server,No,No description provided,2025,1,Moderate,0,83,3
"OrthoMinds, LLC",GA,Business Associate,501.0,2025-01-24,Hacking/IT Incident,"Network Server, Other",Yes,No description provided,2025,1,Low,0,84,0
"Benefits Management Group, Inc. ",IL,Business Associate,501.0,2025-01-24,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Low,0,83,0
"Aprendamos Intervention Team, P.A.",NM,Healthcare Provider,1916.0,2025-01-23,Unauthorized Access/Disclosure,Email,No,No description provided,2025,1,Moderate,28,66,3
Inlet Health dba Communicare ,KY,Healthcare Provider,3771.0,2025-01-22,Hacking/IT Incident,Network Server,No,No description provided,2025,1,Moderate,0,83,3
Apex Custom Software,TX,Business Associate,1500.0,2025-01-22,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,0
"University Diagnostic Medical Imaging, PC",NY,Healthcare Provider,138080.0,2025-01-21,Hacking/IT Incident,Network Server,No,No description provided,2025,1,Critical,0,83,3
LittleStar ABA Therapy,IN,Healthcare Provider,2530.0,2025-01-21,Hacking/IT Incident,Email,No,No description provided,2025,1,Moderate,0,66,3
"Holdrege Memorial Homes, Inc. ",NE,Healthcare Provider,1446.0,2025-01-20,Hacking/IT Incident,Network Server,No,No description provided,2025,1,Moderate,0,83,3
"OU Medicine, Inc. ",OK,Healthcare Provider,2537.0,2025-01-17,Hacking/IT Incident,Email,No,No description provided,2025,1,Moderate,0,66,3
Behavioral Health Resources,WA,Healthcare Provider,501.0,2025-01-17,Hacking/IT Incident,Network Server,No,No description provided,2025,1,Low,0,83,3
Allegheny Health Network Home Medical Equipment LLC and Allegheny Health Network Home Infusion LLC,PA,Healthcare Provider,292773.0,2025-01-17,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Critical,0,83,3
"Asheville Eye Associates, PLLC",NC,Healthcare Provider,204984.0,2025-01-17,Hacking/IT Incident,Network Server,No,No description provided,2025,1,Critical,0,83,3
Texas Health and Human Services Commission,TX,Health Plan,61104.0,2025-01-16,Unauthorized Access/Disclosure,"Desktop Computer, Laptop",No,No description provided,2025,1,High,28,30,1
Alliant Health Plans,GA,Health Plan,695.0,2025-01-16,Unauthorized Access/Disclosure,Paper/Films,No,No description provided,2025,1,Low,28,94,1
"Square Medical Group, LLC",MA,Healthcare Provider,2363.0,2025-01-15,Unauthorized Access/Disclosure,Email,Yes,No description provided,2025,1,Moderate,28,66,3
"Bankers Cooperative Group, Inc.",NJ,Business Associate,14403.0,2025-01-14,Hacking/IT Incident,Email,Yes,No description provided,2025,1,High,0,66,0
"Han V. Duong, M.D.",CA,Healthcare Provider,1571.0,2025-01-14,Theft,Laptop,No,No description provided,2025,1,Moderate,26,76,3
Veterans Health Administration,DC,Healthcare Provider,1847.0,2025-01-13,Unauthorized Access/Disclosure,Paper/Films,No,No description provided,2025,1,Moderate,28,94,3
"Newport Harbor Pathology Medical Group, Inc.",CA,Healthcare Provider,501.0,2025-01-10,Hacking/IT Incident,Network Server,No,No description provided,2025,1,Low,0,83,3
Samaritan Counseling Center of the Fox Valley,WI,Healthcare Provider,956.0,2025-01-10,Hacking/IT Incident,Email,No,No description provided,2025,1,Low,0,66,3
Summa Health,OH,Healthcare Provider,874.0,2025-01-10,Unauthorized Access/Disclosure,Electronic Medical Record,No,No description provided,2025,1,Low,28,47,3
Heritage Health Care,OH,Healthcare Provider,12162.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,High,0,83,3
"HCF of Washington Inc. (""Court House Manor"")",OH,Healthcare Provider,2489.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,3
"HCF of Warren Inc. (""Warren Manor"")",PA,Healthcare Provider,2709.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,3
"HCF of Wapakoneta Inc. (""Wapakoneta Manor"")",OH,Healthcare Provider,1862.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,3
"HCF of Van Wert Inc. (""Van Wert Manor"")",OH,Healthcare Provider,1604.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,3
"HCF of Sweden Valley Inc. (""Sweden Valley Manor"")",PA,Healthcare Provider,1768.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,3
"HCF of Shawnee Inc. (""Shawnee Manor"")",OH,Healthcare Provider,4395.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,3
"HCF of Roselawn Inc. (""Roselawn Manor"")",OH,Healthcare Provider,1208.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,3
"HCF of Piqua Inc. (""Piqua Manor"")",OH,Healthcare Provider,2969.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,3
"HCF of Perrysburg Inc. (""Manor at Perrysburg"")",OH,Healthcare Provider,2704.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,3
"HCF of Hempfield Inc. (""Hempfield Manor"")",PA,Healthcare Provider,4744.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,3
"HCF of Garbry Ridge (""Garbry Ridge"")",OH,Healthcare Provider,512.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Low,0,83,3
"HCF of Fox Run Inc. (""The Manor at Greendale"")",OH,Healthcare Provider,2333.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,3
"HCF of Fostoria Inc. (""St. Catherine's Manor of Fostoria"")",OH,Healthcare Provider,1253.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,3
"HCF of Findlay Inc. (""Fox Run Manor"")",OH,Healthcare Provider,3986.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,3
"HCF of Fairview Inc. (""Fairview Manor"")",PA,Healthcare Provider,2935.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,3
"HCF of Edinboro Inc. (""Edinboro Manor"")",PA,Healthcare Provider,2844.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,3
"HCF of Crestview Inc. (""Village at the Greene"")",OH,Healthcare Provider,1944.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,3
"HCF of Court House Inc. (""St. Catherine's Manor of Washington Court House"")",OH,Healthcare Provider,3012.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,3
"HCF of Corry Inc. (""Corry Manor"")",PA,Healthcare Provider,2620.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,3
"HCF of Celina Inc. (""Celina Manor"")",OH,Healthcare Provider,2321.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,3
"HCF of Briarwood Inc. (""Briarwood Village"")",OH,Healthcare Provider,2650.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,3
"HCF of Bradford Inc. (""Bradford Manor"")",PA,Healthcare Provider,1565.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,3
"HCF of Bowling Green, Inc. (""Bowling Green Manor"")",OH,Healthcare Provider,3500.0,2025-01-09,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,3
MHMR Concho Valley,TX,Healthcare Provider,1338.0,2025-01-09,Hacking/IT Incident,Email,No,No description provided,2025,1,Moderate,0,66,3
Building Service Employees Insurance Health and Welfare Plan,MO,Health Plan,980.0,2025-01-09,Theft,Paper/Films,No,No description provided,2025,1,Low,26,94,1
"LifeBridge Health, Inc",MD,Healthcare Provider,4690.0,2025-01-08,Hacking/IT Incident,Email,No,No description provided,2025,1,Moderate,0,66,3
"BayMark Health Services, Inc.",TX,Business Associate,3170.0,2025-01-08,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,Moderate,0,83,0
"McNall & Associates, P.C.",AK,Business Associate,10175.0,2025-01-08,Hacking/IT Incident,Network Server,Yes,No description provided,2025,1,High,0,83,0
