name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,business_associate_present,web_description,breach_year,breach_month,severity_level,type_of_breach_encoded,location_of_breached_information_encoded,covered_entity_type_encoded
Human Development Center,MN,Healthcare Provider,1200.0,2019-03-22,Hacking/IT Incident,Email,No,"The covered entity (CE), Human Development Center, reported that a workforce member was the victim of an email phishing attack that affected the electronic protected health information (ePHI) of 1,200 individuals.  The ePHI involved included names, dates of birth, and treatment information.  The CE notified HHS, affected individuals, the media, and posted substitute notice on its website.  In response to the breach, the CE implemented additional technical and security safeguards and retrained its staff on recognizing and responding to fraudulent email communications.  OCR provided technical assistance to the CE and obtained assurances that the CE implemented the corrective actions noted.",2019,3,Moderate,0,66,3
Oregon Department of Human Services,OR,Business Associate,625000.0,2019-03-22,Hacking/IT Incident,Email,Yes,"The Oregon Department of Human Services, the covered entity (CE), reported that numerous workforce members were the victims of an email phishing scheme that affected the electronic protected health information (ePHI) of a minimum of 625,000 individuals.  The ePHI involved included names, addresses, birthdates, Social Security numbers, and other identifiers.   The CE notified HHS, affected individuals, and the media.  In response to the breach, the CE implemented additional administrative and technical safeguards.  In response to OCR’s investigation, the CE retrained its staff on the proper methods of recognizing and responding to fraudulent email communications.",2019,3,Critical,0,66,0
"Navicent Health, Inc.",GA,Healthcare Provider,404993.0,2019-03-22,Hacking/IT Incident,Email,No,"The covered entity (CE), Navicent Health, Inc., reported that several employees were the victims of an email phishing scheme that affected the electronic protected health information (ePHI) of 404,993 individuals.  The PHI involved included names, dates of birth, addresses, Social Security numbers, diagnoses/conditions, medications prescribed, and financial information.  The CE notified HHS, affected individuals, the media, and posted substitute breach notice on its website.  Complimentary credit monitoring services were also provided.  In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its ePHI.  In addition, the CE retrained its workforce members on the proper methods of identifying fraudulent email communications.",2019,3,Critical,0,66,3
Providence Health Plan ,OR,Health Plan,651.0,2019-03-19,Theft,Laptop,Yes,"An unencrypted laptop computer containing the protected health information (PHI) of 652 individuals was stolen from an employee of RSC Insurance Brokerage, a business associate (BA) of Providence Health Plan, the covered entity (CE). The types of PHI involved in the incident included claims information, names, dates of birth, and clinical information. The CE provided breach notification to HHS, potentially affected individuals, and the media, as well as substitute notice.  OCR obtained assurances that the CE implemented these corrective actions and determined that no further action is required.",2019,3,Low,26,76,1
ZOLL Services LLC,PA,Healthcare Provider,277319.0,2019-03-18,Hacking/IT Incident,Network Server,Yes,"Sonian, a subcontractor of the covered entity’s (CE) business associate (BA), Apptix, left a computer server port open during a data migration, causing a breach of 277,319 individuals’ protected health information.  The types of PHI involved included names, addresses, dates of birth, medical information, and in some instances, social security numbers.  The CE provided breach notification to HHS, affected individuals, and the media.  It also reported the incident to law enforcement.  Following the breach, the CE obtained written assurances from Sonian that it implemented technical safeguards to limit the risk of such incidents in the future, and it ensured that Sonian retrained its staff.  OCR reviewed the CE’s BA agreement.",2019,3,Critical,0,83,3
Frederick Memorial Hospital,MD,Healthcare Provider,760.0,2019-03-18,Hacking/IT Incident,Email,No,"The covered entity (CE), Frederick Memorial Hospital, reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 760 individuals.  The ePHI involved included names, Social Security numbers, and health insurance information.  Following the breach, the CE implemented additional administrative and technical safeguards to better protect its ePHI.  Employees were retrained on the proper methods of identifying fraudulent email communications.",2019,3,Low,0,66,3
L.A. Care Health Plan,CA,Health Plan,1506.0,2019-03-15,Unauthorized Access/Disclosure,Paper/Films,No,"Today, the U.S. Department of Health and Human Services’ Office for Civil Rights (OCR) announced a settlement of potential violations of the Health Insurance Portability and Accountability Act (HIPAA) Rules with LA Care, the nation's largest publicly operated health plan that provides health care benefits and coverage through state, federal, and commercial programs. OCR enforces the HIPAA Privacy, Security, and Breach Notification Rules that set the requirements that HIPAA-regulated entities must follow to protect the privacy and security of protected health information (PHI). The settlement concludes two OCR investigations initiated from a large breach report and a media article regarding a separate security incident.  Under the agreement, LA Care agreed to pay $1,300,000 and to implement a corrective action plan, discussed in further detail below, which identifies steps LA Care will take to resolve these potential violations of the HIPAA Security Rule and protect the security of electronic protected health information (ePHI). 
“Breaches of protected health information by a HIPAA-regulated entity often reveal systemic, noncompliance with the HIPAA Rules,” said OCR Director Melanie Fontes Rainer.  “HIPAA-regulated entities need to be proactive in ensuring their compliance with the HIPAA Rules, and not wait for OCR to reveal long-standing HIPAA deficiencies.  Entities must protect the health information of its insureds while providing health care for the most vulnerable residents of Los Angeles County through its coverage, which includes Medicaid, Medicare, and Affordable Care Act health plans.”
The potential violations in this case included:
•	failure to conduct an accurate and thorough risk analysis to determine risks and vulnerabilities to ePHI across the organization,
•	failure to implement security measures sufficient to reduce risks and vulnerabilities to ePHI to a reasonable and appropriate level,
•	failure to implement sufficient procedures to regularly review records of information system activity,
•	failure to perform a periodic technical and nontechnical evaluation in response to environmental or operational changes affecting the security of ePHI, and
•	failure to implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use ePHI.
OCR’s investigation found evidence of potential noncompliance with the HIPAA Privacy and Security Rules across LA Care’s organization. In addition to the monetary settlement, LA Care has agreed to take the following steps under a comprehensive corrective action plan that will be monitored for three years by OCR to ensure compliance with HIPAA:
•	Conduct an accurate and thorough risk analysis to determine risks and vulnerabilities to electronic patient/system data across the organization.
•	Implement a risk management plan to address identified risks and vulnerabilities to the confidentiality, integrity, and availability of ePHI.
•	Implement and distribute policies and procedures for a risk analysis and risk management plan.
•	Report to HHS when it conducts an evaluation due to an environmental and operational change that affects the security of ePHI in LA Care’s possession or control.
•	Report to HHS within thirty (30) days when workforce members fail to comply with the HIPAA Rules.
The resolution agreement and corrective action plan may be found at: https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/agreements/la-care-health-plan/index.html 
OCR is committed to enforcing the HIPAA Rules that protect the privacy and security of peoples’ health information. Guidance about the Privacy Rule, Security Rule, and Breach Notification Rules can also be found on OCR’s website.  If you believe that your or another person’s health information privacy or civil rights have been violated, you can file a complaint with OCR at https://www.hhs.gov/ocr/complaints/index.html.",2019,3,Moderate,28,94,1
Southern Hills Eye Care,IA,Healthcare Provider,14609.0,2019-03-15,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Southern Hills Eye Care, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 14,609 individuals. The PHI involved included names, addresses, dates of birth, Social Security numbers, diagnoses/conditions, lab results, medications prescribed, and treatment information. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. In its mitigation efforts, the CE provided complimentary credit monitoring services and implemented additional administrative safeguards to better protect and secure its PHI. ",2019,3,High,0,83,3
"LCP Transportation, Inc",IN,Business Associate,54528.0,2019-03-15,Hacking/IT Incident,Email,Yes,"The business associate (BA), LCP Transportation, Inc., reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 54,528 individuals.  The ePHI involved included names, addresses, birthdates, and diagnoses and clinical information.  In response to the breach, the BA strengthened its technical safeguards, revised its policies and procedures, and retrained its staff.  OCR provided technical assistance to the BA regarding the HIPAA Rules.",2019,3,High,0,66,0
All Florida Orthopaedics,FL,Healthcare Provider,1700.0,2019-03-14,Unauthorized Access/Disclosure,Electronic Medical Record,No,"Law enforcement notified the covered entity (CE), All Florida Orthopaedic Associates, P.A., of a theft that occurred at its facility: an employee had stolen three blank checks from a patient; stolen a check from the CE’s shred bin; and possessed protected health information (PHI) for 12 additional patients. The breach involved demographic and financial information and affected 1,700 individuals, including patients whose records were accessed by the employee, and those that wrote checks during the employee’s tenure. The CE provided breach notification to HHS, affected individuals, and the media. In response to the breach, CE sanctioned the employee, retrained staff, removed all Social Security numbers from its electronic medical record system, and implemented new policies and procedures. OCR obtained assurances that the CE implemented the corrective actions listed above. In in this case the employee sanction included termination of employment.",2019,3,Moderate,28,47,3
Arizona Health Care Cost Containment System,AZ,Health Plan,3146.0,2019-03-11,Unauthorized Access/Disclosure,Paper/Films,No,"The covered entity (CE), Arizona Health Care Cost Containment System, discovered that it mailed the protected health information (PHI) of 3,146 individuals to the wrong recipients.  The PHI involved included names and dates of birth. The CE notified HHS, affected individuals, the media, and provided a toll-free telephone number for questions and concerns.  It also posted substitute notice on its website.  In its mitigation efforts, the CE implemented technical safeguards to better protect its data.  OCR obtained assurances that the CE implemented the corrective actions noted.

",2019,3,Moderate,28,94,1
"Little Rock Cancer Clinic, P.A.",AR,Healthcare Provider,3804.0,2019-03-11,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Little Rock Cancer Clinic, P.A., experienced a ransomware attack that affected the electronic protected health information (ePHI) of 3,804 individuals.  The ePHI involved included names, addresses, dates of birth, Social Security numbers, and financial and clinical information.  The CE notified HHS, affected individuals, and the media.  In response to the breach, the CE developed new policies and procedures and implemented additional technical safeguards to better protect its ePHI.  OCR obtained assurances that the CE implemented the corrective actions noted.",2019,3,Moderate,0,83,3
Equitas Health,OH,Healthcare Provider,569.0,2019-03-09,Hacking/IT Incident,Email,No,"Equitas Health, the covered entity (CE), reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 569 individuals.  The ePHI involved included names, dates of birth, addresses, Social Security numbers, diagnoses, and medications prescribed. The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its ePHI.  In addition, the CE retrained its workforce members on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",2019,3,Low,0,66,3
Emerson Hospital,MA,Healthcare Provider,6314.0,2019-03-08,Unauthorized Access/Disclosure,Other,Yes,"The covered entity (CE), Emerson Hospital, reported that its business associate (BA), MiraMed Global Services Inc. impermissibly transmitted electronic files containing protected health information (PHI) to an unauthorized third party.  This breach incident affected 6,314 individuals. The PHI involved included names, addresses, Social Security numbers, and insurance information.  Following this breach incident, the CE notified HHS, affected individuals, and the media, In addition, Emerson Hospital offered free identity protection services to all affected individuals.",2019,3,Moderate,28,88,3
Verity Medical Foundation,CA,Healthcare Provider,14894.0,2019-03-07,Hacking/IT Incident,Email,No,"An unauthorized third party accessed a workforce member’s email account, affecting the protected health information (PHI) of 14,894 individuals, including demographic, clinical, health plan claims, and payment information.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE strengthened safeguards by adding technical measures to protect against phishing and malicious email and trained workforce members to identify phishing attempts.  OCR obtained evidence of the safeguards that the CE implemented prior to the breach and documented assurances that the CE implemented the voluntary corrective action steps noted above.",2019,3,High,0,66,3
"Oklahoma Heart Hospital, LLC",OK,Healthcare Provider,1221.0,2019-03-07,Theft,Desktop Computer,No,"The covered entity (CE), Oklahoma Heart Hospital, reported that four unencrypted desktop computers went missing from an area of the hospital that was under construction. This breach compromised the protected health information (PHI) of approximately 1,221 patients. The PHI involved included names, addresses, dates of birth, and clinical information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional administrative and physical safeguards and retrained its staff.  OCR obtained assurances that the CE implemented the corrective actions noted.",2019,3,Moderate,26,0,3
Direct Scripts,OH,Healthcare Provider,9319.0,2019-03-06,Hacking/IT Incident,Network Server,No,"Direct Scripts, the covered entity (CE), reported that it experienced a ransomware attack that compromised the protected health information (PHI) of 9,319 individuals. The PHI involved included names, addresses, and prescription information. The CE notified HHS, affected individuals, the media, and posted substitute notice. The entity is no longer in business.
",2019,3,Moderate,0,83,3
"Covenant Care California, LLC, on behalf of relevant affiliated nursing facilities ",CA,Healthcare Provider,7678.0,2019-03-06,Hacking/IT Incident,Email,No,"The covered entity (CE), Covenant Care California (CCC), LLC, reported that it was a victim of a phishing scheme involving an employee’s email account that was compromised.  This breach affected 10,831 individuals.  The protected health information (PHI) involved included names, dates of birth, dates of death, Social Security numbers, medical record numbers, health insurance information, clinical information, and treatment information.  CCC notified HHS, affected individuals, and the media.  Substitute notice was also provided.  As a result of this breach, CCC implemented additional technical and administrative safeguards in an effort to better protect its PHI.   Affected individuals were offered free credit monitoring and identity theft restoration services.  OCR also provided CCC with technical assistance regarding its security management process and obtained assurances that CCC implemented the corrective actions noted above.


",2019,3,Moderate,0,66,3
Maffi Clinics,AZ,Healthcare Provider,10465.0,2019-03-06,Hacking/IT Incident,Network Server,No,"On March 6, 2019, Maffi Clinics (“Maffi”) submitted a breach notification report to OCR indicating that on September 11, 2018, it was the victim of a ransomware attack.  Maffi promptly identified and terminated the unauthorized access point, isolated and removed the ransomware, and restored all of Maffi’s data.  The incident affected 10,465 patients’ clinical and demographic information, although Maffi found no evidence that any of its data was viewed or downloaded.  On February 14, 2019, Maffi provided written notification to the affected patients, including information on credit monitoring, and posted information regarding the incident on its website.  OCR determined through its investigation that Maffi is not a HIPAA covered entity or business associate and closed the investigation as a result. 
",2019,3,High,0,83,3
St. Francis Physician Services,SC,Healthcare Provider,32178.0,2019-03-04,Hacking/IT Incident,Network Server,No,"The covered entity (CE), St. Francis Physician Services, reported that it was the victim of a cyber-attack that affected the electronic protected health information (ePHI) of 32,178 individuals.  The ePHI involved included names, birthdates, addresses, health insurance information, and other treatment information.  The CE notified HHS, affected individuals, and the media.  The CE disabled and decommissioned all its legacy electronic medical systems and transferred all data contained on those networks to Bon Secours Mercy Health.",2019,3,High,0,83,3
"RSC Insurance Brokerage, Inc.",MA,Business Associate,2088.0,2019-03-01,Theft,Laptop,Yes,"RSC Insurance Brokerage, Inc., a business associate (BA), filed a breach report on behalf of nine covered entities following the theft of a BA workforce member’s backpack containing an unencrypted laptop computer, affecting 19,893 individuals. The types of protected health information (PHI) involved included demographic, clinical, and health claims information. The BA provided breach notification to the covered entities and, at the covered entities’ requests, to the affected individuals, the media, and HHS. Following the breach, the BA replaced the workforce member’s laptop with an encrypted laptop, confirmed that encryption is in place on all other existing devices, revised its policies and procedures, and provided retraining on cyber security to all workforce members. OCR provided technical assistance to the BA concerning the timing of its breach notifications, and the BA agreed to revise its policies and procedures accordingly.",2019,3,Moderate,26,76,0
"Arthritis and Rheumatism Associates, P.C.",MD,Healthcare Provider,500.0,2019-03-01,Hacking/IT Incident,Electronic Medical Record,No,"The covered entity (CE), Arthritis & Rheumatism Associates, experienced a ransomware attack that affected the electronic protected health information (ePHI) of approximately 500 individuals.  The ePHI involved included names, dates of birth, Social Security numbers, claims information, and clinical information.  Following the breach, the CE implemented additional administrative and technical safeguards to better protect its ePHI.  OCR provided technical assistance regarding the HIPAA Security Rule.",2019,3,Low,0,47,3
Pasquotank-Camden Emergency Medical Service,NC,Healthcare Provider,20420.0,2019-02-28,Hacking/IT Incident,Network Server,No,"On December 14, 2018, Pasquotank-Camden Emergency Medical Services, the covered entity (CE), discovered that data from its administrative server where protected health information (PHI) was stored, was missing.  The breach affected 40,753 individuals whose names, billing records, medical information, Social Security numbers, and dates of birth were stored on the server.  The CE’s forensic investigation determined that the breach was caused by a brute force attack to its server by a hacker located in Eastern Europe.  The CE restored the deleted data using a recent backup of the server.  The CE sent timely media notification on December 21, 2018.  Individual notification and substitute notification were not provided until February 21, 2019 and February 25, 2019, respectively.  The CE offered affected individuals identity monitoring and restoration insurance for one year following the breach.  In response to the breach, the CE implemented physical safeguards for its administrative office, updated software, migrated historical data to external hard drives, initiated a process to identify a new EHR software vendor, and improved safeguards for   system user accounts.  OCR provided technical assistance regarding how to determine the start date of a breach and obtained assurances that the CE implemented the corrective actions listed above.  ",2019,2,High,0,83,3
Rush University Medical Center,IL,Healthcare Provider,44924.0,2019-02-28,Unauthorized Access/Disclosure,Network Server,Yes,"MiraMed Global Services, Inc., a business associate (BA), reported than an employee improperly disclosed protected health information (PHI) with the intent to sell it to an unauthorized third party.  The employee compiled protected health information (PHI) and sent it to his personal email account.  The PHI involved included names, addresses, dates of birth, Social Security numbers, and insurance information.  This breach affected 49,201 individuals.  The covered entity (CE), Rush University Medical Center, notified HHS, affected individuals, and the media.   Following this breach, MiraMed sanctioned the employee and notified local law enforcement. Additionally, The BA implemented additional administrative and technical safeguards to better protect PHI and retrained its staff.  OCR obtained assurances that the BA implemented the corrective actions noted.

",2019,2,High,28,83,3
Humana Inc,KY,Health Plan,5569.0,2019-02-27,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Humana, reported that its business associate (BA) experienced a cyber-attack that affected the electronic protected health information (ePHI) of 5,569 individuals.  The ePHI involved included names, diagnoses, conditions, health insurance and other treatment information.  The CE notified HHS, affected individuals, and the media.",2019,2,Moderate,0,83,1
West Virginia Public Employees Insurance Agency,WV,Health Plan,1400.0,2019-02-27,Hacking/IT Incident,Network Server,Yes,"By purporting to be healthcare providers, unauthorized users registered for a portal operated by Availity, a subcontractor of the covered entity’s (CE) business associate (BA), Humana, gaining access to protected health information (PHI) for a period of six months. The breach affected approximately 1,400 individuals, including the PHI of 39 members of this CE, such as names, insurance identification numbers, benefit information, and care reminders. The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE obtained written assurances from Availity that it implemented technical safeguards to limit the risk of such incidents in the future, and obtained written assurances from the BA regarding the HIPAA compliance of its subcontractors. OCR reviewed the CE’s BA agreement and opened a separate investigation of the Humana breach involving the subcontractor.",2019,2,Moderate,0,83,1
Molina Healthcare,CA,Health Plan,895.0,2019-02-22,Hacking/IT Incident,Network Server,Yes,"On December 27, 2018, Equian, LLC, a business associate (BA), notified the covered entity (CE), Molina, that the BA’s subcontractor, Wolverine Solutions Group, experienced a ransomware security incident on or about September 23, 2018, affecting individuals across several CEs.  The incident affected the electronic protected health information (ePHI) of 895 of Molina’s members in six states, including names, addresses, health plan names, dates of service, and names of some healthcare providers.  The CE provided breach notification to HHS and to affected individuals starting on February 22, 2019, and provided affected individuals with free identity protection for 12 months.  In response to the security incident and corresponding investigation, the CE provided the BA with additional training on the HIPAA requirements and required that the BA ensure that its subcontractor implements systems security enhancements.  OCR reviewed the applicable BA contracts and obtained assurances that the CE implemented the corrective action steps listed above. ",2019,2,Low,0,83,1
"Delaware Guidance Services for Children and Youth, Inc.",DE,Healthcare Provider,50000.0,2019-02-22,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Laptop",No,"Delaware Guidance Services for Children and Youth, Inc., the covered entity (CE), reported that it was the victim of a cyber-attack involving ransomware that affected the protected health information (PHI) of 20,633 individuals.  The PHI involved included names, birthdates, Social Security numbers, addresses, claims information, diagnoses, lab results, and medications prescribed.  The CE notified HHS, affected individuals, and the media.  Following the breach, the CE implemented additional administrative, technical, and security safeguards and retrained its staff.   As a result of OCR’s investigation, the CE completed a new risk analysis and implemented an updated risk management plan.",2019,2,High,0,3,3
UConn Health,CT,Healthcare Provider,326629.0,2019-02-21,Hacking/IT Incident,Email,No,"The covered entity (CE), UConn Health, reported that an employee was the victim of an email phishing attack that affected the electronic protected health information (ePHI) of 326,629 individuals.  The ePHI involved included names, addresses, dates of birth, drivers’ license numbers, Social Security numbers, claims and financial information, and clinical information. The CE notified HHS, affected individuals, the media, and provided complimentary credit monitoring and identity protection services to affected individuals.  In response to the breach, the CE implemented additional technical safeguards and retrained its staff on recognizing and responding to fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",2019,2,Critical,0,66,3
Rocky Boy Health Center,MT,Healthcare Provider,6000.0,2019-02-21,Theft,Other,No,"Rocky Boy Health Center, the covered entity (CE), reported that an unknown individual broke into its storage facility that contained the medical records of 6,000 individuals. The protected health information (PHI) involved included names, birthdates, Social Security numbers, and clinical information.   The CE notified HHS, affected individuals, the media, and posted a substitute notice on its website. After the burglary, the CE implemented additional administrative and physical safeguards to better protect its sensitive data.",2019,2,Moderate,26,88,3
"Rutland Hospital, Inc. d/b/a/ Rutland Regional Medical Center  ",VT,Healthcare Provider,72224.0,2019-02-20,Hacking/IT Incident,Email,No,"The covered entity (CE), Rutland Regional Medical Center, reported that multiple employees were the victims of an email phishing attack that affected the electronic protected health information (ePHI) of 72,224 individuals.  The ePHI involved included names, Social Security numbers, financial and health insurance information, dates of birth, diagnoses, and other treatment information. The CE notified HHS, affected individuals, the media, and provided substitute notice.  In response to the breach, the CE implemented additional technical safeguards to better protect its ePHI and retrained its staff. ",2019,2,High,0,66,3
Henry Ford Health System,MI,Healthcare Provider,5590.0,2019-02-20,Unauthorized Access/Disclosure,Paper/Films,No,"The covered entity (CE), Henry Ford Health System (HFHS) reported that an employee inadvertently mailed protected health information (PHI) to the wrong recipients.  This breach affected 5,578 individuals.  The PHI involved included names and medication information.  The CE notified HHS, affected individuals, and the media. Following this breach, the CE implemented administrative safeguards to prevent mailing errors and retrained its staff.  OCR also provided technical assistance to HFHS about mitigating harm by requesting individuals to destroy or return incorrectly received mailings.  OCR obtained assurances that the CE implemented the corrective actions noted above.    ",2019,2,Moderate,28,94,3
UW Medicine,WA,Healthcare Provider,973024.0,2019-02-20,Hacking/IT Incident,Network Server,No,"The covered entity (CE), UW Medicine, reported that a configuration error in its system resulted in the protected health information (PHI) of 973,024 individuals becoming accessible on the internet. The PHI involved included names and medical record numbers. The CE notified HHS, affected individuals, the media, and provided substitute notice. In response to the breach, the CE implemented additional administrative and technical safeguards and retrained workforce members on methods to better protect its PHI.",2019,2,Critical,0,83,3
Columbia Surgical Specialist of Spokane,WA,Healthcare Provider,400000.0,2019-02-18,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Columbia Surgical Specialists of Spokane, reported that hackers accessed its network and installed ransomware. This breach affected 234,688 individuals. The protected health information (PHI) involved included names, dates of birth, social security numbers, drivers’ license numbers, diagnoses and conditions, lab results, medications, treatment information, and health insurance claims information. The CE took its server off line, rebuilt its network, and added additional security and technical safeguards.  The CE notified OCR, affected individuals, and the media.  During the investigation, OCR provided technical assistance on the risk analysis and risk management procedures.  

",2019,2,Critical,0,83,3
"OneDigital/Digital Insurance, LLC",GA,Business Associate,2763.0,2019-02-15,Theft,Laptop,Yes,"On January 7, 2019, a business Associate (BA), OneDigital/Digital Insurance, LLC, discovered that an employee’s unencrypted laptop computer was stolen.  The laptop contained the protected health information (PHI) of 4,045 individuals in the employee’s email account on the computer hard drive, including demographic, financial, clinical, and health plan information.  The BA activated contingency protocols on the stolen laptop to prevent remote access to the BA’s network.  From February 15, 2019, to April 8, 2019, the BA notified its affected clients (136 covered entities) of the breach and assisted with breach notification obligations.  In response to the breach, the BA reset passwords, revised security policies, and sanctioned and retrained employees.  Before the theft, the BA was in the process of encrypting laptops and anticipates that all laptops will be encrypted by the end of 2019.  OCR obtained assurances that the BA implemented the corrective actions listed above and performed notification obligations.",2019,2,Moderate,26,76,0
California Physicians' Service d/b/a Blue Shield of California,CA,Health Plan,18416.0,2019-02-15,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Blue Shield of California, reported that its business associate (BA) Sharecare Health Data Services, LLC, was the victim of a cyber-attack affecting the protected health information (PHI) of 18,416 individuals.  The PHI involved included names, dates of birth, Social Security numbers, and clinical information.  The CE notified HHS, affected individuals, the media, and posted substitute notice on its website.  Affected individuals were also provided complimentary credit monitoring services.",2019,2,High,0,83,1
Kids Central Inc.,FL,Business Associate,3250.0,2019-02-15,Unauthorized Access/Disclosure,Email,Yes,"The covered entity (CE), Kids Central, Inc., reported that an employee sent a file containing the protected health information (PHI) of 3,250 individuals to the wrong recipients.  The PHI involved included names, dates of birth, and health insurance information. The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE sanctioned the employee and implemented additional administrative safeguards to better protect its PHI.  OCR obtained assurances that the CE implemented the corrective actions noted.",2019,2,Moderate,28,66,0
Memorial Hospital at Gulfport,MS,Healthcare Provider,30642.0,2019-02-15,Hacking/IT Incident,Email,No,"On December 4, 2018 an employee in the medical records department responded to a phishing email and provided their username and password credentials. On December 6, 2018, a routine system audit log uncovered nine outside logins to the covered entity’s system from an unauthorized individual who may have accessed 30,642 patient’s protected health information (PHI), including demographic and clinical information. IT personnel secured the email account and investigated the emails within the compromised account.  Following the incident, the CE implemented a multi-factor authentication requirement and trained staff on phishing. On February 15, 2019, the CE provided breach notification to HHS, the affected individuals, and to the media. OCR obtained assurances that the CE implemented the corrective actions listed above.  ",2019,2,High,0,66,3
Blue Cross Blue Shield of Massachusetts,MA,Health Plan,1262.0,2019-02-15,Hacking/IT Incident,Email,Yes,"An employee of Health Equity, a business associate (BA) of the covered entity (CE), Blue Cross Blue Shield of Massachusetts, was the target of a social engineering attack on his personal computer where he had stored the username and password to his Health Equity webmail account. Using this login information, a third party sent a phishing email to 1,322 of the employee’s contacts. The incident potentially affected the demographic, financial, and clinical protected health information (PHI) of 1,262 individuals. The CE provided breach notification to HHS, affected individuals, and the media. OCR reviewed the BA agreement (BAA) between the CE and BA and stated it appears to comply with the requirements of the Rule. In response to this incident, the CE updated the BAA for remediation purposes. OCR opened a separate investigation of the BA related to this incident.   ",2019,2,Moderate,0,66,1
AltaMed Health Services Corporation,CA,Healthcare Provider,6000.0,2019-02-15,Hacking/IT Incident,Network Server,Yes,"On December 31, 2018, ShareCare Health Data Services, a business associate (BA), informed the covered entity (CE), AltaMed, that it had experienced a data security incident which affected the protected health information (PHI) of approximately 6,000 of the CE's patients. The breach affected both clinical and demographic electronic PHI including names, addresses, dates of birth, other identifiers, and other treatment information. The CE provided breach notification to HHS, the affected individuals, and the media.  Following the breach, the CE also revised its BA agreement with the BA. OCR obtained assurances that the CE implemented these corrective action steps.",2019,2,Moderate,0,83,3
Portsmouth Community Health Center,VA,Healthcare Provider,12000.0,2019-02-14,Hacking/IT Incident,Network Server,No,"Portsmouth Community Health Center, the covered entity (CE), reported that it was the victim of a cyber-attack involving the electronic protected health information (ePHI) of approximately 12,000 individuals.  The ePHI involved included names, birthdates, addresses, drivers’ license information, Social Security numbers, financial information, clinical information, lab results, and medications prescribed.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional technical and security safeguards and retrained its staff.   OCR obtained assurances that the CE implemented the corrective actions noted.",2019,2,High,0,83,3
Rocky Mountain Health Care Services,CO,Healthcare Provider,971.0,2019-02-11,Hacking/IT Incident,Email,No,"The covered entity (CE), Rocky Mountain Health Care Services, reported that an employee was the subject of an email phishing attack that affected the protected health information (PHI) of 971 individuals. The PHI involved included names, addresses, dates of birth, Social Security numbers, and other treatment information.  The CE notified HHS, affected individuals, and the media. In response to the breach, the CE provided complimentary credit monitoring services and implemented additional administrative and technical safeguards to better protect its PHI.",2019,2,Low,0,66,3
"Sharecare Health Data Services, LLC",CA,Business Associate,7300.0,2019-02-11,Hacking/IT Incident,Network Server,Yes,"Sharecare Health Data Services, LLC, a business associate (BA), reported that it was the victim of a hacking incident involving the protected health information (PHI) of approximately 7,300 individuals.  The protected health information (PHI) involved included names, dates of birth, Social Security numbers, clinical information, and other treatment information.  The BA notified HHS, affected individuals, the media, as well as the FBI.  In its mitigation efforts, the BA implemented additional technical and security safeguards and retrained its staff.  OCR obtained assurances that the BA implemented the corrective actions noted.",2019,2,Moderate,0,83,0
"Crawford Wellness Center, Inc",TX,Healthcare Provider,1500.0,2019-02-11,Theft,Paper/Films,No,"Crawford Wellness Center, Inc., the covered entity (CE), reported a breach in which its office was burglarized.   The intruder(s) broke into locked cabinets that contained medical records.  The breach affected 1,500 individuals.  The protected health information (PHI) involved included names, addresses, dates of birth, drivers’ license numbers, social security numbers, diagnoses, lab results, medications prescribed, treatment information, and financial data.  The CE notified all affected individuals as well as the media.  Crawford implemented additional security controls to enhance its administrative, physical, and technical safeguards of PHI.",2019,2,Moderate,26,94,3
