,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,location,longitude,latitude
Chinatown-Swanston St (North),21.227272727272727,12.227272727272727,8.818181818181818,6.818181818181818,3.772727272727273,4.909090909090909,4.681818181818182,9.681818181818182,17.954545454545453,40.18181818181818,102.45454545454545,196.5909090909091,286.72727272727275,356.09090909090907,374.09090909090907,375.77272727272725,367.04545454545456,321.8181818181818,264.3636363636364,202.4090909090909,143.36363636363637,89.0909090909091,51.31818181818182,32.18181818181818,"(-37.81237202, 144.96550671)",144.96550671,-37.81237202
Collins Place (North),2.727272727272727,2.1818181818181817,1.9090909090909092,1.4545454545454546,1.2727272727272727,4.818181818181818,6.909090909090909,12.272727272727273,21.227272727272727,33.63636363636363,51.27272727272727,58.27272727272727,64.36363636363636,89.81818181818181,111.18181818181819,80.63636363636364,62.72727272727273,59.90909090909091,23.59090909090909,15.772727272727273,13.090909090909092,7.454545454545454,5.818181818181818,3.8181818181818183,"(-37.81344861, 144.97305354)",144.97305354,-37.81344861
Collins Place (South),10.045454545454545,6.5,4.0,3.6818181818181817,3.1363636363636362,12.181818181818182,27.454545454545453,30.272727272727273,45.68181818181818,70.5909090909091,92.95454545454545,99.0909090909091,114.0909090909091,126.95454545454545,139.0,103.31818181818181,90.86363636363636,90.27272727272727,42.54545454545455,30.181818181818183,25.227272727272727,20.954545454545453,14.681818181818182,10.272727272727273,"(-37.81362542, 144.97323592)",144.97323592,-37.81362542
Collins Street (North),9.545454545454545,9.363636363636363,7.7272727272727275,4.954545454545454,10.545454545454545,34.27272727272727,24.454545454545453,27.0,49.68181818181818,98.0,179.95454545454547,261.45454545454544,320.8181818181818,349.6818181818182,363.40909090909093,335.09090909090907,268.3181818181818,189.3181818181818,98.13636363636364,65.4090909090909,51.09090909090909,34.45454545454545,21.272727272727273,12.136363636363637,"(-37.8156419, 144.965499)",144.965499,-37.8156419
Elizabeth St-La Trobe St (East),103.4090909090909,70.0909090909091,51.81818181818182,41.09090909090909,35.81818181818182,34.40909090909091,53.81818181818182,78.54545454545455,128.1818181818182,227.13636363636363,387.77272727272725,565.2272727272727,700.6363636363636,834.4545454545455,917.9090909090909,906.6363636363636,882.5454545454545,820.8181818181819,680.0454545454545,501.1363636363636,395.90909090909093,338.27272727272725,225.6818181818182,137.5909090909091,"(-37.80988941, 144.96134331)",144.96134331,-37.80988941
Elizabeth St-Lonsdale St (South),11.590909090909092,6.590909090909091,4.090909090909091,3.227272727272727,2.590909090909091,3.5,7.090909090909091,11.454545454545455,17.318181818181817,35.09090909090909,78.27272727272727,137.13636363636363,173.3181818181818,211.5,213.22727272727272,216.77272727272728,198.0909090909091,153.54545454545453,103.18181818181819,76.68181818181819,57.63636363636363,40.90909090909091,23.09090909090909,13.681818181818182,"(-37.81252157, 144.9619401)",144.9619401,-37.81252157
Faraday St-Lygon St (West),8.136363636363637,3.3181818181818183,3.3636363636363638,2.0,6.5,6.5,6.7272727272727275,16.227272727272727,40.77272727272727,96.81818181818181,204.0909090909091,260.45454545454544,279.95454545454544,289.8181818181818,283.5,251.1818181818182,210.0,140.86363636363637,106.4090909090909,86.04545454545455,76.5909090909091,58.13636363636363,32.59090909090909,13.954545454545455,"(-37.79808191, 144.96721014)",144.96721014,-37.79808191
Flinders La-Swanston St (West),70.95454545454545,57.54545454545455,36.68181818181818,29.863636363636363,33.54545454545455,68.86363636363636,106.54545454545455,98.5,167.04545454545453,256.3181818181818,424.5,585.5454545454545,760.1818181818181,853.6818181818181,875.2727272727273,857.0,822.5,646.9545454545455,424.27272727272725,293.22727272727275,211.63636363636363,174.0,139.8181818181818,86.9090909090909,"(-37.81668633, 144.96689733)",144.96689733,-37.81668633
Flinders St-Elizabeth St (East),85.95454545454545,68.31818181818181,46.81818181818182,36.95454545454545,41.68181818181818,69.68181818181819,98.9090909090909,150.86363636363637,248.5909090909091,381.8636363636364,565.7272727272727,766.6363636363636,954.2272727272727,1085.2272727272727,1157.8636363636363,1180.0,1194.6363636363637,1128.5,858.3181818181819,630.2727272727273,539.5909090909091,412.22727272727275,215.5909090909091,115.95454545454545,"(-37.81786445, 144.96506823)",144.96506823,-37.81786445
Flinders St-Spark La,4.590909090909091,2.909090909090909,2.090909090909091,0.6818181818181818,1.3636363636363635,8.045454545454545,14.590909090909092,11.136363636363637,22.681818181818183,36.22727272727273,50.5,58.68181818181818,61.36363636363637,89.4090909090909,94.45454545454545,71.5,69.04545454545455,90.0909090909091,30.09090909090909,17.045454545454547,13.545454545454545,8.818181818181818,7.136363636363637,4.090909090909091,"(-37.81537985, 144.9741505)",144.97415049999998,-37.81537985
