,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,location,longitude,latitude
Elizabeth St-Lonsdale St (South),1.9090909090909092,0.5909090909090909,1.5909090909090908,0.7727272727272727,1.0909090909090908,6.545454545454546,11.545454545454545,23.0,32.13636363636363,35.72727272727273,56.81818181818182,66.31818181818181,79.5909090909091,93.04545454545455,88.95454545454545,89.5,83.5,77.72727272727273,62.81818181818182,39.18181818181818,14.818181818181818,11.818181818181818,5.318181818181818,3.272727272727273,"(-37.81252157, 144.9619401)",144.9619401,-37.81252157
Faraday St-Lygon St (West),0.6818181818181818,1.8636363636363635,2.3181818181818183,5.7272727272727275,3.1818181818181817,5.590909090909091,8.545454545454545,33.09090909090909,59.13636363636363,73.95454545454545,106.86363636363636,109.0909090909091,130.5,119.77272727272727,105.4090909090909,109.4090909090909,101.9090909090909,89.68181818181819,64.0,40.0,16.09090909090909,7.681818181818182,3.409090909090909,1.9090909090909092,"(-37.79808191, 144.96721014)",144.96721014,-37.79808191
Flinders La-Swanston St (West),25.136363636363637,10.636363636363637,7.590909090909091,8.545454545454545,20.045454545454547,78.95454545454545,172.86363636363637,220.5,304.1363636363636,278.1363636363636,299.95454545454544,296.3181818181818,367.6818181818182,398.40909090909093,391.8636363636364,390.8181818181818,442.22727272727275,421.77272727272725,277.09090909090907,155.27272727272728,88.54545454545455,66.31818181818181,59.09090909090909,41.81818181818182,"(-37.81668633, 144.96689733)",144.96689733,-37.81668633
Flinders St-Elizabeth St (East),25.5,18.045454545454547,21.863636363636363,19.59090909090909,19.40909090909091,79.63636363636364,149.36363636363637,274.90909090909093,387.54545454545456,374.77272727272725,452.54545454545456,508.1363636363636,627.8181818181819,684.1363636363636,709.9545454545455,785.4545454545455,862.5454545454545,916.2272727272727,759.0909090909091,512.5454545454545,168.27272727272728,114.95454545454545,99.68181818181819,61.04545454545455,"(-37.81786445, 144.96506823)",144.96506823,-37.81786445
Flinders St-Spark La,0.2727272727272727,0.5,0.6363636363636364,0.18181818181818182,0.7727272727272727,6.045454545454546,15.090909090909092,30.681818181818183,33.90909090909091,32.95454545454545,29.454545454545453,35.81818181818182,41.04545454545455,31.90909090909091,39.5,38.18181818181818,41.90909090909091,50.81818181818182,27.181818181818183,14.454545454545455,3.0,5.409090909090909,1.8636363636363635,1.5454545454545454,"(-37.81537985, 144.9741505)",144.97415049999998,-37.81537985
Flinders Street Station Underpass,9.863636363636363,19.09090909090909,3.1818181818181817,2.9545454545454546,9.227272727272727,57.68181818181818,131.5909090909091,168.22727272727272,173.36363636363637,159.0,172.4090909090909,191.63636363636363,230.95454545454547,262.95454545454544,273.72727272727275,289.6363636363636,300.04545454545456,329.3636363636364,255.36363636363637,153.04545454545453,77.0,61.36363636363637,27.818181818181817,18.818181818181817,"(-37.81911704, 144.96558256)",144.96558256,-37.81911704
Grattan St-Swanston St (West),1.9090909090909092,0.45454545454545453,0.36363636363636365,0.6818181818181818,4.954545454545454,4.590909090909091,29.318181818181817,30.454545454545453,32.09090909090909,34.59090909090909,40.40909090909091,49.45454545454545,58.45454545454545,53.09090909090909,49.86363636363637,51.09090909090909,54.63636363636363,61.04545454545455,47.68181818181818,24.363636363636363,6.318181818181818,3.909090909090909,2.909090909090909,1.8181818181818181,"(-37.80008565, 144.96386412)",144.96386412,-37.80008565
La Trobe St (North),43.42424242424242,27.924242424242422,12.636363636363637,9.439393939393938,8.43939393939394,16.39393939393939,31.106060606060602,25.424242424242426,42.16666666666667,56.06060606060607,78.19696969696969,78.18181818181819,98.77272727272727,115.22727272727273,104.0151515151515,98.25757575757576,94.0909090909091,108.84848484848486,98.2878787878788,77.19696969696969,65.87878787878789,54.74242424242425,42.833333333333336,31.318181818181824,"(-37.80996494, 144.96216521)",144.96216521,-37.80996494
Lincoln-Swanston (West),0.0,0.0,0.25,0.0,0.0,1.0,2.25,3.5,1.5,5.5,5.0,2.25,3.0,2.5,1.5,1.75,1.0,0.25,0.75,1.75,0.25,0.25,0.0,0.0,"(-37.804024, 144.963084)",144.963084,-37.804024
Little Collins St-Swanston St (East),6.090909090909091,1.8636363636363635,1.9090909090909092,6.363636363636363,2.272727272727273,13.181818181818182,22.727272727272727,55.81818181818182,74.95454545454545,86.63636363636364,108.5909090909091,119.68181818181819,154.6818181818182,170.0909090909091,167.27272727272728,164.54545454545453,163.45454545454547,146.1818181818182,95.36363636363636,47.36363636363637,19.136363636363637,19.636363636363637,14.090909090909092,12.863636363636363,"(-37.81414074, 144.9660938)",144.9660938,-37.81414074
Lonsdale St (South),4.7272727272727275,1.3181818181818181,1.9090909090909092,6.045454545454546,2.909090909090909,11.409090909090908,20.59090909090909,35.90909090909091,32.45454545454545,43.36363636363637,57.45454545454545,78.77272727272727,97.0,96.18181818181819,91.9090909090909,97.95454545454545,100.45454545454545,99.04545454545455,101.13636363636364,71.36363636363636,32.5,21.727272727272727,18.045454545454547,9.909090909090908,"(-37.81121849, 144.96656807)",144.96656807,-37.81121849
Lonsdale St - Elizabeth St (North),3.1363636363636362,0.6818181818181818,2.0,0.9090909090909091,1.5909090909090908,6.909090909090909,34.31818181818182,37.90909090909091,50.95454545454545,54.18181818181818,65.4090909090909,72.81818181818181,93.27272727272727,94.63636363636364,91.54545454545455,99.95454545454545,97.54545454545455,99.27272727272727,91.5,63.09090909090909,19.0,18.454545454545453,9.5,5.590909090909091,"(-37.81234775, 144.96153311)",144.96153311,-37.81234775
Lonsdale St-Spring St (West),1.1363636363636365,0.22727272727272727,0.2727272727272727,0.6818181818181818,1.5,8.727272727272727,16.227272727272727,49.45454545454545,62.13636363636363,65.13636363636364,65.77272727272727,66.72727272727273,80.54545454545455,75.77272727272727,68.63636363636364,67.4090909090909,71.5909090909091,78.22727272727273,53.68181818181818,30.545454545454547,7.818181818181818,6.863636363636363,10.090909090909092,4.7727272727272725,"(-37.80999341, 144.97227588)",144.97227588,-37.80999341
Lygon St (East),0.8181818181818182,0.45454545454545453,0.2727272727272727,3.8181818181818183,2.3181818181818183,4.5,4.7727272727272725,8.636363636363637,17.636363636363637,23.636363636363637,26.59090909090909,28.863636363636363,37.31818181818182,44.45454545454545,56.09090909090909,71.04545454545455,67.77272727272727,63.09090909090909,49.5,27.272727272727273,6.2272727272727275,4.454545454545454,2.5454545454545454,1.2272727272727273,"(-37.80310271, 144.96671452)",144.96671452,-37.80310271
Lygon St (West),22.90909090909091,11.772727272727273,3.1818181818181817,8.090909090909092,5.045454545454546,16.272727272727273,23.09090909090909,31.454545454545453,39.45454545454545,65.31818181818181,78.27272727272727,86.4090909090909,107.4090909090909,111.31818181818181,105.86363636363636,102.86363636363636,109.63636363636364,112.04545454545455,96.04545454545455,61.81818181818182,45.0,42.22727272727273,30.454545454545453,32.54545454545455,"(-37.8016968, 144.96658911)",144.96658911,-37.8016968
Melbourne Central,22.181818181818183,16.272727272727273,13.863636363636363,9.590909090909092,10.318181818181818,20.772727272727273,39.54545454545455,55.77272727272727,85.27272727272727,104.54545454545455,140.27272727272728,178.0909090909091,244.77272727272728,255.36363636363637,245.5,272.5,280.3636363636364,291.59090909090907,258.90909090909093,166.0909090909091,82.45454545454545,72.22727272727273,59.0,32.09090909090909,"(-37.81101523, 144.96429485)",144.96429485,-37.81101523
Melbourne Central-Elizabeth St (East)Melbourne Central-Elizabeth St (East),22.772727272727273,18.227272727272727,22.863636363636363,19.0,19.863636363636363,41.18181818181818,71.5909090909091,105.63636363636364,161.1818181818182,213.0,245.22727272727272,284.8181818181818,341.3181818181818,369.1818181818182,413.8636363636364,446.77272727272725,443.95454545454544,379.27272727272725,263.27272727272725,175.0,71.81818181818181,62.90909090909091,43.63636363636363,36.0,"(-37.81160331, 144.96220077)",144.96220077,-37.81160331
