Date,Time,Location,Value,New Value
13/01/20,10:00,Brooklyn,63.5,63.5
13/01/20,11:00,Brooklyn,218.7,218.7
13/01/20,12:00,Brooklyn,606.8,606.8
13/01/20,13:00,Brooklyn,585.0,585.0
13/01/20,14:00,Brooklyn,562.6,562.6
13/01/20,15:00,Brooklyn,,535.1
13/01/20,16:00,Brooklyn,507.6,507.6
13/01/20,17:00,Brooklyn,476.5,476.5
13/01/20,18:00,Brooklyn,360.2,360.2
13/01/20,19:00,Brooklyn,305.3,305.3
13/01/20,20:00,Brooklyn,275.6,275.6
13/01/20,21:00,Brooklyn,236.7,236.7
13/01/20,22:00,Brooklyn,201.4,201.4
13/01/20,23:00,Brooklyn,205.5,205.5
14/01/20,0:00,Brooklyn,227.7,227.7
14/01/20,1:00,Brooklyn,179.8,179.8
14/01/20,2:00,Brooklyn,187.7,187.7
14/01/20,3:00,Brooklyn,200.9,200.9
14/01/20,4:00,Brooklyn,215.4,215.4
14/01/20,5:00,Brooklyn,240.0,240.0
14/01/20,6:00,Brooklyn,181.2,181.2
14/01/20,7:00,Brooklyn,154.1,154.1
14/01/20,8:00,Brooklyn,187.3,187.3
14/01/20,9:00,Brooklyn,145.9,145.9
14/01/20,10:00,Brooklyn,160.3,160.3
14/01/20,11:00,Brooklyn,173.2,173.2
14/01/20,12:00,Brooklyn,162.5,162.5
14/01/20,13:00,Brooklyn,159.4,159.4
14/01/20,14:00,Brooklyn,150.3,150.3
14/01/20,15:00,Brooklyn,,168.45
14/01/20,16:00,Brooklyn,186.6,186.6
14/01/20,17:00,Brooklyn,183.5,183.5
14/01/20,18:00,Brooklyn,145.0,145.0
14/01/20,19:00,Brooklyn,132.5,132.5
14/01/20,20:00,Brooklyn,139.3,139.3
14/01/20,21:00,Brooklyn,160.1,160.1
14/01/20,22:00,Brooklyn,252.5,252.5
14/01/20,23:00,Brooklyn,273.9,273.9
15/01/20,0:00,Brooklyn,203.2,203.2
15/01/20,1:00,Brooklyn,150.5,150.5
15/01/20,2:00,Brooklyn,103.9,103.9
15/01/20,3:00,Brooklyn,82.3,82.3
15/01/20,4:00,Brooklyn,47.6,47.6
15/01/20,5:00,Brooklyn,42.2,42.2
15/01/20,6:00,Brooklyn,45.0,45.0
15/01/20,7:00,Brooklyn,59.3,59.3
15/01/20,8:00,Brooklyn,231.1,231.1
15/01/20,9:00,Brooklyn,231.0,231.0
15/01/20,10:00,Brooklyn,208.3,208.3
15/01/20,11:00,Brooklyn,87.4,87.4
15/01/20,12:00,Brooklyn,195.5,195.5
15/01/20,13:00,Brooklyn,211.6,211.6
15/01/20,14:00,Brooklyn,145.2,145.2
15/01/20,15:00,Brooklyn,,120.89999999999999
15/01/20,16:00,Brooklyn,96.6,96.6
15/01/20,17:00,Brooklyn,62.0,62.0
15/01/20,18:00,Brooklyn,53.1,53.1
15/01/20,19:00,Brooklyn,52.1,52.1
15/01/20,20:00,Brooklyn,71.0,71.0
15/01/20,21:00,Brooklyn,65.5,65.5
15/01/20,22:00,Brooklyn,48.9,48.9
15/01/20,23:00,Brooklyn,44.7,44.7
16/01/20,0:00,Brooklyn,39.0,39.0
16/01/20,1:00,Brooklyn,37.1,37.1
16/01/20,2:00,Brooklyn,,32.67142857142857
16/01/20,3:00,Brooklyn,,28.242857142857144
16/01/20,4:00,Brooklyn,,23.814285714285717
16/01/20,5:00,Brooklyn,,19.385714285714286
16/01/20,6:00,Brooklyn,,14.957142857142856
16/01/20,7:00,Brooklyn,,10.528571428571428
16/01/20,8:00,Brooklyn,6.1,6.1
16/01/20,9:00,Brooklyn,6.2,6.2
16/01/20,10:00,Brooklyn,7.1,7.1
16/01/20,11:00,Brooklyn,7.4,7.4
16/01/20,12:00,Brooklyn,7.2,7.2
16/01/20,13:00,Brooklyn,6.7,6.7
16/01/20,14:00,Brooklyn,6.5,6.5
16/01/20,15:00,Brooklyn,,6.9
16/01/20,16:00,Brooklyn,7.3,7.3
16/01/20,17:00,Brooklyn,8.6,8.6
16/01/20,18:00,Brooklyn,9.2,9.2
16/01/20,19:00,Brooklyn,9.6,9.6
16/01/20,20:00,Brooklyn,10.3,10.3
16/01/20,21:00,Brooklyn,11.8,11.8
16/01/20,22:00,Brooklyn,12.3,12.3
16/01/20,23:00,Brooklyn,9.7,9.7
17/01/20,0:00,Brooklyn,9.4,9.4
17/01/20,1:00,Brooklyn,7.7,7.7
17/01/20,2:00,Brooklyn,8.0,8.0
17/01/20,3:00,Brooklyn,7.6,7.6
17/01/20,4:00,Brooklyn,7.1,7.1
17/01/20,5:00,Brooklyn,8.3,8.3
17/01/20,6:00,Brooklyn,8.4,8.4
17/01/20,7:00,Brooklyn,6.9,6.9
17/01/20,8:00,Brooklyn,7.6,7.6
17/01/20,9:00,Brooklyn,9.5,9.5
17/01/20,10:00,Brooklyn,8.8,8.8
17/01/20,11:00,Brooklyn,6.5,6.5
17/01/20,12:00,Brooklyn,5.9,5.9
17/01/20,13:00,Brooklyn,5.8,5.8
