WATMAINID,STATUS,PRESSURE_ZONE,ROADSEGMENTID,CATEGORY,PIPE_SIZE,MATERIAL,LINED,LINED_MATERIAL,INSTALLATION_DATE,ACQUISITION,OWNERSHIP,BRIDGE_MAIN,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,Undersized,Shallow Main,Condition Score,OVERSIZED,CLEANED,Shape__Length
37840,ACTIVE,KIT 6,5459,TREATED,150,DI,NO,NONE,1979-01-01,DONATED,KITCHENER,N,6,6,7,N,N,8.5,N,N,300.394604287073
82674,ACTIVE,KIT 6,5459,TREATED,150,DI,NO,NONE,1979-01-01,DONATED,KITCHENER,N,6,6,7,N,N,8.5,N,N,7.59775617371573
82676,ACTIVE,KIT 6,5459,TREATED,150,DI,NO,NONE,1979-01-01,DONATED,KITCHENER,N,6,6,7,N,N,8.5,N,N,112.6813292351
82678,ACTIVE,KIT 5,25353,TREATED,300,PVC,NO,NONE,1995-09-01,DONATED,KITCHENER,N,6,6,30,N,N,9.35,N,Y,25.2988888327486
55440,ACTIVE,KIT 5,25353,TREATED,300,PVC,NO,NONE,1995-09-01,DONATED,KITCHENER,N,7,6,30,N,N,9.35,N,Y,87.71660262388
68380,ACTIVE,KIT 5,600360,TREATED,150,PVC,NO,NONE,2002-06-01,DONATED,KITCHENER,N,6,6,31,N,N,9.35,N,Y,71.0404762625438
82680,ACTIVE,KIT 5,9528,TREATED,150,DI,NO,NONE,1976-01-01,DONATED,KITCHENER,N,6,6,18,N,N,8.5,N,Y,7.84290612405911
82682,ACTIVE,KIT 5,9528,TREATED,150,DI,NO,NONE,1976-01-01,DONATED,KITCHENER,N,6,6,18,N,N,8.5,N,Y,7.58761335870817
82684,ACTIVE,KIT 5,9528,TREATED,150,DI,NO,NONE,1976-01-01,DONATED,KITCHENER,N,6,6,18,N,N,8.5,N,Y,1.52578042931212
30210,ACTIVE,KIT 5,9528,TREATED,150,DI,NO,NONE,1976-01-01,DONATED,KITCHENER,N,6,6,18,N,N,8.5,N,Y,254.289374255107
82686,ACTIVE,KIT 5,9528,TREATED,150,DI,NO,NONE,1976-01-01,DONATED,KITCHENER,N,6,6,18,N,N,7.3,N,Y,150.22231567387
82688,ACTIVE,KIT 2W,21913,TREATED,300,DI,NO,NONE,1974-01-01,DONATED,KITCHENER,N,7,5,0,N,N,8.5,N,N,16.9262792912181
14050,ACTIVE,KIT 2W,21913,TREATED,300,DI,NO,NONE,1974-01-01,DONATED,KITCHENER,N,7,5,31,N,N,8.5,N,N,187.769982317466
910,ACTIVE,KIT 4,12651,TREATED,300,DI,NO,NONE,1978-09-01,PURCHASED,KITCHENER,N,7,2,39,N,N,8.5,N,Y,83.8339916513466
82690,ACTIVE,KIT 2W,16144,TREATED,150,PVC,NO,NONE,1990-02-01,DONATED,KITCHENER,N,6,5,38,N,N,9.35,N,N,5.62695673332033
31260,ACTIVE,KIT 2W,16144,TREATED,150,PVC,NO,NONE,1990-02-01,DONATED,KITCHENER,N,6,5,38,N,N,9.35,N,N,108.282004606592
82692,ACTIVE,KIT 4,6634,TREATED,200,DI,NO,NONE,1985-06-01,PURCHASED,KITCHENER,N,7,2,22,N,N,9.1,N,N,12.8581470270423
