ASSET_ID,MAIN_LINE_TYPE,MAIN_CLASS,MAIN_NAME,MATERIAL,PIPE_LENGTH,PIPE_WIDTH,SOIL_TYPE,DATE_RELINED,DATE_OF_CONSTRUCTION,SERVICE_STATUS,PIPE_AGE
M039,MAINBG,T,NORTHCOTE - PUNT RD,MS,140.99,600,SAND,1/1/1967 12:00:00 AM,1971-07-20,IN,55.0
M039,MAINAG,T,NORTHCOTE - PUNT RD,MS,55.97,600,SAND,1/1/1967 12:00:00 AM,1971-07-20,IN,55.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,261.18,600,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,399.38,600,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,0.5,600,CLAY,1/1/1969 12:00:00 AM,1969-01-01,IN,57.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,53.1,600,CLAY,1/1/1974 12:00:00 AM,1974-01-01,IN,52.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,137.99,600,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M418,MAINAG,T,BEACONSFIELD - LANGWARRIN MAIN,MS,6.78,1050,CLAY,1/1/1959 12:00:00 AM,1959-01-01,IN,67.0
H080,OUTLET,S,THOMSON DAM,MS,28.03,2400,,,1986-01-01,IN,40.0
H080,OUTLET,S,THOMSON DAM,MS,8.8,2400,,,1986-01-01,IN,40.0
H080,OUTLET,S,THOMSON DAM,MSCL,2.7,150,,,1986-01-01,IN,40.0
H080,BYPASS,S,THOMSON DAM,MS,1.32,225,,,1986-01-01,IN,40.0
H080,OUTLET,S,THOMSON DAM,MS,10.3,2400,,,1986-01-01,IN,40.0
M158,MAINAG,T,SURREY HILLS - ROSANNA,MS,53.48,1150,CRK,1/1/1980 12:00:00 AM,1980-01-01,IN,46.0
M281,MAINAG,T,CARDINIA-DAND'G-NOTTING HILL M,MS,32.31,1700,SNC,1/1/1974 12:00:00 AM,1976-01-01,IN,50.0
M418,MAINAG,T,BEACONSFIELD - LANGWARRIN MAIN,MS,5.9,1050,CLAY,1/1/1959 12:00:00 AM,1959-01-01,IN,67.0
M418,MAINAG,T,BEACONSFIELD - LANGWARRIN MAIN,MS,55.38,1050,CLAY,1/1/1982 12:00:00 AM,1982-01-01,IN,44.0
M333,MAINBG,T,GREENVALE-YUROKE-SYDENHAM,MS,0.67,1150,CRK,1/1/1978 12:00:00 AM,1978-01-01,IN,48.0
M333,MAINBG,T,GREENVALE-YUROKE-SYDENHAM,MS,1214.74,1150,CRK,1/1/1978 12:00:00 AM,1978-01-01,IN,48.0
M102,MAINBG,T,NORTH ESSENDON-FOOTSCRAY MAIN,MSCL,0.55,450,CRK,,2012-02-17,IN,14.0
M102,MAINBG,T,NORTH ESSENDON-FOOTSCRAY MAIN,MSCL,7.23,450,CRK,,2012-02-17,IN,14.0
M102,MAINBG,T,NORTH ESSENDON-FOOTSCRAY MAIN,MSCL,25.28,900,CRK,,2012-02-17,IN,14.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,134.33,600,CLAY,1/1/1969 12:00:00 AM,1969-01-01,IN,57.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,0.53,600,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,65.09,600,CLAY,1/1/1969 12:00:00 AM,1969-01-01,IN,57.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,1189.7,600,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSEL,2.91,900,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,469.5,600,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M041,MAINAG,T,MERRI CK - NORTHCOTE-PUNT RD,MS,2.09,600,AIR,1/1/1996 12:00:00 AM,1996-01-01,IN,30.0
M041,OFTAKE,S,MERRI CK - NORTHCOTE-PUNT RD,MSCL,0.85,225,CRK,6/10/2004 12:00:00 AM,2004-06-10,IN,22.0
M041,MAINBG,T,MERRI CK - NORTHCOTE-PUNT RD,MS,33.98,600,CRK,6/10/2004 12:00:00 AM,2004-06-10,IN,22.0
M333,MAINBG,T,GREENVALE-YUROKE-SYDENHAM,MS,0.83,1150,,,2011-01-01,IN,15.0
M333,BYPASS,S,GREENVALE-YUROKE-SYDENHAM,MS,0.3,225,,,2011-01-01,IN,15.0
M333,CROSS,S,GREENVALE-YUROKE-SYDENHAM,MSCL,1.1,450,CRK,,2006-08-12,IN,20.0
M333,OFTAKE,S,GREENVALE-YUROKE-SYDENHAM,MSCL,1.31,300,CRK,,2006-08-12,IN,20.0
M333,MAINBG,T,GREENVALE-YUROKE-SYDENHAM,MS,2940.96,1150,CRK,1/1/1978 12:00:00 AM,1978-01-01,IN,48.0
M333,MAINBG,T,GREENVALE-YUROKE-SYDENHAM,MS,0.77,1150,,,2011-01-01,IN,15.0
M333,OFTAKE,S,GREENVALE-YUROKE-SYDENHAM,MSCL,2.0,150,CRK,,2006-08-12,IN,20.0
M333,BYPASS,S,GREENVALE-YUROKE-SYDENHAM,MS,3.4,225,,,2011-01-01,IN,15.0
M333,BYPASS,S,GREENVALE-YUROKE-SYDENHAM,MS,0.31,225,,,2011-01-01,IN,15.0
M333,MAINBG,T,GREENVALE-YUROKE-SYDENHAM,MS,1.41,1150,CRK,1/1/1978 12:00:00 AM,1978-01-01,IN,48.0
M333,MAINBG,T,GREENVALE-YUROKE-SYDENHAM,MS,1.32,1150,CRK,1/1/1978 12:00:00 AM,1978-01-01,IN,48.0
H001,MAINBG,S,SUGARLOAF DAM,MSCL,0.7,900,UNKN,,,IN,
H001,MAINBG,S,SUGARLOAF DAM,MSCL,0.27,150,UNKN,,,IN,
H001,MAINBG,S,SUGARLOAF DAM,MSCL,0.57,150,UNKN,,,IN,
H001,MAINBG,S,SUGARLOAF DAM,MSCL,0.33,100,UNKN,,,IN,
H001,MAINBG,S,SUGARLOAF DAM,MSCL,0.32,100,UNKN,,,IN,
H001,MAINBG,S,SUGARLOAF DAM,MSCL,0.5,150,UNKN,,,IN,
H001,MAINBG,S,SUGARLOAF DAM,MSCL,0.3,150,UNKN,,,IN,
M054,MAINBG,T,OLINDA-MITCHAM NO.2,MS,531.13,1150,CLAY,1/1/1984 12:00:00 AM,1926-01-01,IN,100.0
M054,MAINBG,T,OLINDA-MITCHAM NO.2,MS,319.79,1150,CLAY,1/1/1984 12:00:00 AM,1926-01-01,IN,100.0
M054,MAINBG,T,OLINDA-MITCHAM NO.2,MS,728.21,1150,CLAY,1/1/1984 12:00:00 AM,1926-01-01,IN,100.0
M427,MAINBG,T,LANGWARRIN-FRANKSTON NO 1 MAIN,RC,638.93,900,CLAY,,1955-01-01,IN,71.0
M427,MAINBG,T,LANGWARRIN-FRANKSTON NO 1 MAIN,RC,196.05,900,CLAY,,1955-01-01,IN,71.0
M021,CROSS,S,BLACKBURN RD - NOTTING HILL,MSCL,2.5,450,SS&C,,2015-06-02,IN,11.0
M022,MAINBG,T,MITCHAM-NOTTING HILL MAIN,MSLB,280.2,750,CLAY,1/1/1975 12:00:00 AM,1927-01-01,IN,99.0
M010,SIPHBG,T,MAROONDAH,WI,217.49,1275,CLAY,1/1/1890 12:00:00 AM,1891-01-01,IN,135.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,1.12,825,CLAY,1/1/1966 12:00:00 AM,1966-01-01,IN,60.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSEL,8.5,900,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,MAINBG,T,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,2.82,375,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
M182,BRANCH,S,BROOKLYN-GALVIN-LAVERTON MAIN,MSCL,29.91,450,CLAY,1/1/1961 12:00:00 AM,1961-01-01,IN,65.0
