Station Name,Station access,Staffed,Escalators,Lift,Independent boarding,Shelter,Low platform,Tactile edges,Hearing Loop,Info screens,Path Widths,Toilet,Parking,Pick up / Drop off
Southern Cross Station,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No
Flinders Street Station,Yes,Yes,Yes,Yes,In Part,Yes,In Part,Yes,Yes,Yes,No,Yes,No,No
Flemington Racecourse Station,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No
Frankston Station,Yes,Yes,No,No,In Part,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
Kananook Station,Yes,No,No,No,No,Yes,In Part,Yes,No,Yes,No,No,Yes,No
Seaford Station,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No
Carrum Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Bonbeach Station,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
Chelsea Station,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
Edithvale Station,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
Aspendale Station,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No
Mordialloc Station,Yes,Yes,No,No,No,In Part,Yes,Yes,No,Yes,No,Yes,Yes,No
Parkdale Station,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No
Mentone Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
Cheltenham Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Southland Station,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
Highett Station,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No
Moorabbin Station,Yes,Yes,No,No,In Part,Yes,No,Yes,No,Yes,No,Yes,Yes,No
Patterson Station,Yes,No,No,No,In Part,Yes,No,Yes,No,Yes,No,No,Yes,No
Bentleigh Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
McKinnon Station,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
Ormond Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
Glen Huntly Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Caulfield Station,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
Malvern Station,Yes,Yes,No,No,No,In Part,In Part,No,No,Yes,Yes,Yes,No,No
Armadale Station,Yes,Yes,No,No,No,In Part,No,Yes,No,Yes,Yes,No,No,Yes
Toorak Station,Yes,No,No,No,No,In Part,Yes,Yes,No,Yes,No,No,No,Yes
Hawksburn Station,Yes,No,No,No,No,In Part,Yes,Yes,No,Yes,Yes,No,No,No
South Yarra Station,Yes,Yes,No,No,In Part,In Part,No,Yes,Yes,Yes,No,Yes,No,No
Richmond Station,Yes,Yes,No,No,No,In Part,Yes,Yes,No,Yes,Yes,Yes,No,No
Parliament Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Melbourne Central Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Flagstaff Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Southern Cross Station,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No
Flinders Street Station,Yes,Yes,Yes,Yes,In Part,Yes,In Part,Yes,Yes,Yes,No,Yes,No,No
Glen Waverley Station,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes
Syndal Station,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No
Mount Waverley Station,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes
Jordanville Station,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes
Holmesglen Station,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No
East Malvern Station,Yes,Yes,No,No,No,In Part,In Part,In Part,No,No,No,Yes,Yes,No
Darling Station,Yes,Yes,No,No,No,No,In Part,No,No,Yes,No,Yes,Yes,No
Glen Iris Station,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No
Gardiner Station,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
Tooronga Station,Yes,Yes,No,No,No,No,No,In Part,No,No,Yes,No,Yes,No
Kooyong Station,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No
Heyington Station,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No
Burnley Station,Yes,Yes,No,No,In Part,No,No,Yes,No,Yes,No,Yes,No,No
East Richmond Station,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
Richmond Station,Yes,Yes,No,No,No,In Part,Yes,Yes,No,Yes,Yes,Yes,No,No
Parliament Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Melbourne Central Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Flagstaff Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Southern Cross Station,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No
Flinders Street Station,Yes,Yes,Yes,Yes,In Part,Yes,In Part,Yes,Yes,Yes,No,Yes,No,No
Hurstbridge Station,Yes,Yes,No,No,In Part,No,No,Yes,No,Yes,No,No,Yes,No
Wattle Glen Station,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes
Diamond Creek Station,Yes,No,No,No,No,In Part,No,Yes,No,No,No,No,Yes,No
Eltham Station,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes
Montmorency Station,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
Greensborough Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Watsonia Station,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
Macleod Station,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No
Rosanna Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Heidelberg Station,Yes,Yes,No,No,No,In Part,Yes,No,No,Yes,Yes,Yes,Yes,Yes
Eaglemont Station,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No
Ivanhoe Station,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No
Darebin Station,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
Alphington Station,Yes,No,No,No,No,In Part,No,Yes,No,Yes,No,No,No,No
Fairfield Station,Yes,Yes,No,No,No,In Part,No,Yes,No,Yes,No,Yes,Yes,No
Dennis Station,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No
Westgarth Station,Yes,No,No,No,No,In Part,No,Yes,No,Yes,No,No,No,No
Clifton Hill Station,Yes,Yes,No,No,No,Yes,No,In Part,No,Yes,Yes,Yes,Yes,No
Victoria Park Station,Yes,No,No,No,In Part,No,No,Yes,No,Yes,Yes,No,No,No
Collingwood Station,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
North Richmond Station,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
West Richmond Station,Yes,No,No,No,No,No,Yes,In Part,No,No,Yes,No,No,No
Jolimont-MCG Station,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
Parliament Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Melbourne Central Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Flagstaff Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Southern Cross Station,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No
Flinders Street Station,Yes,Yes,Yes,Yes,In Part,Yes,In Part,Yes,Yes,Yes,No,Yes,No,No
Lilydale Station,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
