Sale_Year,Small_Area,Type,Median_Price,Transaction_Count
2011,South Yarra,Residential Apartment,535000,90
2011,West Melbourne (Residential),Residential Apartment,481000,301
2012,Docklands,Residential Apartment,580000,590
2012,Melbourne (CBD),House/Townhouse,,2
2012,Parkville,House/Townhouse,1180000,25
2012,South Yarra,House/Townhouse,1650000,30
2012,South Yarra,Residential Apartment,530000,113
2013,Carlton,House/Townhouse,870000,82
2013,Docklands,Residential Apartment,619500,800
2013,East Melbourne,House/Townhouse,1850000,49
2013,Kensington,House/Townhouse,663370,211
2013,Melbourne (CBD),Residential Apartment,495000,2915
2013,North Melbourne,House/Townhouse,681000,143
2013,North Melbourne,Residential Apartment,487500,619
2013,South Yarra,House/Townhouse,1735000,24
2013,West Melbourne (Residential),House/Townhouse,933000,35
2014,East Melbourne,Residential Apartment,603500,178
2014,Kensington,House/Townhouse,662000,187
2014,Kensington,Residential Apartment,415000,136
2014,Melbourne (CBD),House/Townhouse,,4
2014,North Melbourne,House/Townhouse,800000,92
2014,North Melbourne,Residential Apartment,520000,619
2014,South Yarra,House/Townhouse,2605000,36
2014,West Melbourne (Residential),Residential Apartment,460000,380
2014,NA,House/Townhouse,,10
2015,Carlton,House/Townhouse,952500,86
2015,North Melbourne,Residential Apartment,502750,294
2015,Parkville,Residential Apartment,478750,64
2015,South Yarra,Residential Apartment,545000,129
2015,Southbank,Residential Apartment,540000,799
2015,NA,Residential Apartment,508000,24
2016,Carlton,Residential Apartment,508000,162
2016,Docklands,House/Townhouse,,5
2016,North Melbourne,House/Townhouse,861000,87
2016,South Yarra,Residential Apartment,555000,88
2016,West Melbourne (Residential),Residential Apartment,475000,115
2016,NA,Residential Apartment,,1
2000,Kensington,Residential Apartment,232500,46
2000,North Melbourne,Residential Apartment,172500,196
2000,West Melbourne (Residential),Residential Apartment,240300,66
2001,Carlton,Residential Apartment,273000,366
2001,Docklands,Residential Apartment,525375,766
2001,Melbourne (Remainder),Residential Apartment,355000,63
2001,South Yarra,Residential Apartment,245750,187
2001,West Melbourne (Residential),Residential Apartment,292500,145
2002,Carlton,House/Townhouse,420000,108
2002,Docklands,Residential Apartment,502000,755
2002,Kensington,Residential Apartment,285000,121
2002,Melbourne (CBD),Residential Apartment,299500,1473
2003,Carlton,Residential Apartment,296500,225
2003,Docklands,Residential Apartment,1,849
2003,East Melbourne,Residential Apartment,410000,185
2003,Melbourne (CBD),House/Townhouse,0,27
2003,Southbank,Residential Apartment,393000,491
2003,West Melbourne (Residential),Residential Apartment,395000,181
2004,East Melbourne,House/Townhouse,745000,53
2004,Kensington,Residential Apartment,295500,118
2004,North Melbourne,House/Townhouse,370000,110
2005,Carlton,Residential Apartment,300000,170
2005,Docklands,Residential Apartment,480000,250
2005,East Melbourne,Residential Apartment,337500,172
2005,Melbourne (Remainder),Residential Apartment,361000,71
2005,North Melbourne,Residential Apartment,266000,164
2005,Parkville,Residential Apartment,295000,71
2006,Docklands,Residential Apartment,535450,427
2006,East Melbourne,Residential Apartment,354000,178
2006,Kensington,House/Townhouse,421000,143
2006,Melbourne (CBD),House/Townhouse,,2
2006,Melbourne (CBD),Residential Apartment,332000,1199
2006,North Melbourne,Residential Apartment,295000,158
2006,South Yarra,Residential Apartment,364000,134
2006,West Melbourne (Residential),Residential Apartment,380000,81
2007,Carlton,House/Townhouse,632500,108
2007,Carlton,Residential Apartment,395000,291
2007,Docklands,House/Townhouse,1532000,32
2007,Melbourne (Remainder),Residential Apartment,500000,153
2007,North Melbourne,Residential Apartment,335000,285
2007,West Melbourne (Residential),House/Townhouse,646000,48
2007,West Melbourne (Residential),Residential Apartment,435000,171
2008,Docklands,House/Townhouse,3260600,20
2008,Docklands,Residential Apartment,502000,654
2008,East Melbourne,House/Townhouse,1868397.5,30
2008,Kensington,House/Townhouse,493000,213
2008,Melbourne (CBD),House/Townhouse,,5
2008,North Melbourne,House/Townhouse,537500,134
2008,Parkville,House/Townhouse,590000,68
2009,Docklands,House/Townhouse,,3
2009,Docklands,Residential Apartment,541000,779
2009,Melbourne (CBD),Residential Apartment,395000,1863
2009,Parkville,Residential Apartment,400000,79
