date,Year,Month,day of week,Rainfall_amount_(millimetres)
10/12/2015,2015,Dec,Thursday,0
11/12/2015,2015,Dec,Friday,0
12/12/2015,2015,Dec,Saturday,2
13/12/2015,2015,Dec,Sunday,0
14/12/2015,2015,Dec,Monday,0
15/12/2015,2015,Dec,Tuesday,0
16/12/2015,2015,Dec,Wednesday,0
17/12/2015,2015,Dec,Thursday,0
18/12/2015,2015,Dec,Friday,0
19/12/2015,2015,Dec,Saturday,0
20/12/2015,2015,Dec,Sunday,0
21/12/2015,2015,Dec,Monday,6
22/12/2015,2015,Dec,Tuesday,0
23/12/2015,2015,Dec,Wednesday,0
24/12/2015,2015,Dec,Thursday,0.4
25/12/2015,2015,Dec,Friday,0
26/12/2015,2015,Dec,Saturday,30.6
27/12/2015,2015,Dec,Sunday,5.2
28/12/2015,2015,Dec,Monday,0
29/12/2015,2015,Dec,Tuesday,0
30/12/2015,2015,Dec,Wednesday,0
31/12/2015,2015,Dec,Thursday,0
1/01/2016,2016,Jan,Friday,0
2/01/2016,2016,Jan,Saturday,0
3/01/2016,2016,Jan,Sunday,0
4/01/2016,2016,Jan,Monday,0
5/01/2016,2016,Jan,Tuesday,0
6/01/2016,2016,Jan,Wednesday,0
7/01/2016,2016,Jan,Thursday,0
8/01/2016,2016,Jan,Friday,0
9/01/2016,2016,Jan,Saturday,0
10/01/2016,2016,Jan,Sunday,0
11/01/2016,2016,Jan,Monday,0
12/01/2016,2016,Jan,Tuesday,0.8
13/01/2016,2016,Jan,Wednesday,0.2
14/01/2016,2016,Jan,Thursday,0.4
15/01/2016,2016,Jan,Friday,1
16/01/2016,2016,Jan,Saturday,0
17/01/2016,2016,Jan,Sunday,0
18/01/2016,2016,Jan,Monday,0
19/01/2016,2016,Jan,Tuesday,0
20/01/2016,2016,Jan,Wednesday,1
21/01/2016,2016,Jan,Thursday,0.8
22/01/2016,2016,Jan,Friday,1.6
23/01/2016,2016,Jan,Saturday,7
24/01/2016,2016,Jan,Sunday,5.2
25/01/2016,2016,Jan,Monday,0.4
26/01/2016,2016,Jan,Tuesday,0
27/01/2016,2016,Jan,Wednesday,0
28/01/2016,2016,Jan,Thursday,3.6
29/01/2016,2016,Jan,Friday,14.2
30/01/2016,2016,Jan,Saturday,1.2
31/01/2016,2016,Jan,Sunday,10.6
1/02/2016,2016,Feb,Monday,0
2/02/2016,2016,Feb,Tuesday,0
3/02/2016,2016,Feb,Wednesday,0.6
4/02/2016,2016,Feb,Thursday,2.4
5/02/2016,2016,Feb,Friday,0
6/02/2016,2016,Feb,Saturday,0
7/02/2016,2016,Feb,Sunday,0
8/02/2016,2016,Feb,Monday,0
9/02/2016,2016,Feb,Tuesday,0
10/02/2016,2016,Feb,Wednesday,0
11/02/2016,2016,Feb,Thursday,0
12/02/2016,2016,Feb,Friday,0
13/02/2016,2016,Feb,Saturday,0
14/02/2016,2016,Feb,Sunday,0
15/02/2016,2016,Feb,Monday,0
16/02/2016,2016,Feb,Tuesday,3.6
17/02/2016,2016,Feb,Wednesday,0.6
18/02/2016,2016,Feb,Thursday,1.2
