Local_Time,ID,Site_ID,Sensor_ID,Value,Type,Units,Gatewayhub_ID,Site_Status
2023-07-27T00:45:02+10:00,7595216,1016,5c,1029.1,TPH.PRESSURE,hPa,arc1049,C
2023-07-27T00:45:11+10:00,7595024,1009,0a,12.5,PM2.5,ug/m^3,arc1050,C
2023-07-27T00:45:11+10:00,7595044,1011,0a,10.2,PM2.5,ug\/m^3,arc1055,C
2023-07-27T00:45:11+10:00,7595053,1011,0b,29.0,PM10,ug\/m^3,arc1055,C
2023-07-27T00:45:11+10:00,7595141,1014,0b,31.1,PM10,ug/m^3,arc1045,C
2023-07-27T00:45:11+10:00,7595180,1016,0a,13.7,PM2.5,ug/m^3,arc1049,C
2023-07-27T00:45:11+10:00,7595189,1016,0b,36.8,PM10,ug/m^3,arc1049,C
2023-07-27T01:00:00+10:00,7595226,1009,0a.EPA-1h,10.0,PM2.5-EPA-1h,ug/m^3,arc1050,C
2023-07-27T01:00:00+10:00,7595232,1009,0b.EPA-1h,26.1,PM10-EPA-1h,ug/m^3,arc1050,C
2023-07-27T01:00:00+10:00,7595246,1011,0a.EPA-1h,13.5,PM2.5-EPA-1h,ug\/m^3,arc1055,C
2023-07-27T01:00:00+10:00,7595256,1011,0b.EPA-1h.NOPK,32.1,PM10-EPA-1h-NOPK,ug/m^3,arc1055,C
2023-07-27T01:00:00+10:00,7595272,1011,5a.EPA-1h,8.15,TPH.TEMP-EPA-1h,C,arc1055,C
2023-07-27T01:00:00+10:00,7595277,1011,5b.EPA-1h,78.13,TPH.RH-EPA-1h,%,arc1055,C
2023-07-27T01:00:00+10:00,7595293,1012,0a.EPA-1h.PKIND,1.0,PM2.5-EPA-1h-PKIND,0/1,arc1048,C
2023-07-27T01:00:00+10:00,7595299,1012,0b.EPA-1h,26.2,PM10-EPA-1h,ug/m^3,arc1048,C
2023-07-27T01:00:00+10:00,7595301,1012,0b.EPA-1h.NOPK.EPA-24h,28.7,PM10-EPA-1h-NOPK-EPA-24h,ug/m^3,arc1048,C
2023-07-27T01:00:00+10:00,7595303,1012,0b.EPA-24h,28.7,PM10-EPA-24h,ug/m^3,arc1048,C
2023-07-27T01:00:00+10:00,7595334,1014,0a.EPA-1h,13.0,PM2.5-EPA-1h,ug/m^3,arc1045,C
2023-07-27T01:00:00+10:00,7595337,1014,0a.EPA-1h.PKIND,1.0,PM2.5-EPA-1h-PKIND,0/1,arc1045,C
2023-07-27T01:00:00+10:00,7595345,1014,0b.EPA-1h.NOPK.EPA-24h,30.3,PM10-EPA-1h-NOPK-EPA-24h,ug/m^3,arc1045,C
2023-07-27T01:00:00+10:00,7595346,1014,0b.EPA-1h.PKIND,1.0,PM10-EPA-1h-PKIND,0/1,arc1045,C
2023-07-27T01:00:00+10:00,7595369,1014,5b.EPA-1h,82.42,TPH.RH-EPA-1h,%,arc1045,C
2023-07-27T01:00:00+10:00,7595382,1016,0a.EPA-1h,13.2,PM2.5-EPA-1h,ug/m^3,arc1049,C
2023-07-27T01:00:00+10:00,7595384,1016,0a.EPA-1h.NOPK.EPA-24h,12.4,PM2.5-EPA-1h-NOPK-EPA-24h,ug/m^3,arc1049,C
2023-07-27T01:00:00+10:00,7595392,1016,0b.EPA-1h.NOPK,32.3,PM10-EPA-1h-NOPK,ug/m^3,arc1049,C
2023-07-27T01:00:00+10:00,7595394,1016,0b.EPA-1h.PKIND,1.0,PM10-EPA-1h-PKIND,0/1,arc1049,C
2023-07-27T01:00:00+10:00,7595409,1016,5a.EPA-1h,8.98,TPH.TEMP-EPA-1h,C,arc1049,C
2023-07-27T01:00:02+10:00,7595071,1011,5a,8.13,TPH.TEMP,C,arc1055,C
2023-07-27T01:00:02+10:00,7595076,1011,5b,77.22,TPH.RH,%,arc1055,C
2023-07-27T01:00:02+10:00,7595163,1014,5a,8.22,TPH.TEMP,C,arc1045,C
2023-07-27T01:00:02+10:00,7595173,1014,5c,1030.6,TPH.PRESSURE,hPa,arc1045,C
2023-07-27T01:00:03+10:00,7595085,1011,6,6.34,WS,km/h,arc1055,C
2023-07-27T01:00:03+10:00,7595129,1012,6,5.76,WS,km/h,arc1048,C
2023-07-27T01:00:03+10:00,7595221,1016,6,0.0,WS,km/h,arc1049,C
2023-07-27T01:00:11+10:00,7595031,1009,0b,31.5,PM10,ug/m^3,arc1050,C
2023-07-27T01:00:11+10:00,7595054,1011,0b,36.9,PM10,ug\/m^3,arc1055,C
2023-07-27T01:00:11+10:00,7595181,1016,0a,14.1,PM2.5,ug/m^3,arc1049,C
2023-07-27T01:00:11+10:00,7595190,1016,0b,33.1,PM10,ug/m^3,arc1049,C
2023-07-27T01:15:01+10:00,7595268,1011,5a,8.14,TPH.TEMP,C,arc1055,C
2023-07-27T01:15:01+10:00,7595312,1012,5a,8.67,TPH.TEMP,C,arc1048,C
2023-07-27T01:15:02+10:00,7595326,1012,6,6.08,WS,km/h,arc1048,C
2023-07-27T01:15:02+10:00,7595360,1014,5a,8.24,TPH.TEMP,C,arc1045,C
2023-07-27T01:15:02+10:00,7595370,1014,5c,1030.6,TPH.PRESSURE,hPa,arc1045,C
2023-07-27T01:15:02+10:00,7595410,1016,5b,72.87,TPH.RH,%,arc1049,C
2023-07-27T01:15:03+10:00,7595374,1014,6,0.0,WS,km/h,arc1045,C
2023-07-27T01:15:03+10:00,7595419,1016,6,0.0,WS,km/h,arc1049,C
2023-07-27T01:15:11+10:00,7595228,1009,0b,24.9,PM10,ug/m^3,arc1050,C
2023-07-27T01:15:11+10:00,7595330,1014,0a,13.2,PM2.5,ug/m^3,arc1045,C
2023-07-27T01:15:11+10:00,7595339,1014,0b,35.2,PM10,ug/m^3,arc1045,C
2023-07-27T01:15:11+10:00,7595378,1016,0a,13.0,PM2.5,ug/m^3,arc1049,C
2023-07-27T01:30:02+10:00,7595274,1011,5b,78.15,TPH.RH,%,arc1055,C
2023-07-27T01:30:02+10:00,7595279,1011,5c,1028.0,TPH.PRESSURE,hPa,arc1055,C
2023-07-27T01:30:02+10:00,7595318,1012,5b,78.26,TPH.RH,%,arc1048,C
2023-07-27T01:30:02+10:00,7595361,1014,5a,8.26,TPH.TEMP,C,arc1045,C
2023-07-27T01:30:02+10:00,7595406,1016,5a,9.02,TPH.TEMP,C,arc1049,C
2023-07-27T01:30:02+10:00,7595416,1016,5c,1028.5,TPH.PRESSURE,hPa,arc1049,C
2023-07-27T01:30:03+10:00,7595327,1012,6,6.3,WS,km/h,arc1048,C
2023-07-27T01:30:11+10:00,7595252,1011,0b,29.8,PM10,ug\/m^3,arc1055,C
2023-07-27T01:30:11+10:00,7595287,1012,0a,11.7,PM2.5,ug/m^3,arc1048,C
2023-07-27T01:30:11+10:00,7595340,1014,0b,33.4,PM10,ug/m^3,arc1045,C
2023-07-27T01:45:02+10:00,7595280,1011,5c,1027.7,TPH.PRESSURE,hPa,arc1055,C
2023-07-27T01:45:02+10:00,7595407,1016,5a,9.01,TPH.TEMP,C,arc1049,C
2023-07-27T01:45:03+10:00,7595328,1012,6,6.23,WS,km/h,arc1048,C
2023-07-27T01:45:03+10:00,7595376,1014,6,0.0,WS,km/h,arc1045,C
2023-07-27T01:45:03+10:00,7595421,1016,6,0.0,WS,km/h,arc1049,C
2023-07-27T01:45:11+10:00,7595224,1009,0a,9.8,PM2.5,ug/m^3,arc1050,C
2023-07-27T01:45:11+10:00,7595341,1014,0b,30.8,PM10,ug/m^3,arc1045,C
2023-07-27T02:00:00+10:00,7595434,1009,0b.EPA-24h,30.4,PM10-EPA-24h,ug/m^3,arc1050,C
2023-07-27T02:00:00+10:00,7595452,1011,0a.EPA-24h,10.0,PM2.5-EPA-24h,ug\/m^3,arc1055,C
2023-07-27T02:00:00+10:00,7595459,1011,0b.EPA-1h.NOPK.EPA-24h,27.3,PM10-EPA-1h-NOPK-EPA-24h,ug/m^3,arc1055,C
2023-07-27T02:00:00+10:00,7595460,1011,0b.EPA-1h.PKIND,1.0,PM10-EPA-1h-PKIND,0/1,arc1055,C
2023-07-27T02:00:00+10:00,7595474,1011,5a.EPA-1h,8.09,TPH.TEMP-EPA-1h,C,arc1055,C
2023-07-27T02:00:00+10:00,7595496,1012,0a.EPA-24h,11.0,PM2.5-EPA-24h,ug/m^3,arc1048,C
2023-07-27T02:00:00+10:00,7595502,1012,0b.EPA-1h.NOPK,38.9,PM10-EPA-1h-NOPK,ug/m^3,arc1048,C
2023-07-27T02:00:00+10:00,7595503,1012,0b.EPA-1h.NOPK.EPA-24h,28.9,PM10-EPA-1h-NOPK-EPA-24h,ug/m^3,arc1048,C
2023-07-27T02:00:00+10:00,7595518,1012,5a.EPA-1h,8.53,TPH.TEMP-EPA-1h,C,arc1048,C
2023-07-27T02:00:00+10:00,7595537,1014,0a.EPA-1h.NOPK,17.9,PM2.5-EPA-1h-NOPK,ug/m^3,arc1045,C
2023-07-27T02:00:00+10:00,7595538,1014,0a.EPA-1h.NOPK.EPA-24h,11.2,PM2.5-EPA-1h-NOPK-EPA-24h,ug/m^3,arc1045,C
2023-07-27T02:00:00+10:00,7595566,1014,5a.EPA-1h,8.21,TPH.TEMP-EPA-1h,C,arc1045,C
2023-07-27T02:00:00+10:00,7595588,1016,0a.EPA-24h,12.4,PM2.5-EPA-24h,ug/m^3,arc1049,C
2023-07-27T02:00:00+10:00,7595594,1016,0b.EPA-1h.NOPK,37.6,PM10-EPA-1h-NOPK,ug/m^3,arc1049,C
2023-07-27T02:00:00+10:00,7595596,1016,0b.EPA-1h.PKIND,1.0,PM10-EPA-1h-PKIND,0/1,arc1049,C
2023-07-27T02:00:00+10:00,7595597,1016,0b.EPA-24h,33.6,PM10-EPA-24h,ug/m^3,arc1049,C
2023-07-27T02:00:00+10:00,7595610,1016,5a.EPA-1h,8.9,TPH.TEMP-EPA-1h,C,arc1049,C
2023-07-27T02:00:00+10:00,7595615,1016,5b.EPA-1h,75.31,TPH.RH-EPA-1h,%,arc1049,C
2023-07-27T02:00:02+10:00,7595271,1011,5a,8.04,TPH.TEMP,C,arc1055,C
2023-07-27T02:00:02+10:00,7595315,1012,5a,8.6,TPH.TEMP,C,arc1048,C
2023-07-27T02:00:02+10:00,7595373,1014,5c,1030.3,TPH.PRESSURE,hPa,arc1045,C
2023-07-27T02:00:02+10:00,7595408,1016,5a,8.92,TPH.TEMP,C,arc1049,C
2023-07-27T02:00:02+10:00,7595418,1016,5c,1028.4,TPH.PRESSURE,hPa,arc1049,C
2023-07-27T02:00:03+10:00,7595329,1012,6,6.16,WS,km/h,arc1048,C
2023-07-27T02:00:11+10:00,7595225,1009,0a,9.2,PM2.5,ug/m^3,arc1050,C
2023-07-27T02:00:11+10:00,7595254,1011,0b,41.0,PM10,ug\/m^3,arc1055,C
2023-07-27T02:00:11+10:00,7595289,1012,0a,13.1,PM2.5,ug/m^3,arc1048,C
2023-07-27T02:00:11+10:00,7595342,1014,0b,28.4,PM10,ug/m^3,arc1045,C
2023-07-27T02:15:01+10:00,7595519,1012,5b,79.51,TPH.RH,%,arc1048,C
2023-07-27T02:15:03+10:00,7595572,1014,5c,1030.3,TPH.PRESSURE,hPa,arc1045,C
2023-07-27T02:15:05+10:00,7595606,1016,5a,8.96,TPH.TEMP,C,arc1049,C
2023-07-27T02:15:05+10:00,7595616,1016,5c,1028.1,TPH.PRESSURE,hPa,arc1049,C
2023-07-27T02:15:11+10:00,7595444,1011,0a,15.0,PM2.5,ug\/m^3,arc1055,C
2023-07-27T02:15:12+10:00,7595541,1014,0b,37.7,PM10,ug/m^3,arc1045,C
2023-07-27T02:15:14+10:00,7595580,1016,0a,17.0,PM2.5,ug/m^3,arc1049,C
2023-07-27T02:30:02+10:00,7595525,1012,5c,1027.3,TPH.PRESSURE,hPa,arc1048,C
2023-07-27T02:30:02+10:00,7595563,1014,5a,8.22,TPH.TEMP,C,arc1045,C
2023-07-27T02:30:02+10:00,7595607,1016,5a,8.96,TPH.TEMP,C,arc1049,C
2023-07-27T02:30:02+10:00,7595612,1016,5b,75.14,TPH.RH,%,arc1049,C
2023-07-27T02:30:03+10:00,7595529,1012,6,6.19,WS,km/h,arc1048,C
2023-07-27T02:30:03+10:00,7595577,1014,6,0.0,WS,km/h,arc1045,C
2023-07-27T02:30:03+10:00,7595621,1016,6,0.0,WS,km/h,arc1049,C
2023-07-27T02:30:11+10:00,7595581,1016,0a,15.4,PM2.5,ug/m^3,arc1049,C
2023-07-27T02:45:02+10:00,7595477,1011,5b,79.52,TPH.RH,%,arc1055,C
2023-07-27T02:45:02+10:00,7595482,1011,5c,1027.4,TPH.PRESSURE,hPa,arc1055,C
2023-07-27T02:45:02+10:00,7595516,1012,5a,8.43,TPH.TEMP,C,arc1048,C
2023-07-27T02:45:02+10:00,7595564,1014,5a,8.13,TPH.TEMP,C,arc1045,C
2023-07-27T02:45:03+10:00,7595622,1016,6,0.0,WS,km/h,arc1049,C
2023-07-27T02:45:11+10:00,7595455,1011,0b,37.4,PM10,ug\/m^3,arc1055,C
2023-07-27T02:45:11+10:00,7595534,1014,0a,19.8,PM2.5,ug/m^3,arc1045,C
2023-07-27T02:45:11+10:00,7595591,1016,0b,40.5,PM10,ug/m^3,arc1049,C
2023-07-27T03:00:00+10:00,7595629,1009,0a.EPA-24h,10.7,PM2.5-EPA-24h,ug/m^3,arc1050,C
2023-07-27T03:00:00+10:00,7595634,1009,0b.EPA-1h,26.9,PM10-EPA-1h,ug/m^3,arc1050,C
2023-07-27T03:00:00+10:00,7595635,1009,0b.EPA-24h,30.3,PM10-EPA-24h,ug/m^3,arc1050,C
2023-07-27T03:00:00+10:00,7595648,1011,0a.EPA-1h,15.5,PM2.5-EPA-1h,ug\/m^3,arc1055,C
2023-07-27T03:00:00+10:00,7595652,1011,0a.EPA-24h,10.2,PM2.5-EPA-24h,ug\/m^3,arc1055,C
2023-07-27T03:00:00+10:00,7595692,1012,0a.EPA-1h,11.5,PM2.5-EPA-1h,ug/m^3,arc1048,C
2023-07-27T03:00:00+10:00,7595694,1012,0a.EPA-1h.NOPK.EPA-24h,11.0,PM2.5-EPA-1h-NOPK-EPA-24h,ug/m^3,arc1048,C
2023-07-27T03:00:00+10:00,7595704,1012,0b.EPA-1h.PKIND,1.0,PM10-EPA-1h-PKIND,0/1,arc1048,C
2023-07-27T03:00:00+10:00,7595718,1012,5a.EPA-1h,8.34,TPH.TEMP-EPA-1h,C,arc1048,C
2023-07-27T03:00:00+10:00,7595736,1014,0a.EPA-1h,15.1,PM2.5-EPA-1h,ug/m^3,arc1045,C
2023-07-27T03:00:00+10:00,7595737,1014,0a.EPA-1h.NOPK,15.1,PM2.5-EPA-1h-NOPK,ug/m^3,arc1045,C
2023-07-27T03:00:00+10:00,7595740,1014,0a.EPA-24h,11.3,PM2.5-EPA-24h,ug/m^3,arc1045,C
2023-07-27T03:00:00+10:00,7595745,1014,0b.EPA-1h,34.5,PM10-EPA-1h,ug/m^3,arc1045,C
2023-07-27T03:00:00+10:00,7595748,1014,0b.EPA-1h.PKIND,1.0,PM10-EPA-1h-PKIND,0/1,arc1045,C
2023-07-27T03:00:00+10:00,7595788,1016,0a.EPA-24h,12.4,PM2.5-EPA-24h,ug/m^3,arc1049,C
2023-07-27T03:00:00+10:00,7595796,1016,0b.EPA-1h.PKIND,1.0,PM10-EPA-1h-PKIND,0/1,arc1049,C
2023-07-27T03:00:00+10:00,7595816,1016,5b.EPA-1h,76.78,TPH.RH-EPA-1h,%,arc1049,C
2023-07-27T03:00:02+10:00,7595478,1011,5b,80.06,TPH.RH,%,arc1055,C
2023-07-27T03:00:02+10:00,7595522,1012,5b,81.19,TPH.RH,%,arc1048,C
2023-07-27T03:00:02+10:00,7595614,1016,5b,76.21,TPH.RH,%,arc1049,C
2023-07-27T03:00:02+10:00,7595619,1016,5c,1027.7,TPH.PRESSURE,hPa,arc1049,C
2023-07-27T03:00:03+10:00,7595487,1011,6,5.8,WS,km/h,arc1055,C
2023-07-27T03:00:03+10:00,7595623,1016,6,0.0,WS,km/h,arc1049,C
2023-07-27T03:00:11+10:00,7595491,1012,0a,14.5,PM2.5,ug/m^3,arc1048,C
2023-07-27T03:00:11+10:00,7595500,1012,0b,32.7,PM10,ug/m^3,arc1048,C
2023-07-27T03:00:11+10:00,7595592,1016,0b,34.4,PM10,ug/m^3,arc1049,C
2023-07-27T03:15:01+10:00,7595762,1014,5a,8.04,TPH.TEMP,C,arc1045,C
2023-07-27T03:15:01+10:00,7595767,1014,5b,85.42,TPH.RH,%,arc1045,C
2023-07-27T03:15:01+10:00,7595772,1014,5c,1029.7,TPH.PRESSURE,hPa,arc1045,C
2023-07-27T03:15:02+10:00,7595670,1011,5a,7.76,TPH.TEMP,C,arc1055,C
2023-07-27T03:15:02+10:00,7595675,1011,5b,80.98,TPH.RH,%,arc1055,C
2023-07-27T03:15:02+10:00,7595680,1011,5c,1027.3,TPH.PRESSURE,hPa,arc1055,C
2023-07-27T03:15:02+10:00,7595776,1014,6,0.0,WS,km/h,arc1045,C
2023-07-27T03:15:03+10:00,7595719,1012,5b,81.66,TPH.RH,%,arc1048,C
2023-07-27T03:15:03+10:00,7595724,1012,5c,1026.8,TPH.PRESSURE,hPa,arc1048,C
2023-07-27T03:15:10+10:00,7595741,1014,0b,35.8,PM10,ug/m^3,arc1045,C
2023-07-27T03:15:11+10:00,7595653,1011,0b,33.7,PM10,ug\/m^3,arc1055,C
2023-07-27T03:15:11+10:00,7595780,1016,0a,13.5,PM2.5,ug/m^3,arc1049,C
2023-07-27T03:15:11+10:00,7595789,1016,0b,33.0,PM10,ug/m^3,arc1049,C
2023-07-27T03:15:15+10:00,7595630,1009,0b,24.0,PM10,ug/m^3,arc1050,C
2023-07-27T03:30:02+10:00,7595715,1012,5a,8.3,TPH.TEMP,C,arc1048,C
2023-07-27T03:30:02+10:00,7595763,1014,5a,7.86,TPH.TEMP,C,arc1045,C
2023-07-27T03:30:02+10:00,7595768,1014,5b,86.26,TPH.RH,%,arc1045,C
2023-07-27T03:30:02+10:00,7595773,1014,5c,1029.3,TPH.PRESSURE,hPa,arc1045,C
2023-07-27T03:30:02+10:00,7595818,1016,5c,1027.6,TPH.PRESSURE,hPa,arc1049,C
2023-07-27T03:30:03+10:00,7595777,1014,6,0.0,WS,km/h,arc1045,C
2023-07-27T03:30:03+10:00,7595822,1016,6,0.0,WS,km/h,arc1049,C
2023-07-27T03:30:11+10:00,7595645,1011,0a,15.0,PM2.5,ug\/m^3,arc1055,C
2023-07-27T03:30:11+10:00,7595689,1012,0a,10.6,PM2.5,ug/m^3,arc1048,C
2023-07-27T03:45:02+10:00,7595716,1012,5a,8.38,TPH.TEMP,C,arc1048,C
2023-07-27T03:45:02+10:00,7595726,1012,5c,1026.4,TPH.PRESSURE,hPa,arc1048,C
2023-07-27T03:45:03+10:00,7595686,1011,6,5.8,WS,km/h,arc1055,C
2023-07-27T03:45:03+10:00,7595823,1016,6,0.0,WS,km/h,arc1049,C
2023-07-27T03:45:11+10:00,7595632,1009,0b,29.4,PM10,ug/m^3,arc1050,C
2023-07-27T04:00:00+10:00,7595835,1009,0b.EPA-1h,31.2,PM10-EPA-1h,ug/m^3,arc1050,C
2023-07-27T04:00:00+10:00,7595859,1011,0b.EPA-1h,42.4,PM10-EPA-1h,ug\/m^3,arc1055,C
2023-07-27T04:00:00+10:00,7595860,1011,0b.EPA-1h.NOPK,42.4,PM10-EPA-1h-NOPK,ug/m^3,arc1055,C
2023-07-27T04:00:00+10:00,7595894,1012,0a.EPA-1h,15.3,PM2.5-EPA-1h,ug/m^3,arc1048,C
2023-07-27T04:00:00+10:00,7595895,1012,0a.EPA-1h.NOPK,15.3,PM2.5-EPA-1h-NOPK,ug/m^3,arc1048,C
2023-07-27T04:00:00+10:00,7595903,1012,0b.EPA-1h,34.0,PM10-EPA-1h,ug/m^3,arc1048,C
2023-07-27T04:00:00+10:00,7595906,1012,0b.EPA-1h.PKIND,1.0,PM10-EPA-1h-PKIND,0/1,arc1048,C
2023-07-27T04:00:00+10:00,7595920,1012,5a.EPA-1h,8.03,TPH.TEMP-EPA-1h,C,arc1048,C
2023-07-27T04:00:00+10:00,7595925,1012,5b.EPA-1h,81.9,TPH.RH-EPA-1h,%,arc1048,C
2023-07-27T04:00:00+10:00,7595940,1016,0a.EPA-1h.NOPK.EPA-24h,12.6,PM2.5-EPA-1h-NOPK-EPA-24h,ug/m^3,arc1049,C
2023-07-27T04:00:00+10:00,7595948,1016,0b.EPA-1h.NOPK,41.8,PM10-EPA-1h-NOPK,ug/m^3,arc1049,C
2023-07-27T04:00:02+10:00,7595722,1012,5b,81.49,TPH.RH,%,arc1048,C
2023-07-27T04:00:02+10:00,7595775,1014,5c,1029.1,TPH.PRESSURE,hPa,arc1045,C
2023-07-27T04:00:03+10:00,7595731,1012,6,6.19,WS,km/h,arc1048,C
2023-07-27T04:15:01+10:00,7595916,1012,5a,8.27,TPH.TEMP,C,arc1048,C
2023-07-27T04:15:03+10:00,7595882,1011,5c,1026.5,TPH.PRESSURE,hPa,arc1055,C
2023-07-27T04:15:04+10:00,7596162,1014,6,0.0,WS,km/h,arc1045,C
2023-07-27T04:15:06+10:00,7595970,1016,5c,1027.2,TPH.PRESSURE,hPa,arc1049,C
2023-07-27T04:15:10+10:00,7595890,1012,0a,16.8,PM2.5,ug/m^3,arc1048,C
2023-07-27T04:15:11+10:00,7595831,1009,0b,29.2,PM10,ug/m^3,arc1050,C
2023-07-27T04:15:12+10:00,7595846,1011,0a,17.8,PM2.5,ug\/m^3,arc1055,C
2023-07-27T04:30:02+10:00,7595878,1011,5b,80.6,TPH.RH,%,arc1055,C
2023-07-27T04:30:02+10:00,7595917,1012,5a,8.09,TPH.TEMP,C,arc1048,C
2023-07-27T04:30:02+10:00,7595922,1012,5b,81.67,TPH.RH,%,arc1048,C
2023-07-27T04:30:02+10:00,7595927,1012,5c,1026.0,TPH.PRESSURE,hPa,arc1048,C
2023-07-27T04:30:03+10:00,7595975,1016,6,0.0,WS,km/h,arc1049,C
2023-07-27T04:30:03+10:00,7596163,1014,6,0.0,WS,km/h,arc1045,C
2023-07-27T04:30:11+10:00,7595832,1009,0b,31.4,PM10,ug/m^3,arc1050,C
2023-07-27T04:30:11+10:00,7595891,1012,0a,17.2,PM2.5,ug/m^3,arc1048,C
2023-07-27T04:30:11+10:00,7595900,1012,0b,37.0,PM10,ug/m^3,arc1048,C
2023-07-27T04:30:11+10:00,7596087,1014,0a,20.8,PM2.5,ug/m^3,arc1045,C
2023-07-27T04:45:02+10:00,7595874,1011,5a,7.86,TPH.TEMP,C,arc1055,C
2023-07-27T04:45:02+10:00,7595918,1012,5a,7.8,TPH.TEMP,C,arc1048,C
2023-07-27T04:45:02+10:00,7595928,1012,5c,1026.2,TPH.PRESSURE,hPa,arc1048,C
2023-07-27T04:45:02+10:00,7595962,1016,5a,8.35,TPH.TEMP,C,arc1049,C
2023-07-27T04:45:03+10:00,7595888,1011,6,6.66,WS,km/h,arc1055,C
2023-07-27T04:45:03+10:00,7595932,1012,6,7.56,WS,km/h,arc1048,C
2023-07-27T04:45:03+10:00,7596164,1014,6,0.0,WS,km/h,arc1045,C
2023-07-27T04:45:11+10:00,7595892,1012,0a,12.7,PM2.5,ug/m^3,arc1048,C
2023-07-27T04:45:11+10:00,7595901,1012,0b,28.4,PM10,ug/m^3,arc1048,C
2023-07-27T05:00:00+10:00,7595982,1009,0a.EPA-1h,12.0,PM2.5-EPA-1h,ug/m^3,arc1050,C
2023-07-27T05:00:00+10:00,7596004,1011,0a.EPA-1h.NOPK.EPA-24h,10.6,PM2.5-EPA-1h-NOPK-EPA-24h,ug/m^3,arc1055,C
2023-07-27T05:00:00+10:00,7596012,1011,0b.EPA-1h.NOPK,38.0,PM10-EPA-1h-NOPK,ug/m^3,arc1055,C
2023-07-27T05:00:00+10:00,7596046,1012,0a.EPA-1h,17.3,PM2.5-EPA-1h,ug/m^3,arc1048,C
2023-07-27T05:00:00+10:00,7596047,1012,0a.EPA-1h.NOPK,17.3,PM2.5-EPA-1h-NOPK,ug/m^3,arc1048,C
2023-07-27T05:00:00+10:00,7596049,1012,0a.EPA-1h.PKIND,1.0,PM2.5-EPA-1h-PKIND,0/1,arc1048,C
2023-07-27T05:00:00+10:00,7596056,1012,0b.EPA-1h.NOPK,38.0,PM10-EPA-1h-NOPK,ug/m^3,arc1048,C
2023-07-27T05:00:00+10:00,7596059,1012,0b.EPA-24h,29.4,PM10-EPA-24h,ug/m^3,arc1048,C
2023-07-27T05:00:00+10:00,7596094,1014,0a.EPA-1h,15.8,PM2.5-EPA-1h,ug/m^3,arc1045,C
2023-07-27T05:00:00+10:00,7596095,1014,0a.EPA-1h.NOPK,15.8,PM2.5-EPA-1h-NOPK,ug/m^3,arc1045,C
2023-07-27T05:00:00+10:00,7596096,1014,0a.EPA-1h.NOPK.EPA-24h,11.7,PM2.5-EPA-1h-NOPK-EPA-24h,ug/m^3,arc1045,C
2023-07-27T05:00:00+10:00,7596098,1014,0a.EPA-24h,11.7,PM2.5-EPA-24h,ug/m^3,arc1045,C
2023-07-27T05:00:00+10:00,7596144,1014,5a.EPA-1h,7.36,TPH.TEMP-EPA-1h,C,arc1045,C
2023-07-27T05:00:00+10:00,7596153,1014,5b.EPA-1h,88.65,TPH.RH-EPA-1h,%,arc1045,C
2023-07-27T05:00:00+10:00,7596174,1016,0a.EPA-1h,15.2,PM2.5-EPA-1h,ug/m^3,arc1049,C
2023-07-27T05:00:00+10:00,7596176,1016,0a.EPA-1h.NOPK.EPA-24h,12.6,PM2.5-EPA-1h-NOPK-EPA-24h,ug/m^3,arc1049,C
