OBJECTID,Wat Break Incident ID,Incident date,Type of Asset Broken,Does the road need to be closed?,Does the sidewalk need to be closed?,Estimated Hours for Repair,Estimated Number of Units Impacted,CW Service Request Number,Current status of the break,Status last updated date,CW Workorder #,Date operations was returned to normal service,Nature of Break,Apparent cause of break,Repair Type,Type of Planned Maintenance,List Valves Closed,List Valves Opened,List Hydrants Called Out,List Hydrants Called Back In,Categorization of the Break,Road Segment ID,Closest Civic Number,Street,Related Asset ID,Related Asset Depth (m),Depth of Frost (m),Asset Size (cm),Year Asset Installed,Asset Material,Asset Exists,GLOBALID,UPDATE_BY,UPDATE_DATE,x,y
9843,2125,4/23/2015 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,1/22/2016 12:00:00 AM,130918,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,6663,120,DUKE ST W,10520,,,150,1974,CI,Y,10718ff2-9419-4e84-b48e-7abc5ba6972f,DAVIDV,11/27/2018 12:00:00 AM,541075.8799,4811184.4347
9844,2126,4/23/2015 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,1/22/2016 12:00:00 AM,130963,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,6169,91,VICMOUNT DR,92756,,,150,1971,DI,Y,ef646f51-0664-4029-ae59-9664a4f1dca3,DAVIDV,11/27/2018 12:00:00 AM,538607.0097,4809588.5319
9845,2127,4/23/2015 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,1/22/2016 12:00:00 AM,130937,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,6390,379,WESTMOUNT RD E,16240,,,150,1962,CI,Y,a516f6e3-7699-41a7-970b-c936104755fe,DAVIDV,11/27/2018 12:00:00 AM,540199.6724,4808017.2413
9846,2254,2/13/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,5/4/2017 12:00:00 AM,178772,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,1246,552,DUNBAR RD,10690,,,150,1955,CI,Y,382acd99-ef4b-4a47-aacf-9fcb5f98425b,DAVIDV,11/27/2018 12:00:00 AM,538909.6465,4810756.6175
9847,2255,2/13/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,5/4/2017 12:00:00 AM,178774,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,10060,191,KIPLING AVE,22600,,,150,1959,CI,Y,f445d3e8-dcba-49fb-b094-10590d6b5af4,DAVIDV,11/27/2018 12:00:00 AM,543432.5966,4808310.496
9848,2256,2/14/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,5/4/2017 12:00:00 AM,178873,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,13137,169,FERGUS AVE,14270,,,,,,N,1fbb908a-df30-48ab-ba35-7f11a7f9f8ef,DAVIDV,11/27/2018 12:00:00 AM,545428.7271,4809357.8887
9849,2257,2/15/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,5/4/2017 12:00:00 AM,178875,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,6187,1430,QUEENS BLVD,31670,,,200,1966,DI,Y,7aa13c15-0660-4e88-860a-7f2f0b378c82,DAVIDV,11/27/2018 12:00:00 AM,538921.9131,4808670.7793
9850,2258,2/17/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,5/4/2017 12:00:00 AM,179040,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,1254,449,BELMONT AVE W,2000,,,300,1957,CI,Y,295ec2f4-cefe-492c-88ff-04f6a6ebc541,DAVIDV,11/27/2018 12:00:00 AM,539362.4275,4810468.6906
9851,2259,2/18/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,5/4/2017 12:00:00 AM,179113,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,15777,8,PEACHWOOD CRT,30440,,,150,1962,CI,Y,e7405226-b8b7-4586-a3c2-0a9307e5f2dc,DAVIDV,11/27/2018 12:00:00 AM,544153.9466,4812189.4574
9852,2260,2/22/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,5/4/2017 12:00:00 AM,179314,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,6218,70,DEERPARK CRES,9100,,,150,1962,CI,Y,b334c6f4-9545-445e-afc7-b7ac67dd4dc7,DAVIDV,11/27/2018 12:00:00 AM,539201.0655,4808539.8024
