geo_point_2d,geo_shape,prop_id,addresspt1,xorg,ext_id,label,easting,northing,str_id,addresspt,xsource,profile,xdate,xdrawing,mcc_id,roadseg_id,Latitude,Longitude
"-37.79831700007198, 144.92597999997128","{""coordinates"": [144.92597999997128, -37.79831700007198], ""type"": ""Point""}",0,0.0,ESG,52395,3.421,0.0,0.0,0,0,,,20140916,,0,0,-37.79831700007198,144.92597999997128
"-37.79828599985945, 144.9259949996869","{""coordinates"": [144.9259949996869, -37.79828599985945], ""type"": ""Point""}",0,0.0,ESG,52410,1.662,0.0,0.0,0,0,,,20140916,,0,0,-37.79828599985945,144.9259949996869
"-37.79896899953943, 144.92446900052795","{""coordinates"": [144.92446900052795, -37.79896899953943], ""type"": ""Point""}",0,0.0,ESG,51383,3.421,0.0,0.0,0,0,,,20140916,,0,0,-37.79896899953943,144.92446900052795
"-37.79896899953943, 144.92446900052795","{""coordinates"": [144.92446900052795, -37.79896899953943], ""type"": ""Point""}",0,0.0,ESG,51428,3.421,0.0,0.0,0,0,,,20140916,,0,0,-37.79896899953943,144.92446900052795
"-37.79896899953943, 144.92446900052795","{""coordinates"": [144.92446900052795, -37.79896899953943], ""type"": ""Point""}",0,0.0,ESG,51475,3.421,0.0,0.0,0,0,,,20140916,,0,0,-37.79896899953943,144.92446900052795
"-37.79920400008497, 144.92575800006549","{""coordinates"": [144.92575800006549, -37.79920400008497], ""type"": ""Point""}",0,0.0,ESG,53216,6.94,0.0,0.0,0,0,,,20140916,,0,0,-37.79920400008497,144.92575800006549
"-37.81109199985892, 144.93554700042483","{""coordinates"": [144.93554700042483, -37.81109199985892], ""type"": ""Point""}",0,0.0,ESG,56943,6.549,0.0,0.0,0,0,,,20140916,,0,0,-37.81109199985892,144.93554700042483
"-37.81146599979422, 144.9357249998744","{""coordinates"": [144.9357249998744, -37.81146599979422], ""type"": ""Point""}",0,0.0,ESG,56681,24.34,0.0,0.0,0,0,,,20140916,,0,0,-37.81146599979422,144.9357249998744
"-37.815980000203496, 144.9389110002662","{""coordinates"": [144.9389110002662, -37.815980000203496], ""type"": ""Point""}",0,0.0,ESG,58535,19.55,0.0,0.0,0,0,,,20140916,,0,0,-37.815980000203496,144.9389110002662
"-37.81425500010629, 144.94372600030692","{""coordinates"": [144.94372600030692, -37.81425500010629], ""type"": ""Point""}",0,0.0,ESG,57119,9.775,0.0,0.0,0,0,,,20140916,,0,0,-37.81425500010629,144.94372600030692
"-37.814445000218655, 144.94319199950644","{""coordinates"": [144.94319199950644, -37.814445000218655], ""type"": ""Point""}",0,0.0,ESG,57265,34.115,0.0,0.0,0,0,,,20140916,,0,0,-37.814445000218655,144.94319199950644
"-37.81155800004199, 144.9684880000188","{""coordinates"": [144.9684880000188, -37.81155800004199], ""type"": ""Point""}",0,0.0,ESG,55918,22.287,0.0,0.0,0,0,,,20140916,,0,0,-37.81155800004199,144.9684880000188
"-37.81156800022156, 144.9684520004946","{""coordinates"": [144.9684520004946, -37.81156800022156], ""type"": ""Point""}",0,0.0,ESG,55923,35.973,0.0,0.0,0,0,,,20140916,,0,0,-37.81156800022156,144.9684520004946
"-37.81158199952958, 144.96840700059195","{""coordinates"": [144.96840700059195, -37.81158199952958], ""type"": ""Point""}",0,0.0,ESG,55929,35.679,0.0,0.0,0,0,,,20140916,,0,0,-37.81158199952958,144.96840700059195
"-37.81519400036589, 144.9412460001562","{""coordinates"": [144.9412460001562, -37.81519400036589], ""type"": ""Point""}",0,0.0,ESG,57863,3.421,0.0,0.0,0,0,,,20140916,,0,0,-37.81519400036589,144.9412460001562
"-37.79728000007099, 144.9240339998883","{""coordinates"": [144.9240339998883, -37.79728000007099], ""type"": ""Point""}",0,0.0,ESG,54559,22.19,0.0,0.0,0,0,,,20140916,,0,0,-37.79728000007099,144.9240339998883
"-37.815951999567126, 144.93898800034475","{""coordinates"": [144.93898800034475, -37.815951999567126], ""type"": ""Point""}",0,0.0,ESG,58509,5.572,0.0,0.0,0,0,,,20140916,,0,0,-37.815951999567126,144.93898800034475
"-37.797182000181465, 144.9242729998719","{""coordinates"": [144.9242729998719, -37.797182000181465], ""type"": ""Point""}",0,0.0,ESG,54471,9.091,0.0,0.0,0,0,,,20140916,,0,0,-37.797182000181465,144.9242729998719
"-37.79752599953574, 144.9237180000403","{""coordinates"": [144.9237180000403, -37.79752599953574], ""type"": ""Point""}",0,0.0,ESG,54709,4.008,0.0,0.0,0,0,,,20140916,,0,0,-37.79752599953574,144.9237180000403
"-37.797544000243605, 144.92369100049405","{""coordinates"": [144.92369100049405, -37.797544000243605], ""type"": ""Point""}",0,0.0,ESG,54740,6.843,0.0,0.0,0,0,,,20140916,,0,0,-37.797544000243605,144.92369100049405
"-37.814800999807595, 144.94223200029964","{""coordinates"": [144.94223200029964, -37.814800999807595], ""type"": ""Point""}",0,0.0,ESG,57518,26.882,0.0,0.0,0,0,,,20140916,,0,0,-37.814800999807595,144.94223200029964
"-37.81488400006851, 144.9420199996643","{""coordinates"": [144.9420199996643, -37.81488400006851], ""type"": ""Point""}",0,0.0,ESG,57571,8.895,0.0,0.0,0,0,,,20140916,,0,0,-37.81488400006851,144.9420199996643
"-37.797336999787376, 144.92397100009765","{""coordinates"": [144.92397100009765, -37.797336999787376], ""type"": ""Point""}",0,0.0,ESG,54590,3.128,0.0,0.0,0,0,,,20140916,,0,0,-37.797336999787376,144.92397100009765
"-37.797666999926754, 144.9235839999338","{""coordinates"": [144.9235839999338, -37.797666999926754], ""type"": ""Point""}",0,0.0,ESG,54931,24.829,0.0,0.0,0,0,,,20140916,,0,0,-37.797666999926754,144.9235839999338
"-37.797545999521176, 144.92363000030304","{""coordinates"": [144.92363000030304, -37.797545999521176], ""type"": ""Point""}",0,0.0,ESG,55121,4.594,0.0,0.0,0,0,,,20140916,,0,0,-37.797545999521176,144.92363000030304
"-37.79759299962105, 144.92361300038436","{""coordinates"": [144.92361300038436, -37.79759299962105], ""type"": ""Point""}",0,0.0,ESG,54841,0.88,0.0,0.0,0,0,,,20140916,,0,0,-37.79759299962105,144.92361300038436
"-37.815667999493705, 144.9399299997838","{""coordinates"": [144.9399299997838, -37.815667999493705], ""type"": ""Point""}",0,0.0,ESG,58242,14.37,0.0,0.0,0,0,,,20140916,,0,0,-37.815667999493705,144.9399299997838
"-37.815276000206374, 144.9410509997351","{""coordinates"": [144.9410509997351, -37.815276000206374], ""type"": ""Point""}",0,0.0,ESG,57922,5.083,0.0,0.0,0,0,,,20140916,,0,0,-37.815276000206374,144.9410509997351
"-37.81533699981984, 144.94087600053106","{""coordinates"": [144.94087600053106, -37.81533699981984], ""type"": ""Point""}",0,0.0,ESG,57969,4.399,0.0,0.0,0,0,,,20140916,,0,0,-37.81533699981984,144.94087600053106
"-37.81565900026502, 144.93971799950017","{""coordinates"": [144.93971799950017, -37.81565900026502], ""type"": ""Point""}",0,0.0,ESG,58309,7.918,0.0,0.0,0,0,,,20140916,,0,0,-37.81565900026502,144.93971799950015
"-37.81492599963451, 144.94192500007514","{""coordinates"": [144.94192500007514, -37.81492599963451], ""type"": ""Point""}",0,0.0,ESG,57598,27.37,0.0,0.0,0,0,,,20140916,,0,0,-37.81492599963451,144.94192500007514
"-37.81493199954045, 144.9419019996305","{""coordinates"": [144.9419019996305, -37.81493199954045], ""type"": ""Point""}",0,0.0,ESG,57604,22.287,0.0,0.0,0,0,,,20140916,,0,0,-37.81493199954045,144.9419019996305
"-37.81604499988823, 144.93881199982508","{""coordinates"": [144.93881199982508, -37.81604499988823], ""type"": ""Point""}",0,0.0,ESG,58596,10.655,0.0,0.0,0,0,,,20140916,,0,0,-37.81604499988823,144.93881199982508
"-37.81606499960744, 144.93881200013854","{""coordinates"": [144.93881200013854, -37.81606499960744], ""type"": ""Point""}",0,0.0,ESG,58612,20.332,0.0,0.0,0,0,,,20140916,,0,0,-37.81606499960744,144.93881200013854
"-37.81609599999485, 144.9387910004683","{""coordinates"": [144.9387910004683, -37.81609599999485], ""type"": ""Point""}",0,0.0,ESG,58637,30.499,0.0,0.0,0,0,,,20140916,,0,0,-37.81609599999485,144.9387910004683
"-37.797258000391196, 144.92336400043757","{""coordinates"": [144.92336400043757, -37.797258000391196], ""type"": ""Point""}",0,0.0,ESG,55352,10.459,0.0,0.0,0,0,,,20140916,,0,0,-37.7972580003912,144.92336400043757
"-37.79713499972562, 144.92337000041138","{""coordinates"": [144.92337000041138, -37.79713499972562], ""type"": ""Point""}",0,0.0,ESG,55404,1.857,0.0,0.0,0,0,,,20140916,,0,0,-37.79713499972562,144.92337000041138
"-37.82222699954562, 144.9385949995441","{""coordinates"": [144.9385949995441, -37.82222699954562], ""type"": ""Point""}",0,0.0,ESG,29512,30.694,0.0,0.0,0,0,,,20140916,,0,0,-37.82222699954562,144.9385949995441
"-37.82218700031851, 144.9384230001228","{""coordinates"": [144.9384230001228, -37.82218700031851], ""type"": ""Point""}",0,0.0,ESG,29551,8.504,0.0,0.0,0,0,,,20140916,,0,0,-37.82218700031851,144.9384230001228
"-37.838290999643355, 144.9803590003298","{""coordinates"": [144.9803590003298, -37.838290999643355], ""type"": ""Point""}",0,0.0,ESG,32594,18.377,0.0,0.0,0,0,,,20140916,,0,0,-37.838290999643355,144.9803590003298
"-37.83829800006819, 144.98036200016614","{""coordinates"": [144.98036200016614, -37.83829800006819], ""type"": ""Point""}",0,0.0,ESG,32598,18.182,0.0,0.0,0,0,,,20140916,,0,0,-37.83829800006819,144.98036200016614
"-37.83829999977547, 144.980362000164","{""coordinates"": [144.980362000164, -37.83829999977547], ""type"": ""Point""}",0,0.0,ESG,32599,18.475,0.0,0.0,0,0,,,20140916,,0,0,-37.83829999977547,144.980362000164
"-37.82199100023459, 144.93679000019318","{""coordinates"": [144.93679000019318, -37.82199100023459], ""type"": ""Point""}",0,0.0,ESG,30006,27.761,0.0,0.0,0,0,,,20140916,,0,0,-37.82199100023459,144.93679000019318
"-37.82187899973731, 144.93710700011692","{""coordinates"": [144.93710700011692, -37.82187899973731], ""type"": ""Point""}",0,0.0,ESG,29861,6.843,0.0,0.0,0,0,,,20140916,,0,0,-37.82187899973731,144.93710700011692
"-37.82217900037751, 144.93820200029884","{""coordinates"": [144.93820200029884, -37.82217900037751], ""type"": ""Point""}",0,0.0,ESG,30124,3.519,0.0,0.0,0,0,,,20140916,,0,0,-37.82217900037751,144.93820200029884
"-37.8221910003746, 144.93820200033707","{""coordinates"": [144.93820200033707, -37.8221910003746], ""type"": ""Point""}",0,0.0,ESG,30136,3.03,0.0,0.0,0,0,,,20140916,,0,0,-37.8221910003746,144.93820200033707
"-37.82219699971534, 144.93819800029027","{""coordinates"": [144.93819800029027, -37.82219699971534], ""type"": ""Point""}",0,0.0,ESG,30141,2.835,0.0,0.0,0,0,,,20140916,,0,0,-37.82219699971534,144.93819800029027
"-37.82221300022355, 144.93818699980804","{""coordinates"": [144.93818699980804, -37.82221300022355], ""type"": ""Point""}",0,0.0,ESG,30153,3.03,0.0,0.0,0,0,,,20140916,,0,0,-37.82221300022355,144.93818699980804
"-37.8222619996881, 144.9381710001845","{""coordinates"": [144.9381710001845, -37.8222619996881], ""type"": ""Point""}",0,0.0,ESG,30189,25.22,0.0,0.0,0,0,,,20140916,,0,0,-37.8222619996881,144.9381710001845
"-37.82227199998567, 144.9381710002033","{""coordinates"": [144.9381710002033, -37.82227199998567], ""type"": ""Point""}",0,0.0,ESG,30197,30.01,0.0,0.0,0,0,,,20140916,,0,0,-37.82227199998567,144.9381710002033
"-37.82218100013482, 144.93838999968648","{""coordinates"": [144.93838999968648, -37.82218100013482], ""type"": ""Point""}",0,0.0,ESG,29558,4.301,0.0,0.0,0,0,,,20140916,,0,0,-37.82218100013482,144.93838999968648
"-37.82153699968581, 144.95588000012404","{""coordinates"": [144.95588000012404, -37.82153699968581], ""type"": ""Point""}",0,0.0,ESG,31438,0.88,0.0,0.0,0,0,,,20140916,,0,0,-37.82153699968581,144.95588000012404
"-37.82153700029634, 144.95587500031672","{""coordinates"": [144.95587500031672, -37.82153700029634], ""type"": ""Point""}",0,0.0,ESG,31442,0.782,0.0,0.0,0,0,,,20140916,,0,0,-37.82153700029634,144.95587500031672
"-37.8218479997226, 144.93697000024724","{""coordinates"": [144.93697000024724, -37.8218479997226], ""type"": ""Point""}",0,0.0,ESG,29894,4.79,0.0,0.0,0,0,,,20140916,,0,0,-37.8218479997226,144.93697000024724
