the_geom,marker_id,meter_id,bay_id,last_edit,rd_seg_id,rd_seg_dsc
"MULTIPOLYGON (((144.94446358371 -37.820318789791, 144.944440102385 -37.820325566697, 144.944411937229 -37.820263920517, 144.944411906657 -37.820263686318, 144.94441189711 -37.82026345132, 144.944411913399 -37.820263216723, 144.944411955401 -37.820262984312, 144.944412022794 -37.820262755854, 144.944412115068 -37.820262533088, 144.94441223152 -37.820262317709, 144.944412371263 -37.820262111356, 144.944412533235 -37.820261915598, 144.944412716203 -37.820261731925, 144.944412918775 -37.820261561735, 144.944413139411 -37.820261406321, 144.94441337643 -37.820261266868, 144.944413634003 -37.820261152901, 144.944430123445 -37.820255301996, 144.944430649543 -37.820255113659, 144.944431142383 -37.820254875003, 144.944431607115 -37.820254603349, 144.944432040277 -37.820254300722, 144.944432438645 -37.820253969373, 144.944432799251 -37.820253611772, 144.944433119412 -37.820253230579, 144.944433377721 -37.820252821109, 144.94446358371 -37.820318789791)))",13633W,IMW1,21876,20201208142154,23062,Import Lane between Bourke Street and Collins Street
"MULTIPOLYGON (((144.955707179387 -37.799459872748, 144.955493357881 -37.799436507879, 144.955367614814 -37.799434808691, 144.955371394417 -37.799413394767, 144.955412717313 -37.799412908246, 144.955448280898 -37.799413166122, 144.955497137448 -37.799415093949, 144.955548395837 -37.799421107034, 144.955710821055 -37.799438679909, 144.955707179387 -37.799459872748)))",,,23157,,21552,Grattan Street between Flemington Road and Elizabeth Street
"MULTIPOLYGON (((144.966674652222 -37.793291788755, 144.966656373436 -37.793294844477, 144.966651350973 -37.793274699317, 144.966669065218 -37.793271731176, 144.966716553927 -37.793263604166, 144.966722543678 -37.793283593899, 144.966674652222 -37.793291788755)))",,,21875,20210617111221,20773,Cemetery Road East between College Crescent and Lygon Street
"MULTIPOLYGON (((144.959366829274 -37.792724201657, 144.959319672319 -37.79276293185, 144.959299680837 -37.792748242291, 144.959347382882 -37.792709058346, 144.959366829274 -37.792724201657)))",,,17691,20210629124059,22599,College Crescent between Royal Parade and Cemetery Road West
"MULTIPOLYGON (((144.962330431066 -37.788881104395, 144.962289836229 -37.788923423427, 144.96226842732 -37.788910948373, 144.962308614383 -37.78886813746, 144.962330431066 -37.788881104395)))",,,16503,20210617111221,22512,Princes Park Drive between Cemetery Road West and MacPherson Street
"MULTIPOLYGON (((144.95985385627 -37.809492359486, 144.959789751104 -37.809510676354, 144.959781324357 -37.809492137348, 144.959845339521 -37.809473623369, 144.95985385627 -37.809492359486)))",,,21093,20201208142151,21649,A'Beckett Street between Elizabeth Street and Queen Street
"MULTIPOLYGON (((144.960049989071 -37.790969784088, 144.960033332951 -37.790980823397, 144.960017963491 -37.790966139221, 144.960002735164 -37.790951361062, 144.959987651301 -37.790936491681, 144.960004418328 -37.790925713839, 144.960034902167 -37.790955520252, 144.960049989071 -37.790969784088)))",,,21893,20210617111221,22375,Cemetery Road West between Royal Parade and College Crescent
"MULTIPOLYGON (((144.958491047695 -37.790406492439, 144.95848396526 -37.790463873861, 144.958459111515 -37.790461908326, 144.958466193969 -37.790404526906, 144.958491047695 -37.790406492439)))",,,9049,,22438,Royal Parade between Gatehouse Street and MacArthur Road
"MULTIPOLYGON (((144.963072512059 -37.803253567764, 144.963069124336 -37.803272654677, 144.963001610559 -37.803265326396, 144.963004884181 -37.80324625914, 144.963072512059 -37.803253567764)))",,,21819,20210705102015,20838,Lincoln Square South between Swanston Street and Bouverie Street
"MULTIPOLYGON (((144.9586020379 -37.814443278504, 144.958535810875 -37.814462248135, 144.95852827554 -37.814445692672, 144.95859451336 -37.814426743057, 144.9586020379 -37.814443278504)))",,,24678,20210629124059,20059,Little Bourke Street between Queen Street and William Street
"MULTIPOLYGON (((144.960574479807 -37.791556077987, 144.960561800318 -37.791569890669, 144.960522898086 -37.7915479627, 144.960503973634 -37.79153605844, 144.96051749989 -37.79152217752, 144.960536370376 -37.791533607725, 144.960555363689 -37.79154490758, 144.960574479807 -37.791556077987)))",,,22464,20210617111221,22375,Cemetery Road West between Royal Parade and College Crescent
"MULTIPOLYGON (((144.961785519677 -37.791182775634, 144.961771519579 -37.791197008975, 144.961757047393 -37.79121094126, 144.961742111361 -37.791224561819, 144.961721372664 -37.79121019948, 144.961764330036 -37.791169367957, 144.961785519677 -37.791182775634)))",,,16473,20210617111221,22512,Princes Park Drive between Cemetery Road West and MacPherson Street
"MULTIPOLYGON (((144.95873444803 -37.814405239237, 144.958668219934 -37.814424208925, 144.958660685709 -37.814407653489, 144.958726922304 -37.814388704679, 144.95873444803 -37.814405239237)))",,,24658,20210629124059,20059,Little Bourke Street between Queen Street and William Street
"MULTIPOLYGON (((144.960823827465 -37.792053828715, 144.960764685891 -37.792066891899, 144.960756791346 -37.792046193013, 144.9608170354 -37.792032888482, 144.960823827465 -37.792053828715)))",,,17701,20210629124059,22598,Intersection of College Crescent and Princes Park Drive
"MULTIPOLYGON (((144.968500937316 -37.813373661961, 144.968474824591 -37.813381074207, 144.96845181689 -37.813330205951, 144.968477690424 -37.813322858072, 144.968500937316 -37.813373661961)))",742E,,9453,20210208154140,20149,Russell Street between Little Collins Street and Bourke Street
"MULTIPOLYGON (((144.967192820421 -37.793165050571, 144.967125586908 -37.793187339631, 144.96711561199 -37.79316839138, 144.967182845488 -37.793146102326, 144.967192820421 -37.793165050571)))",,,21882,20210617111221,20773,Cemetery Road East between College Crescent and Lygon Street
"MULTIPOLYGON (((144.959206744647 -37.787804403237, 144.959213343916 -37.787750600059, 144.959235938893 -37.787752374888, 144.959229339517 -37.787806182571, 144.959206744647 -37.787804403237)))",,,24041,20210623144303,22433,Intersection of Royal Parade and Leonard Street
"MULTIPOLYGON (((144.959314066562 -37.786943762556, 144.959320713858 -37.786889981824, 144.959343320209 -37.786891664005, 144.95933667009 -37.786945465417, 144.959314066562 -37.786943762556)))",,,23876,20210623144303,22435,Royal Parade between Leonard Street and Walker Street
"MULTIPOLYGON (((144.962012618183 -37.789365061799, 144.961988686535 -37.789444439867, 144.961963497594 -37.789440506507, 144.961986755582 -37.789359610016, 144.962012618183 -37.789365061799)))",,,16448,20210617111221,22512,Princes Park Drive between Cemetery Road West and MacPherson Street
"MULTIPOLYGON (((144.968976153277 -37.788088348948, 144.968985452307 -37.788033645461, 144.969009622158 -37.788036350359, 144.969000384085 -37.788090694428, 144.968976153277 -37.788088348948)))",,,13091,20210617111221,22508,Lygon Street between Princes Street and MacPherson Street
"MULTIPOLYGON (((144.963866949692 -37.78290086676, 144.963858432835 -37.782953937815, 144.963832047362 -37.782951271076, 144.963840457825 -37.78289818827, 144.963866949692 -37.78290086676)))",,,16530,20210629124059,22511,Garton Street between MacPherson Street and Bowen Crescent
"MULTIPOLYGON (((144.933271715876 -37.817456787795, 144.933265150382 -37.81747489243, 144.933214796026 -37.817463788371, 144.933214250701 -37.817463667954, 144.933213275556 -37.817463649427, 144.933212302841 -37.81746369721, 144.933211340089 -37.817463813719, 144.933210394981 -37.817463998023, 144.933209475057 -37.817464248652, 144.933208587654 -37.817464563608, 144.933207739853 -37.817464940377, 144.933206938417 -37.817465375953, 144.93320618974 -37.817465866863, 144.933205499793 -37.81746640919, 144.93320487408 -37.817466998607, 144.933204317595 -37.817467630412, 144.933203834775 -37.817468299566, 144.93320345746 -37.817469009885, 144.933203457264 -37.817468938802, 144.933203449026 -37.817468867961, 144.93320343302 -37.817468797912, 144.93320340937 -37.817468729192, 144.933203378255 -37.817468662327, 144.933203339914 -37.817468597829, 144.933203294642 -37.817468536192, 144.933203242785 -37.817468477889, 144.933203184739 -37.817468423365, 144.93320312095 -37.817468373039, 144.933203051906 -37.817468327296, 144.933202978137 -37.817468286486, 144.933202900206 -37.817468250922, 144.933202818711 -37.817468220876, 144.933202734276 -37.817468196579, 144.933202647548 -37.817468178216, 144.933202559192 -37.817468165928, 144.933202469882 -37.81746815981, 144.933202380305 -37.817468159907, 144.933202291146 -37.81746816622, 144.933202203088 -37.8174681787, 144.933202116805 -37.817468197252, 144.933202032958 -37.817468221733, 144.933201952189 -37.817468251955, 144.933201875118 -37.817468287688, 144.933201802334 -37.817468328658, 144.933201734394 -37.81746837455, 144.93320167182 -37.817468425014, 144.93320161509 -37.817468479662, 144.933201567791 -37.817468539647, 144.933211361072 -37.817442966894, 144.933271715876 -37.817456787795)))",,,8293,20210413105730,,
"MULTIPOLYGON (((144.966072931854 -37.793164653324, 144.966071663308 -37.793185276527, 144.965998728407 -37.793182729108, 144.965999982871 -37.793162495873, 144.966048481125 -37.793164183287, 144.966072931854 -37.793164653324)))",,,21912,20210617111221,20773,Cemetery Road East between College Crescent and Lygon Street
"MULTIPOLYGON (((144.963832501409 -37.783115482051, 144.963823927929 -37.783168876548, 144.963797985151 -37.783166253501, 144.963806446538 -37.783112848057, 144.963832501409 -37.783115482051)))",,,16534,20210629124059,22511,Garton Street between MacPherson Street and Bowen Crescent
"MULTIPOLYGON (((144.959877850601 -37.790785329301, 144.959859937933 -37.790794780571, 144.95984739955 -37.790779684012, 144.959834977497 -37.790764528187, 144.959822671822 -37.790749311295, 144.959840344314 -37.79074037585, 144.959859441899 -37.790763644371, 144.959877850601 -37.790785329301)))",,,21889,20210617111221,22375,Cemetery Road West between Royal Parade and College Crescent
"MULTIPOLYGON (((144.958831320129 -37.791072105184, 144.958824342025 -37.79112966326, 144.958799477596 -37.791127788628, 144.958806455719 -37.791070230555, 144.958831320129 -37.791072105184)))",,,23927,20210311112023,22438,Royal Parade between Gatehouse Street and MacArthur Road
"MULTIPOLYGON (((144.963623597771 -37.784416475286, 144.963615148839 -37.784469497917, 144.963588699159 -37.784466834514, 144.963597154894 -37.784413812903, 144.963623597771 -37.784416475286)))",,,16546,20210629124059,22511,Garton Street between MacPherson Street and Bowen Crescent
"MULTIPOLYGON (((144.972396608555 -37.795220527749, 144.972336196119 -37.795213841727, 144.972339889066 -37.795192417582, 144.972400372826 -37.795199111138, 144.972396608555 -37.795220527749)))",,,13187,20210629124059,20573,Kay Street between Canning Street and Rathdowne Street
"MULTIPOLYGON (((144.959176557548 -37.788236609085, 144.9591539568 -37.788234832341, 144.959160555025 -37.788181029152, 144.959183150106 -37.788182804895, 144.959176557548 -37.788236609085)))",,,24028,20210623144303,22434,Royal Parade between MacArthur Road and Leonard Street
"MULTIPOLYGON (((144.963336677615 -37.803695670134, 144.963327555196 -37.80374924235, 144.963307324873 -37.803747288363, 144.96331636009 -37.803693707431, 144.963336677615 -37.803695670134)))",,,24608,20210705102015,20484,Swanston Street between Queensberry Street and Lincoln Square South
"MULTIPOLYGON (((144.961946579795 -37.790584614534, 144.961948321463 -37.790637028396, 144.961921289801 -37.790637655543, 144.961919345075 -37.790585276016, 144.961946579795 -37.790584614534)))",,,16472,20210617111221,22512,Princes Park Drive between Cemetery Road West and MacPherson Street
"MULTIPOLYGON (((144.972216526254 -37.81582143801, 144.972190949659 -37.815828916179, 144.972152020465 -37.815744045181, 144.972177689185 -37.815736769569, 144.972216526254 -37.81582143801)))",,,24663,20210629124059,20138,Exhibition Street between Flinders Street and Flinders Lane
"MULTIPOLYGON (((144.968828159343 -37.788958129112, 144.968837404637 -37.788903904147, 144.968861638197 -37.788906241595, 144.968852328277 -37.788960836734, 144.968828159343 -37.788958129112)))",,,13075,20210617111221,22508,Lygon Street between Princes Street and MacPherson Street
"MULTIPOLYGON (((144.977508020354 -37.814108800994, 144.977499447952 -37.814159933474, 144.977468358564 -37.814156797765, 144.977476225735 -37.814109571495, 144.977476888673 -37.814105592466, 144.977508020354 -37.814108800994)))",,,13855,20201208141116,21859,Lansdowne Street between Wellington Parade and St Andrews Place
"MULTIPOLYGON (((144.976816411142 -37.812058822936, 144.976813045355 -37.812076842736, 144.976750430355 -37.812070014653, 144.976754130353 -37.812051986178, 144.976816411142 -37.812058822936)))",12465S,,9490,20201208140746,21855,St Andrews Place between Lansdowne Street and MacArthur Street
"MULTIPOLYGON (((144.958886293542 -37.793220246557, 144.958850680262 -37.793268196511, 144.958826906038 -37.793257630887, 144.958862866329 -37.793209203923, 144.958886293542 -37.793220246557)))",,,17673,20210629124059,22599,College Crescent between Royal Parade and Cemetery Road West
"MULTIPOLYGON (((144.962375912196 -37.791873563769, 144.962307531079 -37.791862637105, 144.962312914745 -37.791841441709, 144.962382211435 -37.791852522992, 144.962375912196 -37.791873563769)))",,,24688,20210629124059,22373,College Crescent between Swanston Street and Princes Park Drive
"MULTIPOLYGON (((144.960344327748 -37.791226400945, 144.960329116712 -37.791238325947, 144.960311814515 -37.791224544661, 144.960294623766 -37.791210675185, 144.960277546736 -37.791196717558, 144.960293078252 -37.791184783693, 144.960344327748 -37.791226400945)))",,,21898,20210617111221,22375,Cemetery Road West between Royal Parade and College Crescent
"MULTIPOLYGON (((144.959734040926 -37.783722922737, 144.959726972465 -37.783778954584, 144.959704377196 -37.783777192474, 144.959711444515 -37.78372116151, 144.959734040926 -37.783722922737)))",,,23871,20210623144303,22387,Royal Parade between Ievers Street and Walker Street
