OBJECTID,MXUNITID,MXSITEID,COMPKEY,COMPTYPE,UNITID,UNITID2,PARALLEL_LINE_NBR,MAIN_LINE_TYPE,MAIN_CLASS,MAIN_NAME,ASSET_ID,SUBAREA,Shape,MATERIAL,UPSTREAM_IL,DOWNSTREAM_IL,PIPE_LENGTH,PIPE_WIDTH,SOIL_TYPE,DATE_RELINED,GIS_ID,FIELD_TEAM,WS_CONSTRUCTION_FILE,DATE_OF_CONSTRUCTION,EPMS_SEC_NO,ASCONST_PLAN_NO,SKETCH_PLAN_NO,SOURCE,METHOD_OF_CAPTURE,DATE_CAPTURED,DATE_LAST_UPDATED,SERVICE_STATUS,SERVICE_STATUS_CHG_DATE,SERVICE_STATUS_PLAN_NO,COMMENTS,MI_PRINX
514,,,234145,10272723,WR032-06V1,WR032-04320BR,,MAINBG,S,ST ALBANS RESERVOIR,R032,,,MS,0,0,1.5,1150,,,TMP-101,PRESTON,,1/1/1980 12:00:00 AM,,R32/256,WR32,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 12:39:09 AM,IN,,,,29992
515,,,234270,10273653,WR020-05630BR,WR020-05640BR,,MAINBG,S,PRESTON NO1 RESERVOIR,R020,,,,0,0,4.11,1150,,,R020-179,PRESTON,,1/1/1940 12:00:00 AM,,M78/40,WR20,AS CONSTRUCTED,GRAPHICS,10/17/2011 12:00:00 AM,12/6/2014 12:39:10 AM,IN,,,,28773
516,,,231204,10272188,WR001-01440BR,WR001V-AE,,MAINBG,S,BROADMEADOWS RESERVOIR,R001,,,MS,0,0,0.89,375,,,R001-111,PRESTON,,1/1/1980 12:00:00 AM,,R1/125,WR1,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 12:39:20 AM,IN,,,,28854
517,,,227759,10212329,M046-07599BR,WR026V-P,,BYPASS,S,MITCHAM-SURREY HILLS MAIN,M046,,,CICL,0,0,7.52,225,CLAY,1/1/1912 12:00:00 AM,M046-039-A,SURREY HILLS,520/046/0028,1/1/1912 12:00:00 AM,,M46/37,WR26,,,10/17/2011 2:43:44 PM,12/6/2014 12:39:20 AM,IN,,,,14376
518,,,227778,10214617,M190SH-01005BR,M190SH-02005V,,BYPASS,S,YAN YEAN-EPPING MAIN,M190,,,CICL,0,0,3.29,225,CLAY,1/1/1960 12:00:00 AM,M190-050-AA,PRESTON,,1/1/1960 12:00:00 AM,,M190/37,M190-3,,,10/17/2011 2:47:45 PM,12/6/2014 12:39:22 AM,IN,,,,16124
519,,,231450,10215634,M378-06725BR,M378-06726BR,,MAINBG,S,CARDINIA - BERWICK MAIN,M378,,,MSCL,0,0,1.51,750,UNKN,,B077-002,SILVAN,,1/1/1982 12:00:00 AM,,B77/22,WB077,,,10/17/2011 2:40:21 PM,12/6/2014 12:39:22 AM,IN,,,,12813
520,,,229822,10272042,WR086-00580BR,WR086-00590BE,,INLET,S,PLENTY RESERVOIR,R086,,,MS,0,0,2.7,900,,,R086-032,PRESTON,,1/1/1980 12:00:00 AM,,R86/101,WR86,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 1:21:19 AM,IN,,,,28806
521,,,227877,10214331,M132SK-01005BR,WG311V-L,,BYPASS,S,SILVA-MT WAVERLY MAIN,M132,,,GWI,114.24,114.24,0.43,150,SAND,1/1/1983 12:00:00 AM,M132-047-AA,SURREY HILLS,57/5452,1/1/1983 12:00:00 AM,,M132/105B,M132-14G,,,10/17/2011 2:46:20 PM,12/6/2014 1:21:19 AM,IN,,,,15514
522,,,236446,5050337,WR025V-CH,WR025-00150BR,,MAINBG,T,MITCHAM-SURREY HILLS MAIN,M046,,,MSR,0,0,0.93,900,CLAY,1/1/1912 12:00:00 AM,M046-046-D,SURREY HILLS,,1/1/1912 12:00:00 AM,,,WR25,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 1:21:20 AM,IN,,,,26412
523,,,228070,10269359,WR020-03720BR,WR020V-EM,,BYPASS,S,PRESTON NO1 RESERVOIR,R020,,,MS,0,0,0.8,150,,,R020-353,PRESTON,,1/1/1964 12:00:00 AM,,R20/22,WR20,AS CONSTRUCTED,GRAPHICS,10/17/2011 12:00:00 AM,12/6/2014 1:21:21 AM,IN,,,,28724
524,,,228204,10272479,WR017-03030BR,WR017V-AZ,,BYPASS,S,NOTTING HILL RESERVOIR,R017,,,MS,95.17,95.17,0.6,225,,,R017-081,SURREY HILLS,508/017/0091,1/1/1980 12:00:00 AM,,M361/42,WR17,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 1:21:22 AM,IN,,,,30663
525,,,236792,5051287,M333-10442BR,M333-08782CON,,MAINBG,T,GREENVALE-YUROKE-SYDENHAM,M333,,,MS,142.72,56.68,1659.92,1150,CRK,1/1/1978 12:00:00 AM,M333-016,PRESTON,,1/1/1978 12:00:00 AM,,,M333-2,,,10/17/2011 2:52:04 PM,12/6/2014 1:21:22 AM,IN,,,,17954
526,,,234814,10278993,WB190-01000BR,WB171V-AG,,MAINBG,S,AQUEDUCT RD LANGWARRIN PRV,B190,,,MS,0,0,2.86,100,UNKN,,B171-009,WESTERNPORT,,1/1/1967 12:00:00 AM,,118489,WB190,,,10/17/2011 12:00:00 AM,12/6/2014 1:21:23 AM,IN,,,,31548
527,,,229852,10272457,WR017-01600BE,WR017-01610BR,,INLET,S,NOTTING HILL RESERVOIR,R017,,,MS,94.04,94.04,1.6,1700,,,R017-052,SURREY HILLS,508/017/0091,1/1/1980 12:00:00 AM,,R17/220,WR17,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 1:21:32 AM,IN,,,,30640
