OBJECTID,MXUNITID,MXSITEID,COMPKEY,COMPTYPE,UNITID,UNITID2,PARALLEL_LINE_NBR,MAIN_LINE_TYPE,MAIN_CLASS,MAIN_NAME,ASSET_ID,SUBAREA,Shape,MATERIAL,UPSTREAM_IL,DOWNSTREAM_IL,PIPE_LENGTH,PIPE_WIDTH,SOIL_TYPE,DATE_RELINED,GIS_ID,FIELD_TEAM,WS_CONSTRUCTION_FILE,DATE_OF_CONSTRUCTION,EPMS_SEC_NO,ASCONST_PLAN_NO,SKETCH_PLAN_NO,SOURCE,METHOD_OF_CAPTURE,DATE_CAPTURED,DATE_LAST_UPDATED,SERVICE_STATUS,SERVICE_STATUS_CHG_DATE,SERVICE_STATUS_PLAN_NO,COMMENTS,MI_PRINX
434,,,237313,10271607,WH040-06620BR,WH040-06700RED,,OFTAKE,S,UPPER YARRA DAM,H040,,,UPVC,0,0,258.06,150,,,H040-012,SILVAN,,1/1/1980 12:00:00 AM,,,WH040,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 3:22:38 AM,IN,,,,30392
435,,,235685,5051123,WH060OSV-AE,M281-00605BR,,MAINBG,T,CARDINIA-DAND'G-NOTTING HILL M,M281,,,MS,86.86,86.78,1.6,1700,SAND,1/1/1974 12:00:00 AM,M281-009,SILVAN,,1/1/1974 12:00:00 AM,,,M281-2,,,10/17/2011 12:00:00 AM,12/6/2014 3:22:39 AM,IN,,,,31113
436,,,237533,10213868,M055-03580BR,M055V-1-30,,OFTAKE,S,NO 1 OLINDA-MITCHAM MAIN,M055,,,MSCL,0,0,0.88,225,CLAY,1/1/1963 12:00:00 AM,M055-048-A,SURREY HILLS,,1/1/1914 12:00:00 AM,,,M55-8,,,10/17/2011 2:44:20 PM,12/6/2014 3:22:39 AM,IN,,,,14640
437,,,238463,10272899,WR043-00720RED,WR043VP3-Y,,OUTLET,S,COWIES HILL RESERVOIR,R043,,,MS,0,0,1.73,375,,,,PRESTON,508/043/5003,1/1/1980 12:00:00 AM,,R43/93-111,WR43,GRAPHICS,DIGITISED,7/17/2013 12:00:00 AM,12/5/2014 11:58:17 PM,IN,,,,29086
438,,,238606,5049883,WA011V068,WA011V078,,SIPHBG,T,(A011) MCMAHONS CREEK MAIN,M262,M262,,MS,297.87,297.77,317.06,1350,CLAY,1/1/1958 12:00:00 AM,M262-006,SILVAN,,1/1/1958 12:00:00 AM,,M262/34,A11-3,,,10/17/2011 2:50:28 PM,12/5/2014 11:58:18 PM,IN,,,MUDDY CREEK SIPHON - RECORD SET MAIN No.  M262,17281
439,,,231999,10213316,WB062-00720BR,WR020V-UR,,MAINBG,S,PRESTON RES VALVES US/UT PRV,B062,,,MS,0,0,0.61,150,UNKN,,B062-026,PRESTON,,,,R20/201,WR20/21/22,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/5/2014 11:58:29 PM,IN,,,,28118
440,,,232205,10216494,M480-00192BR,M009-00676BR,,MAINBG,T,POWELL ST CROSS CONNECTION,M480,,,MS,78.14,76.97,2.64,900,SAND,7/27/2002 12:00:00 AM,M480-007,PRESTON,,7/24/2002 12:00:00 AM,,M480/002,M480,,,10/17/2011 2:56:38 PM,12/5/2014 11:58:30 PM,IN,,,,19837
441,,,232219,10216571,WB032-05060BR,WB032V-J,,MAINBG,S,ARDEER PRV,B032,,,MSCL,0,0,1.249,450,UNKN,,B032-035,PRESTON,,1/1/1973 12:00:00 AM,,B32/31,WB32,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/5/2014 11:58:31 PM,IN,,,,24722
442,,,232339,10212239,M041-04035BR,M041-04037RED,,MAINBG,T,MERRI CK - NORTHCOTE-PUNT RD,M041,,,MS,0,0,2.13,1150,CLAY,1/1/1928 12:00:00 AM,M041-015,SURREY HILLS,520/041/0013,6/21/1927 12:00:00 AM,,M41/40,M41-3,,,10/17/2011 2:43:24 PM,12/5/2014 11:58:44 PM,IN,,,,14227
443,,,232812,10212809,M193-03720BR,M193-03723BR,,MAINBG,T,KENNY ST-BROADMEADOWS MAIN,M193,,,MS,0,0,2.73,1150,CLAY,1/1/1965 12:00:00 AM,M193-019,PRESTON,,7/23/1962 12:00:00 AM,,M193/66,M193-7,,,10/17/2011 2:48:21 PM,12/5/2014 11:59:00 PM,IN,,,,16383
444,,,233031,10212673,M132-19666BR,M132-19664BR,,MAINBG,T,SILVA-MT WAVERLY MAIN,M132,,,MS,172.57,172.57,1.8,1700,CLAY,1/1/1957 12:00:00 AM,M132-026,SURREY HILLS,"52/14760,54/",1/1/1957 12:00:00 AM,,M132/160,WR11F,,,10/17/2011 2:46:28 PM,12/5/2014 11:59:02 PM,IN,,,,15575
445,,,233084,10212541,M104B-06358BR,M104B-07092BR,,MAINBG,T,MORANG OUTLET,M104,,,MS,96.83,0,735.17,800,CLAY,,M104B-115,PRESTON,,1/1/2005 12:00:00 AM,,M104/190,M104B-6,,,5/18/2005 12:00:00 AM,12/5/2014 11:59:03 PM,IN,,,,15235
446,,,231519,10215474,M350-14394BR,M350-14821BR,,MAINBG,T,WESTERN TRANSFER MAIN,M350,,,MS,80.56,78.55,425.39,1350,CLAY,1/1/1983 12:00:00 AM,M350-037-1,PRESTON,520/350/0001,1/1/1984 12:00:00 AM,,M350/53C,M350-8C,,,10/17/2011 2:52:43 PM,12/5/2014 11:59:05 PM,IN,,,,18222
447,,,231670,10216266,M441-14180BR,M441-14182BR,,MAINBG,T,LANGWARRIN - BITTERN NO 2 MAIN,M441,,,RC,0,0,1.2,825,CLAY,,M441-032,WESTERNPORT,520/441/0001,1/1/1959 12:00:00 AM,,M441/110708,M441-8,,,10/17/2011 2:55:22 PM,12/5/2014 11:59:07 PM,IN,,,,19318
448,,,229776,10272425,WR017-00310RED,WR017-00380RED,,INLET,S,NOTTING HILL RESERVOIR,R017,,,MS,94.42,94.42,21.68,900,,,R017-011,SURREY HILLS,508/017/0091,1/1/1980 12:00:00 AM,,M281/238,WR17,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 12:40:29 AM,IN,,,,30601
449,,,236745,5051342,M350-03120BR,M350-05770BR,,MAINBG,T,WESTERN TRANSFER MAIN,M350,,,MS,73.8,83.72,2665.05,1350,CLAY,1/1/1984 12:00:00 AM,M350-017,PRESTON,,1/1/1984 12:00:00 AM,,M350/241,M350-2,,,10/17/2011 2:52:33 PM,12/6/2014 12:40:33 AM,IN,,,,18157
450,,,230188,10038140,WR143-00160SW,WR143-00200BR,,MAINAG,T,TYABB MORNINGTON MAIN,M440,,,MS,65.92,65.92,2.78,762,CLAY,1/1/1979 12:00:00 AM,M440-018,WESTERNPORT,,1/1/1979 12:00:00 AM,,,WR143,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 12:40:45 AM,IN,,,,31198
451,,,237106,5050638,M132-28119BR,M132-28091BR,,MAINBG,T,SILVA-MT WAVERLY MAIN,M132,,,MS,0,0,81.56,1700,CLAY,1/1/1957 12:00:00 AM,M132-011-1,SILVAN,,1/1/1957 12:00:00 AM,,,M132-2,,,10/17/2011 2:46:36 PM,12/6/2014 12:40:49 AM,IN,,,,15630
452,,,230464,10214407,M158SC-03001V,M158SC-03004V,,MAINBG,S,SURREY HILLS - ROSANNA,M158,,,MSCL,0,0,3.75,225,CLAY,1/1/1957 12:00:00 AM,M158-034-2B,PRESTON,,6/2/2005 12:00:00 AM,,M158/79,M158-12,,,9/13/2005 12:00:00 AM,12/6/2014 12:41:00 AM,IN,,,,15722
453,,,237379,10212129,M022-05981BR,M022SA-05981V,,OFTAKE,S,MITCHAM-NOTTING HILL MAIN,M022,,,MSCL,0,0,2.22,150,CLAY,1/1/1968 12:00:00 AM,M022-024-A,SURREY HILLS,520/022/0003,1/1/1927 12:00:00 AM,,M22/36,M22-3,,,10/17/2011 2:43:00 PM,12/6/2014 12:41:02 AM,IN,,,,14052
454,,,237433,10214488,M182-04656BR,M182SA-04656V,,OFTAKE,S,BROOKLYN-GALVIN-LAVERTON MAIN,M182,,,MSCL,0,0,3.42,150,CLAY,1/1/1961 12:00:00 AM,M182-034-A,PRESTON,520/182/0017,1/1/1961 12:00:00 AM,,M182/40,M182-3,,,10/17/2011 2:47:34 PM,12/6/2014 12:41:03 AM,IN,,,,16046
455,,,231006,10213551,WP099-00660RED,WP099V-N,,MAINBG,S,SOUTH MORANG PS,P099,,,MS,0,0,15.75,450,UNKN,,P099-019,PRESTON,,,,WP099,WP099,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 12:41:15 AM,IN,,,,24845
456,,,231116,10213148,M257-08597BR,M257-08614DATE,,MAINBG,T,ST ALBANS OUTLET MAIN,M257,,,MS,42.27,42.09,17.15,1150,CRK,1/1/1970 12:00:00 AM,M257-025,PRESTON,520/257/0012,1/1/1970 12:00:00 AM,,M257/50,M257-3,,,10/17/2011 2:50:08 PM,12/6/2014 2:03:28 AM,IN,,,,17140
457,,,231274,10215059,M275-00009BR,M275-00007BR,,MAINBG,T,MCMAHONS CK DIVERSION MAIN,M275,,,MS,249.26,249.26,1.35,1150,CRK,1/1/1968 12:00:00 AM,M275-008,SILVAN,"67/9178, W67",1/1/1969 12:00:00 AM,,M275/30,M275-2,,,10/17/2011 2:51:01 PM,12/6/2014 2:03:29 AM,IN,,,,17515
458,,,233451,10271762,WH070OSV-E,WH070-00530BR,,MAINBG,S,GREENVALE DAM,H070,,,MS,0,0,2.35,0,,,H070-015,PRESTON,,1/1/1980 12:00:00 AM,,GR/690,WH70-4,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 2:43:36 AM,IN,,,,29689
459,,,233463,10255306,WR021-01150BR,WR022V-SF,,MAINBG,S,MAROONDAH AQUADUCT REPLACEMENT,M258,,,MS,0,0,64.74,1700,SAND,1/1/1979 12:00:00 AM,R021-002,PRESTON,,1/1/1979 12:00:00 AM,,R20/226,WR21/22,AS CONSTRUCTED,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 2:43:37 AM,IN,,,,24332
460,,,226955,10271589,WH040-05700RED,WH040YHV25-CC,,BYPASS,S,UPPER YARRA DAM,H040,,,MS,0,0,2.21,900,,,H040-031,SILVAN,,1/1/1980 12:00:00 AM,,M283/234,WH040,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 2:43:48 AM,IN,,,,30428
461,,,233574,10268397,WR020-00790RED,WR020-00800MH,,MAINBG,S,PRESTON NO1 RESERVOIR,R020,,,,0,0,1.357,900,,,R020-100,PRESTON,,1/1/1980 12:00:00 AM,,R20/201,WR20,AS CONSTRUCTED,DIGITISED,7/17/2013 12:00:00 AM,12/6/2014 2:43:49 AM,IN,,,,28633
462,,,233737,10251856,WP254V-BD,WP254-02100BR,,MAINBG,S,GOULBURN RIVER PUMPING STATION,P254,,,MSCL,160.44,160.44,1.5,750,,,,MAROONDAH,,2/1/2010 12:00:00 AM,,WP254/M/001,WP254,AS CONSTRUCTED,DIGITISED,6/30/2011 12:00:00 AM,12/6/2014 2:43:50 AM,IN,,,new,23369
463,,,233924,10269360,WR020-03730BR,WR020V-EL,,MAINBG,S,PRESTON NO1 RESERVOIR,R020,,,MS,0,0,1.16,375,,,R020-351,PRESTON,,1/1/1964 12:00:00 AM,,R20/22,WR20,AS CONSTRUCTED,GRAPHICS,10/17/2011 12:00:00 AM,12/6/2014 2:43:51 AM,IN,,,,28723
464,,,227110,10214936,M257SG-01006V-B,M257-12978BR,,BYPASS,S,ST ALBANS OUTLET MAIN,M257,,,MSCL,23.11,23.11,1.1,225,CRK,1/1/1974 12:00:00 AM,M257-040-C,PRESTON,520/257/0012,1/1/1986 12:00:00 AM,,M351/57,M257-5,,,10/17/2011 2:50:13 PM,12/6/2014 2:44:00 AM,IN,,,,17175
465,,,227149,10215414,M346SC-02005V,M346SC-02015V,,BYPASS,S,SYDENHAM OUTLET MAIN,M346,,,MSCL,96.86,96.86,9.35,225,CRK,1/1/1977 12:00:00 AM,M346-004-DB,PRESTON,520/346/0001,1/1/1983 12:00:00 AM,,M320/37,M346-2,,,10/17/2011 2:52:17 PM,12/6/2014 2:44:01 AM,IN,,,,18042
466,,,227353,10217455,WR010V-AS,WR010V-AR,,BYPASS,S,NO 1 OLINDA-MITCHAM MAIN,M055,,,MSCL,0,0,7.7,150,CLAY,1/1/1963 12:00:00 AM,M055-072-B,SURREY HILLS,,1/1/1914 12:00:00 AM,,,WR10,,,10/17/2011 2:44:14 PM,12/6/2014 2:44:02 AM,IN,,,,14591
467,,,234048,10271982,WP245-00180BR,WP245V-D,,MAINBG,S,KALLISTA PS,P245,,,MS,0,0,0.15,300,,,P245-006,SILVAN,,1/1/1980 12:00:00 AM,,P245/032,WP245,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 2:44:03 AM,IN,,,,30143
468,,,234273,10269243,WR020-01200BR,WR020-02530BR,,MAINBG,S,PRESTON NO1 RESERVOIR,R020,,,MS,0,0,9.22,600,,,,PRESTON,,3/4/2013 12:00:00 AM,,M205/C/110,WR20,AS CONSTRUCTED,GRAPHICS,10/16/2013 12:00:00 AM,12/6/2014 2:44:05 AM,IN,,,,28685
469,,,227451,10217806,WR143V-P,WR143-00550BR,,BYPASS,S,MORNINGTON RESERVOIR,R143,,,MS,66.38,66.38,0.3,273,CLAY,1/1/1979 12:00:00 AM,M440-018-D,WESTERNPORT,508/143/0006,1/1/1979 12:00:00 AM,,M440/121680,WR143,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 2:44:13 AM,IN,,,,27140
470,,,227626,10215450,WR033-02340DATE,WR033-02260BR,,BYPASS,S,MORANG RES PS,P248,,,MS,0,0,10.23,600,UNKN,,P248-004,PRESTON,520/348/0085,12/5/1999 12:00:00 AM,,WP248/C/001,WP248,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 2:44:14 AM,IN,,,,26202
471,,,227644,10215283,M319SC-01005BR,M319SC-02005V-Q,,BYPASS,S,QUARRY HILL RISING MAIN,M319,,,MS,136.1,0,1.01,225,C&BS,1/1/1977 12:00:00 AM,M319-008A,PRESTON,520/319/0001,1/1/1978 12:00:00 AM,,M319/46,M319-1,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 2:44:17 AM,IN,,,,24831
472,,,230324,10251713,WP255-03030RED,WP255-03050RED,,MAINAG,S,SUGARLOAF HIGH LIFT PUMP ST'N,P255,,,MSCL,0,0,4,500,,,,MAROONDAH,,2/1/2010 12:00:00 AM,,WP255/M/001,WP255,AS CONSTRUCTED,DIGITISED,6/30/2011 12:00:00 AM,12/6/2014 1:21:31 AM,IN,,,NEW 500 INLET & 400 OUTLET,23394
473,,,237260,10212431,M054-07090BR,M054SA-07090V,,OFTAKE,S,OLINDA-MITCHAM NO.2,M054,,,MSCL,0,0,1.16,225,CLAY,1/1/1984 12:00:00 AM,M054-020-A,SURREY HILLS,,1/1/1926 12:00:00 AM,,,M54-6,,,10/17/2011 2:44:02 PM,12/6/2014 1:21:35 AM,IN,,,,14505
474,,,237427,10214265,M131-01354BR,M131SA-01354V,,OFTAKE,S,MT VIEW-DANDENONG MAIN,M131,,,MSCL,106.15,106.15,11.63,150,CRK,1/1/1958 12:00:00 AM,M131-009-A,SURREY HILLS,,3/26/1968 12:00:00 AM,,M131/39,M131-1,,,10/17/2011 2:46:09 PM,12/6/2014 1:21:36 AM,IN,,,,15435
475,,,237482,10214650,M192-10605BR,M192SA-10605V,,OFTAKE,S,EPPING-GREENVALE MAIN,M192,,,MSCL,145.09,0,1.43,150,CLAY,1/1/1960 12:00:00 AM,M192-004-A,PRESTON,,1/1/1960 12:00:00 AM,,M192/56,M192-1,,,10/17/2011 2:48:08 PM,12/6/2014 1:21:38 AM,IN,,,,16288
476,,,230671,10215567,M372-03517V-A,M372-03521V-H,,MAINBG,T,LUSATIA PARK MAIN,M372,,,MS,188.85,188.85,4.12,300,SAND,1/1/1985 12:00:00 AM,M372-017,SILVAN,520/372/0026,9/1/1984 12:00:00 AM,,M372/34,M372-1,,,10/17/2011 2:53:01 PM,12/6/2014 1:21:47 AM,IN,1/1/1988 12:00:00 AM,,,18348
477,,,230801,10216760,WB075V-P,WB075-00660BR,,MAINBG,S,BRITTANIA CREEK PRV,B075,,,MS,0,0,0.3,100,UNKN,,B075-014,SILVAN,513/075/0001,1/1/1985 12:00:00 AM,,B75/31,WB75,GRAPHICS,,10/17/2011 12:00:00 AM,12/6/2014 1:21:48 AM,IN,,,,27821
478,,,230926,10217523,WR019V-G,M291SB-01025RED,,MAINBG,S,SILVAN - OLINDA MAIN,M291,,,MSEL,180.08,180.08,0.3,600,CLAY,1/1/1971 12:00:00 AM,M291-012-F,SURREY HILLS,520/291/0061,1/1/1971 12:00:00 AM,,R19/32,WR19,,,10/17/2011 2:51:44 PM,12/6/2014 1:21:49 AM,IN,,,,17816
479,,,231054,10213414,WP058V-M,WP058-03055BR,,MAINBG,S,EPPING PS,P058,,,MS,0,0,0.88,800,CLAY,,WP058-015,PRESTON,,1/1/1960 12:00:00 AM,,P58/53,WP58,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 1:21:50 AM,IN,,,,25085
480,,,231111,10213141,M257-08069BR,M257-08091BR,,MAINBG,T,ST ALBANS OUTLET MAIN,M257,,,MS,43.82,43,21.74,1150,CRK,1/1/1970 12:00:00 AM,M257-019-1,PRESTON,520/257/0012,1/1/1970 12:00:00 AM,,M257/48,M257-3,,,10/17/2011 2:50:17 PM,12/6/2014 1:59:58 AM,IN,,,,17202
481,,,231265,10214994,M268-02350SLV,M268-02370SLV,,MAINBG,T,MT VIEW OUTLET MAIN,M268,,,MS,85.83,85.31,20.88,1150,SLCL,1/1/1965 12:00:00 AM,M268-013,SURREY HILLS,520/268/0001,1/1/1968 12:00:00 AM,,M268/33,M268,,,10/17/2011 2:50:41 PM,12/6/2014 1:59:59 AM,IN,,,,17368
482,,,237777,10215323,M333-04111BR,M333SA-04111V,,OFTAKE,S,GREENVALE-YUROKE-SYDENHAM,M333,,,MSCL,117.48,117.33,2.57,300,CRK,1/1/1978 12:00:00 AM,M333-020-A,PRESTON,,1/1/1984 12:00:00 AM,,M333/43,M333-3,,,10/17/2011 2:52:02 PM,12/6/2014 2:00:02 AM,IN,,,,17940
483,,,231611,10216127,M422-09976BR,M422-13754BR,,MAINBG,T,BITTERN - DROMANA NO 2 MAIN,M422,,,MS,0,0,3769.53,900,CLAY,1/1/1964 12:00:00 AM,M422-027,WESTERNPORT,520/422/0007,1/1/1965 12:00:00 AM,,WR141A,"M422-6,7",,,10/17/2011 2:54:51 PM,12/6/2014 3:16:35 AM,IN,,,,19102
484,,,231631,10216316,M462-01021DATE,M462-03486RED,,MAINBG,T,LANGWARRIN-FRANKSTON NO 2 MAIN,M462,,,MS,0,0,2459.67,900,SAND,1/1/1967 12:00:00 AM,M462-010,WESTERNPORT,520/462/0003,1/1/1967 12:00:00 AM,,M462/112254,M462-2,,,10/17/2011 2:55:29 PM,12/6/2014 3:16:37 AM,IN,,,,19366
485,,,238603,5049896,M263-12644BR,WA011V080,,SIPHBG,T,,M263,M263,,MS,297.77,297.77,8.27,1350,,,M263-023-A,SILVAN,,1/1/1965 12:00:00 AM,,M263/32,A11-3,,,10/17/2011 2:50:33 PM,12/6/2014 3:16:40 AM,IN,,,,17314
486,,,238775,10160674,M263-12344RED,M263-12348BR,,SIPHBG,T,,M263,M263,,MS,297.67,297.67,3.99,1800,CLAY,1/1/1965 12:00:00 AM,M263-022,SILVAN,,1/1/1965 12:00:00 AM,,M263/3,A11-3,,,10/17/2011 2:50:32 PM,12/6/2014 3:16:41 AM,IN,,,,17311
487,,,231952,10213398,WB072-00270BR,WB072V-WH,,MAINBG,S,COTCHIN RES PRV,B072,,,MS,0,0,1.68,900,UNKN,,B072-009,PRESTON,,1/1/1984 12:00:00 AM,,M350/291,WB72,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 3:16:51 AM,IN,,,,27588
488,,,232127,10216981,WB190-00630BR,WB190VP5-AZ,,MAINBG,S,AQUEDUCT RD LANGWARRIN PRV,B190,,,MS,0,0,0.73,300,UNKN,,B190-033,WESTERNPORT,,1/1/1967 12:00:00 AM,,118489,WB190,GRAPHICS,DIGITISED,10/17/2011 12:00:00 AM,12/6/2014 3:16:54 AM,IN,,,,27982
489,,,232423,10217883,M347-03000JP,M347-03362JP,,MAINBG,S,SUGARLOAF RES WASTE DISPL MAIN,M347,,,MSCL,0,0,362.068,300,CRK,,M347-015,PRESTON,,1/1/1980 12:00:00 AM,,,,,,1/13/2005 12:00:00 AM,12/6/2014 3:17:07 AM,IN,,,,18081
490,,,232595,10213934,M055-14126BR,M055-14099BR,,MAINBG,T,NO 1 OLINDA-MITCHAM MAIN,M055,,,MSLB,0,0,27.54,900,CLAY,1/1/1978 12:00:00 AM,M055-004,SURREY HILLS,,1/1/1914 12:00:00 AM,,,M55-2,,,10/17/2011 2:44:31 PM,12/6/2014 3:17:08 AM,IN,,,,14722
491,,,232660,10214052,M076-01157BR,M076-01172BR,,MAINBG,T,"HIGH ST RD, MT WAVERLY MAIN",M076,,,MSLB,0,0,14.68,750,CLAY,1/1/1979 12:00:00 AM,M076-011,SURREY HILLS,,1/1/1928 12:00:00 AM,,M76/41,WR16,,,10/17/2011 2:44:55 PM,12/6/2014 3:17:11 AM,IN,,,CEMENT LINED,14896
492,,,232767,10214660,M192C-00110BR,WH070OSV-AZ,,MAINBG,T,EPPING-GREENVALE MAIN,M192,,,MS,0,0,1.6,600,CRK,1/1/1989 12:00:00 AM,M192-039,PRESTON,,1/1/1990 12:00:00 AM,,WP101/109,WP101,,,10/17/2011 2:48:10 PM,12/6/2014 3:17:24 AM,IN,,,,16302
493,,,233238,10267749,M193-08912BR,WG304V-R,,MAINBG,S,KENNY ST-BROADMEADOWS MAIN,M193,,,MS,0,0,1.088,600,CRK,,,PRESTON,,4/15/2013 12:00:00 AM,,M350/M/382,M193-10,AS CONSTRUCTED,DIGITISED,9/9/2013 12:00:00 AM,12/6/2014 3:17:38 AM,IN,,,,24791
494,,,238256,10271481,WH030OSV-J,WH030-00440RED,,OUTLET,,O'SHANNASSY DAM,H030,,,MS,0,0,2.89,0,,,,SILVAN,,1/1/1980 12:00:00 AM,,OR/48,,GRAPHICS,DIGITISED,9/16/2013 12:00:00 AM,12/5/2014 11:18:29 PM,IN,,,,30358
495,,,231502,10215300,M333-01351BR,M333-00242BR,,MAINBG,T,GREENVALE-YUROKE-SYDENHAM,M333,,,MS,0,0,1109.37,900,CRK,1/1/1978 12:00:00 AM,M333-034-3,PRESTON,,1/1/1978 12:00:00 AM,,M333/31,M333-3,,,10/17/2011 2:52:08 PM,12/5/2014 11:18:34 PM,IN,,,,17983
496,,,231675,10216269,M441-16011BR,M441-17164BR,,MAINBG,T,LANGWARRIN - BITTERN NO 2 MAIN,M441,,,RC,0,0,1153.45,825,CLAY,,M441-036,WESTERNPORT,520/441/0001,1/1/1959 12:00:00 AM,,M441/110711,M441-9,,,10/17/2011 2:55:23 PM,12/5/2014 11:18:36 PM,IN,,,,19324
