Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,"""Prep Total""","""Year 1 Total""","""Year 2 Total""","""Year 3 Total""","""Year 4 Total""","""Year 5 Total""","""Year 6 Total""","""Primary Ungraded Total""","""Primary Total""","""Year 7 Total""","""Year 8 Total""","""Year 9 Total""","""Year 10 Total""","""Year 11 Total""","""Year 12 Total""","""Secondary Ungraded Total""","""Secondary Total""","""Grand Total""",Year,CENSUS_TYPE
Catholic,2,590,Sacred Heart School,Primary,O,36,39,30,25,32,14,13,0,189,0,0,0,0,0,0,0,0,189,2023,F
Catholic,2,594,St Mary's School,Primary,O,10,16,19,16,19,19,25,0,124,0,0,0,0,0,0,0,0,124,2023,F
Catholic,2,595,St Joseph's College,Secondary,O,0,0,0,0,0,0,0,0,0,248,204,178,168,160,122,0,1080,1080,2023,F
Catholic,2,599,St Patrick's School,Primary,O,26,27,25,26,28,33,23,0,188,0,0,0,0,0,0,0,0,188,2023,F
Catholic,2,603,St Joseph's School,Primary,O,11,13,18,10,19,19,15,0,105,0,0,0,0,0,0,0,0,105,2023,F
Catholic,2,605,St Aloysius College,Secondary,O,0,0,0,0,0,0,0,0,0,134,71,61,65,68,67,0,466,466,2023,F
Catholic,2,607,All Saints Parish School,Primary,O,33,36,44,40,36,40.2,25,0,254.2,0,0,0,0,0,0,0,0,254.2,2023,F
Catholic,2,625,Catholic College Sale,Secondary,O,0,0,0,0,0,0,0,0,0,167,166.6,162,158,142,115,0,910.6,910.6,2023,F
Catholic,2,646,St Augustine's College,Pri/Sec,O,26,56,46,50,40,49,53,0,320,67,73,65,65,58,27,0,355,675,2023,F
Catholic,2,653,Our Holy Redeemer School,Primary,O,28,19,23,27,22,14,14,0,147,0,0,0,0,0,0,0,0,147,2023,F
Catholic,2,661,Our Lady of the Sacred Heart Primary,Primary,O,1,3,5,5,8,10,3,0,35,0,0,0,0,0,0,0,0,35,2023,F
Catholic,2,672,St Joseph's School,Primary,O,15,5,24,10,7,16,10,0,87,0,0,0,0,0,0,0,0,87,2023,F
Catholic,2,684,St Joseph's School,Primary,O,3,7,2,6,11,5,5,0,39,0,0,0,0,0,0,0,0,39,2023,F
Catholic,2,690,Mercy Regional College,Secondary,O,0,0,0,0,0,0,0,0,0,73,58,67,59,63,59,0,379,379,2023,F
Catholic,2,691,St Patrick's School,Primary,O,30,36,31,38,37,44,38,0,254,0,0,0,0,0,0,0,0,254,2023,F
Catholic,2,707,St Columba's College,Secondary,O,0,0,0,0,0,0,0,0,0,173,170,173,186,148,152,0,1002,1002,2023,F
Catholic,2,715,St Michael's School,Primary,O,7,19,7,16,9,6,10,0,74,0,0,0,0,0,0,0,0,74,2023,F
Catholic,2,724,St Mary's School,Primary,O,29,32,34,36,31,41,28,0,231,0,0,0,0,0,0,0,0,231,2023,F
Catholic,2,726,St Kilian's School,Primary,O,44,40,48,41,39,39,43,0,294,0,0,0,0,0,0,0,0,294,2023,F
Catholic,2,733,Genazzano FCJ College,Pri/Sec,O,17,9,7,18,21,40,28,0,140,87,77,93,126,98,111,0,592,732,2023,F
Catholic,2,753,St Augustine's School,Primary,O,44,49,49,45,45,49,52,0,333,0,0,0,0,0,0,0,0,333,2023,F
Catholic,2,782,St Patrick's School,Primary,O,21,21,16,20,18,22,19,0,137,0,0,0,0,0,0,0,0,137,2023,F
Catholic,2,836,St Patrick's School,Primary,O,58,58,54,60,71,48,46,0,395,0,0,0,0,0,0,0,0,395,2023,F
Catholic,2,840,St Thomas' School,Primary,O,15,18,7,18,14,25,10,0,107,0,0,0,0,0,0,0,0,107,2023,F
