Geo Point,Geo Shape,segid_1,mapbase_mc,insol_scor,verticalsu,segid,driveways,parklane,objectid,climate_ty,narrowing,closepart,farmlane,walls,farm_rank,vert_rank,fores_rank,forest,park_rank,binsperct,mapbase__1,wsud
"-37.81505553768235, 144.9582828280556","{""coordinates"": [[[[144.95813656840932, -37.815127337170736], [144.95811416156576, -37.81507559965617], [144.9584294943664, -37.814984075856394], [144.95845286924433, -37.81503453510946], [144.95813656840932, -37.815127337170736]]]], ""type"": ""MultiPolygon""}",20351,20351.0,1.339244,66.030857,20351,1,65.956924,113,Shaded-Sheltered,Probably Unsuitable,Consider,0.0,Consider,Lowest potential,Highest potential,Lowest potential,0.0,Highest potential,20.0,Grice Alley,Consider
"-37.81637435216704, 144.96046496953696","{""coordinates"": [[[[144.96036017735318, -37.816422993023345], [144.96034596763718, -37.816391989767666], [144.96056974039163, -37.81632580220652], [144.96058440003742, -37.81635647528873], [144.96036017735318, -37.816422993023345]]]], ""type"": ""MultiPolygon""}",20356,20356.0,2.130509,0.0,20356,0,54.756718,116,Shaded-Sheltered,Probably Unsuitable,Consider,0.0,Probably Unsuitable,Lowest potential,Lowest potential,Lowest potential,0.0,Highest potential,80.0,Roeszler Lane,Consider
"-37.81697722216005, 144.959485810845","{""coordinates"": [[[[144.95962440612453, -37.81735784527273], [144.95954093889557, -37.81717125967475], [144.95952584704818, -37.81713752219404], [144.95949629151997, -37.817146119079474], [144.95951681164857, -37.817112554465105], [144.95948397516364, -37.81704059433491], [144.95944081669205, -37.81702417495887], [144.95940830703594, -37.8169510759798], [144.95945409825012, -37.816937892337705], [144.95926456049872, -37.81652885343059], [144.95930648702065, -37.81651710782261], [144.95931289063697, -37.81653129425829], [144.9594276492346, -37.816785503980206], [144.95945475759544, -37.816836932517525], [144.95968539122427, -37.81733963764206], [144.95962440612453, -37.81735784527273]]]], ""type"": ""MultiPolygon""}",20361,20361.0,1.410364,0.0,20361,2,45.881088,119,Shaded-Sheltered,Probably Unsuitable,Consider,0.0,Probably Unsuitable,Lowest potential,Lowest potential,Lowest potential,0.0,Good potential,20.0,Gurners Lane,Probably Unsuitable
"-37.81194262812994, 144.9609229814977","{""coordinates"": [[[[144.96077602407448, -37.81165715476534], [144.9608153247721, -37.811646440908206], [144.96091925473675, -37.811881187453245], [144.96106077239247, -37.812191545479706], [144.96097002182003, -37.8122184241414], [144.96095611290545, -37.81218806508891], [144.96101024093446, -37.812172728063494], [144.96077602407448, -37.81165715476534]]]], ""type"": ""MultiPolygon""}",20364,20364.0,3.364412,51.094317,20364,3,0.0,121,Shaded-Sheltered,Consider,Probably Unsuitable,0.0,Consider,Lowest potential,Good potential,Some potential,35.887797,Lowest potential,20.0,Timothy Lane,Probably Unsuitable
"-37.81310137820415, 144.96198155668426","{""coordinates"": [[[[144.96192766859704, -37.81302209136344], [144.96190649322062, -37.81299902152284], [144.96175894935888, -37.812936135707794], [144.9617454387828, -37.812906806476406], [144.96189376763144, -37.81295490047753], [144.96202300497126, -37.81291662680307], [144.96204257238188, -37.81295876290691], [144.96195452356616, -37.812986509149425], [144.96213095053457, -37.81337319232973], [144.96213747087202, -37.81338748247431], [144.9620973659796, -37.813399117362955], [144.96192766859704, -37.81302209136344]]]], ""type"": ""MultiPolygon""}",20367,20367.0,2.684087,0.0,20367,3,45.810162,123,Shaded-Sheltered,Probably Unsuitable,Consider,0.0,Probably Unsuitable,Lowest potential,Lowest potential,Lowest potential,0.0,Good potential,0.0,White Hart Lane,Consider
"-37.813735162366505, 144.9624979570203","{""coordinates"": [[[[144.96232141933132, -37.81343061773223], [144.96238662525568, -37.81341170036857], [144.96267425635762, -37.81403798316937], [144.9626081142847, -37.81405725937622], [144.96232141933132, -37.81343061773223]]]], ""type"": ""MultiPolygon""}",20374,20374.0,2.735157,64.257209,20374,2,0.0,129,Shaded-Sheltered,Consider,Probably Unsuitable,0.0,Consider,Lowest potential,Highest potential,Highest potential,58.129943,Lowest potential,0.0,Somerset Place,Consider
"-37.8137809735933, 144.96166455721152","{""coordinates"": [[[[144.96158179328313, -37.81364519428572], [144.96161805780636, -37.813634673634084], [144.96174730023188, -37.8139155616558], [144.96170996912184, -37.8139260755975], [144.96158179328313, -37.81364519428572]]]], ""type"": ""MultiPolygon""}",20377,20377.0,1.533126,67.582903,20377,1,0.0,132,Shaded-Sheltered,Consider,Probably Unsuitable,0.0,Consider,Lowest potential,Highest potential,Highest potential,57.1315,Lowest potential,20.0,Racing Club Lane,Consider
"-37.81528156146977, 144.96173953568237","{""coordinates"": [[[[144.96177891957842, -37.8152781854275], [144.9619568045736, -37.81566705775068], [144.96187786162238, -37.815689482351374], [144.96186186436765, -37.81569412766712], [144.96187207586408, -37.81567677115368], [144.96161016027816, -37.81510133537537], [144.96159706244413, -37.815072559390096], [144.96150914432258, -37.81487940056994], [144.9615671161376, -37.814862284253515], [144.9616596873927, -37.815055728150575], [144.96178665010575, -37.81501971611602], [144.96179876831292, -37.815046527683464], [144.96168771304673, -37.815078799466704], [144.96176586938645, -37.815249656306285], [144.96177891957842, -37.8152781854275]]]], ""type"": ""MultiPolygon""}",20381,20381.0,2.217595,0.0,20381,0,65.803973,136,Shaded-Sheltered,Probably Unsuitable,Consider,0.0,Probably Unsuitable,Lowest potential,Lowest potential,Lowest potential,0.0,Highest potential,20.0,McKillop Street,Consider
"-37.81522401449075, 144.96270583856173","{""coordinates"": [[[[144.9628168232611, -37.81541861695658], [144.9627773123246, -37.81542902232077], [144.96262840459696, -37.81510000130231], [144.96259364640346, -37.81502608833773], [144.96263116169757, -37.81501508887191], [144.96280693267812, -37.815397120415106], [144.9628168232611, -37.81541861695658]]]], ""type"": ""MultiPolygon""}",20382,20382.0,1.429548,63.335286,20382,1,0.0,137,Shaded-Sheltered,Consider,Probably Unsuitable,0.0,Consider,Lowest potential,Highest potential,Highest potential,55.040083,Lowest potential,20.0,Gills Alley,Consider
"-37.81593175883032, 144.9624004738762","{""coordinates"": [[[[144.96229815969954, -37.81566784611282], [144.96253424306056, -37.81617653391856], [144.9624968238164, -37.81618728177641], [144.96226972194972, -37.81568907590413], [144.96226450774014, -37.815677637163134], [144.96229815969954, -37.81566784611282]]]], ""type"": ""MultiPolygon""}",20385,20385.0,2.888811,0.0,20385,4,0.0,139,Shaded-Sheltered,Probably Unsuitable,Probably Unsuitable,0.0,Probably Unsuitable,Lowest potential,Lowest potential,Lowest potential,0.0,Lowest potential,0.0,Collins Way,Probably Unsuitable
