datetime,Total_Traffic_Volume,hour,day_of_week,month,year,road_name_encoded,location_encoded,suburb_encoded,average_speed,maximum_speed,Speeding_Incident,Speeding_Incident_Avg_Speed,scaled_traffic_volume
2014-01-06 15:00:00,32.198183253490285,15,Monday,1,2014,80,8,8,29.6,46.91879065285473,False,False,0.012466928494865071
2014-01-06 16:00:00,41.15688846196239,16,Monday,1,2014,80,8,8,29.0,46.91879065285473,False,False,0.01670818187109823
2014-01-06 16:00:00,38.292178857593136,16,Monday,1,2014,80,8,8,32.2,46.91879065285473,False,False,0.015351963645503683
2014-01-06 17:00:00,30.29217885759312,17,Monday,1,2014,80,8,8,30.4,46.91879065285473,False,False,0.01156458296712415
2014-01-06 17:00:00,31.29217885759312,17,Monday,1,2014,80,8,8,27.5,46.91879065285473,False,False,0.012038005551921591
2014-01-06 18:00:00,18.19818325349029,18,Monday,1,2014,80,8,8,30.9,46.91879065285473,False,False,0.005839012307700902
2014-01-06 18:00:00,31.29217885759312,18,Monday,1,2014,80,8,8,31.1,46.91879065285473,False,False,0.012038005551921591
2014-01-06 19:00:00,26.29217885759312,19,Monday,1,2014,80,8,8,31.3,46.91879065285473,False,False,0.009670892627934389
2014-01-06 19:00:00,26.29217885759312,19,Monday,1,2014,80,8,8,30.9,46.91879065285473,False,False,0.009670892627934389
2014-01-06 20:00:00,12.19818325349029,20,Monday,1,2014,80,8,8,28.7,46.91879065285473,False,False,0.0029984767989162595
2014-01-06 20:00:00,16.292178857593125,20,Monday,1,2014,80,8,8,27.7,46.91879065285473,False,False,0.004936666779959983
2014-01-06 21:00:00,20.292178857593125,21,Monday,1,2014,80,8,8,27.6,46.91879065285473,False,False,0.006830357119149746
2014-01-06 21:00:00,22.29217885759312,21,Monday,1,2014,80,8,8,24.7,46.91879065285473,False,False,0.007777202288744626
2014-01-06 22:00:00,16.292178857593125,22,Monday,1,2014,80,8,8,33.7,46.91879065285473,False,False,0.004936666779959983
2014-01-06 22:00:00,20.292178857593125,22,Monday,1,2014,80,8,8,34.5,46.91879065285473,False,False,0.006830357119149746
2014-01-06 23:00:00,14.292178857593123,23,Monday,1,2014,80,8,8,25.2,46.91879065285473,False,False,0.0039898216103651015
2014-01-06 23:00:00,20.292178857593125,23,Monday,1,2014,80,8,8,26.6,46.91879065285473,False,False,0.006830357119149746
2014-01-12 00:00:00,12.292178857593129,0,Sunday,1,2014,8,1,4,27.4,46.91879065285473,False,False,0.0030429764407702226
