Census year,Block ID,CLUE small area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total floor space in block
2022,2384,North Melbourne,,,0,,1767.21,,0,0,0,,,0,,,0,0,0,,0,0,10556.95
2022,2388,North Melbourne,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,940
2022,2389,North Melbourne,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,
2022,2391,North Melbourne,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2022,2501,Kensington,0,0,0,21454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21454
2022,2502,Kensington,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022,2504,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2506,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2511,Kensington,0,0,0,1582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582
2022,2513,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2515,Kensington,0,,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,7609.95
2022,2520,Kensington,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,5626.5
2022,2527,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022,2529,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2532,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,
2022,2533,Kensington,0,0,0,,,0,,0,0,,,0,,1389.59,,0,0,0,10301.66,,14829.02
2022,2538,Kensington,0,0,0,0,,0,,0,0,0,,0,725.76,,0,0,,0,0,,4188
2022,2545,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,1814.11
2022,2546,Kensington,0,0,0,0,0,0,0,0,0,,0,0,,1347.5,0,0,0,0,0,0,1449.5
2022,2547,Kensington,0,0,0,,9006.27,,0,0,0,0,0,0,,,,0,0,0,0,,22316.8
2021,14,Melbourne (CBD),21972.04,1816.43,,,9664.71,803.62,20977,,2725.03,7143.16,509.76,474.66,,27723.98,626.32,1019.02,0,2686.89,,1017.72,100995.74
2021,17,Melbourne (CBD),,,0,,5168.72,0,,0,12498.83,10506.69,0,,997.04,48101.25,,,,2779.1,,,101443.97
2021,18,Melbourne (CBD),9604.75,0,0,0,21410.55,1568.1,,0,11834.55,1897.26,0,,0,18925.41,31738.16,4575.9,0,1360.65,,0,104694.38
2021,22,Melbourne (CBD),,11750.87,0,1411.9,88660.38,10325.11,,2333.25,24637.42,5290.84,,,,25543.96,18944.1,6255.36,0,582.5,1043.65,,211353.36
2021,25,Melbourne (CBD),,4209.39,0,886.67,8529.57,,19019.81,0,7151.02,2822.84,3291.76,,862.03,9668.06,0,2581.83,0,9608,,3169.44,91369.24
2021,26,Melbourne (CBD),,2483.24,,,17194.81,,0,3802.19,22612.63,5540.7,561.6,,,,0,,0,5567.45,0,,120735.57
2021,33,Melbourne (CBD),7268.18,8526.22,,1453.82,24569.32,1205.53,7713.22,,3740.69,6892.95,3751.76,,,6699.53,,1130.8,0,1745.59,,,77398.23
2021,35,Melbourne (CBD),,1120.99,0,546.24,3021.82,453.79,5549.22,,1122.82,4642.49,5153.19,0,3846.99,5083.95,0,434.97,0,16545.87,0,2236.81,71389.98
2021,38,Melbourne (CBD),,,0,0,8062.93,757.16,2252.7,0,7789.82,9027.71,8410.48,,978.55,3724.3,1809.73,1119.35,0,1392.33,,,61163.44
2021,42,Melbourne (CBD),0,2580.05,,,31837.07,,9748.53,632.86,11285.25,3349.28,1858.93,,1868.81,2955.43,16175.42,3943.2,0,1016.82,0,582.46,89094.45
2021,43,Melbourne (CBD),,7791.21,,0,31001.6,1788.24,6190.29,,14263.19,2758.82,820.78,3055.43,,15396.38,1503.32,3794.65,0,1523.75,0,0,132223.86
2021,47,Melbourne (CBD),,0,0,0,0,0,0,0,532.9,4305.57,,,,10317.71,81314.72,,0,2406.05,,0,162765.03
2021,53,Melbourne (CBD),35493.47,969.21,0,0,18040.69,,1070.42,,53078.86,3567.94,1378.74,,1586.55,4957.78,1473.7,382.86,0,228.11,0,,125378.74
2021,56,Melbourne (CBD),0,1322.08,0,1879.94,2777.84,,19637.35,0,1095.93,9685.72,,2647.06,236.11,4650.62,,0,0,6431.77,,,56552.1
2021,57,Melbourne (CBD),,399.41,0,7355.92,5188.88,,801.4,166.31,1097.6,13514.18,1251.44,,0,24019.59,0,1425.98,0,4033.83,0,,66990.81
2021,62,Melbourne (CBD),,0,0,,44514.36,0,,,,5738.36,,0,0,24637.74,10581.8,0,0,0,0,0,98663.04
2021,63,Melbourne (CBD),0,,0,0,2950.58,0,2286.76,0,,1414.1,,,0,347.43,23332.95,0,0,,0,,55724.07
2021,64,Melbourne (CBD),,3878.3,0,,23871.93,,6826.8,,452.82,7628.19,586.47,0,,20448.02,0,,0,5822.59,0,0,73080.48
2021,67,Melbourne (CBD),25094.29,,0,7370.27,747.5,0,5115.1,0,,9204.43,916.78,,0,13737.21,0,0,0,497.17,0,0,63152.13
2021,72,Melbourne (CBD),0,,0,0,17276.38,,,0,,4770.68,915.54,0,,18671.07,,,0,371.58,0,0,63115.27
2021,81,Melbourne (CBD),,0,0,0,,0,21224.49,0,,1039.71,0,0,0,0,0,0,0,,0,0,40502.99
2021,88,Melbourne (CBD),0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,25204.81
