road_name,location,suburb,speed_limit,average_speed,85th_percentile_speed,maximum_speed,road_segment,datetime,hour,day_of_week,week,year,road_name_encoded,location_encoded,suburb_encoded,Total_Traffic_Volume,month,month_name,day_type,Speeding_Incident,time_of_day
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,37.9,47.2,46.91879065285473,20780,2015-04-18 13:00:00,13,5,16,2015,84,26,0,65.1981832534903,4,April,Weekend,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,35.7,45.0,46.91879065285473,20780,2015-04-18 16:00:00,16,5,16,2015,84,26,0,37.1981832534903,4,April,Weekend,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,35.9,42.8,46.91879065285473,20780,2015-04-18 18:00:00,18,5,16,2015,84,26,0,61.1981832534903,4,April,Weekend,False,Evening
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,33.2,40.1,46.91879065285473,20780,2015-04-18 21:00:00,21,5,16,2015,84,26,0,23.29217885759312,4,April,Weekend,False,Evening
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,36.8,43.8,46.91879065285473,20780,2015-04-19 01:00:00,1,6,16,2015,84,26,0,17.292178857593125,4,April,Weekend,False,Night
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,37.6,39.3,46.91879065285473,20780,2015-04-19 02:00:00,2,6,16,2015,84,26,0,15.292178857593125,4,April,Weekend,False,Night
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,31.3,33.8,46.91879065285473,20780,2015-04-19 03:00:00,3,6,16,2015,84,26,0,14.292178857593125,4,April,Weekend,False,Night
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,29.5,29.0,46.91879065285473,20780,2015-04-19 04:00:00,4,6,16,2015,84,26,0,11.292178857593127,4,April,Weekend,False,Night
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,40.9,45.0,46.91879065285473,20780,2015-04-19 08:00:00,8,6,16,2015,84,26,0,21.29217885759312,4,April,Weekend,False,Morning
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,35.9,43.3,46.91879065285473,20780,2015-04-19 09:00:00,9,6,16,2015,84,26,0,28.156888461962378,4,April,Weekend,False,Morning
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,36.6,44.2,46.91879065285473,20780,2015-04-19 10:00:00,10,6,16,2015,84,26,0,29.29217885759312,4,April,Weekend,False,Morning
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,33.7,42.9,46.91879065285473,20780,2015-04-19 13:00:00,13,6,16,2015,84,26,0,51.292178857593136,4,April,Weekend,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,31.6,40.6,46.91879065285473,20780,2015-04-19 16:00:00,16,6,16,2015,84,26,0,49.1981832534903,4,April,Weekend,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,28.5,37.6,46.91879065285473,20780,2015-04-19 19:00:00,19,6,16,2015,84,26,0,24.29217885759312,4,April,Weekend,False,Evening
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,59.2,59.0,46.91879065285473,20780,2015-04-20 01:00:00,1,0,17,2015,84,26,0,11.292178857593127,4,April,Weekday,False,Night
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,29.9,38.3,46.91879065285473,20780,2015-04-20 05:00:00,5,0,17,2015,84,26,0,19.292178857593125,4,April,Weekday,False,Night
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,31.5,40.2,46.91879065285473,20780,2015-04-20 08:00:00,8,0,17,2015,84,26,0,56.292178857593136,4,April,Weekday,False,Morning
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,31.6,41.9,46.91879065285473,20780,2015-04-20 11:00:00,11,0,17,2015,84,26,0,47.1981832534903,4,April,Weekday,False,Morning
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,27.9,36.0,46.91879065285473,20780,2015-04-20 12:00:00,12,0,17,2015,84,26,0,49.1981832534903,4,April,Weekday,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,27.1,38.0,46.91879065285473,20780,2015-04-20 13:00:00,13,0,17,2015,84,26,0,41.1981832534903,4,April,Weekday,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,28.3,38.8,46.91879065285473,20780,2015-04-20 14:00:00,14,0,17,2015,84,26,0,40.58980107685516,4,April,Weekday,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,31.3,41.3,46.91879065285473,20780,2015-04-20 17:00:00,17,0,17,2015,84,26,0,51.1981832534903,4,April,Weekday,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,33.7,42.1,46.91879065285473,20780,2015-04-20 18:00:00,18,0,17,2015,84,26,0,31.811677325689566,4,April,Weekday,False,Evening
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,30.7,40.0,46.91879065285473,20780,2015-04-20 21:00:00,21,0,17,2015,84,26,0,22.29217885759312,4,April,Weekday,False,Evening
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,36.2,42.1,46.91879065285473,20780,2015-04-20 22:00:00,22,0,17,2015,84,26,0,23.29217885759312,4,April,Weekday,False,Evening
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,32.3,34.1,46.91879065285473,20780,2015-04-21 02:00:00,2,1,17,2015,84,26,0,13.292178857593125,4,April,Weekday,False,Night
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,29.2,41.5,46.91879065285473,20780,2015-04-21 06:00:00,6,1,17,2015,84,26,0,23.198183253490285,4,April,Weekday,False,Morning
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,34.8,44.0,46.91879065285473,20780,2015-04-21 09:00:00,9,1,17,2015,84,26,0,62.1981832534903,4,April,Weekday,False,Morning
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,31.5,40.5,46.91879065285473,20780,2015-04-21 10:00:00,10,1,17,2015,84,26,0,43.06289285785955,4,April,Weekday,False,Morning
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,33.5,42.0,46.91879065285473,20780,2015-04-21 13:00:00,13,1,17,2015,84,26,0,39.80226943971648,4,April,Weekday,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,31.1,40.8,46.91879065285473,20780,2015-04-21 16:00:00,16,1,17,2015,84,26,0,41.1981832534903,4,April,Weekday,False,Afternoon
Palmerston Street,Between Canning Street And Rathdowne Street,Carlton,50,29.3,38.0,46.91879065285473,20780,2015-04-21 18:00:00,18,1,17,2015,84,26,0,50.292178857593136,4,April,Weekday,False,Evening
