route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"1-V48-mjp-10","T0_6","16.T0.1-V48-mjp-10.5.H","1-V48-mjp-10.5.H","Traralgon","0"
"1-V48-mjp-10","T2_2","16.T2.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T3_2","16.T3.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T0_6","17.T0.1-V48-mjp-10.5.H","1-V48-mjp-10.5.H","Traralgon","0"
"1-V48-mjp-10","T2_2","17.T2.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T3_2","17.T3.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T0_6","18.T0.1-V48-mjp-10.6.R","1-V48-mjp-10.6.R","Melbourne","1"
"1-V48-mjp-10","T2_2","18.T2.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T3_2","18.T3.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T0_6","19.T0.1-V48-mjp-10.7.R","1-V48-mjp-10.7.R","Melbourne","1"
"1-V48-mjp-10","T2_2","19.T2.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T0_6","2.T0.1-V48-mjp-10.2.H","1-V48-mjp-10.2.H","Traralgon","0"
"1-V48-mjp-10","T2_2","2.T2.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-10","T3_2","2.T3.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-10","T0_6","20.T0.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T2_2","20.T2.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T0_6","21.T0.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T2_2","21.T2.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T0_6","22.T0.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T2_2","22.T2.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T0_6","23.T0.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T2_2","23.T2.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T0_6","24.T0.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T2_2","24.T2.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T0_6","25.T0.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T2_2","25.T2.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T0_6","26.T0.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T0_6","27.T0.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T0_6","28.T0.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T0_6","29.T0.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T0_6","3.T0.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-10","T2_2","3.T2.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-10","T3_2","3.T3.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-10","T0_6","30.T0.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T0_6","31.T0.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T0_6","32.T0.1-V48-mjp-10.8.R","1-V48-mjp-10.8.R","Melbourne","1"
"1-V48-mjp-10","T0_6","33.T0.1-V48-mjp-10.9.R","1-V48-mjp-10.9.R","Melbourne","1"
"1-V48-mjp-10","T0_6","34.T0.1-V48-mjp-10.9.R","1-V48-mjp-10.9.R","Melbourne","1"
"1-V48-mjp-10","T0_6","4.T0.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-10","T2_2","4.T2.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-10","T3_2","4.T3.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-10","T0_6","5.T0.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-10","T2_2","5.T2.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-10","T3_2","5.T3.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-10","T0_6","6.T0.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-10","T2_2","6.T2.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-10","T3_2","6.T3.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-10","T0_6","7.T0.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-10","T2_2","7.T2.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-10","T3_2","7.T3.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-10","T0_6","8.T0.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-10","T2_2","8.T2.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-10","T3_2","8.T3.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-10","T0_6","9.T0.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-10","T2_2","9.T2.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-10","T3_2","9.T3.1-V48-mjp-10.3.H","1-V48-mjp-10.3.H","Traralgon","0"
"1-V48-mjp-11","T0_7","1.T0.1-V48-mjp-11.1.H","1-V48-mjp-11.1.H","Traralgon","0"
"1-V48-mjp-11","T2_3","1.T2.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T3_3","1.T3.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T0_7","10.T0.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T2_3","10.T2.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
"1-V48-mjp-11","T3_3","10.T3.1-V48-mjp-11.8.R","1-V48-mjp-11.8.R","Melbourne","1"
"1-V48-mjp-11","T0_7","11.T0.1-V48-mjp-11.3.H","1-V48-mjp-11.3.H","Traralgon","0"
