lastupdated,status_timestamp,zone_number,status_description,parkingbay_id,datetime
2023-08-13T03:16:36+00:00,2023-08-12T16:58:35+00:00,7449.0,Unoccupied,7536,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-04T12:24:34+00:00,7449.0,Present,7538,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T22:02:08+00:00,7449.0,Unoccupied,7540,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-11T01:37:35+00:00,7449.0,Unoccupied,7544,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T12:33:22+00:00,7449.0,Present,7558,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:55:27+00:00,7449.0,Present,7559,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:08:45+00:00,7604.0,Present,7618,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T03:08:56+00:00,7604.0,Present,7621,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:08:28+00:00,,Unoccupied,7638,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T22:21:39+00:00,7948.0,Present,7645,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T03:10:00+00:00,,Present,7653,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-11T22:49:59+00:00,7552.0,Unoccupied,7714,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:51:32+00:00,7947.0,Present,7717,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T01:37:03+00:00,7947.0,Present,7723,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T01:53:47+00:00,7947.0,Present,7725,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T03:03:42+00:00,7947.0,Unoccupied,7728,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:17:20+00:00,7947.0,Present,7729,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:42:11+00:00,7947.0,Present,7730,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:38:38+00:00,7947.0,Present,7734,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:34:36+00:00,7603.0,Present,7806,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:29:30+00:00,7438.0,Present,7817,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T00:24:58+00:00,7438.0,Present,7821,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T00:39:43+00:00,7433.0,Present,5854,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:53:22+00:00,7433.0,Present,5855,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:51:55+00:00,7433.0,Present,5856,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T21:29:43+00:00,7433.0,Present,5859,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T18:41:46+00:00,7433.0,Unoccupied,5860,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-10T00:16:10+00:00,7638.0,Present,5848,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-09T23:31:00+00:00,7638.0,Present,5870,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-09T22:55:44+00:00,7638.0,Unoccupied,5871,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-11T12:54:13+00:00,7541.0,Unoccupied,5999,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-11T12:48:22+00:00,7541.0,Unoccupied,6000,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-11T13:40:52+00:00,7548.0,Present,6003,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-11T14:05:53+00:00,7548.0,Unoccupied,6005,2023-08-13 13:17:40
