Census year,Block ID,CLUE small area,Accommodation and Food Services,Administrative and Support Services,"Agriculture, Forestry and Fishing",Arts and Recreation Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Financial and Insurance Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Mining,Other Services,"Professional, Scientific and Technical Services",Public Administration and Safety,"Rental, Hiring and Real Estate Services",Retail Trade,"Transport, Postal and Warehousing",Wholesale Trade,Total establishments in block
2012,610,East Melbourne,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
2012,612,East Melbourne,3,0,0,0,1,0,0,0,2,0,0,0,1,2,0,0,0,0,0,9
2012,614,East Melbourne,3,0,0,0,0,0,0,0,6,0,0,0,2,1,0,0,1,0,0,13
2012,617,East Melbourne,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4
2012,620,East Melbourne,2,0,0,0,0,2,0,0,37,0,0,0,3,2,1,0,1,0,0,48
2012,642,East Melbourne,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2012,645,East Melbourne,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6
2012,651,East Melbourne,5,0,0,1,0,0,0,0,4,0,0,0,3,2,0,0,0,0,0,15
2012,655,East Melbourne,3,0,0,2,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,10
2012,657,East Melbourne,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
2012,661,East Melbourne,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2012,663,Melbourne (Remainder),0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5
2012,720,Melbourne (Remainder),4,4,0,3,2,1,0,10,4,2,8,0,5,12,0,3,3,0,2,63
2012,730,Southbank,2,0,0,0,0,0,0,1,0,0,1,0,4,2,0,1,1,1,1,14
2012,733,Southbank,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4
2012,734,Southbank,0,0,0,0,1,0,2,1,1,0,0,0,1,6,2,1,3,1,0,19
2012,740,Southbank,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
2012,745,Southbank,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,5
2012,746,Southbank,2,0,1,2,2,1,1,4,3,6,4,0,0,17,1,0,1,0,3,48
2012,750,Southbank,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
2012,753,Southbank,36,3,1,1,0,0,1,5,5,3,2,1,9,10,1,1,15,5,0,99
2012,773,Docklands,5,3,0,2,2,0,1,0,0,0,0,1,5,2,0,3,2,2,0,28
2012,775,Port Melbourne,0,1,0,0,3,0,0,1,0,1,3,0,0,2,1,1,0,2,5,20
2012,783,Docklands,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4
2012,785,Port Melbourne,2,1,0,0,4,1,0,1,0,0,2,0,0,3,0,0,1,7,0,22
2012,786,Port Melbourne,6,0,2,4,7,0,0,1,0,0,19,0,5,3,1,1,6,1,5,61
2012,787,Port Melbourne,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
2012,792,Port Melbourne,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2012,801,Southbank,12,7,0,2,3,1,0,4,0,3,0,2,3,18,2,0,5,1,0,63
2012,803,Southbank,36,1,0,5,0,0,0,0,0,1,0,0,1,0,0,0,26,0,0,70
2012,804,Southbank,15,3,0,3,0,0,0,1,3,2,0,0,6,6,0,5,136,1,3,184
2012,809,Southbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,810,Southbank,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0,0,6
2012,811,Southbank,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3
2012,813,Southbank,0,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,6
2012,850,Melbourne (Remainder),0,0,0,11,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,14
2012,852,Melbourne (Remainder),4,0,0,11,0,0,1,0,0,0,0,0,4,0,0,0,2,0,0,22
2012,853,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,854,South Yarra,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,856,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,863,Melbourne (Remainder),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2012,864,South Yarra,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4
2012,866,South Yarra,1,1,0,2,0,2,2,0,2,0,0,0,1,0,0,0,0,0,0,11
2012,871,Melbourne (Remainder),0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2012,906,Parkville,4,0,0,0,1,2,0,3,0,1,3,0,2,9,2,0,1,1,0,29
2012,909,Parkville,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2012,911,Parkville,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2012,914,Parkville,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3
