,block_id,geo_point_coords,CLUE,block_area,total_jobs,business_establishments,commercial_area,plot_ratio,residential_area,business/residence_with_largest_floor_area,business/residence_with_second_largest_floor_area,detailed_business_info
45,608,"-37.81485927743677, 144.98677347160654",East Melbourne,32508.512510970144,0,2,1561.0,0.8791682047496001,27019.0,residence,public_service,"residence: 27019, public_service: 1561"
46,45,"-37.81442256191277, 144.96463359859737",Melbourne (CBD),31080.985666438388,1768,159,71215.0,2.3072715572715574,495.0,public_service,business,"public_service: 16629, business: 12270, leisure: 5531, education: 4670, residence: 495"
47,81,"-37.813350625657165, 144.95292310844212",Melbourne (CBD),30978.419048045922,525,19,48429.0,3.1541739298857254,49281.0,residence,public_service,"residence: 49281, public_service: 24573, education: 20984, leisure: 1621, business: 1251"
48,1102,"-37.8135695184254, 144.94544678059583",Docklands,67950.05627818499,1922,54,48572.0,0.8663723325974981,10298.0,business,public_service,"business: 35477, public_service: 12556, residence: 10298, leisure: 539"
49,64,"-37.813177976987326, 144.96126537375216",Melbourne (CBD),30926.365649655167,1943,150,87297.0,3.3477656340942894,16236.0,business,public_service,"business: 35256, public_service: 24196, residence: 16236, education: 12660, leisure: 6698"
50,82,"-37.81264555823979, 144.95540586069902",Melbourne (CBD),30756.14682670985,3971,73,95685.0,3.5527701911822085,13584.0,business,public_service,"business: 63215, public_service: 30201, residence: 13584, leisure: 1719"
51,66,"-37.81173639023827, 144.9662097616916",Melbourne (CBD),30933.940714362638,995,117,31374.0,1.0493647560857338,1086.0,leisure,public_service,"leisure: 10798, public_service: 8852, business: 5724, residence: 1086"
52,602,"-37.81170642692204, 144.98981773878612",East Melbourne,28397.453566806293,0,1,454.0,0.7401486072472444,20564.0,residence,public_service,"residence: 20564, public_service: 454"
53,56,"-37.81263588284146, 144.9666208351769",Melbourne (CBD),30827.712121380377,2019,168,79064.0,2.5805624939176695,487.0,public_service,business,"public_service: 16779, business: 14872, leisure: 14191, education: 12275, residence: 487"
54,610,"-37.812609679378305, 144.987164143831",East Melbourne,32757.79942432903,0,1,866.0,0.819855298104222,25990.0,residence,public_service,"residence: 25990, public_service: 866"
55,444,"-37.81184638239105, 144.9497287559767",West Melbourne (Residential),24067.289062040632,552,20,22536.0,1.3130427556405035,9065.0,business,residence,"business: 18962, residence: 9065, public_service: 3574"
56,615,"-37.81232168033914, 144.98455529881787",East Melbourne,32387.81179802259,1058,64,30401.0,2.3275697038935377,44982.0,residence,healthcare,"residence: 44982, healthcare: 15693, public_service: 14260, business: 448"
57,48,"-37.81224583580547, 144.97204587295803",Melbourne (CBD),30685.33531024541,1491,107,44825.0,1.545217532996578,2590.0,business,public_service,"business: 17937, public_service: 15571, leisure: 9460, residence: 2590"
58,93,"-37.811032651856166, 144.95675374576166",Melbourne (CBD),29714.237876867308,1851,46,66969.0,4.187453725516591,57457.0,residence,business,"residence: 57457, business: 35742, public_service: 27994, education: 1898, leisure: 800"
59,1110,"-37.81081352924853, 144.93707327203882",Docklands,224873.5481264805,2434,161,190397.0,1.2694854428944338,95076.0,public_service,residence,"public_service: 116469, residence: 95076, business: 21048, leisure: 13315"
60,614,"-37.81114390246458, 144.98475427432828",East Melbourne,32683.154983439923,878,12,22389.0,1.0075880427133372,10542.0,healthcare,residence,"healthcare: 13900, residence: 10542, public_service: 8489"
61,67,"-37.81100770171042, 144.9686775327245",Melbourne (CBD),31045.132987619443,958,86,56896.0,2.5963601224029635,23708.0,leisure,residence,"leisure: 31811, residence: 23708, public_service: 18675, business: 4151"
62,76,"-37.810672905718754, 144.96571855733472",Melbourne (CBD),30784.462137058545,6172,139,151331.0,5.593490124740125,20859.0,public_service,business,"public_service: 55636, business: 52861, residence: 20859, leisure: 7958, healthcare: 2710"
63,1007,"-37.8139978492347, 144.9152609734858",West Melbourne (Industrial),3106682.2143029002,900,17,1033457.0,0.34910010100808514,51086.0,public_service,business,"public_service: 949598, business: 83859, residence: 51086"
64,441,"-37.81014029489234, 144.94868461409445",West Melbourne (Residential),19653.015757516638,161,6,1010.0,0.051391645041469494,0.0,public_service,business,public_service: 1010
65,601,"-37.810522413578944, 144.99001728405517",East Melbourne,28481.42845234558,77,5,5293.0,0.6248376110389382,12503.0,residence,business,"residence: 12503, business: 3344, public_service: 1949"
66,103,"-37.80935430360441, 144.9559243748492",Melbourne (CBD),29106.551680564422,492,26,46148.0,1.6132412560983989,807.0,leisure,public_service,"leisure: 27362, public_service: 13611, business: 5175, residence: 807"
67,77,"-37.80994099079983, 144.96818888604335",Melbourne (CBD),30762.24479094904,2988,43,68318.0,2.7627592484233796,16670.0,business,public_service,"business: 37520, public_service: 25756, residence: 16670, leisure: 4550"
68,427,"-37.8086895536008, 144.947421131238",West Melbourne (Residential),19462.04089180491,126,15,4150.0,0.7605076559449183,10651.0,residence,business,"residence: 10651, business: 2884, public_service: 1266"
69,95,"-37.80940641781987, 144.9623340201352",Melbourne (CBD),32314.257412746178,1060,103,41846.0,2.186853995172371,28820.0,residence,public_service,"residence: 28820, public_service: 15553, education: 12598, leisure: 4603, business: 3380, healthcare: 975"
70,440,"-37.80918624618705, 144.95089145789734",West Melbourne (Residential),29109.33831742579,198,20,6929.0,0.6239650967054863,11234.0,residence,public_service,"residence: 11234, public_service: 3801, business: 3128"
71,439,"-37.80863592601653, 144.9531424368336",West Melbourne (Residential),10808.83178621857,170,20,5927.0,0.8387305699481865,3138.0,business,residence,"business: 3679, residence: 3138, leisure: 1163, public_service: 1085"
72,411,"-37.80784610813453, 144.94321986803092",West Melbourne (Residential),1461.0467139701882,0,0,0.0,,0.0,,,
73,642,"-37.80857230932849, 144.97239253658583",East Melbourne,14692.61234380249,0,2,0.0,,0.0,,,
74,1002,"-37.80835999285184, 144.91169947929467",West Melbourne (Industrial),212344.4438113923,0,4,0.0,,0.0,,,
75,431,"-37.80825794959794, 144.9501687855507",West Melbourne (Residential),29067.874769977272,224,23,13945.0,0.6301647916881687,4372.0,business,residence,"business: 11524, residence: 4372, public_service: 2421"
76,98,"-37.80766757401238, 144.96935717334853",Melbourne (CBD),5229.469933839822,0,1,0.0,,0.0,,,
77,437,"-37.80758158102925, 144.95402363498138",West Melbourne (Residential),6174.025376123641,129,7,3027.0,0.8791707159054097,2401.0,business,residence,"business: 2632, residence: 2401, public_service: 395"
78,404,"-37.80510960555838, 144.94456186737855",West Melbourne (Residential),7139.202690179707,19,3,0.0,0.7208292477938086,5146.0,residence,business,residence: 5146
79,412,"-37.80718955097878, 144.94336644872564",West Melbourne (Residential),7637.667006743591,22,3,0.0,,0.0,,,
80,107,"-37.807363079153276, 144.9664020126462",Melbourne (CBD),5469.205299962591,79,5,1855.0,0.5651855915158164,1236.0,public_service,residence,"public_service: 1855, residence: 1236"
81,96,"-37.807254497290245, 144.96552589650233",Melbourne (CBD),72610.51981813564,3026,49,142618.0,1.9837625671395125,1423.0,education,public_service,"education: 81214, public_service: 49550, business: 9748, residence: 1423, leisure: 929"
82,426,"-37.80739358699979, 144.949333686818",West Melbourne (Residential),29112.172070637953,142,11,4332.0,0.3834844737565265,6832.0,residence,public_service,"residence: 6832, public_service: 2598, business: 1734"
83,115,"-37.8072809964218, 144.96133270543257",Melbourne (CBD),31370.604105052247,2282,41,90596.0,6.76585910105196,121649.0,residence,public_service,"residence: 121649, public_service: 34781, business: 27402, leisure: 21005, education: 3200"
84,1004,"-37.8060309998121, 144.90912637512943",West Melbourne (Industrial),234906.0866914813,318,9,133143.0,0.5667926745166152,0.0,public_service,business,public_service: 133143
85,421,"-37.80605370601265, 144.94770393920587",West Melbourne (Residential),2036.4380553018418,0,1,0.0,,0.0,,,
86,406,"-37.80626871188892, 144.94637213351706",West Melbourne (Residential),23146.331421184757,0,1,0.0,0.6391601140585846,14794.0,residence,business,residence: 14794
87,413,"-37.80631760179311, 144.94373016688547",West Melbourne (Residential),19822.075021505643,148,11,7309.0,0.8783170214912723,10101.0,residence,business,"residence: 10101, business: 6084, public_service: 1225"
88,433,"-37.805906119684956, 144.95353518274754",West Melbourne (Residential),4612.864709299801,0,2,0.0,,0.0,,,
89,424,"-37.80594953754241, 144.95150641533795",West Melbourne (Residential),12488.850282895859,54,15,1394.0,0.7518417680973735,7995.0,residence,leisure,"residence: 7995, leisure: 553"
90,422,"-37.80553464448475, 144.94806762262357",West Melbourne (Residential),3843.7126452354896,0,1,0.0,,0.0,,,
91,267,"-37.806017761543906, 144.96677782275634",Carlton,32820.08077185872,247,43,15819.0,0.9597501523461304,15680.0,residence,business,"residence: 15680, business: 8003, public_service: 6478, leisure: 830, healthcare: 508"
92,263,"-37.805364676778, 144.96085660982942",Carlton,32852.19263506615,846,32,29076.0,1.8924875197857056,33096.0,residence,business,"residence: 33096, business: 16248, public_service: 12828"
93,344,"-37.804262909831806, 144.9465559805034",North Melbourne,31666.107054009233,108,3,1045.0,0.5453799027347944,16225.0,residence,public_service,"residence: 16225, public_service: 1045"
94,345,"-37.804008474620986, 144.94870095125805",North Melbourne,32666.067512798978,377,57,13438.0,0.7295965223780078,10395.0,residence,business,"residence: 10395, business: 5234, leisure: 2416, public_service: 1324, healthcare: 466"
95,252,"-37.80393566917619, 144.96713677269486",Carlton,32826.298736992874,328,59,15540.0,0.993480777432523,17072.0,residence,leisure,"residence: 17072, leisure: 5529, business: 4625, public_service: 3925, healthcare: 635"
96,341,"-37.80349667902409, 144.9439206538844",North Melbourne,20080.069066594733,177,12,6578.0,0.8370019920318725,10229.0,residence,business,"residence: 10229, business: 3294, public_service: 1410"
97,255,"-37.80361815446853, 144.96417572580043",Carlton,32396.954443658666,641,31,35668.0,1.6993455982220027,19384.0,residence,education,"residence: 19384, education: 13590, public_service: 10780, business: 8580, leisure: 1059"
98,259,"-37.803084769362755, 144.95936590373594",Carlton,14661.638500057667,232,11,16610.0,1.6000954914398744,6849.0,business,residence,"business: 13810, residence: 6849, public_service: 2800"
99,1015,"-37.80177576180137, 144.93214141536978",West Melbourne (Industrial),51993.90327219002,95,25,8905.0,0.4847960302348393,16301.0,residence,business,"residence: 16301, business: 5566, public_service: 1199"
100,1006,"-37.80634364254086, 144.92796582410136",West Melbourne (Industrial),1730921.899977989,4107,190,614722.0,0.4658346625871429,191601.0,public_service,residence,"public_service: 537955, residence: 191601, business: 8060, leisure: 727"
101,364,"-37.80338833450849, 144.95687157297178",North Melbourne,5073.699020390181,78,4,1036.0,0.4145476049674749,1067.0,residence,public_service,"residence: 1067, public_service: 1036"
102,332,"-37.80170785149751, 144.94702146291968",North Melbourne,13026.503898785595,62,15,2858.0,0.7269307538768617,6611.0,residence,business,"residence: 6611, business: 2670, public_service: 188"
103,368,"-37.802257303092624, 144.95202590932712",North Melbourne,32890.49354772574,30,6,1998.0,0.628367284889024,18669.0,residence,public_service,"residence: 18669, public_service: 1998"
104,335,"-37.8014105222346, 144.94429743336593",North Melbourne,19687.04634263816,203,40,5691.0,0.8543201097170722,11128.0,residence,business,"residence: 11128, business: 2642, public_service: 2288"
105,245,"-37.80153755385418, 144.96453464929584",Carlton,32726.63231543582,269,36,25892.0,2.518272932836277,56521.0,residence,public_service,"residence: 56521, public_service: 17553, business: 4589, leisure: 1404"
106,243,"-37.80102068534982, 144.96312298901967",Carlton,19571.80416472008,492,31,19238.0,1.271319809922845,5643.0,business,residence,"business: 6455, residence: 5643, public_service: 5361, education: 4875, leisure: 2547"
107,329,"-37.800111470246456, 144.94545115158434",North Melbourne,9700.915024501872,94,3,4555.0,1.1635051546391753,6731.0,residence,business,"residence: 6731, business: 2749, public_service: 1806"
108,1012,"-37.8025294326102, 144.93956996808396",North Melbourne,414772.6044611062,523,30,72392.0,0.4178102668453994,100904.0,residence,public_service,"residence: 100904, public_service: 33150, business: 23514, manufacture: 15728"
109,236,"-37.79967773056332, 144.97357038204447",Carlton,9491.993657227438,9,3,0.0,0.6720050574228216,6378.0,residence,business,residence: 6378
110,502,"-37.800652113716296, 144.92573443002084",West Melbourne (Industrial),480742.50350401446,443,32,256294.0,0.6042763062099837,34207.0,public_service,residence,"public_service: 212984, residence: 34207, business: 26247"
111,239,"-37.80081563669407, 144.9581532402704",Carlton,21715.963493600808,485,34,24023.0,1.2571954869905595,3277.0,public_service,business,"public_service: 14148, business: 7977, residence: 3277, healthcare: 1898"
112,1014,"-37.80208161005879, 144.93457944552992",West Melbourne (Industrial),136987.96380302627,114,13,12804.0,0.20483695533152782,15256.0,residence,business,"residence: 15256, business: 9440, public_service: 518"
113,377,"-37.80006724314703, 144.95344409309723",North Melbourne,32984.1638848296,791,67,18811.0,0.9377577007033713,12120.0,residence,business,"residence: 12120, business: 7045, public_service: 5661, healthcare: 3625, education: 1306, leisure: 1174"
114,373,"-37.79953767458787, 144.95044975778382",North Melbourne,7841.154599153888,0,1,0.0,,0.0,,,
115,503,"-37.799602600108486, 144.93035071609822",Kensington,107587.61530701161,578,45,23668.0,0.21998940392426594,0.0,business,public_service,"business: 20531, public_service: 376"
116,220,"-37.799659692095894, 144.97092147715713",Carlton,19270.54612270541,14,4,583.0,0.6069019200830306,11112.0,residence,business,"residence: 11112, business: 583"
117,316,"-37.79911472841917, 144.9437338655332",North Melbourne,8444.698467409185,0,2,0.0,,0.0,,,
118,205,"-37.799469804605664, 144.96489302796442",Carlton,32573.733244286603,1076,12,22406.0,0.8898474196420348,6579.0,public_service,education,"public_service: 13602, education: 8804, residence: 6579"
