Census year,Block ID,CLUE small area,Commercial Accommodation,Common Area,Community Use,Educational/Research,Entertainment/Recreation - Indoor,Equipment Installation,Hospital/Clinic,House/Townhouse,Institutional Accommodation,Manufacturing,Office,Park/Reserve,Parking - Commercial Covered,Parking - Commercial Uncovered,Parking - Private Covered,Parking - Private Uncovered,"Performances, Conferences, Ceremonies",Private Outdoor Space,Public Display Area,Residential Apartment,Retail - Cars,Retail - Shop,Retail - Showroom,Retail - Stall,Sports and Recreation - Outdoor,Square/Promenade,Storage,Student Accommodation,Transport,Transport/Storage - Uncovered,Unoccupied - Under Construction,Unoccupied - Under Demolition/Condemned,Unoccupied - Under Renovation,Unoccupied - Undeveloped Site,Unoccupied - Unused,Wholesale,Workshop/Studio,Total floor space in block
2012,235,Carlton,0,644,0,0,0,0,0,3714,0,0,,0,0,0,,0,0,2077,0,4686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11713
2012,239,Carlton,0,4171,0,,,,1923,,0,0,3726,0,0,0,3277,,0,,0,0,,,0,0,0,0,2613,,0,0,,0,0,0,,0,0,31057
2012,251,Carlton,0,8521,0,0,,0,,1571,0,0,14034,0,,0,7724,,0,6976,0,15899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,58964
2012,252,Carlton,,3925,0,0,5443,,,4390,0,0,3837,0,0,0,,,0,5761,0,7392,0,826,0,0,0,0,567,0,0,0,,0,0,0,955,0,0,38206
2012,254,Carlton,0,3455,0,0,2100,0,0,2800,0,0,7551,0,,0,2993,0,0,,0,7471,0,1205,0,0,0,0,,0,0,0,0,0,0,0,3105,0,0,33362
2012,259,Carlton,0,2800,0,0,,0,0,1947,0,0,15634,0,0,0,3078,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,28642
2012,260,Carlton,0,4271,0,0,,0,0,,,0,2148,0,0,0,,0,0,541,0,,0,1459,,0,0,0,1442,0,0,0,0,0,0,0,2082,0,,34514
2012,262,Carlton,0,245,0,0,420,0,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,2855
2012,263,Carlton,0,9113,0,0,0,1675,0,0,0,0,17852,0,,0,10644,0,0,4096,0,18360,0,0,0,0,0,0,,,0,0,,,,0,2265,0,,79942
2012,270,Parkville,0,,0,,2915,,0,0,0,0,12734,0,0,0,,0,0,,,,0,2926,0,,,0,,0,0,0,0,0,0,0,,0,,587231
2012,271,Parkville,0,10578,0,,0,0,0,0,0,0,,0,0,0,,0,0,120954,0,0,0,0,0,0,0,0,0,89942,0,0,0,0,0,0,0,0,0,228589
2012,272,Parkville,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,26725
2012,274,Carlton,0,0,0,0,,0,0,0,0,0,954,,0,0,0,0,0,0,0,0,0,,0,0,147523,0,0,0,0,0,0,0,,0,0,0,0,417849
2012,301,North Melbourne,0,839,0,0,0,0,0,11880,0,0,,0,0,0,0,0,0,9090,0,4412,0,524,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,27211
2012,307,North Melbourne,0,0,0,0,0,0,0,4713,0,0,0,0,0,0,0,0,0,1503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6216
2012,308,North Melbourne,0,,0,0,0,0,0,4538,0,0,,0,0,0,0,0,0,1436,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,6566
2012,309,North Melbourne,0,527,0,,,,0,0,0,0,1894,0,0,0,0,0,0,2354,0,0,0,0,0,0,0,0,1898,0,0,0,0,0,0,0,,,1121,12699
2012,311,North Melbourne,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,4487
2012,314,North Melbourne,0,,0,0,0,0,0,0,,,1541,0,0,0,0,0,0,13934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,23320
2012,320,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012,321,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012,323,North Melbourne,0,,0,0,0,0,0,0,0,0,1228,0,0,0,,0,0,1020,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,1253,9903
2012,328,North Melbourne,0,2089,0,,0,0,0,7223,0,0,0,0,0,0,,0,0,,0,6793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27993
