,block_id,retail,business,leisure,education,healthcare,manufacture,public_service,farming,residence,non_residential
90,349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6095.0,0.0
91,351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5309.0,0.0
92,354,2351.0,7792.0,3802.0,0.0,0.0,0.0,3063.0,0,14693.0,17008.0
93,357,706.0,4041.0,701.0,0.0,0.0,0.0,6207.0,0,23108.0,11655.0
94,358,383.0,1366.0,0.0,0.0,0.0,0.0,554.0,0,5638.0,2303.0
95,359,0.0,2160.0,0.0,0.0,0.0,0.0,2648.0,0,9137.0,4808.0
96,362,575.0,7103.0,844.0,0.0,0.0,0.0,7601.0,0,5242.0,16123.0
97,364,915.0,950.0,0.0,0.0,0.0,0.0,1036.0,0,1012.0,2901.0
98,365,0.0,1563.0,0.0,0.0,0.0,0.0,1891.0,0,5038.0,3454.0
99,367,0.0,0.0,0.0,0.0,0.0,0.0,2241.0,0,26448.0,2241.0
100,369,0.0,1044.0,731.0,0.0,0.0,0.0,1258.0,0,11540.0,3033.0
101,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
102,375,0.0,4912.0,0.0,0.0,0.0,0.0,13803.0,0,14424.0,18715.0
103,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
104,408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
105,412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
106,418,0.0,1009.0,0.0,0.0,0.0,0.0,0.0,0,10461.0,1009.0
107,420,0.0,0.0,0.0,0.0,0.0,0.0,1172.0,0,17734.0,1172.0
108,421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
109,422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
110,424,973.0,0.0,321.0,0.0,0.0,0.0,0.0,0,8254.0,1294.0
111,436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2300.0,0.0
112,437,0.0,1070.0,0.0,0.0,0.0,0.0,372.0,0,2630.0,1442.0
113,440,0.0,2844.0,856.0,0.0,0.0,0.0,10922.0,0,52103.0,14622.0
114,441,0.0,0.0,0.0,0.0,0.0,0.0,474.0,0,513.0,474.0
115,443,0.0,0.0,0.0,0.0,0.0,0.0,3205.0,0,1354.0,3205.0
116,445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
117,508,0.0,4884.0,0.0,0.0,0.0,0.0,1075.0,0,3314.0,5959.0
118,510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9333.0,0.0
119,518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6264.0,0.0
120,521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17509.0,0.0
121,522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11542.0,0.0
122,524,477.0,820.0,0.0,0.0,1145.0,0.0,234.0,0,11616.0,2676.0
123,525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9550.0,0.0
124,526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17497.0,0.0
125,529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9460.0,0.0
126,530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
127,532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19129.0,0.0
128,533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18075.0,0.0
129,540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5827.0,0.0
130,541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9668.0,0.0
131,544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5703.0,0.0
132,548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13573.0,0.0
133,553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7107.0,0.0
134,554,0.0,0.0,0.0,0.0,0.0,0.0,61141.0,0,0.0,61141.0
135,556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10537.0,0.0
136,558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16314.0,0.0
137,561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10710.0,0.0
138,562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12269.0,0.0
139,565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3141.0,0.0
140,568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9991.0,0.0
141,569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6511.0,0.0
142,571,5673.0,2669.0,1710.0,0.0,0.0,0.0,0.0,0,0.0,10052.0
143,602,0.0,0.0,0.0,0.0,0.0,0.0,569.0,0,20456.0,569.0
144,605,0.0,0.0,0.0,0.0,0.0,0.0,1361.0,0,24005.0,1361.0
145,606,0.0,1074.0,0.0,0.0,2529.0,0.0,2108.0,0,12918.0,5711.0
146,607,652.0,12384.0,947.0,0.0,3162.0,0.0,4045.0,0,24176.0,21190.0
147,612,0.0,310.0,0.0,0.0,0.0,0.0,2665.0,0,25659.0,2975.0
148,615,0.0,327.0,0.0,0.0,17503.0,0.0,13998.0,0,44762.0,31828.0
149,621,0.0,24550.0,0.0,0.0,1155.0,0.0,15194.0,0,12487.0,40899.0
150,642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
151,644,0.0,46511.0,1956.0,0.0,6317.0,0.0,26106.0,0,14143.0,80890.0
152,646,0.0,4103.0,0.0,0.0,3742.0,0.0,2993.0,0,5153.0,10838.0
153,655,0.0,5427.0,1081.0,0.0,0.0,0.0,15941.0,0,74953.0,22449.0
154,720,508.0,22459.0,1028.0,0.0,134.0,0.0,13439.0,0,19812.0,37568.0
155,734,819.0,1968.0,0.0,0.0,0.0,0.0,25125.0,0,106497.0,27912.0
156,743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
157,745,0.0,0.0,0.0,0.0,0.0,0.0,1789.0,0,0.0,1789.0
158,759,0.0,18566.0,1717.0,0.0,0.0,0.0,10971.0,0,32368.0,31254.0
159,760,841.0,24503.0,274.0,0.0,3280.0,0.0,38455.0,0,139406.0,67353.0
160,771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
161,773,808.0,3011.0,2039.0,0.0,0.0,0.0,121522.0,0,358819.0,127380.0
162,774,0.0,0.0,0.0,0.0,0.0,0.0,1661.0,0,23672.0,1661.0
163,776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
164,778,0.0,31846.0,0.0,0.0,0.0,0.0,2427.0,0,27549.0,34273.0
165,779,0.0,44223.0,0.0,0.0,0.0,0.0,2418.0,0,92364.0,46641.0
166,784,0.0,40152.0,0.0,0.0,0.0,0.0,2018.0,0,0.0,42170.0
167,787,0.0,8781.0,0.0,0.0,0.0,0.0,1322.0,0,33274.0,10103.0
168,790,0.0,98050.0,654.0,8924.0,0.0,0.0,10948.0,0,113905.0,118576.0
169,793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
170,794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
171,801,2392.0,51539.0,6941.0,0.0,0.0,0.0,73539.0,0,21519.0,134411.0
172,808,1735.0,10413.0,1049.0,0.0,0.0,0.0,21720.0,0,87800.0,34917.0
173,809,0.0,0.0,0.0,0.0,0.0,0.0,726.0,0,0.0,726.0
174,810,0.0,0.0,0.0,0.0,0.0,0.0,43775.0,0,252603.0,43775.0
175,815,0.0,971.0,858.0,0.0,0.0,0.0,0.0,0,0.0,1829.0
176,850,0.0,4083.0,4063.0,0.0,0.0,0.0,104523.0,0,0.0,112669.0
177,856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22662.0,0.0
178,864,0.0,0.0,0.0,0.0,0.0,0.0,3878.0,0,20480.0,3878.0
179,870,0.0,2707.0,771.0,59937.0,0.0,0.0,0.0,0,0.0,63415.0
180,902,0.0,0.0,0.0,0.0,0.0,0.0,3481.0,0,33757.0,3481.0
181,905,0.0,0.0,0.0,0.0,0.0,0.0,2916.0,0,22118.0,2916.0
182,908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
183,910,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0,10376.0,500.0
184,912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4863.0,0.0
185,913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3707.0,0.0
186,917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12079.0,0.0
187,921,0.0,1793.0,0.0,48313.0,0.0,0.0,6853.0,0,0.0,56959.0
188,922,0.0,2103.0,0.0,0.0,0.0,0.0,760.0,0,36636.0,2863.0
189,925,0.0,0.0,0.0,0.0,0.0,0.0,1315.0,0,12409.0,1315.0
190,928,0.0,0.0,0.0,0.0,0.0,0.0,42664.0,0,219683.0,42664.0
191,1102,0.0,38539.0,517.0,0.0,0.0,0.0,12518.0,0,8276.0,51574.0
192,1104,819.0,2190.0,3543.0,0.0,0.0,0.0,11555.0,0,36684.0,18107.0
193,1105,2464.0,411337.0,7784.0,0.0,364.0,0.0,206658.0,0,60849.0,628607.0
194,1108,5186.0,240045.0,9977.0,2853.0,1386.0,0.0,297261.0,0,478910.0,556708.0
195,2384,0.0,6095.0,0.0,0.0,0.0,0.0,3552.0,0,29765.0,9647.0
196,2385,0.0,1382.0,0.0,0.0,0.0,0.0,5007.0,0,4746.0,6389.0
197,2386,0.0,0.0,0.0,0.0,0.0,0.0,9055.0,0,47927.0,9055.0
198,2389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19995.0,0.0
199,2502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
200,2503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3721.0,0.0
201,2504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6371.0,0.0
202,2514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5883.0,0.0
203,2521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11264.0,0.0
204,2522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7308.0,0.0
205,2525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14485.0,0.0
206,2527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10192.0,0.0
207,2530,0.0,0.0,0.0,0.0,0.0,0.0,1641.0,0,18500.0,1641.0
208,2532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6277.0,0.0
209,2539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3253.0,0.0
