Geo Point,Geo Shape,total
"-37.82491678587185, 144.93348521684402","{""coordinates"": [[[[144.93635893081512, -37.82545135308567], [144.93559106858342, -37.82551131569671], [144.93557116303109, -37.82549500287936], [144.9353336031955, -37.82552987053812], [144.934721957561, -37.825601589037596], [144.93448952818162, -37.825627863330304], [144.93365920943626, -37.825715083340285], [144.93333089708042, -37.825735091480716], [144.93265129243522, -37.82574349397629], [144.9323346154716, -37.82569291369982], [144.93203042704585, -37.82560197191364], [144.9319560141019, -37.82556534856456], [144.9318496479005, -37.82556247299103], [144.9316685166113, -37.82546500785111], [144.93146294521324, -37.82531392396523], [144.9313052028258, -37.82515412491237], [144.93107324736638, -37.82482398303216], [144.93096126666538, -37.824471311504524], [144.93095704852504, -37.82411406306188], [144.9351418985866, -37.82423485990159], [144.93544706121287, -37.82448493558839], [144.93584003305023, -37.82480727872676], [144.93614562501392, -37.82505794378227], [144.93649637811572, -37.82534564940399], [144.93635893081512, -37.82545135308567]]]], ""type"": ""MultiPolygon""}",6448.522329
"-37.825721024223554, 144.92336247943234","{""coordinates"": [[[[144.9248425356835, -37.82725292062919], [144.92302667707798, -37.82760487725207], [144.92285925322875, -37.82752421655981], [144.92181103074157, -37.82412150409717], [144.9229456627102, -37.82397173908528], [144.92389653251215, -37.823950693849504], [144.9248934218711, -37.82718646610733], [144.9248425356835, -37.82725292062919]]]], ""type"": ""MultiPolygon""}",0.0
"-37.8307311439858, 144.97366437123915","{""coordinates"": [[[[144.97615024630193, -37.83311826049033], [144.97613147800996, -37.833227461092775], [144.97291196236108, -37.83280951693294], [144.97284289860528, -37.83279762501324], [144.9727757454727, -37.83278015699969], [144.9727112166183, -37.8327572985305], [144.9726499978065, -37.83272929252974], [144.97259273962254, -37.8326964366255], [144.97254005055865, -37.83265907998638], [144.97249249054727, -37.83261761961127], [144.97247306180515, -37.83259791302352], [144.9723610357475, -37.83247872461911], [144.97229910285668, -37.83240950818008], [144.97224132359733, -37.832338067985894], [144.97218782466666, -37.83226456070458], [144.9720896898017, -37.8321221176883], [144.97201663498035, -37.832009216852654], [144.97195105881275, -37.83189346374745], [144.97189313765858, -37.83177516974079], [144.9718430272834, -37.831654653034086], [144.9718008624405, -37.831532237806016], [144.9717667565088, -37.83140825334036], [144.97174080118816, -37.83128303314041], [144.9717230662532, -37.831156914031695], [144.97169627299127, -37.83088378256556], [144.9716746363773, -37.83061036364933], [144.97165816119988, -37.830336718522275], [144.97164685109192, -37.83006290847362], [144.9716417702309, -37.829858073300564], [144.97163957997486, -37.82965320584825], [144.97164087286723, -37.82939960056465], [144.9716465951512, -37.82914603381405], [144.971656745683, -37.82889255426251], [144.97167176474002, -37.82863256422845], [144.97169144232285, -37.82837276981857], [144.97172055204646, -37.82806744096082], [144.9717560961025, -37.82776254098098], [144.97179806446775, -37.827458155179094], [144.97180131100828, -37.827436413254325], [144.97182694854192, -37.827265806768715], [144.97189064183263, -37.82718289331607], [144.97196026941654, -37.82710303795161], [144.9720355985588, -37.827026507576605], [144.97211637747043, -37.826953557978435], [144.97220233615022, -37.82688443297585], [144.97221211751065, -37.82687815126211], [144.97222305815453, -37.82687321708572], [144.97223486589633, -37.82686976222092], [144.9722472253936, -37.82686787893468], [144.97225980656864, -37.826867617522915], [144.97227227342333, -37.826868984966985], [144.97228429301288, -37.82687194474737], [144.97229554433696, -37.826876417819015], [144.97230572691305, -37.8268822847222], [144.9723145688006, -37.82688938877302], [144.97232183386407, -37.82689754024761], [144.97232732807885, -37.82690652144912], [144.97233090471326, -37.82691609252168], [144.97236176175912, -37.82701623420953], [144.97240113605687, -37.82711447889672], [144.97244884521118, -37.82721037139581], [144.97250466820748, -37.82730346741547], [144.97256834643497, -37.82739333561949], [144.9726395848846, -37.82747955962538], [144.9727180535156, -37.82756173993353], [144.9733066087228, -37.828136443819886], [144.9734135396389, -37.82824577986726], [144.97351413363336, -37.828358836202774], [144.97360818523993, -37.82847538193969], [144.97369550235078, -37.82859517906389], [144.97377590660875, -37.82871798291996], [144.97384923377206, -37.82884354271078], [144.97391533405005, -37.82897160200935], [144.97397407240894, -37.82910189928276], [144.9740253288482, -37.82923416842607], [144.97406899864603, -37.829368139305735], [144.9741049925731, -37.82950353831125], [144.97414155951247, -37.829658452576865], [144.97416567089223, -37.82974337858079], [144.97419749856138, -37.82982669053573], [144.97423687428747, -37.82990794800908], [144.97428358993287, -37.82998672142772], [144.97433739855478, -37.83006259434939], [144.97439801571034, -37.830135165664174], [144.97446512095976, -37.830204051715185], [144.97453835956048, -37.83026888832704], [144.9746173443418, -37.8303293327312], [144.97469657370257, -37.830381932329296], [144.97478015404428, -37.830430110014234], [144.97486769380478, -37.83047364007538], [144.9749587828704, -37.83051231857544], [144.97505299449674, -37.830545964306154], [144.97514988730828, -37.830574419637486], [144.9752490073665, -37.830597551255956], [144.975408878038, -37.83063305254872], [144.97556672228342, -37.830673861621825], [144.9757222601226, -37.83071990609111], [144.9758752156647, -37.83077110428582], [144.9760253175975, -37.83082736539349], [144.9761722996688, -37.83088858962115], [144.97631590115805, -37.83095466837204], [144.9764558673392, -37.83102548443815], [144.9765347842406, -37.831069023268746], [144.97653874849433, -37.831074061732295], [144.97654167415914, -37.83107952869243], [144.9765434897217, -37.83108529051816], [144.97654415080325, -37.83109120637093], [144.9765436412443, -37.83109713164707], [144.97652073408813, -37.83120107868545], [144.97650632936737, -37.83130598128511], [144.9765004871297, -37.831411402410836], [144.97650323175097, -37.83151690286539], [144.9765145518335, -37.83162204311914], [144.97653440025258, -37.831726385141216], [144.9765686537899, -37.83187398822753], [144.97658093326703, -37.831942847468774], [144.97658596929992, -37.832012277249326], [144.97658372716202, -37.83208179908716], [144.97657422228482, -37.832150933864284], [144.9765575201524, -37.83221920512893], [144.9765337358504, -37.83228614237904], [144.97650303327393, -37.83235128430501], [144.9764656239979, -37.83241418196883], [144.97641318037296, -37.832493631819275], [144.9763520370885, -37.83259259973343], [144.97629763547147, -37.83269401305033], [144.976250130386, -37.83279758312963], [144.97620965706918, -37.83290301519109], [144.9761763307463, -37.833010009153874], [144.97615024630193, -37.83311826049033]]]], ""type"": ""MultiPolygon""}",2.76024464646
"-37.82666631816131, 144.95838717714992","{""coordinates"": [[[[144.95860871634898, -37.82594686937224], [144.95877160531558, -37.82630061473451], [144.95879801741134, -37.82635786111847], [144.95896067428083, -37.8267110984381], [144.95816540075347, -37.82738630401551], [144.9580029014113, -37.82703293411524], [144.95797656374333, -37.82697562464504], [144.95781383579688, -37.82662174372033], [144.95825579058783, -37.82624651479366], [144.95825202352293, -37.826238341044224], [144.95826162486517, -37.82623555710695], [144.95826361372067, -37.82623987262215], [144.95832618983496, -37.826186743748885], [144.95832242276182, -37.82617857011408], [144.95833202409688, -37.82617578605812], [144.95833401309406, -37.82618010168729], [144.9583965889651, -37.82612697277072], [144.95839282188672, -37.82611879913796], [144.95840242321162, -37.82611601507594], [144.95840441221145, -37.826120330703986], [144.95847807644952, -37.826057787284576], [144.95847430936828, -37.826049613541585], [144.95848391067827, -37.8260468295851], [144.95848589953923, -37.82605114520946], [144.9585373870285, -37.82600743056637], [144.9585336199399, -37.82599925693772], [144.95854322110245, -37.825996472861085], [144.95854521010764, -37.82600078848699], [144.95860871634898, -37.82594686937224]]]], ""type"": ""MultiPolygon""}",717.864237
"-37.82700528530559, 144.9563172079273","{""coordinates"": [[[[144.9569956285404, -37.82705318279662], [144.9557124106899, -37.82814133455856], [144.95558818233067, -37.82824667585949], [144.95508132887548, -37.828132371691616], [144.95515050915589, -37.82794714146816], [144.95522716121386, -37.827763771060205], [144.95555037617234, -37.827788779988154], [144.955536915474, -37.82775949208752], [144.95551872587816, -37.827721939303494], [144.955383218644, -37.82743105056841], [144.95547059022792, -37.827272458040454], [144.95556229314815, -37.82711849506857], [144.95565904520808, -37.826966489061704], [144.95576106058147, -37.82681738049534], [144.95587967403944, -37.82665477915896], [144.95700348105183, -37.82572496182453], [144.95703873296287, -37.82573084662845], [144.95727090265842, -37.826236102175834], [144.95728842041845, -37.8262742248668], [144.95734529067275, -37.82639798674418], [144.95746389283198, -37.82665608914578], [144.95722976129673, -37.82685463626881], [144.9569956285404, -37.82705318279662]]]], ""type"": ""MultiPolygon""}",6122.9583872
"-37.828734696820895, 144.92927086099428","{""coordinates"": [[[[144.9474744829259, -37.82558360502543], [144.94744445514638, -37.825758032720074], [144.94735381981178, -37.82583915584214], [144.94727658002196, -37.82582513239589], [144.94675276380647, -37.825759998595885], [144.94585991522663, -37.82566097316129], [144.94073110008054, -37.82880075843619], [144.9366940613839, -37.829576827418535], [144.9327929775636, -37.82932956752777], [144.92760495147013, -37.82941718379398], [144.92152710971982, -37.83175399230651], [144.9125594801147, -37.83253853397035], [144.91623003598767, -37.830100610863965], [144.91655123461925, -37.8298203649454], [144.91665646531285, -37.829732811015276], [144.91676679529056, -37.82964929954048], [144.91688197797035, -37.82957001715328], [144.91700175592825, -37.82949514103439], [144.91712586147293, -37.82942483851676], [144.91725401724426, -37.829359266712146], [144.917385936833, -37.82929857215961], [144.917521325421, -37.82924289049855], [144.91875777350612, -37.82886453198317], [144.91973921639152, -37.82862288439049], [144.92001342382463, -37.82856695671444], [144.92039171602207, -37.82847917357328], [144.92054318000993, -37.82855202065797], [144.93252836979167, -37.82645339892126], [144.9458978164079, -37.82563776874848], [144.9462955362861, -37.82545513209243], [144.94702256362612, -37.82553377014274], [144.94736636468303, -37.82557168262808], [144.9474744829259, -37.82558360502543]]]], ""type"": ""MultiPolygon""}",12657.0692716
"-37.82586912315373, 144.96123183810005","{""coordinates"": [[[[144.96154109022967, -37.82624709448413], [144.96128208353792, -37.82646697269031], [144.9605694747097, -37.82574593108294], [144.96063536623706, -37.825689710894665], [144.96109279546872, -37.82529941789225], [144.9619288218912, -37.82591793435248], [144.96154109022967, -37.82624709448413]]]], ""type"": ""MultiPolygon""}",1733.71358998
"-37.826733641999645, 144.9687446768786","{""coordinates"": [[[[144.97081505807358, -37.825702612461654], [144.97086925203527, -37.825880365646825], [144.97091718300777, -37.826059247230596], [144.96928837913788, -37.82602112880858], [144.96937886893926, -37.825721938562545], [144.9691135851712, -37.82582250724094], [144.96835499438203, -37.82833001463938], [144.96833849328954, -37.828384556680724], [144.9676911144515, -37.828572494799715], [144.96730786193243, -37.828499529841515], [144.96800721108792, -37.82618796320235], [144.96809003783548, -37.82591418410069], [144.96918223574002, -37.825595574918296], [144.96943981326837, -37.825520433985275], [144.97061534335145, -37.8251774976478], [144.97068805441006, -37.82535104205328], [144.970754643223, -37.825526125612534], [144.97081505807358, -37.825702612461654]]]], ""type"": ""MultiPolygon""}",1679.16203307
"-37.82606485488025, 144.9631525329207","{""coordinates"": [[[[144.9637353966979, -37.82648420608519], [144.9635138548216, -37.82667254142464], [144.96349144053355, -37.826681704700135], [144.96346536265682, -37.82666240488337], [144.9632143396467, -37.82676458704665], [144.96319262936547, -37.826776592806134], [144.9631926294155, -37.82678199850015], [144.9631822983952, -37.82678226562943], [144.9630739331998, -37.82684219090073], [144.9629093685235, -37.826901860469526], [144.96279981501647, -37.82694857973142], [144.96220542307992, -37.82716909091623], [144.9620242987532, -37.82720362408529], [144.9618867561232, -37.82706465142848], [144.96186940715646, -37.82707937355427], [144.96180560498223, -37.826999917375915], [144.96149555899336, -37.826685326675054], [144.96169776718256, -37.82651373557484], [144.96189749240978, -37.82634425032405], [144.96218098436987, -37.82610367926047], [144.96295793066946, -37.826678704410654], [144.96301787854756, -37.826723071864684], [144.96317357617397, -37.82659063628956], [144.962337955356, -37.82597255268447], [144.9637025702232, -37.82481179957242], [144.96437104804608, -37.825306247285006], [144.96443469097161, -37.82551785760809], [144.96451910325595, -37.82560653142817], [144.9644886502613, -37.825890299237095], [144.9644774554145, -37.82599461376499], [144.96446940400654, -37.82601069007214], [144.96400977624302, -37.82613713830205], [144.9639090170896, -37.826192640573936], [144.9640281436613, -37.82628075267337], [144.96380320570194, -37.82640638325653], [144.9637353966979, -37.82648420608519]]]], ""type"": ""MultiPolygon""}",4158.56971111
"-37.82554654110134, 144.9585418031922","{""coordinates"": [[[[144.9598332911179, -37.82571098783489], [144.95981350566734, -37.82576391088002], [144.9597908540306, -37.8258161059158], [144.95976929902304, -37.82586180823141], [144.9597475754902, -37.825902997609745], [144.95974665670906, -37.8259048422732], [144.9597462594859, -37.825905492846694], [144.9597455575923, -37.825906823686395], [144.95969422671695, -37.8259907121916], [144.9596928167101, -37.82599287006169], [144.95969277533843, -37.82599283946865], [144.95963764245715, -37.826073647301804], [144.95957726101742, -37.82615488030517], [144.95947245528865, -37.826264511259204], [144.95936130051595, -37.82637013464245], [144.95913373143546, -37.82656359972039], [144.95892329956507, -37.82610633019366], [144.95889733174735, -37.82605176137733], [144.95878088889157, -37.82579911181363], [144.95870993756586, -37.825735083287874], [144.95870847026234, -37.825736555062235], [144.95870671525813, -37.82573781317336], [144.95870472126947, -37.82573882269804], [144.95870254364627, -37.82573955561353], [144.958700242836, -37.82573999157517], [144.95869788270548, -37.8257401184814], [144.95869552876817, -37.82573993280943], [144.95869324636584, -37.82573943971332], [144.95869109885422, -37.82573865288061], [144.95868914584494, -37.82573759415252], [144.95868744155044, -37.82573629291771], [144.95868603327924, -37.82573478529633], [144.9586849601227, -37.825733113137666], [144.95868425187, -37.82573132285818], [144.95868392818093, -37.8257294641532], [144.9586839980407, -37.8257275886174], [144.95868445951007, -37.82572574831271], [144.95868529977923, -37.82572399432311], [144.95868649552375, -37.82572237533653], [144.95868801355164, -37.82572093629344], [144.95868981172472, -37.82571971713942], [144.95869184012875, -37.825718751716224], [144.9586832132203, -37.82571096649763], [144.958521558203, -37.82575775619079], [144.95845802116824, -37.825811528849755], [144.95846145309784, -37.82581897539235], [144.95845185181707, -37.82582175934793], [144.95845019099494, -37.82581815570595], [144.95838758577818, -37.82587113939704], [144.95839101770312, -37.82587858594157], [144.95838141655403, -37.82588136989349], [144.95837975559226, -37.82587776624819], [144.95831715041638, -37.82593074990087], [144.95832058233657, -37.8259381964472], [144.95831098117733, -37.82594098039307], [144.9583093202178, -37.825937376746865], [144.9582467149409, -37.82599036035864], [144.95825014685641, -37.82599780690686], [144.958240545687, -37.82600059084663], [144.95823888472975, -37.825996987199524], [144.95817627935182, -37.82604997077049], [144.9581797112626, -37.82605741732052], [144.95817011008293, -37.82606020125426], [144.95816844912792, -37.82605659760623], [144.95809838696638, -37.826115891825395], [144.95810181887202, -37.82612333837754], [144.9580922175391, -37.8261261223021], [144.95809055672856, -37.82612251865555], [144.9577497913214, -37.8264109092513], [144.9577142185465, -37.82640514626897], [144.9577139709334, -37.82640460825376], [144.9575502151276, -37.8260488601508], [144.95753443651756, -37.8260135765123], [144.9572915195961, -37.825486961132825], [144.9580911678157, -37.82482329238411], [144.95826549777917, -37.824677164876796], [144.95829515812667, -37.824652596634195], [144.9583707215197, -37.824590006094496], [144.95848539236934, -37.82449502166744], [144.95957524772896, -37.82547820572975], [144.9596206503148, -37.82551916374586], [144.9598332911179, -37.82571098783489]]]], ""type"": ""MultiPolygon""}",21937.0824116
"-37.82483317872804, 144.96763483297423","{""coordinates"": [[[[144.96744976901024, -37.823756314619544], [144.96792353862216, -37.82384628450951], [144.96793612127405, -37.823804593762404], [144.9682181760739, -37.823858155562036], [144.9682188546376, -37.82385590723701], [144.96841160963118, -37.82388969989327], [144.968410128793, -37.8238946066987], [144.9684624874937, -37.82390454938356], [144.96792882806437, -37.82567273192475], [144.96696599938954, -37.82595393601652], [144.96679593344965, -37.82592163963893], [144.96744976901024, -37.823756314619544]]]], ""type"": ""MultiPolygon""}",3097.40648518
"-37.823154607386094, 144.94005552158262","{""coordinates"": [[[[144.9400946137761, -37.82313302414094], [144.94007430433402, -37.823189326581925], [144.94001642929857, -37.82317619053158], [144.94003673891896, -37.82311988821669], [144.9400946137761, -37.82313302414094]]]], ""type"": ""MultiPolygon""}",0.0
"-37.8242675015963, 144.96119609566335","{""coordinates"": [[[[144.96149943393365, -37.82350324231974], [144.96160994335216, -37.823532849826044], [144.96161327028793, -37.823522830605796], [144.96171752927995, -37.823546598248186], [144.9618189931077, -37.823577040285734], [144.96191698395975, -37.82361395335767], [144.9620108472224, -37.82365709087439], [144.96227657316652, -37.82379103043638], [144.96229237914554, -37.82388458320659], [144.9622246268549, -37.82394213595481], [144.96099904912577, -37.824983145977846], [144.96084473646104, -37.82511421668108], [144.96035241697749, -37.8255323804052], [144.96027483754375, -37.825453606298446], [144.96092163708482, -37.82348503137157], [144.9609920776127, -37.82344783930208], [144.96149943393365, -37.82350324231974]]]], ""type"": ""MultiPolygon""}",6762.07316667
"-37.82416699427056, 144.95981872477418","{""coordinates"": [[[[144.9605218174274, -37.82362228979343], [144.96000789843717, -37.82518525566719], [144.95995982088624, -37.825194662441895], [144.95973898226202, -37.82500236466277], [144.95935219100554, -37.82466564016627], [144.95958101748369, -37.82396987158227], [144.95947021001322, -37.82394743666092], [144.95927546508258, -37.82453968967137], [144.9592310182367, -37.82454671160779], [144.9591585851208, -37.824470963695404], [144.95909839837992, -37.824404642188576], [144.95888383968946, -37.82416592554843], [144.95956073183967, -37.82360181465539], [144.95961533485408, -37.82356015041695], [144.959675789162, -37.8235239246753], [144.95974123913308, -37.8234936501415], [144.95981075843568, -37.823469755297644], [144.95987019808652, -37.82344817006707], [144.95993115719202, -37.82342944004703], [144.96020835790898, -37.82341471415429], [144.96049304909113, -37.82341931958024], [144.96051088942497, -37.8234282987076], [144.96052680142628, -37.823439324912734], [144.96054041516376, -37.82345214185274], [144.96055141413675, -37.823466451552704], [144.9605595426335, -37.823481921332956], [144.9605218174274, -37.82362228979343]]]], ""type"": ""MultiPolygon""}",24803.240245
